F' L' U D R2 F'
F' L' D U R2 F'
R F R B U' F'
F' D L' U R2 F'
R2 F B R U' F2
R2 B F R U' F2
F U2 F2 L' U' B U2
R F R D B U' F'
R F R D' B U' F'
F U2 F2 R2 L' U F'
R F R D2 B U' F'
R F R B L U' F'
R F R B L' U' F'
R F R B L2 U' F'
R F R B U' D F'
R F R B U' D' F'
R F R B U' D2 F'
R F R B U' F' D
R F R B U' F' D'
R F R B U' F' D2
R F R B D U' F'
R F R B D' U' F'
R F R B D2 U' F'
F' D L' R U R F'
F' D L' U R2 D F'
F' D L' U R2 D' F'
F' D L' U R2 D2 F'
F' D L' U R2 F' D
F' D L' U R2 F' D'
F' D L' U R2 F' D2
F' D L' U F R2 F'
F' D L' U F' R2 F'
F' D L' U F2 R2 F'
F' D L' U' B U2 R2
F' D R L' U R F'
R2 F D' L2 B R U'
R2 F D' B L2 R U'
R2 F D' B R L2 U'
F D R U R U2 F'
R2 F B L R U' F2
R2 F B L' R U' F2
R2 F B L2 R U' F2
R2 F B R L U' F2
R2 F B R L' U' F2
R2 F B R L2 U' F2
R2 F B R U' F2 D
R2 F B R U' F2 D'
R2 F B R U' F2 D2
R2 F B R D' L2 U'
R2 F B D' L2 R U'
R2 F B D' R L2 U'
R2 F B' R B2 U' F2
R F B R B U' F'
R2 F B2 R B' U' F2
R F B' R B U' F'
D' F' L' U D R2 F'
D2 F' L' U D R2 F'
L' F' L' R2 B' U F'
D' F' L' D U R2 F'
D2 F' L' D U R2 F'
R F B2 R B U' F'
L' F' L' B' U D2 F2
L' F' L' B' U' B2 U2
L' F' L' B' D' R2 U
L' F' L' B' D2 U F2
D F' L' U D R2 F'
D F' L' D U R2 F'
L' F' R2 L' B' U F'
L2 F' R2 B' L' U F'
R2 F' U F2 B R U'
R2 F' U B F2 R U'
F' D' L' U' L' B U2
F' D' L' U' B L' U2
D2 F' D L' U R2 F'
D' F' D L' U R2 F'
D F' D L' U R2 F'
L2 F' B' L' U D2 F2
L2 F' B' L' U' B2 U2
L2 F' B' L' D' R2 U
L2 F' B' L' D2 U F2
L2 F' B' D' L' R2 U
L2 F' B' D' R2 L' U
L2 F' B' D2 L' U F2
F D' B2 R U' L2 F
F' D2 L B2 L2 U F
F' D2 L' R2 B2 U F'
F' D2 L' U D' R2 F'
F' D2 L' D' U R2 F'
F' D2 L' B2 U' B' U2
F' D2 R2 L' B2 U F'
F' D2 R2 B2 L' U F'
R2 B R' F R U' F'
F D2 B2 L2 R U' F
F D2 B2 R L2 U' F
F D2 B2 R U B' U2
F' B L' U2 F2 U' F2
R2 B D F R U' F2
B' F R D2 B2 U' F2
B2 F R U' D' L2 F
B2 F R D' U' L2 F
R2 B D' F R U' F2
B F R U2 F2 U F2
F B R U2 F2 U F2
R2 B D2 F R U' F2
R2 B F L R U' F2
R2 B F L' R U' F2
R2 B F L2 R U' F2
R2 B F R L U' F2
R2 B F R L' U' F2
R2 B F R L2 U' F2
R2 B F R U' F2 D
R2 B F R U' F2 D'
R2 B F R U' F2 D2
R2 B F R D' L2 U'
R2 B F D' L2 R U'
R2 B F D' R L2 U'
R B F R B U' F'
F' B U2 F2 R U' F2
B F U2 F2 L' U F2
F B U2 F2 L' U F2
B2 F D' R U' L2 F
B' F D2 R B2 U' F2
B' F D2 B2 R U' F2
B' F' L' D2 B2 U F2
F' B' L' D2 B2 U F2
B F' L' U2 F2 U' F2
F B' R D2 B2 U' F2
L2 B' D' F' L' R2 U
L2 B' D' F' R2 L' U
L2 B' D2 F' L' U F'
R2 B' F R B2 U' F2
L2 B' F' L' U D2 F2
L2 B' F' L' U' B2 U2
L2 B' F' L' D' R2 U
L2 B' F' L' D2 U F2
L2 B' F' D' L' R2 U
L2 B' F' D' R2 L' U
L2 B' F' D2 L' U F2
R B' F R B U' F'
B F' U2 F2 R U' F2
B' F' D2 L' B2 U F2
F' B' D2 L' B2 U F2
B' F' D2 B2 L' U F2
F' B' D2 B2 L' U F2
F B' D2 R B2 U' F2
F B' D2 B2 R U' F2
F B2 R U' D' L2 F
F B2 R D' U' L2 F
R2 B2 F R B' U' F2
F B2 D' R U' L2 F
R B2 F R B U' F'
