B U L F2 B'
B U L B' F2
B U F2 L B'
B L' U L2 F2 B'
B L' U L2 B' F2
B R U L F2 B'
B R U L B' F2
B R U F2 L B'
B R' U L F2 B'
B R' U L B' F2
B R' U F2 L B'
B R2 U L F2 B'
B R2 U L B' F2
B R2 U L B' F2
B R2 U F2 L B'
B U L F2 D B'
B U L F2 D B'
B U L F2 D' B'
B U L F2 D2 B'
B U L F2 B' D
B U L F2 B' D'
B U L F2 B' D2
B U L B' F2 D
B U L B' F2 D'
B U L B' F2 D2
B U F' L F' B'
B U F' L B' F'
B U F2 L D B'
B U F2 L D' B'
B U F2 L D2 B'
B U F2 L B' D
B U F2 L B' D'
B U F2 L B' D2
B U' L F2 R B'
B U' L F2 B' R
B U' L B' F2 R
L B U L F2 B2
L B U L B2 F2
L B U F2 L B2
F' B U L F' B'
F' B U L B' F'
F' B U F' L B'
B F U F L B'
F B U F L B'
B F' U L F' B'
B F' U L B' F'
B F' U F' L B'
R' B U' F2 L B' R'
L' B U' F U2 F L
D B U D' L F2 B'
D B U D' L B' F2
D B U D' F2 L B'
L B U L F2 B2 D
L B U L F2 B2 D'
L B U L F2 B2 D2
L B U L B2 F2 D
L B U L B2 F2 D'
L B U L B2 F2 D2
D' B U2 L2 R' U' L'
L B U L' F2 L2 B2
L B U L' F2 B2 L2
L B U L' B2 L2 F2
L B U L' B2 F2 L2
L B U L2 B2 L' F2
D' B U2 R' L2 U' L'
L B U F' L F' B2
L B U F' L B2 F'
L B U F2 L B2 D
L B U F2 L B2 D'
L B U F2 L B2 D2
L B U F2 L' B2 L2
L B U F2 L2 B2 L'
F' B L' U L2 F' B'
F' B L' U L2 B' F'
F2 B L B' U' B U
F2 B L B2 D' B R2
L B U' L F2 R B2
L B U' L F2 B2 R
L B U' L B2 F2 R
L B D L2 R2 U L'
L B D R2 L2 U L'
D B D' U L F2 B'
D B D' U L B' F2
D B D' U F2 L B'
B F R U F L B'
F B R U F L B'
B F R' U F L B'
D B F L' R2 U L2
F B R' U F L B'
F' B U L D F' B'
F' B U L D B' F'
F' B U L D' F' B'
F' B U L D' B' F'
F' B U L D2 F' B'
F' B U L D2 B' F'
F' B U L F' D B'
F' B U L F' D' B'
F' B U L F' D2 B'
F' B U L F' B' D
F' B U L F' B' D'
F' B U L F' B' D2
F' B U L B' D F'
F' B U L B' D' F'
F' B U L B' D2 F'
F' B U L B' F' D
F' B U L B' F' D'
F' B U L B' F' D2
D B F R2 L' U L2
B F R2 U F L B'
F' B U F L F2 B'
F' B U F L B' F2
F' B U F' L D B'
F' B U F' L D' B'
F' B U F' L D2 B'
F' B U F' L B' D
F' B U F' L B' D'
F' B U F' L B' D2
L B F U F L B2
F B R2 U F L B'
R2 B F' U' L F' B'
R2 B F' U' L B' F'
R2 B F' U' F' L B'
L B F' U L F' B2
L B F' U L B2 F'
L B F' U F' L B2
D' B' L B2 R' U L
B F U F L D B'
B F U F L D' B'
B F U F L D2 B'
B F U F L B' D
B F U F L B' D'
B F U F L B' D2
B F U F' L F2 B'
B F U F' L B' F2
B F U F2 L F' B'
B F U F2 L B' F'
L B F2 L B2 D' R2
F B U F L D B'
F B U F L D' B'
F B U F L D2 B'
F B U F L B' D
F B U F L B' D'
F B U F L B' D2
F B U F' L F2 B'
F B U F' L B' F2
F B U F2 L F' B'
F B U F2 L B' F'
B F' L' U L2 F' B'
B F' L' U L2 B' F'
L B' R2 F2 L' D' R2
L B' R2 F2 D' L' R2
L B' R2 F2 D' R2 L'
L B' U' B2 U L F2
L B' U' B2 U F2 L
B F' U L D F' B'
B F' U L D B' F'
B F' U L D' F' B'
B F' U L D' B' F'
B F' U L D2 F' B'
B F' U L D2 B' F'
B F' U L F' D B'
B F' U L F' D' B'
B F' U L F' D2 B'
B F' U L F' B' D
B F' U L F' B' D'
B F' U L F' B' D2
B F' U L B' D F'
B F' U L B' D' F'
B F' U L B' D2 F'
B F' U L B' F' D
B F' U L B' F' D'
B F' U L B' F' D2
L B' D' R2 D F2 L'
B F' U F L F2 B'
B F' U F L B' F2
B F' U F' L D B'
B F' U F' L D' B'
B F' U F' L D2 B'
B F' U F' L B' D
B F' U F' L B' D'
B F' U F' L B' D2
F2 B' U' B2 U L B'
L B' F2 U' B2 U L
B F2 L B' U' B U
B F2 L B2 D' B R2
B' F2 U' B2 U L B'
B2 F2 U' B' U L B'
F2 B2 U' B' U L B'
