L2 R D F' R B'
L2 R D F' B' R
L2 R D B' F' R
L2 R B' D F' R
R L2 D F' R B'
R L2 D F' B' R
R L2 D B' F' R
U L2 R F' B' R'
U L2 R B' F' R'
U L2 R B' F' R'
U L2 R2 B' R' F'
R L2 B' D F' R
U' L2 F R F' B'
U' L2 F R B' F'
U' L2 F B' R F'
R U L2 F' B' R'
R U L2 B' F' R'
U' L2 B' F R F'
U L2 B' R F' R2
U R L2 F' B' R'
U R L2 B' F' R'
U R2 L2 B' R' F'
U' F R F' L2 B'
U' F U2 L2 R F'
U' F U2 R L2 F'
U' F U2 R F' L2
L2 B' R D F' R
U' F U2 L2 R F' D'
U' F U2 L2 R F' D2
U' F U2 R L F' L
U' F U2 R L2 D F'
U' F U2 R L2 D' F'
U' F U2 R L2 D2 F'
U' F U2 R L2 F' D
U' F U2 R L2 F' D'
U' F U2 R L2 F' D2
U' F U2 R F L2 F2
U' F U2 R F' L2 D
U' F U2 R F' L2 D'
U' F U2 R F' L2 D2
U F U2 L2 F R F'
U F U2 F L2 R F'
U F U2 F R L2 F'
U F U2 F R F' L2
U' F B R F' L2 B'
U' F B U2 L2 R F'
U' F B U2 R L2 F'
U' F B U2 R F' L2
U' F B' R F' L2 B'
U' F B' U2 L2 R F'
U' F B' U2 R L2 F'
U' F B' U2 R F' L2
U' F B2 R F' L2 B'
L2 F B' R D F' R
U' F B2 U2 L2 R F'
U' F B2 U2 R L2 F'
U' F B2 U2 R F' L2
U' F' L' F2 R U2 F'
L2 F' R D F' R B'
L2 F' R D F' B' R
L2 F' R D B' F' R
L2 F' R B' D F' R
L2 F' B' R D F' R
U' F2 L2 R F' R B
U' F2 R L2 F' R B
U' F2 R F' L2 R B
U' F2 R F' R L2 B
U' F2 R F' R B L2
L2 F2 R D F' R B'
L2 F2 R D F' B' R
L2 F2 R D B' F' R
L2 F2 R B' D F' R
L2 F2 B' R D F' R
U' B L2 F R F' B'
U' B L2 F R B' F'
U' B L2 F B' R F'
U' B L2 B' F R F'
L2 B R B2 D F' R
U B L2 F2 R F' B'
U B L2 F2 R B' F'
U B L2 F2 B' R F'
R B L2 D F' R B'
R B L2 D F' B' R
R B L2 D B' F' R
U B L2 B' F2 R F'
R B L2 B' D F' R
R B U L2 F' B' R'
R B U L2 B' F' R'
U' B F R F' L2 B'
U' B F U2 L2 R F'
U' B F U2 R L2 F'
U' B F U2 R F' L2
U' B' L2 F R F' B'
U' B' L2 F R B' F'
U' B' L2 F B' R F'
U' B' L2 B' F R F'
U B' L2 R F' R2 B'
U B' L2 R F' B' R2
U B' L2 R B' F' R2
L2 B' R D F' R D
L2 B' R D F' R D'
L2 B' R D F' R D2
L2 B' R D F' D R
L2 B' R D F' D' R
L2 B' R D F' D2 R
U B' L2 R' B' D2 F2
R B' L2 D F' R B'
R B' L2 D F' B' R
R B' L2 D B' F' R
L2 B' R' D R2 F' R
U B' R L2 F' R2 B'
U B' R L2 F' B' R2
U B' R L2 B' F' R2
R B' L2 B' D F' R
L2 B' R2 D R' F' R
U B' R' L2 B' D2 F2
U B' R' B2 L2 F B'
U B' R' B2 L2 B' F
R B' U L2 F' B' R'
R B' U L2 B' F' R'
L2 B' D F' D' R F'
U' B' F R F' L2 B'
U' B' F U2 L2 R F'
U' B' F U2 R L2 F'
U' B' F U2 R F' L2
L2 B' F R D F' R
L2 B' F' R D F' R
L2 B' F2 R D F' R
U' B2 L2 F R F' B'
U' B2 L2 F R B' F'
U' B2 L2 F B' R F'
U' B2 L2 B' F R F'
R B2 L2 D F' R B'
R B2 L2 D F' B' R
R B2 L2 D B' F' R
R B2 L2 B' D F' R
R' B2 U L2 F B' R'
R' B2 U L2 B' R' F
R' B2 U L2 B' F R'
R' B2 U' L2 F R B'
R' B2 U' L2 F B' R
R' B2 U' L2 B' F R
R B2 U L2 F' B' R'
R B2 U L2 B' F' R'
U' B2 F R F' L2 B'
U' B2 F U2 L2 R F'
U' B2 F U2 R L2 F'
U' B2 F U2 R F' L2
