B2 R' F' U' F' B
B2 R' F' U' B F'
B2 U' F2 B' R' B
B2 U' B' R' F2 B
B2 U' B' R' B F2
B2 U' B' F2 R' B
R' F' B2 U' F' B'
R' F' B2 U' B' F'
R' B2 F' U' F' B'
R' B2 F' U' B' F'
F2 R2 D L2 R B R'
F2 R2 D R L2 B R'
F2 R2 D R B L2 R'
F2 R2 D R B R' L2
R' U2 B2 F' U' F' B'
R' U2 B2 F' U' B' F'
R D B R2 U L2 B
R D B R2 U B L2
B2 U' R' F2 B' R' B2
B2 U' R' B' R' F2 B2
B2 U' R' B' R' B2 F2
B2 U' R' B' F2 R' B2
B2 U' F B' R' F B
B2 U' F B' R' B F
B2 U' F2 R' B' R' B2
B2 U' F2 B' R' D B
B2 U' F2 B' R' D' B
B2 U' F2 B' R' D2 B
B2 U' F2 B' R' B D
B2 U' F2 B' R' B D'
B2 U' F2 B' R' B D2
B2 U' F2 B2 R' B R'
B' U' B' U' R' F2 B
B' U' B' U' R' B F2
B' U' B' U' F2 R' B
B2 U' B' R' F2 D B
B2 U' B' R' F2 D' B
B2 U' B' R' F2 D2 B
B2 U' B' R' F2 B D
B2 U' B' R' F2 B D'
B2 U' B' R' F2 B D2
B2 U' B' R' B F2 D
B2 U' B' R' B F2 D'
B2 U' B' R' B F2 D2
B2 U' B' F R' F B
B2 U' B' F R' B F
B2 U' B' F2 R' D B
B2 U' B' F2 R' D' B
B2 U' B' F2 R' D2 B
B2 U' B' F2 R' B D
B2 U' B' F2 R' B D'
B2 U' B' F2 R' B D2
B2 U' B2 R' F2 B R'
B2 U' B2 R' B R' F2
B2 U' B2 R' B F2 R'
B2 U' B2 F2 R' B R'
R' F D F L2 B R2
R' F D F B L2 R2
R' F D F B R2 L2
R' F D B R2 F L2
R' F D B F L2 R2
R' F D B F R2 L2
R' F' L B2 U' F' B'
R' F' L B2 U' B' F'
R' F' L' B2 U' F' B'
R' F' L' B2 U' B' F'
R' F' L2 B2 U' F' B'
R' F' L2 B2 U' B' F'
R' F' U' D L2 F' B
R' F' U' D L2 B F'
R' F' U' D F' L2 B
R' F' U' D F' B L2
R' F' U' D B L2 F'
R' F' U' D B F' L2
R' F' U' F' D L2 B
R' F' U' F' D B L2
R' F' D U' L2 F' B
R' F' D U' L2 B F'
R' F' D U' F' L2 B
R' F' D U' F' B L2
R' F' D U' B L2 F'
R' F' D U' B F' L2
B2 D' L2 R' F' R U'
B2 D' R' L2 F' R U'
B2 D' R' F' L2 R U'
B2 D' R' F' R L2 U'
R' F' B2 U' D F' B'
R' F' B2 U' D B' F'
R' F' B2 U' D' F' B'
R' F' B2 U' D' B' F'
R' F' B2 U' D2 F' B'
R' F' B2 U' D2 B' F'
R' F' B2 U' F' D B'
R' F' B2 U' F' D' B'
R' F' B2 U' F' D2 B'
R' F' B2 U' F' B' D
R' F' B2 U' F' B' D'
R' F' B2 U' F' B' D2
R' F' B2 U' B' D F'
R' F' B2 U' B' D' F'
R' F' B2 U' B' D2 F'
R' F' B2 U' B' F' D
R' F' B2 U' B' F' D'
R' F' B2 U' B' F' D2
R' F' B2 D U' F' B'
R' F' B2 D U' B' F'
R' F' B2 D' U' F' B'
R' F' B2 D' U' B' F'
R' F' B2 D2 U' F' B'
R' F' B2 D2 U' B' F'
R' F2 U F B2 U' B'
R' F2 U B2 F U' B'
R' F2 D L2 B D' R2
R2 F2 D L2 R B R'
R2 F2 D R L2 B R'
R2 F2 D R B L2 R'
R2 F2 D R B R' L2
R F2 D L2 B' D' R2
R' F2 B U F B U'
R' F2 B U B F U'
U' F2 B' R' B D L2
R' B U F' B U' F'
R' B U B F' U' F'
R B R2 F' U F' B
R B R2 F' U B F'
R B D R2 F' U B
B2 F R' F' U' F2 B
B2 F R' F' U' B F2
R' B F2 U F B U'
R' B F2 U B F U'
B2 F U' F B' R' B
B2 F U' B' R' F B
B2 F U' B' R' B F
B2 F U' B' F R' B
U' B' R' F2 B D L2
U' B' R' B F2 D L2
B2 F' U' F' B' R' B
B2 F' U' B' F' R' B
U' B' F2 R' B D L2
R' B2 R U' F2 B' R'
R' B2 R U' B' R' F2
R' B2 R U' B' F2 R'
U' B2 R' U' F2 B R'
U' B2 R' U' B R' F2
U' B2 R' U' B F2 R'
L' B2 R' F' U' F' B
L' B2 R' F' U' B F'
R2 B2 R F' U' F' B
R2 B2 R F' U' B F'
L2 B2 R' F' U' F' B
L2 B2 R' F' U' B F'
U' B2 U' R' F2 B R'
U' B2 U' R' B R' F2
U' B2 U' R' B F2 R'
L B2 R' F' U' F' B
L B2 R' F' U' B F'
U' B2 U' F2 R' B R'
U' B2 U' F2 B R' B
U' B2 U' B R' F2 B
U' B2 U' B R' B F2
U' B2 U' B F2 R' B
B2 F2 R' F' U' F B
B2 F2 R' F' U' B F
F2 B2 R' F' U' F B
F2 B2 R' F' U' B F
L' B2 U' F2 B' R' B
L' B2 U' B' R' F2 B
L' B2 U' B' R' B F2
L' B2 U' B' F2 R' B
L2 B2 U' F2 B' R' B
L2 B2 U' B' R' F2 B
L2 B2 U' B' R' B F2
L2 B2 U' B' F2 R' B
F B2 R' F' U' F2 B
F B2 R' F' U' B F2
L B2 U' F2 B' R' B
L B2 U' B' R' F2 B
L B2 U' B' R' B F2
L B2 U' B' F2 R' B
F' B2 U' F' B' R' B
F' B2 U' B' F' R' B
F B2 U' F B' R' B
F B2 U' B' R' F B
F B2 U' B' R' B F
F B2 U' B' F R' B
R' B2 F' U' D F' B'
R' B2 F' U' D B' F'
R' B2 F' U' D' F' B'
R' B2 F' U' D' B' F'
R' B2 F' U' D2 F' B'
R' B2 F' U' D2 B' F'
R' B2 F' U' F' D B'
R' B2 F' U' F' D' B'
R' B2 F' U' F' D2 B'
R' B2 F' U' F' B' D
R' B2 F' U' F' B' D'
R' B2 F' U' F' B' D2
R' B2 F' U' B' D F'
R' B2 F' U' B' D' F'
R' B2 F' U' B' D2 F'
R' B2 F' U' B' F' D
R' B2 F' U' B' F' D'
R' B2 F' U' B' F' D2
R' B2 F' D U' F' B'
R' B2 F' D U' B' F'
R' B2 F' D' U' F' B'
R' B2 F' D' U' B' F'
R' B2 F' D2 U' F' B'
R' B2 F' D2 U' B' F'
