F' R U' L' U2
F' R U F2 R F2
F' R U' L' U2 D
F' R U' L' U2 D
F' R U' L' U2 D'
F' R U' L' U2 D2
F' R U' L' D U2
F' R U' L' D' U2
F' R U' L' D2 U2
F' R U' D L' U2
F' R U' D' L' U2
F' R U' D2 L' U2
F' R U2 F2 U' R
F' R D U' L' U2
F' R D' U' L' U2
F' R D2 U' L' U2
F' R B U' L' U2
F' R B U' L' U2
F R F2 R U R'
F' R B' U' L' U2
F' R B2 U' L' U2
F' R' U D' F2 R
F' R' D' U F2 R
F R' F2 R U R
F R2 F2 R U R2
F' U R' D' F2 R
F' U' L' U R U
F' U2 F2 L' U' R
F' D R U' L' U2
D' F' U' L' U2 F
D F' U F2 R F'
F' D' R U' L' U2
F' D2 R U' L' U2
F' B R U' L' U2
F' B' R U' L' U2
F' B' R U' L' U2
B' F' R U' L' U2
B' F' R U' L' U2
B2 F' R U' L' U2
B2 F' R U' L' U2
B F' R U' L' U2
B F' R U' L' U2
F' B2 R U' L' U2
R2 F U2 L' B U' R
R2 F U2 B L' U' R
R F U2 L' B' U' R
D2 F D' U L2 R F'
D2 F D' U R L2 F'
D2 F D' U R F' L2
F' D R U F2 R F2
F' D R U' L' U2 D
F' D R U' L' U2 D'
F' D R U' L' U2 D2
F' D R U' L' D U2
F' D R U' L' D' U2
F' D R U' L' D2 U2
F' D R U' D L' U2
F' D R U' D' L' U2
F' D R U' D2 L' U2
F' D R U2 F2 U' R
F' D R D U' L' U2
F' D R D' U' L' U2
F' D R D2 U' L' U2
F' D R B U' L' U2
F' D R B' U' L' U2
F' D R B2 U' L' U2
F' D R' U D' F2 R
F' D R' D' U F2 R
D2 F B R' F2 U R2
F2 D R' F B R U
F2 D R' B F R U
F2 D R2 F R B U
F' D U R' D' F2 R
F' D U' L' U R U
L' F' L R U D2 R2
L' F' L R U' L2 U2
L' F' L R D' B2 U
L' F' L R D2 U R2
L' F' L D' R B2 U
L' F' L D' B2 R U
L' F' L D2 R U R
F' D U2 F2 L' U' R
U' F' L2 R B U B2
F2 D F R U2 F' U'
F2 D F R' B R2 U
L2 F' L2 R U' L U2
L2 F' L2 R B2 U R'
U F' L' R B' U B
B' D F' U F2 R F'
U' F' R L2 B U B2
L' F' R L U D2 R2
L' F' R L U' L2 U2
L' F' R L D' B2 U
L' F' R L D2 U R2
D' F' R U' L' U2 F
B2 D F' U F2 R F'
U' F' R B L2 U B'
U' F' R B U' F U2
L2 F' L2 B2 R U R2
L2 F' R L2 U' L U2
L2 F' R L2 B2 U R'
D' F' R' U' L' U2 F
B D F' U F2 R F'
D F' R U F2 R F
D F' R U' L' U2 F'
F' D B R U' L' U2
U F' R L' B' U B
D' F' R2 U' L' U2 F
D F' R' U' L' B U2
D F' R' U' B L' U2
U F' R B U B' R'
F' D B' R U' L' U2
D2 F' U D' F2 R F'
D' F' U D2 F2 R F'
D2 F' U F2 D' R F'
D' F' U F2 D2 R F'
F' D B2 R U' L' U2
D' F' U' L B' L2 U2
D' F' U' L' U2 D F
D' F' U' L' U2 D' F
D' F' U' L' U2 D2 F
D' F' U' L' U2 F D
D' F' U' L' U2 F D'
D' F' U' L' U2 F D2
D' F' U' L' D U2 F
D' F' U' L' D' U2 F
D' F' U' L' D2 U2 F
D' F' U' L' B U2 F
D' F' U' L' B' U2 F
D' F' U' L' B2 U2 F
D2 F' U' D L' U2 F
D F' U R F2 R F
D' F' U' B L' U2 F
D' F' U' B' L' U2 F
D' F' U' B2 L' U2 F
D F' U F' R F' R
D F' U F2 R D F'
D F' U F2 R D' F'
D F' U F2 R D2 F'
D F' U F2 R F' D
D F' U F2 R F' D'
D F' U F2 R F' D2
D F' U' D2 L' U2 F
D2 F' D U' L' U2 F
D F' U2 F2 U' R F'
D2 F' D' U F2 R F'
F' D' R U F2 R F2
F' D' R U' L' U2 D
F' D' R U' L' U2 D'
F' D' R U' L' U2 D2
F' D' R U' L' D U2
F' D' R U' L' D' U2
F' D' R U' L' D2 U2
F' D' R U' D L' U2
F' D' R U' D' L' U2
F' D' R U' D2 L' U2
F' D' R U2 F2 U' R
F' D' R D U' L' U2
F' D' R D' U' L' U2
F' D' R D2 U' L' U2
D' F' D2 U F2 R F'
F' D' R B U' L' U2
F' D' R B' U' L' U2
F' D' R B2 U' L' U2
F' D' R' U D' F2 R
F' D' R' D' U F2 R
D2 F' B R' U' L' U2
D' F' B U' L' U2 F
D F' D2 U' L' U2 F
D' F' B' U' L' U2 F
D F' B U F2 R F'
F' D' U R' D' F2 R
D2 F' B2 U' L' B' U2
U F' B R U B' R'
D' F' B2 U' L' U2 F
F' D' U' L' U R U
D F' B' U F2 R F'
D F' B2 U F2 R F'
F' D' U2 F2 L' U' R
F D' U2 L' U' L' R
F D' U2 L' U' R L'
B' D' F' U' L' U2 F
B2 D' F' U' L' U2 F
U2 F2 L2 B' U' R' F'
B D' F' U' L' U2 F
F' D' B R U' L' U2
D F2 R F U F2 R
F' D' B' R U' L' U2
F' D' B2 R U' L' U2
F' D2 R U F2 R F2
F' D2 R U' L' U2 D
F' D2 R U' L' U2 D'
F' D2 R U' L' U2 D2
F' D2 R U' L' D U2
F' D2 R U' L' D' U2
F' D2 R U' L' D2 U2
F' D2 R U' D L' U2
F' D2 R U' D' L' U2
F' D2 R U' D2 L' U2
F' D2 R U2 F2 U' R
F' D2 R D U' L' U2
F' D2 R D' U' L' U2
F' D2 R D2 U' L' U2
F D2 L' B2 R' U' R2
F' D2 R B U' L' U2
F' D2 R B' U' L' U2
F' D2 R B2 U' L' U2
F' D2 R' U D' F2 R
F' D2 R' D' U F2 R
F' D2 U R' D' F2 R
F' D2 U' L' U R U
F' D2 U2 F2 L' U' R
F2 D2 F R B U R'
F D2 U2 L' B2 U' R
F2 D2 F B R U R2
F D2 U2 B2 L' U' R
F' D2 B R U' L' U2
F2 D2 B F R U R2
F' D2 B' R U' L' U2
F' D2 B2 R U' L' U2
F' B R U F2 R F2
F' B R U' L' U2 D
F' B R U' L' U2 D'
F' B R U' L' U2 D2
F' B R U' L' D U2
F' B R U' L' D' U2
F' B R U' L' D2 U2
F' B R U' D L' U2
F' B R U' D' L' U2
F' B R U' D2 L' U2
F' B R U2 F2 U' R
B' F R F2 R U R'
F' B R D U' L' U2
F' B R D' U' L' U2
F' B R D2 U' L' U2
F' B R B U' L' U2
F' B R B' U' L' U2
B2 F R F2 R U R'
F' B R B2 U' L' U2
F' B R' U D' F2 R
B' F R' F2 R U R
F' B R' D' U F2 R
D2 B F R' F2 U R2
B F R F2 R U R'
B2 F R' F2 R U R
D2 B F' R' U' L' U2
B' F R2 F2 R U R2
F B R F2 R U R'
D' B F' U' L' U2 F
B F R' F2 R U R
B2 F R2 F2 R U R2
F' B U R' D' F2 R
F B R' F2 R U R
B F R2 F2 R U R2
D B F' U F2 R F'
F' B U' L' U R U
F B R2 F2 R U R2
U B F' R U B' R'
F' B U2 F2 L' U' R
F' B D R U' L' U2
F' B D' R U' L' U2
F' B D2 R U' L' U2
B' F' R U F2 R F2
B' F' R U' L' U2 D
B' F' R U' L' U2 D'
B' F' R U' L' U2 D2
B' F' R U' L' D U2
B' F' R U' L' D' U2
B' F' R U' L' D2 U2
B' F' R U' D L' U2
B' F' R U' D' L' U2
B' F' R U' D2 L' U2
B' F' R U2 F2 U' R
B' F' R D U' L' U2
B' F' R D' U' L' U2
B' F' R D2 U' L' U2
F' B' R U F2 R F2
F' B' R U' L' U2 D
F' B' R U' L' U2 D'
F' B' R U' L' U2 D2
F' B' R U' L' D U2
F' B' R U' L' D' U2
F' B' R U' L' D2 U2
F' B' R U' D L' U2
F' B' R U' D' L' U2
F' B' R U' D2 L' U2
F' B' R U2 F2 U' R
B' F' R B U' L' U2
F' B' R D U' L' U2
B2 F' R U F2 R F2
B2 F' R U' L' U2 D
B2 F' R U' L' U2 D'
B2 F' R U' L' U2 D2
B2 F' R U' L' D U2
B2 F' R U' L' D' U2
B2 F' R U' L' D2 U2
B2 F' R U' D L' U2
B' F' R B' U' L' U2
B2 F' R U' D' L' U2
B2 F' R U' D2 L' U2
F' B' R D' U' L' U2
B' F' R B2 U' L' U2
F' B' R D2 U' L' U2
B2 F' R U2 F2 U' R
B2 F' R D U' L' U2
B2 F' R D' U' L' U2
B2 F' R D2 U' L' U2
B' F' R' U D' F2 R
F' B' R B U' L' U2
F' B' R B' U' L' U2
F' B' R B2 U' L' U2
B2 F' R B U' L' U2
B' F' R' D' U F2 R
B2 F' R B' U' L' U2
B2 F' R B2 U' L' U2
F' B' R' U D' F2 R
U2 B' U2 F' R U R2
B F' R U F2 R F2
B2 F' R' U D' F2 R
B F' R U' L' U2 D
B F' R U' L' U2 D'
B F' R U' L' U2 D2
B F' R U' L' D U2
B F' R U' L' D' U2
B F' R U' L' D2 U2
B F' R U' D L' U2
B F' R U' D' L' U2
B F' R U' D2 L' U2
F' B' R' D' U F2 R
B F' R U2 F2 U' R
B F' R D U' L' U2
B F' R D' U' L' U2
B2 F' R' D' U F2 R
B F' R D2 U' L' U2
B F' R B U' L' U2
B F' R B' U' L' U2
B F' R B2 U' L' U2
B F' R' U D' F2 R
F B' R F2 R U R'
B F' R' D' U F2 R
B' F' U R' D' F2 R
F' B' U R' D' F2 R
F B' R' F2 R U R
B2 F' U R' D' F2 R
B' F' U' L' U R U
F' B' U' L' U R U
B2 F' U' L' U R U
F B' R2 F2 R U R2
B F' U R' D' F2 R
D' B' F' U' L' U2 F
B' F' U2 F2 L' U' R
B F' U' L' U R U
F' B' U2 F2 L' U' R
B' F' D R U' L' U2
B2 F' U2 F2 L' U' R
F' B' D R U' L' U2
B2 F' D R U' L' U2
D B' F' U F2 R F'
B' F' D' R U' L' U2
B F' U2 F2 L' U' R
F' B' D' R U' L' U2
B F' D R U' L' U2
B2 F' D' R U' L' U2
B' F' D2 R U' L' U2
F' B' D2 R U' L' U2
B2 F' D2 R U' L' U2
B F' D' R U' L' U2
B F' D2 R U' L' U2
F' B2 R U F2 R F2
F' B2 R U' L' U2 D
F' B2 R U' L' U2 D'
F' B2 R U' L' U2 D2
F' B2 R U' L' D U2
F' B2 R U' L' D' U2
F' B2 R U' L' D2 U2
F' B2 R U' D L' U2
F' B2 R U' D' L' U2
F' B2 R U' D2 L' U2
F' B2 R U2 F2 U' R
F' B2 R D U' L' U2
F' B2 R D' U' L' U2
F' B2 R D2 U' L' U2
F' B2 R B U' L' U2
F' B2 R B' U' L' U2
F' B2 R B2 U' L' U2
F' B2 R' U D' F2 R
F' B2 R' D' U F2 R
F B2 R F2 R U R'
F' B2 U R' D' F2 R
F B2 R' F2 R U R
F' B2 U' L' U R U
F B2 R2 F2 R U R2
F' B2 U2 F2 L' U' R
F' B2 D R U' L' U2
F' B2 D' R U' L' U2
D2 B2 F' U' L' B' U2
D' B2 F' U' L' U2 F
F' B2 D2 R U' L' U2
D B2 F' U F2 R F'
