D L' R' B R' F'
D R' L' B R' F'
D R' B L' R' F'
D R' B R' L' F'
L' D R' B R' F'
D B U2 L' R' B
D B U2 R' L' B
D B U2 R' B L'
L2 D' R2 F' L R B'
L2 D' R2 F' L B' R
L2 D' R2 F' R L B'
D U' L' R' B R' F'
D U' R' L' B R' F'
D U' R' B L' R' F'
D U' R' B R' L' F'
D U' B U2 L' R' B
D U' B U2 R' L' B
D U' B U2 R' B L'
D U2 L' R' B R' F'
D U2 R' L' B R' F'
D U2 R' B L' R' F'
D U2 R' B R' L' F'
B U2 L' D R' B R'
B U2 L' D B R' B
D U2 B U2 L' R' B
D U2 B U2 R' L' B
D U2 B U2 R' B L'
B U2 D L' R' B R'
B U2 D L' B R' B
B U2 D R' L' B R'
B U2 D R' B L' R'
B U2 D R' B R' L'
B U2 D B L' R' B
B U2 D B R' L' B
B U2 D B R' B L'
D' F L' F B R U2
D' F L' B F R U2
D F R' B R' F' L'
D' F B L' F R U2
B D R' U2 L' B R'
B D R' U2 B L' R'
B D R' U2 B R' L'
D F B U2 R' B L
B D U2 L' R' B R'
B D U2 L' B R' B
B D U2 R' L' B R'
B D U2 R' B L' R'
B D U2 R' B R' L'
B D U2 B L' R' B
B D U2 B R' L' B
B D U2 B R' B L'
R F' R U' F L' F2
B D' L' F L' U2 L
B D' F L' F R U2
D F2 B R U2 R2 B
D F2 B R F' U2 R2
D B L R' B L2 F
D' B L' F L' U2 L
D B L U2 L2 R' B
D B L U2 R' L2 B
D B L U2 R' B L2
D B L2 U2 L R' B
D B L2 U2 R' L B
D B R U2 L' R2 B
D B R U2 R2 L' B
D B R U2 R2 B L'
D B R' L B L2 F
D B R' B L2 F L
D B R2 U2 L' R B'
D B R2 U2 L' B' R
D B R2 U2 R L' B'
D B U2 L R' B L2
D B U2 L' R' D B
D B U2 L' R' D' B
D B U2 L' R' D2 B
D B U2 L' R' B D
D B U2 L' R' B D'
D B U2 L' R' B D2
D B U2 R' L B L2
D B U2 R' L' D B
D B U2 R' L' D' B
D B U2 R' L' D2 B
D B U2 R' L' B D
D B U2 R' L' B D'
D B U2 R' L' B D2
D B U2 R' D L' B
D B U2 R' D B L'
D B U2 R' D' L' B
D B U2 R' D' B L'
D B U2 R' D2 L' B
D B U2 R' D2 B L'
D B U2 R' B L' D
D B U2 R' B L' D'
D B U2 R' B L' D2
D B U2 R' B D L'
D B U2 R' B D' L'
D B U2 R' B D2 L'
D B U2 R' B' L' B2
D' B F L' F R U2
D B F U2 R' B L
D2 B' L B' U L2 F
D B F2 R U2 R2 B
D B F2 R F' U2 R2
