U2 L F L' B2 U'
U2 L F B2 L' U'
U2 L B2 F L' U'
F L' B2 R' F' U'
F' R D B U L2
F' R D2 F2 B U
F' R D2 B F2 U
D2 R F2 B R' U
F' R B U2 B U'
D2 R B R' F2 U
D2 R B F2 R' U
D R B U L2 F'
D R B U F' L2
U D L2 F R F'
D U L2 F R F'
D U F L2 R F'
U D F L2 R F'
D U F R L2 F'
U D F R L2 F'
D U F R F' L2
U D F R F' L2
R D2 F2 B R' U
R D2 B R' F2 U
R D2 B F2 R' U
F' D R B U L2
D2 F2 R B R' U
F' D2 R F2 B U
F' D2 R B F2 U
F D2 F2 R B U
R B R2 F' R U
U2 B2 L F L' U'
D B' U F L2 R F'
D B' U F R L2 F'
D B' U F R F' L2
B' F' R B U D L2
B' F' R B U2 B2 U'
B' F' R B D U L2
B' F' R B D2 F2 U
F' B' R B U D L2
F' B' R B U2 B2 U'
F' B' R B D U L2
F' B' R B D2 F2 U
B2 F' R B U2 B' U'
B F' R2 F' R' B U
U2 B' D2 B' L F U'
D2 B' F2 U2 L F U'
U2 B2 L F L' U' D
U2 B2 L F L' U' D'
U2 B2 L F L' U' D2
U2 B2 L F L' D U'
U2 B2 L F L' D' U'
U2 B2 L F L' D2 U'
U2 B2 L F D L' U'
U2 B2 L F D' L' U'
U2 B2 L F D2 L' U'
U2 B2 L2 F L' F U'
L' B2 R' F L' F2 U'
L' B2 R' F' U2 R U
D B2 R B U L2 F'
D B2 R B U F' L2
F' B2 R B U2 B' U'
D B2 U L2 F R F'
D B2 U F L2 R F'
D B2 U F R L2 F'
D B2 U F R F' L2
U2 B2 U' D F R F'
U2 B2 D U' F R F'
L' B2 F L' R' F' U'
L' B2 F R' L' F' U'
B F2 U2 B L F U'
U2 B2 F L F L2 U'
U2 B2 F L' U2 B' U
L' B2 F2 R' F' L' U'
U2 B2 F' U2 R B U
U B2 F L' U' R B2
U B2 F L' U' B2 R
