L' U' F' B' U2 R
L U' F' U2 R F2
L' U' B' F' U2 R
U' F' U' L' U' R
L' U' B' F' D' U2 R
L' U' B' F' D2 U2 R
L U' B' F' U2 R F2
L U' B2 F' U2 R F2
R' U2 R' U' F' B R
R' U2 R' U' B F' R
D2 R2 L U F B R'
D2 R2 L U B R' F
D2 R2 L U B F R'
D' R2 L B' U F B2
D' R2 L B' U B2 F
D R2 L U F B R
D R2 L U B F R
F' R2 U F U R' F'
U2 R2 U' F' B R F'
U2 R2 U' B R F' R
U2 R2 U' B F' R F'
F' R2 U2 R' F' D' L2
U2 R2 F' U' B R F'
L D R2 U F B R
L D R2 U B F R
F' U R2 F U R' F'
R2 D' L B' U F B2
R2 D' L B' U B2 F
F' U F U R' F' R
F' U B' R' F U R2
D' U' F' U' L' F U'
U' D' F' U' L' F U'
R2 D2 L U F B R'
R2 D2 L U B R' F
R2 D2 L U B F R'
B' U' F' U' L' U' R
B2 U' F' U' L' U' R
B U' F' U' L' U' R
L D2 R2 U F B R'
L D2 R2 U B R' F
L D2 R2 U B F R'
L2 D2 U R2 B R' F'
L' D2 U' F' B' L U2
L' D2 U' B' L F' U2
L' D2 U' B' F' L U2
L D2 U R2 F B R'
L D2 U R2 B R' F
L D2 U R2 B F R'
F' U2 R' F' R2 D' L2
F2 U2 D' L2 B' R' F'
U' F L' F2 U' L' U'
U' F' L U' L2 U' R
U' F' L U2 R D F2
U' F' L U2 D R F2
U' F' L D U2 R F2
U' F' L D' B2 U2 R
U' F' L2 U' L U' R
F2 D F R2 U2 R' F'
U' F' U' L' U' R D
U' F' U' L' U' R D'
U' F' U' L' U' R D2
U' F' U' L' U' D R
U' F' U' L' U' D' R
U' F' U' L' U' D2 R
U' F' U' L' D U' R
U' F' U' L' D' U' R
U' F' U' L' D2 U' R
U' F' U' D L' U' R
U' F' U' D' L' U' R
U' F' U' D2 L' U' R
U' F' U2 R U L' U'
F2 D' L F L R B'
F2 D' L F L B' R
F2 D' L F R L B'
U' F' D U' L' U' R
U' F' D' U' L' U' R
U' F' D2 U' L' U' R
U' F' B U' L' U' R
U' F' B' U' L' U' R
U' F' B2 U' L' U' R
F2 D' U2 L2 B' R' F'
U' F2 D F U2 R F'
L' F2 D' L2 F R B'
L' F2 D' L2 F B' R
L' F2 D' L2 B' F R
L' B U' F' B2 U2 R
L' B U' B2 F' U2 R
L B U' F' U2 R F2
U' B F' U' L' U' R
L B' U' F' U2 R F2
U' B' F' U' L' U' R
L' B2 R2 U F' B R
L' B2 R2 U B F' R
L' B2 U R2 F' B R
L' B2 U R2 B F' R
L' B2 U' F' B U2 R
L' B2 U' B F' U2 R
L B2 U' F' U2 R F2
U' B2 F' U' L' U' R
