L' R U B U F
L R B' U B2 U
L R B' U2 D' R2
L R B' D L2 U2
L R B' D' U2 R2
R L B' U B2 U
R L B' U2 D' R2
R L B' D L2 U2
R L B' D' U2 R2
R L' U B U F
R U D' B R' U
D' R U B R' U
D2 R U B U F'
R D' U B R' U
L B' R U B U
R L' U B D U F
R L' U B D' U F
R L' U B D2 U F
D2 L' R U B U F'
D' L' R U B R' U
R L' U2 R2 F D R2
B' L' R U B U F
B2 L' R U B U F
R L' U2 F U' B U
B L' R U B U F
R L' D U B U F
R L' D' U B U F
R L' D2 U B U F
L R' B' R2 U B U
R L' B' U B2 U F
R L' B' U2 D' R2 F
R L' B' U2 D' F R2
R L' B' U2 F D' R2
R L' B' D L2 B' U2
R L' B' D' U2 R2 F
R L' B' D' U2 F R2
R L' B2 U B' U F
R L2 U B U2 L U'
U2 L' F2 L' D F' R
R L2 U B' R' B2 U
L R2 D R' B' L U2
D2 L2 R U B U F'
D' L2 R U B R' U
R L2 B2 U B' R' U
D2 R L U B U F'
D' R L U B R' U
R U D' B R' U D
R U D' B R' U D'
R U D' B R' U D2
R U D' B R' D U
R U D' B R' D' U
R U D' B R' D2 U
R U D' B D R' U
B' R L B' U B2 U
R U D' B D' R' U
B' R L B' U2 D' R2
R U D' B D2 R' U
B' R L B' D L2 U2
B' R L B' D' U2 R2
D2 R L' U B U F'
D' R L' U B R' U
B' R L' U B U F
B2 R L B' U B2 U
B2 R L B' U2 D' R2
B2 R L B' D L2 U2
B2 R L B' D' U2 R2
B2 R L' U B U F
B R L B' U B2 U
B R L B' U2 D' R2
B R L B' D L2 U2
B R L B' D' U2 R2
B R L' U B U F
R U D2 B R U F'
D2 R L2 U B U F'
D' R L2 U B R' U
D2 R U D B U F'
D2 R U D' B U F'
D2 R U D2 B U F'
B' R U D' B R' U
B2 R U D' B R' U
D2 R U B U D F'
D2 R U B U D' F'
D2 R U B U D2 F'
D2 R U B U F' D
D2 R U B U F' D'
D2 R U B U F' D2
D2 R U B D U F'
D2 R U B D' U F'
D2 R U B D2 U F'
D' R U B R' U D
D' R U B R' U D'
D' R U B R' U D2
D' R U B R' D U
D' R U B R' D' U
D' R U B R' D2 U
D' R U B D R' U
D' R U B D' R' U
D' R U B D2 R' U
L' U F2 U L' F' R
B R U D' B R' U
D R U D2 B R' U
D2 R U2 F' U' B U
R U B U L' F L
R U B U2 L' U' F
R U B D2 R U F'
D2 R D U B U F'
D2 R D' U B U F'
B' R D' U B R' U
B2 R D' U B R' U
B R D' U B R' U
D2 R D2 U B U F'
D R D2 U B R' U
R U' L' U2 B U F
D' R B U R' U R
D' R B' U B2 R' U
D2 R B' U B2 U F'
D2 R B' U2 D' F' R2
D2 R B' U2 F' D' R2
D2 R B' D L2 U2 F'
D2 R B' D' U2 F' R2
D2 R B2 U B' U F'
D2 R' B R2 U B U
R U2 D2 R D' F' R
D R2 D R' B U2 R'
D2 R2 D' R' U2 F' R
L' D R U B U F
L D R B' U B2 U
L D R B' U2 D' R2
L D R B' D L2 U2
L D R B' D' U2 R2
F2 U L' D2 F R B2
F2 U L' D2 F B2 R
F2 U L' D2 B2 F R
L D B' R U B U
R D' L U B R' U
R D' L' U B R' U
L' D' R U B U F
R D' L2 U B R' U
F U F' L' R U2 F
F U F' R L' U2 F
L D' R B' U B2 U
L D' R B' U2 D' R2
L D' R B' D L2 U2
L D' R B' D' U2 R2
R D' U B R' U D
R D' U B R' U D'
R D' U B R' U D2
R D' U B R' D U
R D' U B R' D' U
R D' U B R' D2 U
R D' U B D R' U
R D' U B D' R' U
R D' U B D2 R' U
R D' B U R' U R
L D' B' R U B U
R D' B' U B2 R' U
L' D2 R U B U F
R2 D2 R' D' B U2 R'
L D2 R B' U B2 U
L D2 R B' U2 D' R2
L D2 R B' D L2 U2
L D2 R B' D' U2 R2
R D2 U B R U F'
R D2 U2 R D' F' R
L D2 B' R U B U
U F U L' R F L'
U F U R L' F L'
U F U R F L' F
B' D' R U B R' U
B2 D' R U B R' U
B D' R U B R' U
U2 F2 L' U' B' U F
U2 F2 L' F U' B' U
U F2 U L' F' R F2
B' D2 R U B U F'
B2 D2 R U B U F'
B D2 R U B U F'
U' F2 B' U' L' R' F
U' F2 B' U' L' F R'
U' F2 B' U' R' L' F
D2 B R U B U F'
D' B R U B R2 U
R B L B' U B U
L' B R U B U F
U' B U L R B' U2
U' B U L B' R U2
U' B U R L B' U2
L B R B2 U B' U
L B' L R U B U
R B' L D L2 U2 F
R B' L D B' L2 U2
D2 B' R U B U F'
L B' L' R U B U
R B' L D' B' U2 R2
L' B' R U B U F
R B' L B' U B' U
R B' L' U B2 U F
R B' L' U2 D' R2 F
R B' L' U2 D' F R2
R B' L' U2 F D' R2
R B' L' D L2 B' U2
L B' L2 R U B U
R B' L' D' U2 R2 F
R B' L' D' U2 F R2
L B' R L U B U
L B' R L' U B U
L B' R L2 U B U
L B' R U D B U
L B' R U D' B U
L B' R U D2 B U
L B' R U B U D
L B' R U B U D'
L B' R U B U D2
L B' R U B D U
L B' R U B D' U
L B' R U B D2 U
L B' R D U B U
L B' R D' U B U
L B' R D2 U B U
U' B' U' F2 L' R' F
U' B' U' F2 L' F R'
U' B' U' F2 R' L' F
L B' D R U B U
L B' D' R U B U
L B' D2 R U B U
U' B' F2 U' L' R' F
U' B' F2 U' L' F R'
U' B' F2 U' R' L' F
D2 B2 R U B U F'
L' B2 R U B U F
