U2 L U L' F2 B
U2 L U L' B F2
U L U F2 B R
U2 L U B L' F2
U L U B F2 R
U2 L' U L F2 B
U2 L' U L B F2
U2 L' U F2 L B
U2 L2 U L2 F2 B
U2 L2 U L2 B F2
U2 L2 U F2 L2 B
U2 L2 U F2 B L2
U2 L2 U B L2 F2
U2 L2 U B F2 L2
R U R' U2 F2 B
R U R' U2 F2 B
R U R' U2 B F2
R2 U R2 U2 F2 B
R2 U R2 U2 B F2
R2 U F' R2 B U2
U' R U' R' F2 B
U' R U' R' B F2
U' R U' F2 R' B
B' R U' F2 B2 L
B' R U' B2 L F2
B' R U' B2 F2 L
R2 U' F2 D2 L2 B'
B' R' U' F2 L' B2
B' R' U' F2 B2 L'
B' R' U' B2 F2 L'
B2 R' U' F2 B' L'
B2 R' U' B' F2 L'
B R' F2 L' D R2
B R' F2 D L' R2
B R' F2 D R2 L'
U' R2 U' R2 F2 B
U' R2 U' R2 B F2
F' U' F U' F2 B
F' U' F U' B F2
B' U' F2 B2 D L2
F U' F' U' F2 B
F U' F' U' B F2
B' U' B2 F2 D L2
F' U2 F' D B R2
F' U2 F' B D R2
F U2 F D B R2
F U2 F B D R2
B' U2 F2 B2 D' R2
F' U2 B F' D R2
F U2 B F D R2
F U2 B F D R2
B' U2 B2 F2 D' R2
F2 D B R2 D2 L2
U' F2 B U B' U'
U2 F2 B U' B' U
U' F2 B2 D B' L2
U2 F2 B2 D' R2 B'
U2 F2 B2 D' B' R2
U' B U B' U' F2
U2 B U' B' U F2
U' B F2 U B' U'
U2 B F2 U' B' U
F2 B D R2 D2 L2
B F2 D R2 D2 L2
U' B2 F2 D B' L2
U2 B2 F2 D' R2 B'
U2 B2 F2 D' B' R2
B' R' U' F2 B2 L' D
B' R' U' F2 B2 L' D'
B' R' U' F2 B2 L' D2
B' R' U' F2 B2 D L'
B' R' U' F2 B2 D' L'
B' R' U' F2 B2 D2 L'
R2 U' F2 D2 B L2 B'
R2 U' F2 D2 B' L2 B'
R2 U' F2 D2 B2 L2 B'
B' R' U' B F2 L' B
R2 U' F2 B D2 L2 B'
L' U' B U B' U' F2
B' R' U' B2 L F2 L'
B' R' U' B2 L' F2 L'
B' R' U' B2 L2 F2 L'
R2 U' F2 B' D2 L2 B'
R U' F2 U2 R' U2 B
B2 R' U' F2 D B' L'
B' R' U' B2 F2 L' D
B' R' U' B2 F2 L' D'
B' R' U' B2 F2 L' D2
B' R' U' B2 F2 D L'
B' R' U' B2 F2 D' L'
B' R' U' B2 F2 D2 L'
B2 R' U' F2 D' B' L'
B2 R' U' F2 D2 B' L'
R2 U' F2 B2 D2 L2 B'
B2 R' U' F2 B L' B2
B2 R' U' F2 B' L' D
B2 R' U' F2 B' L' D'
B2 R' U' F2 B' L' D2
B2 R' U' F2 B' D L'
B2 R' U' F2 B' D' L'
B2 R' U' F2 B' D2 L'
B2 R' U' F2 B2 L' B
B2 R' U' B F2 L' B2
B2 R' U' B' L F2 L'
B2 R' U' B' L' F2 L'
B2 R' U' B' L2 F2 L'
L U' F2 B U B' U'
B2 R' U' B' F2 L' D
B2 R' U' B' F2 L' D'
B2 R' U' B' F2 L' D2
B2 R' U' B' F2 D L'
B2 R' U' B' F2 D' L'
B2 R' U' B' F2 D2 L'
R U' F2 D2 B2 L B'
B2 R' U' B2 F2 L' B
R' U' B F2 L' D' B2
L U' F2 B2 D B' L2
L2 U' B U B' U' F2
R U' F2 B2 D2 L B'
L' U' B F2 U B' U'
L U' B U B' U' F2
L2 U' B F2 U B' U'
R2 U' B F2 D2 L2 B'
L U' B F2 U B' U'
R2 U' B' F2 D2 L2 B'
L' U' B2 F2 D B' L2
L' U2 L U L' F2 B
L' U2 L U L' B F2
L' U2 L U B L' F2
L2 U' B2 F2 D B' L2
L2 U2 L U L' F2 B
L2 U2 L U L' B F2
R2 U' B2 F2 D2 L2 B'
L2 U2 L U B L' F2
L U' B2 F2 D B' L2
R U' B2 F2 D2 L B'
L U2 L U L' F2 B
L U2 L U L' B F2
R' U2 L' U F2 B' L'
R' U2 L' U B' F2 L'
L U2 L U B L' F2
L' U2 L' U L F2 B
L' U2 L' U L B F2
L' U2 L' U F2 L B
L2 U2 L' U L F2 B
L2 U2 L' U L B F2
L2 U2 L' U F2 L B
L U2 L' U L F2 B
L U2 L' U L B F2
L U2 L' U F2 L B
L' U2 L2 U L2 F2 B
L' U2 L2 U L2 B F2
L' U2 L2 U F2 L2 B
L' U2 L2 U F2 B L2
L' U2 L2 U B L2 F2
L' U2 L2 U B F2 L2
L2 U2 L2 U L2 F2 B
L2 U2 L2 U L2 B F2
L2 U2 L2 U F2 L2 B
L2 U2 L2 U F2 B L2
L2 U2 L2 U B L2 F2
L2 U2 L2 U B F2 L2
L U2 L2 U L2 F2 B
L U2 L2 U L2 B F2
L U2 L2 U F2 L2 B
L U2 L2 U F2 B L2
L U2 L2 U B L2 F2
L U2 L2 U B F2 L2
B' R' F2 L' B2 D R2
B R' F2 L' R D R2
B R' F2 L' R' D R2
B R' F2 L' R2 D R2
B R' F2 L' U F2 U'
B R' F2 L' D R2 D
B R' F2 L' D R2 D'
B R' F2 L' D R2 D2
B R' F2 L2 D L R2
B R' F2 L2 D R2 L
B R' F2 R L' D R2
B R' F2 R D L' R2
B R' F2 R D R2 L'
B2 R' F2 D R2 B' L'
B R' F2 R' L' D R2
B R' F2 R' D L' R2
B R' F2 R' D R2 L'
B2 R' F2 D B' L' R2
B2 R' F2 D B' R2 L'
B' R' F2 B2 L' D R2
B R' F2 R2 L' D R2
B R' F2 R2 D L' R2
B R' F2 R2 D R2 L'
B' R' F2 B2 D L' R2
B' R' F2 B2 D R2 L'
B2 R' F2 B' L' D R2
B2 R' F2 B' D L' R2
B2 R' F2 B' D R2 L'
B R' F2 D L' R2 D
B R' F2 D L' R2 D'
B R' F2 D L' R2 D2
B R' F2 D R2 L' D
B R' F2 D R2 L' D'
B R' F2 D R2 L' D2
B R' F2 D R2 D L'
B R' F2 D R2 D' L'
B R' F2 D R2 D2 L'
B R' F2 D2 L' D' R2
B' R' B U' F2 L' B
B' R' B U' F2 B L'
B' R' B U' B F2 L'
B2 R' B U' F2 L' B2
B2 R' B U' F2 B2 L'
B2 R' B U' B2 F2 L'
B R' B U' F2 B' L'
B R' B U' B' F2 L'
B' R' B' U' F2 B' L'
B' R' B' U' B' F2 L'
B R' B' U' F2 L' B
B R' B' U' F2 B L'
B R' B' U' B F2 L'
B2 R' B' F2 L' D R2
B2 R' B' F2 D L' R2
B2 R' B' F2 D R2 L'
B2 R' B2 U' F2 L' B
B2 R' B2 U' F2 B L'
B2 R' B2 U' B F2 L'
B' R' B2 F2 L' D R2
B' R' B2 F2 D L' R2
B' R' B2 F2 D R2 L'
U' R2 L U' R2 F2 B
U' R2 L U' R2 B F2
B R' B2 U' F2 L' B2
B R' B2 U' F2 B2 L'
B R' B2 U' B2 F2 L'
U' R2 L' U' R2 F2 B
U' R2 L' U' R2 B F2
D' R2 L2 U R2 U2 B
D' R2 L2 U F' R2 U2
U' R2 L2 U' R2 F2 B
U' R2 L2 U' R2 B F2
U2 R2 L2 U F2 L2 B'
D2 R2 U R2 B2 U2 B'
B' R2 U R2 U2 F2 B2
B' R2 U R2 U2 B2 F2
D2 R2 U F' R2 B2 U2
B2 R2 U R2 U2 F2 B'
B2 R2 U R2 U2 B' F2
D2 R2 U F' B2 R2 U2
U' R2 U F' U2 F' R2
D2 R2 U B2 R2 U2 B
D2 R2 U B2 F' R2 U2
D R2 U F' R2 U2 F
U' R2 U' R' F2 R' B
L' U2 F2 B U' B' U
U' R2 U' R2 F2 D B
U' R2 U' R2 F2 D' B
U' R2 U' R2 F2 D2 B
U' R2 U' R2 F2 B D
U' R2 U' R2 F2 B D'
U' R2 U' R2 F2 B D2
U' R2 U' R2 B F2 D
U' R2 U' R2 B F2 D'
U' R2 U' R2 B F2 D2
D2 R2 U' D2 F2 L2 B'
L' U2 F2 B2 D' R2 B'
L' U2 F2 B2 D' B' R2
L2 U2 F2 B U' B' U
B2 R2 U' D2 B' L2 F
B' R2 U' F2 B2 D2 L2
U' R2 U' B R2 F2 B
U' R2 U' B R2 B F2
U' R2 U' B' R2 F2 B
U' R2 U' B' R2 B F2
L2 U2 F2 B2 D' R2 B'
L2 U2 F2 B2 D' B' R2
U' R2 U' B2 R2 F2 B
U' R2 U' B2 R2 B F2
B2 R2 U' F2 D2 B' L2
B' R2 U' B2 F2 D2 L2
B2 R2 U' F2 B' D2 L2
D R2 U' R2 U2 B R2
L' U2 B U' B' U F2
B2 R2 U' B' F2 D2 L2
D R2 U' F' R2 U2 R2
L U2 F2 B U' B' U
L2 U2 B U' B' U F2
L' U2 B F2 U' B' U
L U2 F2 B2 D' R2 B'
L U2 F2 B2 D' B' R2
L2 U2 B F2 U' B' U
L U2 B U' B' U F2
L U2 B F2 U' B' U
F2 R2 D R2 D L2 B
F2 R2 D R2 D B L2
L' U2 B2 F2 D' R2 B'
L' U2 B2 F2 D' B' R2
U' R2 D' F2 L2 U' B'
L2 U2 B2 F2 D' R2 B'
L2 U2 B2 F2 D' B' R2
D2 R2 D2 U' F2 L2 B'
F2 R2 D2 L2 D' R2 B
L U2 B2 F2 D' R2 B'
L U2 B2 F2 D' B' R2
B2 R2 D2 U' B' L2 F
U R2 F' U F U F2
U R2 F' U2 F' D' L2
B R2 F2 D R2 D L2
B R2 F2 D2 L2 D' R2
B' U L U F2 R B2
B' U L U F2 B2 R
B' U L U B2 F2 R
