U2 L' F' U' B'
U2 L' R U' B' R'
U2 L' D F' U' B'
U2 L' D' F' U' B'
U2 L' D2 F' U' B'
U2 L' F' R U' B'
U2 L' F' R' U' B'
U2 L' F' R2 U' B'
U2 L' F' U' D B'
U2 L' F' U' D' B'
U2 L' F' U' D2 B'
U2 L' F' U' B' D
U2 L' F' U' B' D'
U2 L' F' U' B' D2
U2 L' F' D U' B'
U2 L' F' D' U' B'
U2 L' F' D2 U' B'
U2 L2 F' L U' B'
U2 R L' U' B' R'
U2 D L' F' U' B'
U2 D' L' F' U' B'
D2 U2 L' F' U' B'
U2 D2 L' F' U' B'
D' U2 L' F' U' B'
D U2 L' F' U' B'
B2 U2 L' F' U' B'
B' U2 L' F' U' B'
B U2 L' F' U' B'
B U2 L' F' R2 U' B'
B U2 L' F' U' D B'
B U2 L' F' U' D' B'
B U2 L' F' U' D2 B'
B U2 L' F' U' B' D
B U2 L' F' U' B' D'
B U2 L' F' U' B' D2
B U2 L' F' D U' B'
B U2 L' F' D' U' B'
B U2 L' F' D2 U' B'
B2 U2 L2 F' L U' B'
B' U2 R L' U' B' R'
B2 U2 R L' U' B' R'
B U2 L2 F' L U' B'
B U2 R L' U' B' R'
B' U2 D L' F' U' B'
B2 U2 D L' F' U' B'
B' U2 D' L' F' U' B'
B2 U2 D' L' F' U' B'
B U2 D L' F' U' B'
B' U2 D2 L' F' U' B'
B2 U2 D2 L' F' U' B'
B U2 D' L' F' U' B'
B U2 D2 L' F' U' B'
L' F R F2 U' B L
B' D U2 L' F' U' B'
B2 D U2 L' F' U' B'
B D U2 L' F' U' B'
L' F' R U2 F U B
L F' L2 R B' U' B2
L F' L2 B' R U' B
L F' R L2 B' U' B2
L' F' U2 F L' U B'
U2 F' D' L' U' F B'
U2 F' D' L' U' B' F
B' D' U2 L' F' U' B'
B2 D' U2 L' F' U' B'
B D' U2 L' F' U' B'
B' D2 U2 L' F' U' B'
B2 D2 U2 L' F' U' B'
B D2 U2 L' F' U' B'
R2 B R' U2 L' U' B
R2 B R2 U2 L' U' B'
L2 B R2 B R' U B
D2 B U2 L' F' U' B'
D' B U2 L' F' U' B'
U B U L' F' U' B'
R2 B U2 L' R' U' B
R2 B U2 R' L' U' B
D B U2 L' F' U' B'
U2 B' L' F' B U' B2
U2 B' L' B F' U' B2
R2 B' L2 B2 R' U B
U' B' U' L' F' R' U'
D2 B' U2 L' F' U' B'
D' B' U2 L' F' U' B'
U B' U L' F' U' B'
L2 B' U2 F' L' U' B'
D B' U2 L' F' U' B'
U2 B2 L' F' B2 U' B
U2 B2 L' B2 F' U' B
D2 B2 U2 L' F' U' B'
D' B2 U2 L' F' U' B'
U B2 U L' F' U' B'
D B2 U2 L' F' U' B'
