D L2 R2 U' B R'
D L2 U' R2 B R'
R2 U B2 U2 B' R'
D R2 L2 U' B R'
B2 D' F' R2 U2 R'
U B2 D' F' U2 R
R2 F2 U B2 U2 B' R'
F D2 L' F U' F B2
F D2 L' F U' B2 F
U F2 B2 D' F L' U2
U' B D R2 F' B R'
U' B D R2 B F' R'
U' B D' R2 F' B R
U' B D' R2 B F' R
U B D F' B U2 R'
U B D B F' U2 R'
U B D' F' B U2 R
U B D' B F' U2 R
U B F' D B U2 R'
D' B' R2 F' U B R
B2 F' R U' F' B2 U'
B2 F' R U' B2 F' U'
U B' D F' B' L U2
U B' D B' L F' U2
U B' D B' F' L U2
U B' D' F' B' U2 R
U B' D' B' F' U2 R
U B' F' D B' L U2
U B2 L D' F' U2 R
U B2 L' D' F' U2 R
U B2 L2 D' F' U2 R
F' B2 R U' F' B2 U'
F' B2 R U' B2 F' U'
R2 B2 U' B2 U' B R'
U B2 U2 D R2 B R'
L' B2 D' F' R2 U2 R'
D B2 D F2 L2 B' R'
L2 B2 D' F' R2 U2 R'
U B2 D U2 R2 B R'
U B2 D' L F' U2 R
U B2 D' L' F' U2 R
U B2 D' L2 F' U2 R
U B2 D' F L' F2 U2
L B2 D' F' R2 U2 R'
U B2 D' F' L U2 R
U B2 D' F' L' U2 R
U B2 D' F' L2 U2 R
U B2 D' F' U2 R D
U B2 D' F' U2 R D'
U B2 D' F' U2 R D2
U B2 D' F' U2 D R
U B2 D' F' U2 D' R
U B2 D' F' U2 D2 R
U B2 D' F' D U2 R
U B2 D' F' D' U2 R
U B2 D' F' D2 U2 R
B2 F2 D' R2 F L' U2
F2 B2 D' R2 F L' U2
B2 F2 D' F L' R2 U2
B2 F2 D' F R2 L' U2
F2 B2 D' F L' R2 U2
F2 B2 D' F R2 L' U2
U B2 F2 D' F L' U2
