U2 L B' L R' U'
U2 L B' R' L U'
D L' U F L' B'
D2 R F' L' R U
D2 R F' R L' U
L U2 B' L R' U'
L U2 B' R' L U'
U D L' F B' L'
D U L' F B' L'
U D L' B' F L'
D U L' B' F L'
D U F L' F B'
D U F L' B' F
U D F L' F B'
U D F L' B' F
F' D L' U F L'
D2 F' L' R F' U
D2 F' R L' F' U
U2 B' L R' B' U'
U2 B' R' L B' U'
F U2 B' R L B' U'
L' F U2 D' R U' F'
F' D L' R U F L'
F' D L' R' U F L'
F' D L' R2 U F L'
F' D L' U F L' D
F' D L' U F L' D'
F' D L' U F L' D2
F' D L' U F D L'
F' D L' U F D' L'
F' D L' U F D2 L'
F' D L' F' U F2 L'
D F U2 R U' L' F
L F U2 R B' L U'
L F U2 B' L R U'
L' F D' U2 R U' F'
L F U2 B' R L U'
F' D R L' U F L'
U F D L' F B' L'
U F D L' B' F L'
U F D F L' F B'
U F D F L' B' F
F' D R' L' U F L'
F' D R2 L' U F L'
D2 F' L R F' L2 U
D2 F' L' R D F' U
D2 F' L' R D' F' U
D2 F' L' R D2 F' U
D2 F' L' R F' U D
D2 F' L' R F' U D'
D2 F' L' R F' U D2
D2 F' L' R F' D U
D2 F' L' R F' D' U
D2 F' L' R F' D2 U
D2 F' L2 R F' L U
L2 F' L' U2 B' L U'
F' D F U L' F B'
F' D F U L' B' F
D F' L' U F2 L' F'
D F' L' U' R U2 F
D2 F' R L F' L2 U
D2 F' R L' D F' U
D2 F' R L' D' F' U
D2 F' R L' D2 F' U
D2 F' R L' F' U D
D2 F' R L' F' U D'
D2 F' R L' F' U D2
D2 F' R L' F' D U
D2 F' R L' F' D' U
D2 F' R L' F' D2 U
D F' L' F2 U L' F'
D2 F' R L2 F' L U
D2 F' R D L' F' U
D2 F' R D' L' F' U
D2 F' R D2 L' F' U
R' F' D L' U F L'
R2 F' D L' U F L'
U F' D L' F B' L'
U F' D L' B' F L'
D2 F' D2 L' R F U
D' F' D2 L' U F L'
D2 F' D2 R L' F U
R F' D L' U F L'
U F' D F L' F B'
U F' D F L' B' F
F' D2 L' R F' R U
F' D2 L' F' R F' U
F' D2 R L' F' R U
U F2 D L' F B' L'
U F2 D L' B' F L'
U F2 D F L' F B'
U F2 D F L' B' F
F D2 F' R F' L' U
F' B R' B' L' F U
U2 B' L R B' R2 U'
U2 B' L R' D B' U'
U2 B' L R' D' B' U'
U2 B' L R' D2 B' U'
U2 B' L R' B' U' D
U2 B' L R' B' U' D'
U2 B' L R' B' U' D2
U2 B' L R' B' D U'
U2 B' L R' B' D' U'
U2 B' L R' B' D2 U'
U2 B' L R2 B' R U'
U2 B' L D R' B' U'
U2 B' L D' R' B' U'
U2 B' L D2 R' B' U'
L B' L U2 B L U
U2 B' R L B' R2 U'
U2 B' R' L D B' U'
U2 B' R' L D' B' U'
U2 B' R' L D2 B' U'
U2 B' R' L B' U' D
U2 B' R' L B' U' D'
U2 B' R' L B' U' D2
U2 B' R' L B' D U'
U2 B' R' L B' D' U'
U2 B' R' L B' D2 U'
U2 B' R2 L B' R U'
U' B' U' L B' R' U'
U B' U L B' R' U'
B F' R' B' L' F U
U2 B' D2 L R' B U'
U2 B' D2 R' L B U'
