D2 F2 R B U'
L' B2 R' F' U
U2 L F L2 B2 U
U2 L F B2 L2 U
U2 L B2 F L2 U
L' R' F' B2 R' U
R' L' F' B2 R' U
L' R' B2 F' R' U
R' L' B2 F' R' U
U2 L' B2 U2 B U'
F2 R D' B U' R2
F2 R D2 F2 B U'
F2 R D2 B F2 U'
D2 R F2 B R U'
F2 R B U2 B U
D2 R B F2 R U'
R' U2 L' F' B2 U
R' U2 L' B2 F' U
R' U2 B2 L' F' U
R D2 F2 B R U'
R D2 B F2 R U'
L' F B2 R' F' U
L' F' B2 R' F' U
F2 D' R B U' R
D2 F2 R D B U'
D2 F2 R D' B U'
D2 F2 R D2 B U'
D2 F2 R B U' D
D2 F2 R B U' D'
D2 F2 R B U' D2
D2 F2 R B D U'
D2 F2 R B D' U'
D2 F2 R B D2 U'
D' F2 R B U' R
D2 F2 D R B U'
D2 F2 D' R B U'
L' F2 B2 R' F' U
D2 F2 D2 R B U'
F2 D2 R F2 B U'
F2 D2 R B F2 U'
D2 F2 B R B U'
D2 F2 B' R B U'
D2 F2 B2 R B U'
R B U2 L' B U
R B U2 B L' U
D2 B F2 R B U'
D2 B' F2 R B U'
U2 B2 L F L2 U
L' B2 R' D F' U
L' B2 R' D' F' U
U2 B2 L' U2 B' U'
L' B2 R' D2 F' U
L' B2 R' F' U D
L' B2 R' F' U D'
L' B2 R' F' U D2
L' B2 R' F' D U
L' B2 R' F' D' U
L' B2 R' F' D2 U
L' B2 D R' F' U
L' B2 D' R' F' U
L' B2 D2 R' F' U
L' B2 F R' F' U
L' B2 F' R' F' U
L' B2 F2 R' F' U
D2 B2 F2 R B U'
L' B2 R' D2 F' D' U
L' B2 R' D2 F' D2 U
L' B2 R' F U D' L2
L' B2 R' F D' U L2
L' B2 R' F2 D F U
L' B2 R' F2 D' F U
L' B2 R' F2 D2 F U
B' F2 R B U' D' R2
B' F2 R B U2 B2 U
B' F2 R B D' U' R2
B' F2 R B D2 F2 U'
B2 F2 R B U2 B' U
F2 B2 R B U2 B' U
B F2 R D B U' R'
U2 B2 U B L D' B2
U' B2 D L' F U F'
L' B2 D R' D F' U
L' B2 D R' D' F' U
L' B2 D R' D2 F' U
L' B2 D R' F' U D
L' B2 D R' F' U D'
L' B2 D R' F' U D2
L' B2 D R' F' D U
L' B2 D R' F' D' U
L' B2 D R' F' D2 U
B F2 R2 F' R' B U'
L' B2 D F R' F' U
L' B2 D F' R' F' U
L' B2 D F2 R' F' U
U2 B2 D L F L2 U
U2 B2 D L' U2 B' U'
L' B2 D' R' D F' U
L' B2 D' R' D' F' U
L' B2 D' R' D2 F' U
L' B2 D' R' F' U D
L' B2 D' R' F' U D'
L' B2 D' R' F' U D2
L' B2 D' R' F' D U
L' B2 D' R' F' D' U
L' B2 D' R' F' D2 U
L' B2 D' F R' F' U
D' B2 D' F2 R B U'
L' B2 D' F' R' F' U
L' B2 D' F2 R' F' U
U2 B2 D' L F L2 U
U2 B2 D' L' U2 B' U'
D B2 D F2 R B U'
L' B2 D2 R' D F' U
L' B2 D2 R' D' F' U
L' B2 D2 R' D2 F' U
L' B2 D2 R' F' U D
L' B2 D2 R' F' U D'
L' B2 D2 R' F' U D2
L' B2 D2 R' F' D U
L' B2 D2 R' F' D' U
L' B2 D2 R' F' D2 U
L' B2 D2 F R' F' U
L' B2 D2 F' R' F' U
L' B2 D2 F2 R' F' U
U2 B2 D2 L F L2 U
U2 B2 D2 L' U2 B' U'
L' B2 F R' D F' U
L' B2 F R' D' F' U
L' B2 F R' D2 F' U
L' B2 F R' F' U D
L' B2 F R' F' U D'
L' B2 F R' F' U D2
L' B2 F R' F' D U
L' B2 F R' F' D' U
L' B2 F R' F' D2 U
L' B2 F D R' F' U
L' B2 F D' R' F' U
L' B2 F D2 R' F' U
L' B2 F' R' D F' U
L' B2 F' R' D' F' U
L' B2 F' R' D2 F' U
L' B2 F' R' F' U D
L' B2 F' R' F' U D'
L' B2 F' R' F' U D2
L' B2 F' R' F' D U
L' B2 F' R' F' D' U
L' B2 F' R' F' D2 U
L' B2 F' D R' F' U
L' B2 F' D' R' F' U
U2 B2 F' L F L' U
L' B2 F' D2 R' F' U
D2 B2 F2 R D B U'
D2 B2 F2 R D' B U'
D2 B2 F2 R D2 B U'
D2 B2 F2 R B U' D
D2 B2 F2 R B U' D'
D2 B2 F2 R B U' D2
D2 B2 F2 R B D U'
D2 B2 F2 R B D' U'
D2 B2 F2 R B D2 U'
D' B2 F2 R B U' R
L' B2 F2 R' D F' U
L' B2 F2 R' D' F' U
L' B2 F2 R' D2 F' U
L' B2 F2 R' F' U D
L' B2 F2 R' F' U D'
L' B2 F2 R' F' U D2
L' B2 F2 R' F' D U
L' B2 F2 R' F' D' U
L' B2 F2 R' F' D2 U
D2 B2 F2 D R B U'
D2 B2 F2 D' R B U'
D2 B2 F2 D2 R B U'
L' B2 F2 D R' F' U
L' B2 F2 D' R' F' U
L' B2 F2 D2 R' F' U
U2 B2 F2 U2 R B U'
