R2 L U' D' F L'
R2 L D' U' F L'
L R B R U' F
R L B R U' F
L R2 U' D' F L'
L R2 D' U' F L'
R2 D' L U' F L'
R2 D2 L B' U' F
R B L R U' F
R B R L U' F
L R2 U' D' F L' D
L R2 U' D' F L' D'
L R2 U' D' F L' D2
L R2 U' D' F D L'
L R2 U' D' F D' L'
L R2 U' D' F D2 L'
L R2 U2 R F' U F2
L' R2 D U B' U2 L
L' R2 D' L2 U' F L'
L R2 D B' U' F L
L' R2 D' U' L2 F L'
L R2 D' U' F L' D
L R2 D' U' F L' D'
L R2 D' U' F L' D2
L R2 D' U' F D L'
L R2 D' U' F D' L'
L R2 D' U' F D2 L'
L R2 D' B U' F L'
L R2 D' B' U' F L'
L R2 D' B2 U' F L'
R L2 D2 B R U' F'
R L2 B L' R U' F
R L2 B R L' U' F
L R2 B U' D' F L'
L R2 B D' U' F L'
R L2 B D2 R U' F'
L R2 B' U' D' F L'
L R2 B' D' U' F L'
L R2 B2 U' D' F L'
L R2 B2 D' U' F L'
B' R L B R U' F
B2 R L B R U' F
B R L B R U' F
D R L B U' F B
D R L B U' B F
B' R B L R U' F
B' R B R L U' F
B2 R B L R U' F
B2 R B R L U' F
D R B L U' F B
D R B L U' B F
B R B L R U' F
B R B R L U' F
L U' D F B L B
L U' D B F L B
L U' D B2 D2 F L'
R2 U' F U' R F' U
L U' F D B L B
L U' F B L D B2
L U' F B D L B2
L U' F B' D B2 L
R2 U' F2 D' L' F L'
R2 U' F2 D' F L' F
R U' B R U' R' F'
L U' B D F L B2
L U' B F L D B2
L U' B F D L B2
L U' B' D F B2 L
L U' B' D B2 F L
L U' B' F D B2 L
R2 U2 R F' R2 U F'
R2 U2 R F' U' B U2
R2 U2 R' U2 B U' F'
B' R2 L U' D' F L'
B' R2 L D' U' F L'
B2 R2 L U' D' F L'
B2 R2 L D' U' F L'
B R2 L U' D' F L'
B R2 L D' U' F L'
B' R2 D' L U' F L'
B2 R2 D' L U' F L'
B R2 D' L U' F L'
B' R2 D2 L B' U' F
B2 R2 D2 L B' U' F
R2 D L U' D2 F L'
R2 D L D2 U' F L'
B R2 D2 L B' U' F
R2 D L B' U' F L
R2 D L' U B' U2 L
R D L B R U' F
L D R B U' F B
L D R B U' B F
L D U' F B L B
L D U' B F L B
L D U' B2 D2 F L'
R D B L R U' F
R D B R L U' F
R2 D B' L' U' L2 F
L D B U' F B L
L D B U' B F L
R2 D B' L2 U' L' F
R2 D' L U' F L' D
R2 D' L U' F L' D'
R2 D' L U' F L' D2
R2 D' L U' F D L'
R2 D' L U' F D' L'
R2 D' L U' F D2 L'
R2 D' L B U' F L'
R2 D' L B' U' F L'
R2 D' L B2 U' F L'
R2 D' L' U' L2 F L'
R D' L B R U' F
R2 D' L2 U' L' F L'
R2 D' L2 U' F L' F
R2 D' B L U' F L'
R D' B L R U' F
R2 D' B' L U' F L'
R D' B R L U' F
R2 D' B2 L U' F L'
R2 D2 L D B' U' F
R2 D2 L D' B' U' F
R2 D2 L D2 B' U' F
R2 D2 L B' U' D F
R2 D2 L B' U' D' F
R2 D2 L B' U' D2 F
R2 D2 L B' U' F D
R2 D2 L B' U' F D'
R2 D2 L B' U' F D2
R2 D2 L B' D U' F
R2 D2 L B' D' U' F
R2 D2 L B' D2 U' F
R D2 L B R U' F
R2 D2 L2 U' F' L' F
R2 D2 B L B' U' F
R D2 B L R U' F
R2 D2 B' L B' U' F
R D2 B R L U' F
R2 D2 B2 L B' U' F
L F U F' R2 U' L'
R' F' U2 R' F U' F2
R' F' U2 F R' U' F'
U' F' B L D F2 B2
U' F' B L D B2 F2
R2 B L U' D' F L'
R2 B L D' U' F L'
D B L U' F B L
D B L U' B F L
R B L R U' D F
R B L R U' D' F
R B L R U' D2 F
R B L R U' F D
R B L R U' F D'
R B L R U' F D2
R B L R D U' F
R B L R D' U' F
R B L R D2 U' F
R B L D R U' F
R B L D' R U' F
R B L D2 R U' F
R B L' R U B' U2
R B L2 D2 R U' F'
R B R L U' D F
R B R L U' D' F
R B R L U' D2 F
R B R L U' F D
R B R L U' F D'
R B R L U' F D2
R B R L D U' F
R B R L D' U' F
R B R L D2 U' F
R B R L' U B' U2
R B R U2 R' U F'
L B R B R U' F
R B R D L U' F
R B R D' L U' F
R B R D2 L U' F
L B R2 U' D' F L'
L B R2 D' U' F L'
R2 B D' L U' F L'
R B D L R U' F
R B D R L U' F
R2 B D2 L B' U' F
U' B F' L D F2 B2
U' B F' L D B2 F2
R B D' L R U' F
R B D' R L U' F
R B D2 L R U' F
R B D2 R L U' F
R2 B' L U' D' F L'
R2 B' L D' U' F L'
R B' L R B2 U' F
R B' L B2 R U' F
R B' R L B2 U' F
L B' R B R U' F
R B' R B2 L U' F
L B' R2 U' D' F L'
L B' R2 D' U' F L'
R2 B' D' L U' F L'
R2 B' D2 L B' U' F
R2 B2 L U' D' F L'
R2 B2 L D' U' F L'
L' B2 R B R U' F'
L B2 R B R U' F
R B2 R B' L U' F
L B2 R2 U' D' F L'
L B2 R2 D' U' F L'
R2 B2 D' L U' F L'
R2 B2 D2 L B' U' F
