U2 L R2 F B U2
U2 L R2 B F U2
R' L F' R' B U2
U2 L F R2 U2 F2
L R' F' R' B U2
D2 L2 F2 R F B
D2 L2 F2 R B F
U2 R2 L F B U2
U2 R2 L B F U2
B R2 B U2 R' B
R2 D2 L B U2 B2
F' U2 L R2 F U2
F' U2 L F R2 U2
F' U2 R2 L F U2
D2 F L2 F2 R B
R' F' L R' B U2
R' F' R' L B U2
B D2 L2 F' R B
B D2 F' L2 R B
B D2 F' R L2 B
B D2 F' R B L2
R2 B U2 R' B R'
R2 B U2 B R' B
U2 F' L' B' D2 L2 R2
U2 F' L' B' D2 R2 L2
D2 F' L2 F2 R F2 B
D2 F' L2 F2 R B F2
R' F' R' L D B U2
R' F' R' L D' B U2
R' F' R' L D2 B U2
R' F' R' L B U2 D
R' F' R' L B U2 D'
R' F' R' L B U2 D2
R' F' R' L B D U2
R' F' R' L B D' U2
R' F' R' L B D2 U2
D2 F' R B2 R' B' L2
R' F' R' L' B L2 U2
R' F' R' L2 B L' U2
R' F' R' D L B U2
R' F' R' D' L B U2
R' F' R' D2 L B U2
U2 F' R2 L F U2 F'
D2 F' R2 B2 L2 R' B
D2 F' R2 B2 R' L2 B
D2 F' R2 B2 R' B L2
L F' R' F' R' U2 F
D2 F' U2 L F U2 L
R' F' D2 L R' B' U2
R' F' D2 R' L B' U2
L' F' D2 L2 R B R
L' F' D2 R L2 B R
L' F' D2 R B L2 R
L' F' D2 R B R L2
L2 F' D2 L2 R B R'
L2 F' D2 R L2 B R'
L2 F' D2 R B L2 R'
L2 F' D2 R B R' L2
D2 F' B L2 R B R'
D2 F' B R L2 B R'
R2 F' D2 L B U2 B2
D2 F' B R B L2 R'
D2 F' B R B R' L2
D2 F' B2 L2 R B R2
R2 F' B U2 R' B R'
R2 F' B U2 B R' B
D2 F' B2 R L2 B R2
D2 F' B2 R B L2 R2
D2 F' B2 R B R2 L2
R F' B2 R' F' B' L'
R F' B2 R' B' F' L'
R' F2 R' F L B U2
L2 F2 R F2 L' F' B
L2 F2 R F2 L' B F'
L2 F2 R F2 B L' F'
L2 F2 R B F2 L' F'
L2 F2 R2 U2 R' F B
L2 F2 R2 U2 R' B F
L2 F2 R2 U2 F R' B
L F2 R' F' R' U2 F2
B D2 L F' L R B
B D2 L F' R L B
F' D2 L2 U2 L' U2 B'
F D2 L B2 R' F' U2
F' D2 L2 F2 R F2 B
F' D2 L2 F2 R B F2
B2 D2 L2 F' R B R2
B D2 L2 F' R D B
B D2 L2 F' R D' B
B D2 L2 F' R D2 B
B D2 L2 F' R B D
B D2 L2 F' R B D'
B D2 L2 F' R B D2
B D2 L2 F' D R B
B D2 L2 F' D' R B
B D2 L2 F' D2 R B
B D2 L2 F' B R B
B D2 L2 F' B' R B
B D2 L2 F' B2 R B
F' D2 R B2 R' B' L2
B D2 L2 B F' R B
B D2 L2 B' F' R B
B D2 L2 B2 F' R B
F D2 L2 D2 F2 R B
L2 F2 D2 R F L2 B
L2 F2 D2 R F B L2
L2 F2 D2 R B F L2
R2 F2 D2 L B U2 B2
F' D2 R2 B2 L2 R' B
F' D2 R2 B2 R' L2 B
F' D2 R2 B2 R' B L2
R2 F2 B U2 R' B R'
R2 F2 B U2 B R' B
F' D2 U2 L F U2 L
R2 B L U2 R' B R'
R2 B L U2 B R' B
R F2 B2 R' B' L' F'
D2 B L2 R B R' F'
B2 D2 F R' F2 L2 B'
D2 B L2 D2 F' R B
R2 B L' U2 R' B R'
R2 B L' U2 B R' B
D2 B L2 F' R B R'
B2 D2 F' L2 R B R2
D2 B R L2 B R' F'
B2 D2 F' R L2 B R2
B2 D2 F' R B L2 R2
B2 D2 F' R B R2 L2
F2 D2 F' L2 F2 R B
R2 B L2 U2 R' B R'
R2 B L2 U2 B R' B
D2 B R B L2 R' F'
D2 B R B R' L2 F'
D2 B R B R' F' L2
F' D2 F2 L2 F2 R B
B D2 F' L' R B L'
B D2 F' L2 R D B
B D2 F' L2 R D' B
B D2 F' L2 R D2 B
B D2 F' L2 R B D
B D2 F' L2 R B D'
B D2 F' L2 R B D2
B D2 F' L2 D R B
B D2 F' L2 D' R B
B D2 F' L2 D2 R B
B D2 F' L2 B R B
B D2 F' L2 B' R B
B D2 F' L2 B2 R B
B D2 F' R L' B L'
B D2 F' R L2 D B
B D2 F' R L2 D' B
B D2 F' R L2 D2 B
B D2 F' R L2 B D
B D2 F' R L2 B D'
B D2 F' R L2 B D2
B D2 F' R B L2 D
B D2 F' R B L2 D'
B D2 F' R B L2 D2
B D2 F' R B' L2 B2
B D2 F' B L2 R B
B D2 F' B R L2 B
B D2 F' B R B L2
B D2 F' B' L2 R B
B D2 F' B' R L2 B
B D2 F' B' R B L2
F' D2 B L2 R B R'
B D2 F' B2 L2 R B
B D2 F' B2 R L2 B
B D2 F' B2 R B L2
F' D2 B R L2 B R'
F' D2 B R B L2 R'
F' D2 B R B R' L2
R' B R2 B L R' F'
R' B R2 B R' L F'
R' B R2 B R' F' L
B D2 B L2 F' R B
R B R B U2 R' B'
L B R' F' R' B U2
B D2 B F' L2 R B
B D2 B F' R L2 B
B D2 B F' R B L2
F' D2 B2 L2 R B R2
F' D2 B2 R L2 B R2
F' D2 B2 R B L2 R2
F' D2 B2 R B R2 L2
R B R' D2 L2 F' R
B D2 B' L2 F' R B
R B R' D2 F' L2 R
R B R' D2 F' R L2
B D2 B' F' L2 R B
B D2 B' F' R L2 B
B D2 B' F' R B L2
B D2 B2 L2 F' R B
R2 B U B U R' B
R2 B U' R' U' B R'
B D2 B2 F' L2 R B
B D2 B2 F' R L2 B
B D2 B2 F' R B L2
R2 B U2 R' B R' D
R2 B U2 R' B R' D'
R2 B U2 R' B R' D2
R2 B U2 R' B D R'
R2 B U2 R' B D' R'
R2 B U2 R' B D2 R'
R2 B U2 B R' D B
R2 B U2 B R' D' B
R2 B U2 B R' D2 B
R2 B U2 B R' B D
R2 B U2 B R' B D'
R2 B U2 B R' B D2
F' B R B R' D2 L2
B2 F R F2 L' B R2
B2 F R F2 B L' R2
B2 F R F2 B R2 L'
B2 F R B F2 L' R2
B2 F R B F2 R2 L'
R2 B D2 L' F L' U2
B F R F2 L' B R'
B F R F2 B L' R'
B F R F2 B R' L'
B F R B F2 L' R'
B F R B F2 R' L'
R2 B D2 F L' F U2
D2 B F' L2 R B R'
D2 B F' R L2 B R'
D2 B F' R B L2 R'
D2 B F' R B R' L2
F B R F2 L' B R'
F B R F2 B L' R'
F B R F2 B R' L'
F B R B F2 L' R'
F B R B F2 R' L'
R2 B F U2 R' B R'
R2 B F U2 B R' B
R2 B F' U2 R' B R'
R2 B F' U2 B R' B
R2 B F2 U2 R' B R'
R2 B F2 U2 B R' B
R B' R B L U2 B
U2 B' R2 B L F U2
L B' R' F' R' B U2
B2 F' R B' R2 B2 L
B2 F' R' U2 F' R' U2
B F' R B R' D2 L2
B2 F' U2 R2 U2 R B
R2 B2 L U2 R' F' B
R2 B2 L U2 R' B F'
B2 F' D2 L2 R B R2
B2 F' D2 R L2 B R2
B2 F' D2 R B L2 R2
B2 F' D2 R B R2 L2
D2 B2 L2 F' R B R2
R2 B2 L2 U2 R' F B
R2 B2 L2 U2 R' B F
R2 B2 L2 U2 F R' B
R B2 R U2 R2 F' B'
R B2 R U2 R2 B' F'
R2 B2 R' B D2 F2 L'
R B2 R B U2 R2 B2
R B2 R B U2 B2 R2
F' B2 R B' R2 B2 L
U2 B2 R2 B U2 R B
L B2 R' F' R' B U2
F' B2 R' U2 F' R' U2
R B2 R' D2 F' B' L2
R B2 R' D2 B' L2 F'
R B2 R' D2 B' F' L2
R B2 R' F' D2 B' L2
R B2 R' F' B' D2 L2
B2 F2 R' F D2 B2 L
R B2 R' B' D2 L2 F'
R B2 R' B' D2 F' L2
R B2 R' B' F' D2 L2
F2 B2 R' F D2 B2 L
F B2 R F2 L' B R2
F B2 R F2 B L' R2
F B2 R F2 B R2 L'
F B2 R B F2 L' R2
F B2 R B F2 R2 L'
R2 B2 U2 R' B D2 F2
F' B2 U2 R2 U2 R B
D2 B2 F R' F2 L2 B'
D2 B2 F' L2 R B R2
D2 B2 F' R L2 B R2
D2 B2 F' R B L2 R2
D2 B2 F' R B R2 L2
F' B2 D2 L2 R B R2
F' B2 D2 R L2 B R2
F' B2 D2 R B L2 R2
F' B2 D2 R B R2 L2
R B2 F' R' F' B' L'
R B2 F' R' B' F' L'
R B2 F2 R' B' L' F'
