L2 R' F' R' B' U'
R' L2 F' R' B' U'
U' L2 R2 B' U' R'
U' L2 B' R2 U' R
U' R2 L2 B' U' R'
L2 D B' U' B' R'
D F U F R B2
D F U F B2 R
D F U B2 F R
L2 B' R' F' R' U'
U' L2 R2 F B' U' R'
R' L2 F' R2 B' R U'
U' L2 R2 F' B' U' R'
U' L2 R2 F2 B' U' R'
U' L2 R2 B' U' R' D
U' L2 R2 B' U' R' D'
U' L2 R2 B' U' R' D2
U' L2 R2 B' U' D R'
U' L2 R2 B' U' D' R'
U' L2 R2 B' U' D2 R'
R' L2 F' D R' B' U'
U' L2 R2 B' D U' R'
U' L2 R2 B' D' U' R'
U' L2 R2 B' D2 U' R'
U' L2 R2 B' F U' R'
U' L2 R2 B' F' U' R'
U' L2 R2 B' F2 U' R'
R' L2 F' D' R' B' U'
R' L2 F' D2 R' B' U'
U L2 R2 F B' U' R
U L2 R2 B' F U' R
R' L2 F2 R' F B' U'
R' L2 F2 R' B' F U'
L2 R2 B' R F' R' U'
R2 L2 B' R F' R' U'
R' L2 B' D2 F' R U'
R L2 B' R U' D' R2
R L2 B' R U2 B2 U
R L2 B' R D' U' R2
R L2 B' R D2 F2 U'
L2 R2 B' D' F' U' R
R2 L2 B' D' F' U' R
R L2 B' D' R U' R
R L2 B' D2 R F2 U'
B' L2 D B' U' B' R'
U' L2 D B' U' R' B'
B2 L2 D B' U' B' R'
B L2 D B' U' B' R'
L2 R2 B2 D B U' R'
R2 L2 B2 D B U' R'
U' L2 F R2 B' U' R'
U' L2 F B' R2 U' R
R' U L2 F' R' B' U'
U' L2 F' R2 B' U' R'
U L2 F B' R2 U' R'
U' L2 F' B' R2 U' R
U' L2 F2 R2 B' U' R'
U' L2 F2 B' R2 U' R
U' L2 B R2 B2 U' R'
B' L2 B' R' F' R' U'
U' L2 B' R2 U' R D
U' L2 B' R2 U' R D'
U' L2 B' R2 U' R D2
U' L2 B' R2 U' D R
U' L2 B' R2 U' D' R
U' L2 B' R2 U' D2 R
U' L2 B' R2 D U' R
U' L2 B' R2 D' U' R
U' L2 B' R2 D2 U' R
B2 L2 B' R' F' R' U'
U' L2 B' U' D R' B2
U' L2 B' D U' R' B2
B L2 B' R' F' R' U'
U' L2 B' F R2 U' R
D L2 B' U' F2 B' R'
D L2 B' U' B' R' F2
D L2 B' U' B' F2 R'
U' L2 B' F' R2 U' R
U' L2 B' F2 R2 U' R
U L2 B' R2 F U' R
U L2 B' F R2 U' R'
U' R L2 B' R U' R2
L U' L R2 B' U' R'
L U' L B' R2 U' R
R' U' L2 F' R' B' U'
D R F B U F B
D R F B U B F
D2 R B R F L2 U
L U' R2 L B' U' R'
D R B F U F B
D R B F U B F
F R B U2 L2 R U'
F R B U2 R L2 U'
B' R' L2 F' R' B' U'
B2 R' L2 F' R' B' U'
F2 R' L2 F' R' B U'
B R' L2 F' R' B' U'
L2 U' B D B2 L2 R'
L2 U' B D B2 R' L2
F R' U2 L2 F' R' U'
F R' U2 F' L2 R' U'
F R' U2 F' R' L2 U'
L U2 L R2 F B' U'
L U2 L R2 B' F U'
L U2 L F R2 B' U'
L U2 L F B' R2 U'
L U2 L B' R2 F U'
L U2 L B' F R2 U'
R' U2 L2 F' R' B' U'
F2 R' F' L2 R' B U'
F2 R' F' R' L2 B U'
F2 R' F' R' B L2 U'
F R' F' L2 R' B' U'
F R' F' R' L2 B' U'
L U2 R2 L F B' U'
L U2 R2 L B' F U'
U2 R2 L F L B' U'
U' R2 L2 D B' U' R'
U' R2 L2 D' B' U' R'
U' R2 L2 D2 B' U' R'
U' R2 L2 F B' U' R'
F2 R2 L2 D B U' R'
U' R2 L2 F' B' U' R'
U' R2 L2 F2 B' U' R'
U' R2 L2 B' U' R' D
U' R2 L2 B' U' R' D'
U' R2 L2 B' U' R' D2
U' R2 L2 B' U' D R'
U' R2 L2 B' U' D' R'
U' R2 L2 B' U' D2 R'
U' R2 L2 B' D U' R'
U' R2 L2 B' D' U' R'
U' R2 L2 B' D2 U' R'
U' R2 L2 B' F U' R'
U' R2 L2 B' F' U' R'
U' R2 L2 B' F2 U' R'
U R2 L2 F B' U' R
U R2 L2 B' F U' R
F2 R2 D B U' R' F2
F2 R2 D B U' F2 R'
L' D L' B' U' B' R'
L2 D R' F' B' U' B'
L2 D R' B' F' U' B'
L2 D F B' U' B' R'
L2 D F' B' U' B' R'
L2 D F2 B' U' B' R'
D2 U R2 F L2 U R
L2 D B' R' F' U' B'
D2 U F L2 R2 U R'
L2 D B' U' R B' R'
L2 D B' U' R' B' R'
L2 D B' U' R2 B' R'
L2 D B' U' D B' R'
L2 D B' U' D' B' R'
L2 D B' U' D2 B' R'
L2 D B' U' B' R' D
L2 D B' U' B' R' D'
L2 D B' U' B' R' D2
L2 D B' U' B' D R'
L2 D B' U' B' D' R'
L2 D B' U' B' D2 R'
L2 D B' D U' B' R'
D2 U F R2 L2 U R'
L2 D B' D' U' B' R'
L2 D B' D2 U' B' R'
L2 D B' F U' B' R'
L2 D B' F' U' B' R'
L2 D B' F2 U' B' R'
D U F U R F B2
D U F U R B2 F
D U F U B2 R F
F U D F R F B2
F U D F R B2 F
F U D F B2 R F
U D F U R F B2
U D F U R B2 F
U D F U B2 R F
F U D B2 F R F
F U F D R F2 B2
F U F D R B2 F2
F U F D B2 R F2
F U F' D F2 R B2
F U F' D F2 B2 R
F U F' D B2 F2 R
B' U' L2 R2 B' U' R'
B2 U' L2 R2 B' U' R'
B' U' L2 B' R2 U' R
B2 U' L2 B' R2 U' R
B U' L2 R2 B' U' R'
B U' L2 B' R2 U' R
B' U' R2 L2 B' U' R'
B2 U' R2 L2 B' U' R'
B U' R2 L2 B' U' R'
F U2 L R2 F L U'
F U2 L F L R2 U'
U D2 R2 F L2 U R
F U2 L F R2 L U'
U D2 F L2 R2 U R'
U D2 F R2 L2 U R'
F U2 R2 L F L U'
D2 F L2 R B R U
D2 F R L2 B R U
D2 F R B L2 R U
D2 F R B R L2 U
D F R B U F B
D F R B U B F
L2 F R' F' R' B' U'
D F U R F R B2
D F U R F B2 R
D F U R B2 F R
D F U R' F R B2
D F U R' F B2 R
D F U R' B2 F R
D F U R2 F R B2
D F U R2 F B2 R
D F U R2 B2 F R
D F U F R B2 D
D F U F R B2 D'
D F U F R B2 D2
D F U F R' B2 R2
D F U F B' R B'
D F U F B2 R D
D F U F B2 R D'
D F U F B2 R D2
D F U F B2 D R
D F U F B2 D' R
D F U F B2 D2 R
R' F U2 L2 R' F2 U'
R' F U2 L2 F2 R' U'
R' F U2 R' L2 F2 U'
U F U D R F2 B2
U F U D R B2 F2
U F U D B2 R F2
R' F U2 R' F2 L2 U'
D F U B' F R B'
D F U B2 R F R
D F U B2 R' F R
D F U B2 R2 F R
D F U B2 D F R
D F U B2 D' F R
D F U B2 D2 F R
D F U B2 F R D
D F U B2 F R D'
D F U B2 F R D2
D F U B2 F D R
D F U B2 F D' R
D F U B2 F D2 R
R' F U2 F2 L2 R' U'
R' F U2 F2 R' L2 U'
U F U2 L2 R2 U' R'
U F U2 R2 L2 U' R'
L2 F D B' U' B' R'
U F D U R F2 B2
U F D U R B2 F2
U F D U B2 R F2
R' F D2 B2 L R2 U
R' F D2 B2 R2 L U
U F D2 L2 R2 U R'
F D R B U F2 B
F D R B U B F2
U F D2 R2 L2 U R'
D F B U F B R
D F B U B F R
L2 F B' R' F' R' U'
D F B' U F R B'
D F B' U F B' R
D F B' U B' F R
F D U F R F B2
F D U F R B2 F
F D U F B2 R F
F D U B2 F R F
B' D F U F R B2
B' D F U F B2 R
B' D F U B2 F R
R' F' L2 R' U' D' L2
R' F' L2 R' U2 F2 U
R' F' L2 R' D' U' L2
R' F' L2 R' D2 B2 U'
B2 D F U F R B2
B2 D F U F B2 R
R' F' L2 D' R' U' L2
B2 D F U B2 F R
R' F' L2 D2 R' B2 U'
B D F U F R B2
B D F U F B2 R
B D F U B2 F R
R' F' R' L2 U' D' L2
R' F' R' L2 U2 F2 U
R' F' R' L2 D' U' L2
R' F' R' L2 D2 B2 U'
L2 F' R' F' R' B' U'
L2 F' D B' U' B' R'
R' F' D2 R' B2 L U'
L2 F' B' R' F' R' U'
L2 F2 R' F' R' B' U'
L2 F2 D B' U' B' R'
F D2 L2 R B R U
F D2 R L2 B R U
F D2 R B L2 R U
F D2 R B R L2 U
L2 F2 B' R' F' R' U'
R' B L2 F' B' R' U'
R' B L2 B' F' R' U'
L2 B R' F' R' B2 U'
R B U2 L2 R B' U'
R B U2 L2 B' R U'
R B U2 R L2 B' U'
D B F U F B R
D B F U B F R
U' B' L2 R2 B' U' R
U' B' R2 L2 B' U' R
L2 B' R' D F' R' U'
L2 B' R' D' F' R' U'
L2 B' R' D2 F' R' U'
L2 B' R' F R' F2 U'
L2 B' R' F' R' U' D
L2 B' R' F' R' U' D'
L2 B' R' F' R' U' D2
L2 B' R' F' R' D U'
L2 B' R' F' R' D' U'
L2 B' R' F' R' D2 U'
L2 B' R' F' D R' U'
L2 B' R' F' D' R' U'
L2 B' R' F' D2 R' U'
L2 B' R' F2 R' F U'
L2 B' R2 D' F' U' R
L2 B' U' D B' R' B'
L2 B' U' B D B2 R'
L2 B' U' B' D R' B2
L2 B' D R' F' U' B2
L2 B' D U' B' R' B'
L2 B' F R' F' R' U'
L2 B' F' R' F' R' U'
D B' F U F R B'
D B' F U F B' R
D B' F U B' F R
L2 B' F2 R' F' R' U'
R B2 L2 R F B' U'
R B2 L2 R B' F U'
R B2 L2 B' R F U'
R B2 R L2 F B' U'
R B2 R L2 B' F U'
