B R' D' L2 F
B D' L2 R' F
B D' L2 F R'
B D' R' L2 F
U F2 U B R'
U2 B R' D' L2
U2 B D' L2 R'
U2 B D' R' L2
L U2 L2 B D' R' L2
R U2 R' B R' D' L2
R U2 R' B D' L2 R'
R U2 R' B D' R' L2
B2 R' B' R' D' L2 F
R2 U2 R2 B R' D' L2
R2 U2 R2 B D' L2 R'
R2 U2 R2 B D' R' L2
B2 R' B' D' L2 R' F
B2 R' B' D' L2 F R'
B2 R' B' D' R' L2 F
B' R' B2 R' D' L2 F'
B' R' B2 R' D' F' L2
B R' B' D' B L2 F
L' U2 D' L2 D B R'
B' R' B2 D' L2 R' F'
B' R' B2 D' R' L2 F'
B' R' B2 D' R' F' L2
L2 U2 D' L2 D B R'
L U2 D' L2 D B R'
D R2 L F' U B' U
D R2 L' F' U' F2 U'
D R2 L' F' U2 D R2
D R2 L' F' D U2 R2
D R2 L' F' D' L2 U2
B R2 L2 D' R F L2
L' U2 F2 U F2 B R'
L' U2 F2 U B R' F2
L' U2 F2 U B F2 R'
L2 U2 F2 U F2 B R'
L2 U2 F2 U B R' F2
L2 U2 F2 U B F2 R'
L' U2 B L R' D' L2
L' U2 B L D' L2 R'
L' U2 B L D' R' L2
L' U2 B L' R' D' L2
L' U2 B L' D' L2 R'
L' U2 B L' D' R' L2
L' U2 B L2 R' D' L2
L' U2 B L2 D' L2 R'
L' U2 B L2 D' R' L2
L' U2 B R' L D' L2
L' U2 B R' L' D' L2
L' U2 B R' L2 D' L2
L' U2 B R' U' F2 U
L' U2 B R' D' L2 D
L' U2 B R' D' L2 D'
L' U2 B R' D' L2 D2
L' U2 B R2 D' L2 R
L' U2 B R2 D' R L2
L2 U2 B L R' D' L2
L2 U2 B L D' L2 R'
L2 U2 B L D' R' L2
L2 U2 B L' R' D' L2
L U2 F2 U F2 B R'
L U2 F2 U B R' F2
L U2 F2 U B F2 R'
L2 U2 B L' D' L2 R'
L2 U2 B L' D' R' L2
L' U2 B U' F2 U R'
L2 U2 B L2 R' D' L2
L2 U2 B L2 D' L2 R'
L2 U2 B L2 D' R' L2
L2 U2 B R' L D' L2
L2 U2 B R' L' D' L2
L2 U2 B R' L2 D' L2
L' U2 B D' L2 R' D
L' U2 B D' L2 R' D'
L' U2 B D' L2 R' D2
L' U2 B D' L2 D R'
L' U2 B D' L2 D' R'
L' U2 B D' L2 D2 R'
L2 U2 B R' U' F2 U
L' U2 B D' R' L2 D
L' U2 B D' R' L2 D'
L' U2 B D' R' L2 D2
L2 U2 B R' D' L2 D
L2 U2 B R' D' L2 D'
L2 U2 B R' D' L2 D2
L' U2 B D2 R' D L2
L2 U2 B R2 D' L2 R
L2 U2 B R2 D' R L2
L2 U2 B U' F2 U R'
L U2 B L R' D' L2
L U2 B L D' L2 R'
L U2 B L D' R' L2
L U2 B L' R' D' L2
L U2 B L' D' L2 R'
L U2 B L' D' R' L2
L2 U2 B D' L2 R' D
L2 U2 B D' L2 R' D'
L2 U2 B D' L2 R' D2
L2 U2 B D' L2 D R'
L2 U2 B D' L2 D' R'
L2 U2 B D' L2 D2 R'
L2 U2 B D' R' L2 D
L2 U2 B D' R' L2 D'
L2 U2 B D' R' L2 D2
L U2 B L2 R' D' L2
L U2 B L2 D' L2 R'
L U2 B L2 D' R' L2
L2 U2 B D2 R' D L2
L U2 B R' L D' L2
L U2 B R' L' D' L2
L U2 B R' L2 D' L2
L U2 B R' U' F2 U
L U2 B R' D' L2 D
L U2 B R' D' L2 D'
L U2 B R' D' L2 D2
L U2 B R2 D' L2 R
L U2 B R2 D' R L2
R U2 B R' D' L2 B
R U2 B R' D' B L2
R U2 B R' B D' L2
D R2 U2 R2 D' B R'
L U2 B U' F2 U R'
D R2 U2 D' R2 B R'
L U2 B D' L2 R' D
L U2 B D' L2 R' D'
L U2 B D' L2 R' D2
L U2 B D' L2 D R'
L U2 B D' L2 D' R'
L U2 B D' L2 D2 R'
L U2 B D' R' L2 D
L U2 B D' R' L2 D'
L U2 B D' R' L2 D2
L U2 B D2 R' D L2
D R2 D L F' U2 R
D R2 D L' F' U2 R
D R2 D L2 F' U2 R
L' U2 B2 D' B' L2 R'
L' U2 B2 D' B' R' L2
D R2 D F L' F2 U2
D R2 D F' L U2 R
D R2 D F' L' U2 R
D R2 D F' L2 U2 R
D R2 D F' U2 R D
D R2 D F' U2 R D'
D R2 D F' U2 R D2
D R2 D F' U2 D R
D R2 D F' U2 D' R
D R2 D F' U2 D2 R
D R2 D F' D U2 R
D R2 D F' D' U2 R
D R2 D F' D2 U2 R
L2 U2 B2 D' B' L2 R'
L2 U2 B2 D' B' R' L2
B R2 D' L2 R D F
B R2 D' L2 R D' F
B R2 D' L2 R D2 F
B R2 D' L2 R F D
B R2 D' L2 R F D'
B R2 D' L2 R F D2
B R2 D' L2 R' F R2
B R2 D' L2 R2 F R'
B R2 D' L2 D R F
B R2 D' L2 D' R F
B R2 D' L2 D2 R F
B R2 D' R L2 D F
B R2 D' R L2 D' F
B R2 D' R L2 D2 F
B R2 D' R L2 F D
B R2 D' R L2 F D'
B R2 D' R L2 F D2
B R2 D' R F L2 F
B R2 D' R F' L2 F
B R2 D' R F2 L2 F
B R2 D' R' L2 F R2
B R2 D' R2 L2 F R'
D R2 D' U2 R2 B R'
L U2 B2 D' B' L2 R'
L U2 B2 D' B' R' L2
B R2 D' F' L2 F R
B R2 D2 R D L2 F
D2 R2 F' U' B2 U' R
D2 R2 F' U2 R D L2
D2 R2 F' U2 D L2 R
D2 R2 F' U2 D R L2
F' R2 F' U' B U' R'
D2 R2 F' D U2 L2 R
D2 R2 F' D U2 R L2
D2 R2 F' D' R2 U2 R'
D R2 F' L U B' U
D R2 F' L' U' F U'
B' R2 F2 U F B2 R'
B' R2 F2 U B2 R' F
B' R2 F2 U B2 F R'
D R2 F2 D F L' U2
L' D R2 D F' U2 R
L2 D R2 D F' U2 R
R2 D R2 U2 D' B R'
B2 R2 B' R' D' L2 F
R2 D R2 D' U2 B R'
B2 R2 B' D' L2 R' F
B2 R2 B' D' L2 F R'
B2 R2 B' D' R' L2 F
L D R2 D F' U2 R
B' R2 B2 D' L2 F' R'
B' R2 B2 D' F' L2 R'
B' R2 B2 D' F' R' L2
F2 U L U L' B R'
F2 U L U B L' R'
F2 U L U B R' L'
F' U L F' U B R'
F2 U L' U L B R'
F' U L' F' U B R'
F U L' U B L R'
F U L' U B R' L
F2 U L2 U L2 B R'
F2 U L2 U B L2 R'
F2 U L2 U B R' L2
F' U L2 F' U B R'
F' U D2 F' U B R
F' U F' L U B R'
F' U F' L' U B R'
F' U F' L2 U B R'
F U F L U B R'
F U F L' U B R'
F U F L2 U B R'
F' U F' U B R' D
F' U F' U B R' D'
F' U F' U B R' D2
F' U F' U B D R'
F' U F' U B D' R'
F' U F' U B D2 R'
F U F U B R' D
F U F U B R' D'
F U F U B R' D2
F U F U B D R'
F U F U B D' R'
F U F U B D2 R'
F' U F' B' U B2 R'
F U F B' U B2 R'
F2 U B R' U' R U
F2 U B R2 D' R F2
U2 D' L D L B R'
F' U B' F' U B2 R'
B' U B2 R' D' L2 F
U2 D' L' D L' B R'
U2 D' L' D B L' R'
U2 D' L' D B R' L'
B' U B2 D' L2 R' F
B' U B2 D' L2 F R'
B' U B2 D' R' L2 F
U' D' L2 D F2 B R'
D' U' L2 D F2 B R'
U' D' L2 D B R' F2
D' U' L2 D B R' F2
U' D' L2 D B F2 R'
D' U' L2 D B F2 R'
F U B' F U B2 R'
L' D' U2 L2 D B R'
U2 D' L2 D B R' D
U2 D' L2 D B R' D'
U2 D' L2 D B R' D2
U2 D' L2 D B D R'
U2 D' L2 D B D' R'
U2 D' L2 D B D2 R'
L2 D' U2 L2 D B R'
L D' U2 L2 D B R'
D2 U' F' B2 U' R B'
D2 U' F' B2 U' B' R
D2 U' B2 F' U' R B'
D2 U' B2 F' U' B' R
D' U2 L D L B R'
D' U2 L' D L' B R'
D' U2 L' D B L' R'
D' U2 L' D B R' L'
D' U2 L2 D B R' D
D' U2 L2 D B R' D'
D' U2 L2 D B R' D2
D' U2 L2 D B D R'
D' U2 L2 D B D' R'
D' U2 L2 D B D2 R'
B' U' B2 R' D' L2 F
B' U' B2 D' L2 R' F
B' U' B2 D' L2 F R'
B' U' B2 D' R' L2 F
U' D2 F' B2 U' R B'
U' D2 F' B2 U' B' R
R2 D2 F' U' B2 U' R
R2 D2 F' U2 R D L2
R2 D2 F' U2 D L2 R
R2 D2 F' U2 D R L2
R2 D2 F' D U2 L2 R
R2 D2 F' D U2 R L2
R2 D2 F' D' R2 U2 R'
F U2 L2 B R' D L2
F U2 L2 B D L2 R'
F U2 L2 B D R' L2
U' D2 B2 F' U' R B'
U' D2 B2 F' U' B' R
B U2 D R2 B' U2 R
D2 F L' U' B2 U' B'
D2 F L' U2 D L2 B
D2 F L' U2 D B L2
D2 F L' D U2 L2 B
D2 F L' D U2 B L2
D2 F L' D' R2 F' U2
F2 U2 F U' F' B R'
F2 U2 F U' B F' R'
U F L' U B L R'
U F L' U B R' L
F' U2 F' U F B R'
F' U2 F' U B R' F
F' U2 F' U B F R'
F2 U2 F' U' F B R'
F2 U2 F' U' B R' F
F2 U2 F' U' B F R'
F U2 F U F' B R'
F U2 F U B F' R'
F2 U2 F2 U' F2 B R'
F2 U2 F2 U' B R' F2
F2 U2 F2 U' B F2 R'
F' U2 B U' F' U R'
F2 U2 B R' U B' U'
F U2 B R' U' F U
B2 U2 B' D' L2 F R
F U2 B U' F U R'
D F R2 D F' U2 R
L' F U F U B R'
B' U2 B2 R' D' L2 F
B' U2 B2 D' L2 R' F
B' U2 B2 D' L2 F R'
B' U2 B2 D' R' L2 F
L2 F U F U B R'
F2 U2 B2 D B' L2 R'
F2 U2 B2 D B' R' L2
D' F U2 L2 D B R'
U' F U2 F U B R'
L F U F U B R'
D2 F D L' U2 L' B
D2 F D L' U2 B L'
D2 F D' L' R2 F' U2
D2 F D' R2 L' F' U2
B D L2 D2 R' F L2
B D L2 D2 F L2 R'
B D L2 D2 F R' L2
B D L2 F D2 L2 R'
B D L2 F D2 R' L2
B D R' U2 R' B' U2
B D R2 B' U2 B R
B D U2 R2 B' U2 R
U F' L F' U B R'
U F' L' F' U B R'
B D F D2 L2 R' F
B D F D2 L2 F R'
B D F D2 R' L2 F
U F' L2 F' U B R'
B D F' D2 L2 R' F
B D F' D2 L2 F R'
B D F' D2 R' L2 F
B D F2 D2 L2 R' F
B D F2 D2 L2 F R'
B D F2 D2 R' L2 F
R2 F' R2 U' B U' R'
D F' R2 D F' U2 R
L' F' U F' U B R'
L2 F' U F' U B R'
R2 F' U D2 F' U R
R2 F' U F' B U R'
D2 F' U' B2 U' R B'
D2 F' U' B2 U' B' R
R2 F' U B F' U R'
D' F' U2 L2 D B R'
D2 F' U2 D L2 B R
U' F' U2 F' U B R'
D2 F' U2 D B L2 R
D2 F' U2 D B R L2
L F' U F' U B R'
B D' L R' D L F
B D' L R' D' L F
B D' L R' D2 L F
B D' L R' F L F
B D' L R' F' L F
B D' L R' F2 L F
B D' L D L R' F
B D' L D L F R'
B D' L D R' L F
B D' L D' L R' F
B D' L D' L F R'
B D' L D' R' L F
B D' L D2 L R' F
B D' L D2 L F R'
B D' L D2 R' L F
B D' L F L R' F
B D' L F L F R'
B D' L F R' L F
D2 F' D U2 L2 B R
D2 F' D U2 B L2 R
D2 F' D U2 B R L2
B D' L F' L R' F
B D' L F' L F R'
B D' L F' R' L F
B D' L F2 L R' F
B D' L F2 L F R'
B D' L F2 R' L F
D2 F' D B L2 R F
D2 F' D B R L2 F
D2 F' D' R2 F' U2 R'
B D' L2 R F R2 D
B D' L2 R F R2 D'
B D' L2 R F R2 D2
B D' L2 R F' R2 F2
B D' L2 R' D F D
B D' L2 R' D F D'
B D' L2 R' D F D2
B D' L2 R' D' F D
B D' L2 R' D' F D'
B D' L2 R' D' F D2
B D' L2 R' D2 F D
B D' L2 R' D2 F D'
B D' L2 R' D2 F D2
B D' L2 R' F2 D F'
B D' L2 R' F2 D' F'
B D' L2 R' F2 D2 F'
B D' L2 R2 D R F
B D' L2 R2 D' R F
B D' L2 R2 D2 R F
B D' L2 D R F R2
B D' L2 D R' D F
B D' L2 D R' D' F
B D' L2 D R' D2 F
B D' L2 D R' F D
B D' L2 D R' F D'
B D' L2 D R' F D2
B D' L2 D F R' D
B D' L2 D F R' D'
B D' L2 D F R' D2
B D' L2 D F D R'
B D' L2 D F D' R'
B D' L2 D F D2 R'
B D' L2 D F' R' F2
B D' L2 D' R F R2
B D' L2 D' R' D F
B D' L2 D' R' D' F
B D' L2 D' R' D2 F
B D' L2 D' R' F D
B D' L2 D' R' F D'
B D' L2 D' R' F D2
B D' L2 D' F R' D
B D' L2 D' F R' D'
B D' L2 D' F R' D2
B D' L2 D' F D R'
B D' L2 D' F D' R'
B D' L2 D' F D2 R'
B D' L2 D' F' R' F2
B D' L2 D2 R F R2
B D' L2 D2 R' D F
B D' L2 D2 R' D' F
B D' L2 D2 R' D2 F
B D' L2 D2 R' F D
B D' L2 D2 R' F D'
B D' L2 D2 R' F D2
B D' L2 D2 F R' D
