F L' R2 B' U' L
F L' B' R2 U' L
F R2 L' B' U' L
B' R2 F L' U' L2
F R2 B' L' U' L2
R2 F L' B' U' L
R2 F B' L' U' L2
B' F L' R2 U' L2
B' F R2 L' U' L2
F B' L' R2 U' L2
F B' R2 L' U' L2
R2 B' F L' U' L2
F R2 B' D' L' U' L2
F R2 B' D2 L' U' L2
U R2 B' F L' U' L2
F R2 B2 L' B U' L
B' U R2 F L' U' L2
B' U F L' R2 U' L2
B' U F R2 L' U' L2
B' U' R2 F L' U' L2
B2 U' R2 F L' B' U'
B' U' F L' R2 U' L2
B2 U' F L' R2 B' U'
B' U' F R2 L' U' L2
B2 U' F L' B' R2 U'
B2 U' F R2 L' B' U'
F U' B' L D F2 B2
F U' B' L D B2 F2
R2 D2 F U' D L' F
R2 D2 F D U' L' F
R2 D2 F B' L U' L2
B' U2 R2 F L' U' L2
R2 D2 B' F L U' L2
U' F L' R2 B' U' L
R' F L' R' B' U' L
R' F L' D' R' B U'
B' U2 F L' R2 U' L2
U' F L' B' R2 U' L
U2 F L' R2 B' U' L
B' U2 F R2 L' U' L2
R2 F L B' L2 U' L'
R2 F L' U' B' L B
U2 F L' B' R2 U' L
R2 F L' B U R' U2
U F L' R2 B' U' L
R2 F L' B' U' L D
R2 F L' B' U' L D'
R2 F L' B' U' L D2
R2 F L' B' U' D L
R2 F L' B' U' D' L
R2 F L' B' U' D2 L
R2 F L' B' D U' L
R2 F L' B' D' U' L
R2 F L' B' D2 U' L
R2 F L2 D L B' U'
U F L' B' R2 U' L
R2 F L2 B' U' L F
R' F R' L' B' U' L
R' F R' B' L' U' L2
U' F R2 L' B' U' L
U' F R2 B' L' U' L2
U2 F R2 L' B' U' L
U2 F R2 B' L' U' L2
U F R2 L' B' U' L
U F R2 B' L' U' L2
R' F D' L' R' B U'
R2 F D L B' L2 U'
R2 F D L' U2 F U
R' F D' R' L' B U'
R' F D' R' B L' U'
F D L' U2 F U B2
U' F B' L' R2 U' L2
U' F B' R2 L' U' L2
R2 F B L' U R' U2
R2 F B L' B2 U' L
U2 F B' L' R2 U' L2
U2 F B' R2 L' U' L2
R2 F B' L' U' L2 D
R2 F B' L' U' L2 D'
R2 F B' L' U' L2 D2
R2 F B' L' D' B2 U'
R2 F B' L' B U' L2
R2 F B' L' B' U' L2
R2 F B' L' B2 U' L2
R2 F B' U' L D F2
R2 F B' D L' U' L2
R2 F B' D' L' U' L2
R2 F B' D2 L' U' L2
U F B' L' R2 U' L2
R2 F B2 L' B U' L
U F B' R2 L' U' L2
B' F L' R2 U' L2 D
B' F L' R2 U' L2 D'
B' F L' R2 U' L2 D2
B' F L' R2 D' B2 U'
B' F L' R2 B U' L2
B' F L' R2 B' U' L2
B' F L' R2 B2 U' L2
B' F L' U' L2 D B2
B2 F L' R2 B U' L
B' F L' B R2 U' L2
B' F L' B' R2 U' L2
B' F L' B2 R2 U' L2
B2 F L' B R2 U' L
B F L' R2 U R U2
B F L' U' D B2 L
B F L' D U' B2 L
F B L' R2 U R U2
F B L' U' D B2 L
F B L' D U' B2 L
B F L' B2 R2 U' L
F B L' B2 R2 U' L
B' F R2 L' U' L2 D
B' F R2 L' U' L2 D'
B' F R2 L' U' L2 D2
B' F R2 L' D' B2 U'
B' F R2 L' B U' L2
B' F R2 L' B' U' L2
B' F R2 L' B2 U' L2
B' F R2 U' L D F2
B' F R2 D L' U' L2
B' F R2 D' L' U' L2
B' F R2 D2 L' U' L2
B2 F R2 L' B U' L
R2 B F L' U R' U2
R2 B F L' B2 U' L
B2 F R2 B L' U' L2
B F R2 L' U R U2
B' F U' L D F2 B2
B' F U' L D B2 F2
F B R2 L' U R U2
B' F D L' U' L2 B2
B' F D L' U' B2 L2
B F D L' U' B2 L
F B D L' U' B2 L
U' B' R2 F L' U' L2
R B' R F L' U' L2
U2 B' R2 F L' U' L2
U B' R2 F L' U' L2
F B' L' R2 U' L2 D
F B' L' R2 U' L2 D'
F B' L' R2 U' L2 D2
F B' L' R2 D' B2 U'
F B' L' R2 B U' L2
F B' L' R2 B' U' L2
F B' L' R2 B2 U' L2
F B' L' U' L2 D B2
F B' L' B R2 U' L2
F B' L' B' R2 U' L2
F B' L' B2 R2 U' L2
U' B' F L' R2 U' L2
U' B' F R2 L' U' L2
F B' R2 L' U' L2 D
F B' R2 L' U' L2 D'
F B' R2 L' U' L2 D2
F B' R2 L' D' B2 U'
F B' R2 L' B U' L2
F B' R2 L' B' U' L2
F B' R2 L' B2 U' L2
F B' R2 U' L D F2
F B' R2 D L' U' L2
F B' R2 D' L' U' L2
F B' R2 D2 L' U' L2
U2 B' F L' R2 U' L2
U2 B' F R2 L' U' L2
R2 B' F L' U' L2 D
R2 B' F L' U' L2 D'
R2 B' F L' U' L2 D2
R2 B' F L' D' B2 U'
R2 B' F L' B U' L2
R2 B' F L' B' U' L2
R2 B' F L' B2 U' L2
R2 B' F U' L D F2
R2 B' F D L' U' L2
F B' U' L D F2 B2
F B' U' L D B2 F2
R2 B' F D' L' U' L2
R2 B' F D2 L' U' L2
U B' F L' R2 U' L2
U B' F R2 L' U' L2
F B' D L' U' L2 B2
F B' D L' U' B2 L2
F B2 L' R2 B U' L
F B2 L' B R2 U' L
F B2 R2 L' B U' L
F B2 R2 B L' U' L2
R2 B2 F L' B U' L
