U2 L R' U L' B
U2 L R' U B L'
U2 L' R' U L B
U2 L2 R' U L2 B
U2 L2 R' U B L2
R' U' R U2 R' B
U2 R' L U L' B
U2 R' L U B L'
U2 R' L' U L B
U2 R' L2 U L2 B
U2 R' L2 U B L2
U2 R' L D' U L' B
U2 R' L D' U B L'
U2 R' L D2 U L' B
U2 R' L D2 U B L'
U R' L U' L' U2 B
U2 R' L' U L D B
U2 R' L' U L D' B
U2 R' L' U L D2 B
U2 R' L' U L B D
U2 R' L' U L B D'
U2 R' L' U L B D2
U2 R' L' U L' B L2
U2 R' L' U L2 B L'
U2 R' L' U D L B
U2 R' L' U D' L B
U2 R' L' U D2 L B
U2 R' L' D U L B
U2 R' L' D' U L B
U2 R' L' D2 U L B
U2 R' L' F U L B
R' U' F B L2 F L'
U2 R' L' F' U L B
U2 R' L' F2 U L B
U R' L' U B2 R' B'
U R' L' U' L U2 B
U2 R' L2 U L' B L'
U2 R' L2 U L2 D B
U2 R' L2 U L2 D' B
U2 R' L2 U L2 D2 B
U2 R' L2 U L2 B D
U2 R' L2 U L2 B D'
U2 R' L2 U L2 B D2
U2 R' L2 U B L2 D
U2 R' L2 U B L2 D'
U2 R' L2 U B L2 D2
U2 R' L2 U B' L2 B2
U2 R' L2 D F2 U B
U2 R' L2 F U L2 B
U2 R' L2 F U B L2
U2 R' L2 F' U L2 B
U2 R' L2 F' U B L2
U R' L' B2 U R' B'
U2 R' L2 F2 U L2 B
U2 R' L2 F2 U B L2
U R' L2 U D2 B R2
U R' L2 U B D2 R2
U R' L2 U' L2 U2 B
R' U' F2 L B L2 F
U R' L2 D' B2 U B'
U R' L2 D2 U B R2
U' R' U B' R B2 L
R' U' F2 B L2 F L
U2 R' U B U B' U'
U2 R' U B2 D B' L2
R' U' B L' F2 L' F
R' U' B L2 F2 L' F'
U R' U B U' B' U
R' U' B U2 R B' U2
R' U' B U2 B' R U2
U R' U B2 D' R2 B'
U R' U B2 D' B' R2
R' U' B F L2 F L'
R' U' B F2 L2 F L
F2 R' U2 F2 U' L' B
F2 R' U2 F2 U' B L'
U R' U2 R U' R' B
U R' U2 R2 U' R2 B
U2 R' D L U L' B
U2 R' D L U B L'
U2 R' D L' U L B
U2 R' D L2 U L2 B
U2 R' D L2 U B L2
R' U' B2 D2 F2 B' L'
R' U' B2 D2 B' F2 L'
U2 R' D' L U L' B
U2 R' D' L U B L'
U2 R' D' L' U L B
L' U2 L R' U L' B
L' U2 L R' U B L'
U2 R' D' L2 U L2 B
U2 R' D' L2 U B L2
L2 U2 L R' U L' B
L2 U2 L R' U B L'
U2 R' D2 L U L' B
L U2 L R' U L' B
U2 R' D2 L U B L'
L U2 L R' U B L'
U2 R' D2 L' U L B
U2 R' D2 L2 U L2 B
U2 R' D2 L2 U B L2
L' U2 L' R' U L B
L2 U2 L' R' U L B
U2 R' F L U L' B
U2 R' F L U B L'
L U2 L' R' U L B
U2 R' F L' U L B
U2 R' F L2 U L2 B
U2 R' F L2 U B L2
L' U2 L2 R' U L2 B
L' U2 L2 R' U B L2
L2 U2 L2 R' U L2 B
L2 U2 L2 R' U B L2
U2 R' F' L U L' B
U2 R' F' L U B L'
L U2 L2 R' U L2 B
L U2 L2 R' U B L2
U2 R' F' L' U L B
U2 R' F' L2 U L2 B
U2 R' F' L2 U B L2
U2 R' F2 L U L' B
U2 R' F2 L U B L'
U2 R' F2 L' U L B
L' U2 R' L U L' B
L' U2 R' L U B L'
U2 R' F2 L2 U L2 B
U2 R' F2 L2 U B L2
L' U2 R' L' U L B
L' U2 R' L2 U L2 B
L' U2 R' L2 U B L2
L2 U2 R' L U L' B
L2 U2 R' L U B L'
L2 U2 R' L' U L B
L2 U2 R' L2 U L2 B
L2 U2 R' L2 U B L2
L U2 R' L U L' B
L U2 R' L U B L'
L U2 R' L' U L B
L U2 R' L2 U L2 B
L U2 R' L2 U B L2
U R' B' L' U B2 R'
R U2 R2 F2 U L' B
R U2 R2 F2 U B L'
U R' B' U B2 D' R2
R' D U' R U2 R' B
R D U F' R' B2 U2
R D U F' B2 U2 L
R D U B2 F' U2 L
F' U L2 R' B' U B2
F' U R' L2 B' U B2
F' U R' U2 F U' B
F2 U R' U D B R2
F2 U R' U B D R2
F2 U R' U2 F2 U' B
F2 U R' D U B R2
F2 U R' D2 B2 U B'
F U R' U D B R'
F U R' D U B R'
F U R2 B R U B
R' D' U' R U2 R' B
R D' R2 U' F2 L' B
R D' R2 U' F2 B L'
R D' R2 U' B F2 L'
B2 U' L R' U' B R
U2 D' R' F L' U L
U2 D' F L' R' U L
B2 U' R' L U' B R
U2 D' F R' L' U L
F' U' F U2 R' U B
D2 U2 L R' U B' L'
U2 D2 L R' U B' L'
R D2 L2 U F' R' U2
R2 D2 R U' B L2 F
F2 U' F2 U2 R' U B
F U' F' U2 R' U B
D2 U2 R' L U B' L'
D' U2 R' F L' U L
R' D2 U' R U2 R' B
U2 D2 R' L U B' L'
D' U2 F L' R' U L
D' U2 F R' L' U L
U2 F L R' U L' B
U2 F L R' U B L'
U2 F L' R' U L B
U2 F L2 R' U L2 B
U2 F L2 R' U B L2
U2 F R' L U L' B
U2 F R' L U B L'
U2 F R' L' U L B
U2 F R' L2 U L2 B
U2 F R' L2 U B L2
U F U F' R' U B
U2 F' L R' U L' B
U2 F' L R' U B L'
U2 F' L' R' U L B
U2 F' L2 R' U L2 B
U2 F' L2 R' U B L2
U2 F' R' L U L' B
U2 F' R' L U B L'
U2 F' R' L' U L B
U2 F' R' L2 U L2 B
U2 F' R' L2 U B L2
U F' U R' F U B
U F' U F R' U B
U2 F2 L R' U L' B
U2 F2 L R' U B L'
U2 F2 L' R' U L B
U2 F2 L2 R' U L2 B
U2 F2 L2 R' U B L2
U2 F2 R' L U L' B
U2 F2 R' L U B L'
U2 F2 R' L' U L B
U2 F2 R' L2 U L2 B
U2 F2 R' L2 U B L2
R' F2 U L' D B R2
R' F2 U L' B D R2
R' F2 U D L' B R2
R' F2 U D B L' R2
R' F2 U D B R2 L'
R' F2 U B L' D R2
R' F2 U B D L' R2
R' F2 U B D R2 L'
U F2 U R' F2 U B
U F2 U F2 R' U B
R' F2 D U L' B R2
R' F2 D U B L' R2
R' F2 D U B R2 L'
R' F2 D2 B2 U B' L'
D B R' U R B U2
R' B' U' R U2 R' B2
R' B' U' B2 D2 F2 L'
U2 B' U' B R' U B
R' B2 U' R U2 R' B'
U2 B2 U' B2 R' U B
R B2 U2 R2 U L B
