F2 L R F2 U' L2
R2 L U' D' B2 L
L R U2 L2 U L2
R L U2 L2 U L2
R2 L D' U' B2 L
R' L D2 R2 U' L2
L R' D2 R2 U' L2
U2 L' U D F2 L'
U2 L' D U F2 L'
L R2 U' D' B2 L
L R2 D' U' B2 L
L U R U L2 U
L U R U2 D' B2
L U R D F2 U2
L U R D' U2 B2
L U D R F2 U2
L U D F2 U2 L'
L U D' R U2 B2
F2 R L F2 U' L2
L U2 L2 U' R U2
L U2 L2 F2 U L'
L U2 F2 L2 U L
L D U R F2 U2
L D U F2 U2 L'
L D' R2 U' B2 L
L D' U R U2 B2
L D2 R2 U R' U2
L D2 R2 B2 U' L
L D2 R2 B2 U' D2 L
L D2 R2 B2 D U' L
L D2 R2 B2 D' U' L
L D2 R2 B2 D2 U' L
L D2 U R U' R U'
F2 U2 L R F2 U' L2
B' U2 L' U' R B U2
B2 U2 L' R' U D2 L2
B2 U2 L' R' U' R2 U2
B2 U2 L' R' D' F2 U
B2 U2 L' R' D2 U L2
B2 U2 L' F2 R' U L'
F2 U2 R L F2 U' L2
B2 U2 R' L' U D2 L2
B2 U2 R' L' U' R2 U2
B2 U2 R' L' D' F2 U
B2 U2 R' L' D2 U L2
B2 U2 R' D' L' F2 U
B2 U2 R' D2 L' U L'
L D2 B R2 U R' U2
L D2 B R2 B2 U' L
L D2 B' R2 U R' U2
L D2 B' R2 B2 U' L
L D2 B2 R2 U R' U2
L D2 B2 R2 B2 U' L
F2 D L R U' L2 R
F2 D L R U' R L2
F2 D R L U' L2 R
F2 D R L U' R L2
U' F2 L R U' L2 R'
U' F2 L R U' R' L2
R' F2 L R F2 U' L'
D2 F2 L R F2 U' L2
D' F2 L R F2 U' L2
U' F2 L' U L2 R U'
U' F2 L' U R L2 U'
D F2 L R F2 U' L2
U' F2 R L U' L2 R'
U' F2 R L U' R' L2
R' F2 R L F2 U' L'
D2 F2 R L F2 U' L2
D' F2 R L F2 U' L2
R' F2 R F2 L U' L2
D F2 R L F2 U' L2
U' F2 U L R U' L2
U' F2 U R L U' L2
L' F2 U D L' R2 F2
L' F2 U D L' F2 R2
L' F2 U D R2 L' F2
L' F2 U2 L2 F2 U' L
U2 F2 U2 L R U' L2
U2 F2 U2 R L U' L2
U F2 U' L R U' L2
U F2 U' R L U' L2
R F2 U' L R F2 U'
L' F2 D U L' R2 F2
L' F2 D U L' F2 R2
L' F2 D U R2 L' F2
R F2 U' R L F2 U'
R F2 U' R F2 L U'
L' F2 D2 R2 B2 U L'
L' F2 D2 B2 R2 U L'
L B R U2 L2 U L2
L B R' D2 R2 U' L2
L B R2 U' D' B2 L
L B R2 D' U' B2 L
L B U R U L2 U
L B U R U2 D' B2
L B U R D F2 U2
L B U R D' U2 B2
L B U D R F2 U2
L B U D F2 U2 L'
L B U D' R U2 B2
L B U2 L2 U' R U2
L B U2 L2 F2 U L'
L B U2 F2 L2 U L
L B D U R F2 U2
L B D U F2 U2 L'
L B D' R2 U' B2 L
L B D' U R U2 B2
L B D2 R2 U R' U2
L B D2 R2 B2 U' L
L2 B' L' U R U2 B
L B' R U2 L2 U L2
L B' R' D2 R2 U' L2
L B' R2 U' D' B2 L
L B' R2 D' U' B2 L
L B' U R U L2 U
L B' U R U2 D' B2
L B' U R D F2 U2
L B' U R D' U2 B2
L B' U D R F2 U2
L B' U D F2 U2 L'
L B' U D' R U2 B2
L B' U2 L2 U' R U2
L B' U2 L2 F2 U L'
R B' U2 L' U L F
L B' U2 F2 L2 U L
L B' D U R F2 U2
L B' D U F2 U2 L'
L B' D' R2 U' B2 L
L B' D' U R U2 B2
L B' D2 R2 U R' U2
L B' D2 R2 B2 U' L
L2 B2 L' R' U R2 U2
L2 B2 L' R' U' D2 L2
L2 B2 L' R' D B2 U'
L2 B2 L' R' D2 U' L2
L2 B2 R' L' U R2 U2
L2 B2 R' L' U' D2 L2
L2 B2 R' L' D B2 U'
L2 B2 R' L' D2 U' L2
L2 B2 R' D L' B2 U'
L2 B2 R' D B2 L' U'
L2 B2 R' D2 L' U' L'
U B2 R U L' R2 U
U B2 R U R2 L' U
L B2 R U2 L2 U L2
L B2 R' D2 R2 U' L2
L B2 R2 U' D' B2 L
L B2 R2 D' U' B2 L
L B2 U R U L2 U
L B2 U R U2 D' B2
L B2 U R D F2 U2
L B2 U R D' U2 B2
L B2 U D R F2 U2
L B2 U D F2 U2 L'
L B2 U D' R U2 B2
R2 B2 U2 L' R' U L2
R2 B2 U2 R' L' U L2
L B2 U2 L2 U' R U2
L B2 U2 L2 F2 U L'
R B2 U2 L' R' U L
L B2 U2 F2 L2 U L
R B2 U2 R' L' U L
L B2 D U R F2 U2
L B2 D U F2 U2 L'
L B2 D' R2 U' B2 L
L B2 D' U R U2 B2
L B2 D2 R2 U R' U2
L B2 D2 R2 B2 U' L
