U L R2 F U' B
U L F U F2 U2
U L F U' D2 B2
U L F D R2 U'
U L F D2 U' B2
F' L' U' L2 U' L'
F' L' U2 D L F2
F' L' U2 D F2 L
F' L' D U2 L F2
F' L' D U2 F2 L
F' L' D' B2 R' U2
R2 U L F U' B
R U L F R U'
U R2 L F U' B
R2 F B D' R F'
U2 F' U' L F U'
F D2 B2 R D' F2
R2 B D' F R F'
R2 B F D' R F'
D2 U2 F' U' L F U'
R2 D2 F B D' R F'
U2 D2 F' U' L F U'
D U2 F' U' L F U'
R2 D2 B D' F R F'
R2 D2 B F D' R F'
R2 F L U' L' B R
R2 F L U' B L' R
R2 F L U' B R L'
F2 U2 F L' U' L2 U'
F2 U2 F L' U2 D F2
U F L D R2 F U'
F2 U2 F L' D U2 F2
F2 U2 F L' D' B2 U2
U F L D F R2 U'
U F L D2 F U' B2
U F L F U F U2
R F R U L U' B
F U2 F2 L' U' L2 U'
F U2 F2 L' U2 D F2
F U2 F2 L' D U2 F2
F U2 F2 L' D' B2 U2
R2 F U L U' B R
R F U L U' R B
F' D L' U' L2 U' L'
F' D L' U2 D L F2
F' D L' U2 D F2 L
F' D L' D U2 L F2
F' D L' D U2 F2 L
F' D L' D' B2 R' U2
F D L R2 U' L' R'
F D L R2 U' R' L'
U F D L R2 F U'
U F D L F R2 U'
R2 F D B D' R F'
U F D R2 L F U'
D' F D2 B2 R D' F2
R2 F D' B D' R F'
D2 F D2 B2 R D' F2
F D R U L R U'
F D R U R L U'
U F D2 L F U' B2
R2 F D2 B D' R F'
D F D2 B2 R D' F2
R2 F B D' R D F'
R2 F B D' R D' F'
R2 F B D' R D2 F'
R2 F B D' R F' D
R2 F B D' R F' D'
R2 F B D' R F' D2
F D R2 L U' L' R'
F D R2 L U' R' L'
R F B D' R F' B
R F B D' R B F'
R2 F B2 R D' F2 B'
R2 F B2 R D' B' F2
R2 F B2 R B' D' F2
F D U L R2 U' R'
F D U R2 L U' R'
D' F' L' U' L2 U' L'
D2 F' L' U' L2 U' L'
D' F' L' U2 D L F2
D' F' L' U2 D F2 L
D2 F' L' U2 D L F2
D2 F' L' U2 D F2 L
D' F' L' D U2 L F2
D' F' L' D U2 F2 L
D2 F' L' D U2 L F2
D2 F' L' D U2 F2 L
L' F' L' U' L' U' L'
D' F' L' D' B2 R' U2
R F B2 R D' F2 B
R F B2 R D' B F2
D2 F' L' D' B2 R' U2
R F B2 R B D' F2
L2 F' L' U2 D' L' F
L2 F' L' D' U2 L' F
U F' L F R2 U' B
U F' L F U F' U2
D F' L' U' L2 U' L'
D F' L' U2 D L F2
D F' L' U2 D F2 L
D F' L' D U2 L F2
D F' L' D U2 F2 L
D F' L' D' B2 R' U2
B D F D2 R F' B2
B D F D2 R B2 F'
B D F D2 B2 R F'
B D F' L' U2 F L
U2 F' U' L D F U'
U2 F' U' L D' F U'
U2 F' U' L D2 F U'
U2 F' U' L F U' D
U2 F' U' L F U' D'
U2 F' U' L F U' D2
U2 F' U' L F D U'
U2 F' U' L F D' U'
U2 F' U' L F D2 U'
U2 F' U' D L F U'
U2 F' U' D' L F U'
U2 F' U' D2 L F U'
U2 F' U' F L F U'
U2 F' U' F' L F U'
U2 F' U' F2 L F U'
L' F' U2 D F2 L R
L' F' U2 D F2 R L
F' D' L' U' L2 U' L'
F' D' L' U2 D L F2
F' D' L' U2 D F2 L
F' D' L' D U2 L F2
F' D' L' D U2 F2 L
F' D' L' D' B2 R' U2
L' F' D L' U2 L2 F2
L' F' D L' U2 F2 L2
L' F' D U2 F2 L R
L' F' D U2 F2 R L
U2 F' D U' L F U'
L' F' D' L' B2 U2 L2
L' F' D' B2 L' R' U2
L' F' D' B2 R' L' U2
U2 F' D' U' L F U'
U2 F' D2 U' L F U'
B D' R F R F2 B
B D' R F R B F2
U2 F' B D L B' U2
R2 F' B D' F2 R F'
B D' F R D2 F' B2
B D' F R D2 B2 F'
F D' B D' R F' B2
F D' B D' R B2 F'
F D' B D' B2 R F'
L F2 U R F L' U2
F D' B2 R D' F2 B2
F D' B2 R D' B2 F2
F' D2 L' U' L2 U' L'
F' D2 L' U2 D L F2
F' D2 L' U2 D F2 L
F' D2 L' D U2 L F2
F' D2 L' D U2 F2 L
F' D2 L' D' B2 R' U2
F D2 L U' L' R B2
F D2 L U' L' B2 R
F D2 L U' R L' B2
F D2 L U' R B2 L'
F D2 L U' B2 L' R
F D2 L U' B2 R L'
F D2 R U L U' B2
F D2 R B2 U' R' U
F D2 U L U' R B2
F D2 U L U' B2 R
R2 B L D L' F R
R2 B R D' F R F'
R2 B R F D' R F'
R2 B R' D' F R F'
R2 B R' F D' R F'
R2 B R2 D' F R F'
R2 B R2 F D' R F'
F D2 B D' B R F'
R2 B U' R B R' U
F D2 B2 R U' R2 U
F D2 B2 R D' F2 D
F D2 B2 R D' F2 D'
F D2 B2 R D' F2 D2
F D2 B2 R F D' F2
F D2 B2 R F' D' F2
F D2 B2 R F2 D' F2
F D2 B2 U' R' U R2
F D2 B2 D R D' F2
F D2 B2 D' R D' F2
F D2 B2 D2 R D' F2
U2 B D L F' B' U2
U2 B D L B' F' U2
R2 B D L' F L R
R2 B D L' F R L
U2 B D F' L B' U2
R2 B D F D2 R F'
B2 F R D' F2 D' B2
B2 F R D2 B2 D F2
R2 B D' R F R F2
R2 B D' F R D F'
R2 B D' F R D' F'
R2 B D' F R D2 F'
R2 B D' F R F' D
R2 B D' F R F' D'
R2 B D' F R F' D2
R2 B D' F2 R F' R
R B D' F R F' B
R B D' F R B F'
R2 B F D' R D F'
R2 B F D' R D' F'
R2 B F D' R D2 F'
R2 B F D' R F' D
R2 B F D' R F' D'
R2 B F D' R F' D2
U2 B F' D L B' U2
R2 B F' D' F2 R F'
R B F D' R F' B
R B F D' R B F'
F' B D L' U2 F L
B2 F D' R D' F2 B2
B2 F D' R D' B2 F2
B F D' R D' F' B2
B F D' R D' B2 F'
B F D' R F' D' B2
B2 F D2 R B2 D' F2
B' F D2 B2 D' R F'
F B D' R D' F' B2
F B D' R D' B2 F'
F B D' R F' D' B2
B F D2 B2 D R F'
B2 F' L' U R' U L
F B D2 B2 D R F'
B F' D L' U2 F L
F' B2 L' U R' U L
F B' D2 B2 D' R F'
F B2 R D' F2 D' B2
F B2 R D2 B2 D F2
R2 B2 F R D' F2 B'
R2 B2 F R D' B' F2
R2 B2 F R B' D' F2
F B2 D' R D' F2 B2
F B2 D' R D' B2 F2
R B2 F R D' F2 B
R B2 F R D' B F2
R B2 F R B D' F2
F B2 D2 R B2 D' F2
