R2 U' F R U'
R2 L D F L' U2
L R2 D F L' U2
R2 U' R F R U'
R2 U' R' F R U'
R2 U' R2 F R U'
R2 U' D F R U'
R2 U' D' F R U'
R2 U' D2 F R U'
R2 U' F R U' D
R2 U' F R U' D'
R2 U' F R U' D2
R2 U' F R D U'
R2 U' F R D' U'
R2 U' F R D2 U'
R2 U' F D R U'
R2 U' F D' R U'
R2 U' F D2 R U'
F2 R2 U B L U
R2 D U' F R U'
U' D F R B2 U'
U' D F B2 R U'
U' D B2 F R U'
R2 D' U' F R U'
D2 U' F R U' L2
D U' F R B2 U'
D U' F B2 R U'
D U' B2 F R U'
R2 D2 U' F R U'
U' D2 F R U' L2
U' F R U R U2
U' F D R B2 U'
U' F D B2 R U'
U' F D2 R U' L2
R2 U' D F R D2 U'
R2 U' D F D R U'
R2 U' D F D' R U'
R2 U' D F D2 R U'
R2 U' D' R F R U'
R2 U' D' R' F R U'
R2 U' D' R2 F R U'
R2 U' D' F R U' D
R2 U' D' F R U' D'
R2 U' D' F R U' D2
R2 U' D' F R D U'
R2 U' D' F R D' U'
R2 U' D' F R D2 U'
R2 U' D' F D R U'
R2 U' D' F D' R U'
R2 U' D' F D2 R U'
R2 U' D2 R F R U'
R2 U' D2 R' F R U'
R' U' F R U R2 U2
R' U' F R U' D2 L2
R' U' F R D B2 U'
R' U' F R D2 U' L2
R2 U' D2 R2 F R U'
R2 U' D2 F R U' D
R2 U' D2 F R U' D'
R2 U' D2 F R U' D2
R2 U' D2 F R D U'
R2 U' D2 F R D' U'
R2 U' D2 F R D2 U'
R2 U' D2 F D R U'
R2 U' D2 F D' R U'
R2 U' D2 F D2 R U'
R' U' F B2 R U' L
R2 U' F R' U' D B2
R2 U' F R' D U' B2
R2 U' F R2 D R' U'
R2 U' F R2 D' R' U'
R2 U' F R2 D2 R' U'
R2 U' F D R U' D
R2 U' F D R U' D'
R2 U' F D R U' D2
R2 U' F D R D U'
R2 U' F D R D' U'
R2 U' F D R D2 U'
R2 U' F D' R U' D
R2 U' F D' R U' D'
R2 U' F D' R U' D2
R2 U' F D' R D U'
R2 U' F D' R D' U'
R2 U' F D' R D2 U'
R2 U' F D2 R U' D
R2 U' F D2 R U' D'
R2 U' F D2 R U' D2
R2 U' F D2 R D U'
R2 U' F D2 R D' U'
R2 U' F D2 R D2 U'
R2 U' F B R B' U'
R2 U' F B2 R B2 U'
R2 U' F' R F2 R U'
R2 U' F' R' F2 R U'
R2 U' F' R2 F2 R U'
D2 R' U' F R U' L2
D R' U' F R B2 U'
D R' U' F B2 R U'
D R' U' B2 F R U'
R2 U' B F R B' U'
R' U' B2 F R U' L
R2 U' B2 F R B2 U'
U' R' F R U R2 U2
U' R' F R U' D2 L2
U' R' F R D B2 U'
U' R' F R D2 U' L2
U' R' F B2 R U' L
R2 U2 R U F U' B
R2 U2 R B U F U'
U' R' B2 F R U' L
F' R2 L D F U2 R2
F' R2 L D' L2 U2 B'
F' R2 L D' F L2 U2
F' R2 L F U' F U'
F2 R2 L F U B U
F' R2 L' U' F2 U' B'
F' R2 L' U2 D R2 B'
F' R2 L' U2 D B' R2
F' R2 L' U2 B' D R2
F' R2 L' D U2 R2 B'
F' R2 L' D U2 B' R2
F' R2 L' D' L2 F U2
F2 R2 L' U B U B2
F2 R2 L' U2 B' D' R2
F R2 L F U' F' U'
F2 R2 U L B L U
F2 R2 U L' B L U
F2 R2 U L2 B L U
F2 R2 U D B L U
F2 R2 U D' B L U
F2 R2 U D2 B L U
F2 R2 U B L U D
F2 R2 U B L U D'
F2 R2 U B L U D2
F2 R2 U B L D U
F2 R2 U B L D' U
F2 R2 U B L D2 U
F2 R2 U B D L U
F2 R2 U B D' L U
F2 R2 U B D2 L U
D2 R2 U' F R U' L2
B' R2 U' F R U' F2
F' R2 U' F R F U'
F R2 U' R' U' R B
F' R2 U2 R D B R2
D R2 U' F R B2 U'
F' R2 U2 R B D R2
D R2 U' F B2 R U'
F' R2 U2 R' D R2 B
F' R2 U2 D R B R
F2 R2 U2 R D B R'
F R2 U' F R U' R'
R2 U2 B U F R U'
D R2 U' B2 F R U'
F' R2 D L F U2 R2
F' R2 D L' U2 R2 B'
F' R2 D L' U2 B' R2
R2 U2 B' U F R U'
F' R2 D U2 R B R
F2 R2 D U B L U
F' R2 D' L F L U2
R2 U2 B2 U F R U'
F2 R2 D' U B L U
R2 D L D F L' U2
F2 R2 D2 U B L U
U' R2 F R U R' U2
U' R2 F R B2 U' L
F' R2 F U' F R U'
F2 R2 F U B L U
F2 R2 F' U B L U
R' D R' U' F R U'
F R2 F' U' F R U'
F2 R2 F2 U B L U
R D R U' F R U'
B R2 B' U' F R U'
B2 R2 B2 U' F R U'
R2 D U' R F R U'
R2 D U' R' F R U'
R2 D U' R2 F R U'
R2 D U' F R U' D
R2 D U' F R U' D'
R2 D U' F R U' D2
R2 D U' F R D U'
R2 D U' F R D' U'
R2 D U' F R D2 U'
R2 D U' F D R U'
R2 D U' F D' R U'
R2 D U' F D2 R U'
L D F L' U' B2 U'
L D F L' U2 D L2
L D F L' D U2 L2
L D F L' D' R2 U2
L D F D L' U2 L'
L D F D' L' R2 U2
L D F D' R2 L' U2
U' D R F R B2 U'
U' D R F B2 R U'
U' D R B2 F R U'
U' D R' F R B2 U'
U' D R' F B2 R U'
U' D R' B2 F R U'
U' D R2 F R B2 U'
U' D R2 F B2 R U'
U' D R2 B2 F R U'
U' D F R U' D L2
U' D F R D U' L2
U' D F R B2 U' D
U' D F R B2 U' D'
U' D F R B2 U' D2
U' D F R B2 D U'
U' D F R B2 D' U'
U' D F R B2 D2 U'
U' D F R' B2 R2 U'
U' D F D R U' L2
U' D F B' R B' U'
U' D F B2 R U' D
U' D F B2 R U' D'
U' D F B2 R U' D2
U' D F B2 R D U'
U' D F B2 R D' U'
U' D F B2 R D2 U'
U' D F B2 D R U'
U' D F B2 D' R U'
U' D F B2 D2 R U'
R2 D' L D F L' U2
U' D B' F R B' U'
R' D' R' U' F R U'
U' D B2 R F R U'
U' D B2 R' F R U'
U' D B2 R2 F R U'
U' D B2 D F R U'
U' D B2 D' F R U'
U' D B2 D2 F R U'
U' D B2 F R U' D
U' D B2 F R U' D'
U' D B2 F R U' D2
U' D B2 F R D U'
U' D B2 F R D' U'
U' D B2 F R D2 U'
U' D B2 F D R U'
U' D B2 F D' R U'
U' D B2 F D2 R U'
R D' R U' F R U'
L2 D' U F2 B' L U
L2 D' U B' L F2 U
L2 D' U B' F2 L U
R2 D' U' R F R U'
R2 D' U' R' F R U'
R2 D' U' R2 F R U'
R2 D' U' F R U' D
R2 D' U' F R U' D'
R2 D' U' F R U' D2
R2 D' U' F R D U'
R2 D' U' F R D' U'
R2 D' U' F R D2 U'
R2 D' U' F D R U'
R2 D' U' F D' R U'
R2 D' U' F D2 R U'
D2 U' R F R U' L2
D2 U' R' F R U' L2
D U' R F R B2 U'
D U' R F B2 R U'
D U' R B2 F R U'
D2 U' R2 F R U' L2
D U' R' F R B2 U'
D U' R' F B2 R U'
D U' R' B2 F R U'
D' U' F R U2 F U
U' D' F R U2 F U
D2 U' F R U' L2 D
D2 U' F R U' L2 D'
D2 U' F R U' L2 D2
D2 U' F R D' B2 U'
D2 U' F R B U' L2
D2 U' F R B' U' L2
D2 U' F R B2 U' L2
D U' R2 F R B2 U'
D2 U' F D' R B2 U'
D U' R2 F B2 R U'
D2 U' F D' B2 R U'
D2 U' F B R U' L2
D2 U' F B' R U' L2
D2 U' F B2 R U' L2
D U' R2 B2 F R U'
D U' F R U' D L2
D U' F R D U' L2
D U' F R B2 U' D
D U' F R B2 U' D'
D U' F R B2 U' D2
D U' F R B2 D U'
D U' F R B2 D' U'
D U' F R B2 D2 U'
D U' F R' B2 R2 U'
D U' F D R U' L2
D U' F B' R B' U'
D U' F B2 R U' D
D U' F B2 R U' D'
D U' F B2 R U' D2
D U' F B2 R D U'
D U' F B2 R D' U'
D U' F B2 R D2 U'
D U' F B2 D R U'
D U' F B2 D' R U'
D U' F B2 D2 R U'
D2 U' B F R U' L2
R2 D2 L D F L' U2
D2 U' B' F R U' L2
F2 U' F R F2 U' L'
D2 U' B2 F R U' L2
D U' B' F R B' U'
D U' B2 R F R U'
D U' B2 R' F R U'
D U' B2 R2 F R U'
D U' B2 D F R U'
D U' B2 D' F R U'
D U' B2 D2 F R U'
D U' B2 F R U' D
D U' B2 F R U' D'
D U' B2 F R U' D2
D U' B2 F R D U'
D U' B2 F R D' U'
D U' B2 F R D2 U'
D U' B2 F D R U'
D U' B2 F D' R U'
D U' B2 F D2 R U'
R' D2 R' U' F R U'
D2 U2 L2 R B D' R2
R D2 R U' F R U'
U2 D2 L2 R B D' R2
D2 U2 R L2 B D' R2
U' D2 R F R U' L2
U2 D2 R L2 B D' R2
U' D2 R' F R U' L2
U' D2 R2 F R U' L2
R2 D2 U' R F R U'
R2 D2 U' R' F R U'
R2 D2 U' R2 F R U'
R2 D2 U' F R U' D
R2 D2 U' F R U' D'
R2 D2 U' F R U' D2
R2 D2 U' F R D U'
R2 D2 U' F R D' U'
R2 D2 U' F R D2 U'
R2 D2 U' F D R U'
R2 D2 U' F D' R U'
R2 D2 U' F D2 R U'
U' D2 F R U' L2 D
U' D2 F R U' L2 D'
U' D2 F R U' L2 D2
U' D2 F R D' B2 U'
U' D2 F R B U' L2
U' D2 F R B' U' L2
U' D2 F R B2 U' L2
U' D2 F D' R B2 U'
U' D2 F D' B2 R U'
U' D2 F B R U' L2
U' D2 F B' R U' L2
U' D2 F B2 R U' L2
U' D2 B F R U' L2
U' D2 B' F R U' L2
U' D2 B2 F R U' L2
R2 F L F U' F' U'
L F L R2 U B' U
L F L' R2 U' F U'
U' F R U R U2 D
U' F R U R U2 D'
U' F R U R U2 D2
U' F R U R D U2
U' F R U R D' U2
U' F R U R D2 U2
U' F R U D R U2
U' F R U D' R U2
U' F R U D2 R U2
U' F R U' F2 L' F2
U' F R U2 F2 U L'
U' F R D U R U2
U' F R D' U R U2
U' F R D2 U R U2
U' F R B U R U2
U' F R B' U R U2
U' F R B2 U R U2
U' F R' U' D B2 L
U' F R' D U' B2 L
U' F R' B2 R2 U' L
U' F U R2 U' R' U'
L F R2 L U B' U
L F R2 L' U' F U'
U' F U2 D' F2 L' U
R2 F U' R' U' R B
R2 F U' F R U' R'
U' F D R U' D L2
U' F D R D U' L2
U' F D R B2 U' D
U' F D R B2 U' D'
U' F D R B2 U' D2
U' F D R B2 D U'
U' F D R B2 D' U'
U' F D R B2 D2 U'
U' F D R' B2 R2 U'
U' F D B' R B' U'
U' F D B2 R U' D
U' F D B2 R U' D'
U' F D B2 R U' D2
U' F D B2 R D U'
U' F D B2 R D' U'
U' F D B2 R D2 U'
U' F D B2 D R U'
U' F D B2 D' R U'
U' F D B2 D2 R U'
U' F D' R U' D' L2
U' F D' R U2 F2 U
U' F D' R D' U' L2
U' F D' R D2 B2 U'
U' F D' U2 F2 L' U
U' F D2 R U' L2 D
U' F D2 R U' L2 D'
U' F D2 R U' L2 D2
U' F D2 R D' B2 U'
U' F D2 R B U' L2
U' F D2 R B' U' L2
U' F D2 R B2 U' L2
U' F D2 B R U' L2
U' F D2 B' R U' L2
U' F D2 B2 R U' L2
U' F B R U R U2
U' F B D R B2 U'
U' F B D B2 R U'
U' F B D2 R U' L2
U' F B' R U R U2
U' F B' D R B2 U'
U' F B' D B2 R U'
U' F B' D2 R U' L2
U' F B2 R U R U2
U' F B2 D R B2 U'
U' F B2 D B2 R U'
U' F B2 D2 R U' L2
R2 F' L D F U2 R2
R2 F' L D' L2 U2 B'
R2 F' L D' F L2 U2
R2 F' L F U' F U'
R2 F' L' U' F2 U' B'
R2 F' L' U2 D R2 B'
R2 F' L' U2 D B' R2
R2 F' L' U2 B' D R2
R2 F' L' D U2 R2 B'
R2 F' L' D U2 B' R2
R2 F' L' D' L2 F U2
U' F' R F2 R U' L'
R2 F' U' F R F U'
R2 F' U2 R D B R2
R2 F' U2 R B D R2
R2 F' U2 R' D R2 B
R2 F' U2 D R B R
R2 F' D L F U2 R2
R2 F' D L' U2 R2 B'
R2 F' D L' U2 B' R2
R2 F' D U2 R B R
R2 F' D' L F L U2
R2 F2 L F U' F2 U'
R2 F2 L F U2 D R2
R2 F2 L F D U2 R2
R2 F2 L F D' L2 U2
R2 F2 L' U' F' U' B'
L F2 R2 U2 D' B R'
L F2 R2 D' U2 B R'
R2 F2 U' F R F2 U'
R2 F2 U' F' U2 L' U
U' B D F R B2 U'
U' B D F B2 R U'
U' B D B2 F R U'
U' B D2 F R U' L2
U' B F R U R U2
U' B F D R B2 U'
U' B F D B2 R U'
U' B F D2 R U' L2
U' B' D F R B2 U'
U' B' D F B2 R U'
U' B' D B2 F R U'
U' B' D2 F R U' L2
U' B' F R U R U2
U' B' F D R B2 U'
U' B' F D B2 R U'
U' B' F D2 R U' L2
U' B2 D F R B2 U'
U' B2 D F B2 R U'
U' B2 D B2 F R U'
U' B2 D2 F R U' L2
U' B2 F R U R U2
U' B2 F D R B2 U'
U' B2 F D B2 R U'
U' B2 F D2 R U' L2
