F2 R' U B U
R' F2 U B U
F2 L R' U B U
R' L F2 U B U
F2 L' R' U B U
L' R' F2 U B U
R' L' F2 U B U
L R' F2 U B U
L2 R' F2 U B U
F2 L2 R' U B U
R' L2 F2 U B U
R' U D' L2 B U
R' U D' B L2 U
R' U D2 B U B
R' U B U D2 B2
R' U B U' F2 U2
R' U B D' L2 U
R' U B D2 U B2
R' U' D R2 F' U'
F2 R' L U B U
F2 R' L' U B U
F2 R' L2 U B U
F2 R' U D B U
F2 R' U D' B U
F2 R' U D2 B U
F2 R' U B U D
F2 R' U B U D'
F2 R' U B U D2
F2 R' U B D U
F2 R' U B D' U
F2 R' U B D2 U
F2 R' D U B U
F2 R' D' U B U
F2 R' D2 U B U
F R' F U B U
R' D U' R2 F' U'
R' D' U L2 B U
R' D' U B L2 U
R' D2 U B U B
R' F2 L U B U
R' F2 L' U B U
F D' R' F L' U2
R' F2 L2 U B U
L' F2 R' U B U
F' D' F' R' U2 R2
F D' F L' R' U2
F D' F R' L' U2
L2 F2 R' U B U
R' F2 U D B U
R' F2 U D' B U
R' F2 U D2 B U
L F2 R' U B U
R' F2 U B U D
R' F2 U B U D'
R' F2 U B U D2
R' F2 U B D U
R' F2 U B D' U
R' F2 U B D2 U
R' F2 D U B U
R F2 R2 U' F U'
R' F2 D' U B U
R' F2 D2 U B U
L R' U D' B L2 U
L2 R' U D' B L2 U
L R' U D2 B U B
L2 R' U D2 B U B
L' R' U B U D2 B2
L' R' U B U' F2 U2
R' L' U B U D2 B2
R' L' U B U' F2 U2
L' R' U B D' L2 U
L' R' U B D2 U B2
R' L' U B D' L2 U
R' L' U B D2 U B2
L R' U B U D2 B2
L R' U B U' F2 U2
L R' U B D' L2 U
L R' U B D2 U B2
L2 R' U B U D2 B2
L2 R' U B U' F2 U2
L2 R' U B D' L2 U
L2 R' U B D2 U B2
R' L' U' D R2 F' U'
L' R' U' D R2 F' U'
L R' U' D R2 F' U'
L2 R' U' D R2 F' U'
R' L' D U' R2 F' U'
L' R' D U' R2 F' U'
D2 L' R' U' F U' B2
F2 L' R' U D B U
F2 L' R' U D' B U
F2 L' R' U D2 B U
F2 L' R' U B U D
F2 L' R' U B U D'
F2 L' R' U B U D2
F2 L' R' U B D U
F2 L' R' U B D' U
F2 L' R' U B D2 U
L R' D U' R2 F' U'
L2 R' D U' R2 F' U'
F L' R' U B L U
F2 L' R' D U B U
F2 L' R' D' U B U
F2 L' R' D2 U B U
R' L' D' U L2 B U
R' L' D' U B L2 U
L' R' D' U L2 B U
L' R' D' U B L2 U
L R' D' U L2 B U
L2 R' D' U L2 B U
L R' D' U B L2 U
L2 R' D' U B L2 U
R' L' D2 U B U B
L' R' D2 U B U B
L2 R' D2 U B U B
L R' D2 U B U B
D2 L' U' F U' B2 L
R' L' F2 L U B U
L' R' F2 L U B U
R' L' F2 L' U B U
L' R' F2 L' U B U
R' L' F2 L2 U B U
L' R' F2 L2 U B U
L2 R' F2 L U B U
L R' F2 L U B U
L2 R' F2 L' U B U
L R' F2 L' U B U
R' L' F2 U D B U
R' L' F2 U D' B U
R' L' F2 U D2 B U
L2 R' F2 L2 U B U
R' L' F2 U B U D
R' L' F2 U B U D'
R' L' F2 U B U D2
R' L' F2 U B D U
R' L' F2 U B D' U
R' L' F2 U B D2 U
L R' F2 L2 U B U
L' R' F2 U D B U
L' R' F2 U D' B U
L' R' F2 U D2 B U
L' R' F2 U B U D
L' R' F2 U B U D'
L' R' F2 U B U D2
L' R' F2 U B D U
L' R' F2 U B D' U
L' R' F2 U B D2 U
R' L' F2 D U B U
L' R' F2 D U B U
R' L' F2 D' U B U
L2 R' F2 U D B U
L2 R' F2 U D' B U
L2 R' F2 U D2 B U
L' R' F2 D' U B U
L2 R' F2 U B U D
L2 R' F2 U B U D'
L2 R' F2 U B U D2
L2 R' F2 U B D U
L2 R' F2 U B D' U
L2 R' F2 U B D2 U
L R' F2 U D B U
L R' F2 U D' B U
L R' F2 U D2 B U
R' L' F2 D2 U B U
L R' F2 U B U D
L R' F2 U B U D'
L R' F2 U B U D2
L R' F2 U B D U
L R' F2 U B D' U
L R' F2 U B D2 U
R L' F2 R2 U' F U'
L' R' F2 D2 U B U
L2 R' F2 D U B U
L R' F2 D U B U
L2 R' F2 D' U B U
L R' F2 D' U B U
L2 R' F2 D2 U B U
L R' F2 D2 U B U
F' L' D' F' R' U2 R2
F' L' F' R' U B U
R' L2 U D' L2 B U
R' L2 U D' B L2 U
R' L2 U D2 B U B
R' L2 U B U D2 B2
R' L2 U B U' F2 U2
R' L2 U B D' L2 U
R' L2 U B D2 U B2
R' L2 U' D R2 F' U'
R' L2 D U' R2 F' U'
R' L2 D' U L2 B U
R' L2 D' U B L2 U
R' L2 D2 U B U B
F2 L2 R' U D B U
F2 L2 R' U D' B U
F2 L2 R' U D2 B U
F2 L2 R' U B U D
F2 L2 R' U B U D'
F2 L2 R' U B U D2
F2 L2 R' U B D U
F2 L2 R' U B D' U
F2 L2 R' U B D2 U
F2 L2 R' D U B U
F2 L2 R' D' U B U
F L2 R' U B U B2
F2 L2 R' D2 U B U
F L2 R' U2 B' D' R2
R' L2 F2 L U B U
R' L2 F2 L' U B U
R' L2 F2 L2 U B U
R' L2 F2 U D B U
R' L2 F2 U D' B U
R' L2 F2 U D2 B U
R' L2 F2 U B U D
R' L2 F2 U B U D'
R' L2 F2 U B U D2
R' L2 F2 U B D U
R' L2 F2 U B D' U
R' L2 F2 U B D2 U
R' L2 F2 D U B U
R' L2 F2 D' U B U
R' L2 F2 D2 U B U
R L2 F2 R2 U' F U'
F' L2 D' F' R' U2 R2
R' U L D' L2 B U
R' U L D' B L2 U
R' U L D2 B U B
R' U L B U D2 B2
R' U L B U' F2 U2
R' U L B D' L2 U
R' U L B D2 U B2
R' U L' D' L2 B U
R' U L' D' B L2 U
R' U L' D2 B U B
R' U L' B U D2 B2
R' U L' B U' F2 U2
R' U L' B D' L2 U
R' U L' B D2 U B2
R' U L2 D' L2 B U
R' U L2 D' B L2 U
R' U L2 D2 B U B
R' U L2 B U D2 B2
R' U L2 B U' F2 U2
R' U L2 B D' L2 U
R' U L2 B D2 U B2
F' L2 F' R' U B U
R' U D B U D B2
R' U D B U2 R2 U'
R' U D B D U B2
R' U D B D2 L2 U
R' U D' L' B L' U
R' U D' L2 D B U
R' U D' L2 D' B U
R' U D' L2 D2 B U
R' U D' L2 B U D
R' U D' L2 B U D'
R' U D' L2 B U D2
R' U D' L2 B D U
R' U D' L2 B D' U
R' U D' L2 B D2 U
R' U D' B L2 U D
R' U D' B L2 U D'
R' U D' B L2 U D2
R' U D' B L2 D U
R' U D' B L2 D' U
R' U D' B L2 D2 U
R' U D' B U D' B2
R' U D' B D' U B2
R' U D' B' L2 B2 U
R' U D2 L B U B
R' U D2 L' B U B
R' U D2 L2 B U B
R U D' F2 L2 B' U
R' U D2 B L U B
R' U D2 B L' U B
R' U D2 B L2 U B
R' U D2 B U D B
R' U D2 B U D' B
R' U D2 B U D2 B
R' U D2 B U B D
R' U D2 B U B D'
R' U D2 B U B D2
R' U D2 B D U B
R' U D2 B D' U B
R' U D2 B D2 U B
R' U B L U D2 B2
R' U B L U' F2 U2
R' U B L D' L2 U
R' U B L D2 U B2
R' U B L' U D2 B2
R' U B L' U' F2 U2
R' U B L' D' L2 U
R' U B L' D2 U B2
R' U B L2 U D2 B2
R' U B L2 U' F2 U2
R' U B L2 D' L2 U
R' U B L2 D2 U B2
F2 R U' D F' B2 U'
F2 R U' D B2 F' U'
F2 R U' D2 F' U' L2
R' U B U D2 B2 D
R' U B U D2 B2 D'
R' U B U D2 B2 D2
R' U B U B D2 B2
R' U B U B' D2 B2
R' U B U B2 D2 B2
R' U B U' F2 U2 D
R' U B U' F2 U2 D'
R' U B U' F2 U2 D2
R' U B U' F2 D U2
R' U B U' F2 D' U2
R' U B U' F2 D2 U2
F2 R U' F' U R2 U2
F2 R U' F' U' D2 L2
F2 R U' F' D B2 U'
F2 R U' F' D2 U' L2
R' U B U2 D R2 U'
R' U B D U2 R2 U'
R' U B D' L2 U D
R' U B D' L2 U D'
R' U B D' L2 U D2
R' U B D' L2 D U
R' U B D' L2 D' U
R' U B D' L2 D2 U
R' U B D2 L U B2
R' U B D2 L' U B2
R' U B D2 L2 U B2
R' U B D2 U B2 D
R' U B D2 U B2 D'
R' U B D2 U B2 D2
R' U B' D' L2 U R2
U' R D F' R2 B2 U'
U' R D F' B2 R2 U'
F2 R D U' F' B2 U'
F2 R D U' B2 F' U'
U' R D B2 F' R2 U'
R' U B2 D' B' L2 U
R' U B2 D2 B' U B'
U' R D2 F' U' L2 B2
U' R D2 F' U' B2 L2
F2 R D2 U' F' U' L2
F R F R2 U' F2 U'
F R F R2 U2 D R2
F R F R2 D U2 R2
F R F R2 D' L2 U2
U' R F' U R2 U2 B
U' R F' U F' R2 U2
R' U' R2 D F' R2 U'
R' U' R2 D2 F' U' B2
R' U' R2 F' R2 U' B
R' U' R2 F' U F' U2
R' U' D R2 D F' U'
R' U' D R2 D' F' U'
R' U' D R2 D2 F' U'
R' U' D R2 F' U' D
R' U' D R2 F' U' D'
R' U' D R2 F' U' D2
R' U' D R2 F' D U'
R' U' D R2 F' D' U'
R' U' D R2 F' D2 U'
R' U' D F R2 F' U'
R' U' D F' R2 F' U'
R' U' D F2 R2 F' U'
R U' D F' R2 B2 U'
R U' D F' B2 R2 U'
D2 R' L U B' U B'
R U' D B2 F' R2 U'
F2 R' L U D B U
F2 R' L U D' B U
F2 R' L U D2 B U
R' U' D2 R2 F' U' B2
F2 R' L U B U D
F2 R' L U B U D'
F2 R' L U B U D2
F2 R' L U B D U
F2 R' L U B D' U
F2 R' L U B D2 U
F2 R' L D U B U
F2 R' L D' U B U
F2 R' L D2 U B U
D2 R' L' U' F U' B2
F2 R' L' U D B U
F2 R' L' U D' B U
F2 R' L' U D2 B U
F2 R' L' U B U D
F2 R' L' U B U D'
F2 R' L' U B U D2
F2 R' L' U B D U
F2 R' L' U B D' U
F2 R' L' U B D2 U
F2 R' L' D U B U
F2 R' L' D' U B U
F2 R' L' D2 U B U
R U' D2 F' U' L2 B2
R U' D2 F' U' B2 L2
F R' L' U B L U
F2 R' L2 U D B U
F2 R' L2 U D' B U
F2 R' L2 U D2 B U
F2 R' L2 U B U D
F2 R' L2 U B U D'
F2 R' L2 U B U D2
F2 R' L2 U B D U
F2 R' L2 U B D' U
F2 R' L2 U B D2 U
R' U' F' R2 F' U' B
F2 R' L2 D U B U
F2 R' L2 D' U B U
F2 R' L2 D2 U B U
D2 R' U L B' U B'
F R' L2 U B U B2
F R' L2 U2 B' D' R2
F2 R' U L B L' U
F2 R' U L2 B L2 U
F2 R' U D B U D
F2 R' U D B U D'
F2 R' U D B U D2
F2 R' U D B D U
F2 R' U D B D' U
F2 R' U D B D2 U
R U' F' U R2 U2 B
F2 R' U D' B U D
F2 R' U D' B U D'
F2 R' U D' B U D2
F2 R' U D' B D U
F2 R' U D' B D' U
F2 R' U D' B D2 U
R U' F' U F' R2 U2
F2 R' U D2 B U D
F2 R' U D2 B U D'
F2 R' U D2 B U D2
F2 R' U D2 B D U
F2 R' U D2 B D' U
F2 R' U D2 B D2 U
R' U' F2 U2 B U B'
F R' U L2 B U B2
F2 R' U B' U D' R2
F2 R' U B' D' U R2
F2 R' U B2 D B' U
F2 R' U B2 D' B' U
F2 R' U B2 D2 B' U
F R' U B L2 U B'
F R' U B U' F U2
F2 R' U' R2 F' R2 U'
F2 R' U' F U2 B U
F2 R' U' F' U2 B U
F2 R' U' F2 U2 B U
F2 R' U2 R2 U F' U'
D2 R' U2 B D' B R'
F2 R' U2 B' D' B R2
F2 R' D L U B U
F2 R' D L' U B U
F2 R' D L2 U B U
F2 R' D U B U D
F2 R' D U B U D'
F2 R' D U B U D2
F2 R' D U B D U
F2 R' D U B D' U
F2 R' D U B D2 U
F2 R' D' L U B U
F2 R' D' L' U B U
F2 R' D' L2 U B U
F R' D F U B U
F2 R' D' U B U D
F2 R' D' U B U D'
F2 R' D' U B U D2
F2 R' D' U B D U
F2 R' D' U B D' U
F2 R' D' U B D2 U
F2 R' D2 L U B U
F2 R' D2 L' U B U
F2 R' D2 L2 U B U
F R' D' F U B U
F2 R' D2 U B U D
F2 R' D2 U B U D'
F2 R' D2 U B U D2
F2 R' D2 U B D U
F2 R' D2 U B D' U
F2 R' D2 U B D2 U
D' R' F L' U L' U
F R' D2 F U B U
D' R' F D L' F2 U2
D' R' F D F2 U2 R
D' R' F D' L' U2 B2
F R' F L U B U
F R' F L' U B U
F R' F L2 U B U
D' R' F' U L2 U R
F R' F U D B U
F R' F U D' B U
F R' F U D2 B U
F R' F U B U D
F R' F U B U D'
F R' F U B U D2
F R' F U B D U
F R' F U B D' U
F R' F U B D2 U
D' R' F' U2 R D' B2
D' R' F' U2 D' R B2
D' R' F' U2 D' B2 R
F R' F D U B U
D' R' F' D F2 L' U2
F R' F D' U B U
D' R' F' D' U2 R B2
D' R' F' D' U2 B2 R
F R' F D2 U B U
U2 R' F2 U B U F2
F2 R' B' U2 D' R2 F'
F2 R' B' D L2 B U2
F2 R' B' D B L2 U2
F2 R' B' D' U2 R2 F'
F2 R' B' D' B U2 R2
R' U2 D' B' D' R2 B2
R' U2 D' B' D' B2 R2
R' U2 D2 B' D' R2 B'
R' U2 D2 B' D' B' R2
R' U2 D2 B2 U' B' U
R' U2 B D2 B2 D' R2
R' U2 B' D' R2 D' B2
R' U2 B' D2 B2 D R2
F2 R2 D R U B U
R' D L U' R2 F' U'
F2 R2 D' R U B U
R' D L' U' R2 F' U'
F2 R2 D2 R U B U
R' D L2 U' R2 F' U'
R' D U B U D B2
R' D U B U2 R2 U'
R' D U B D U B2
R' D U B D2 L2 U
R' D U' R2 D F' U'
R' D U' R2 D' F' U'
R' D U' R2 D2 F' U'
R' D U' R2 F' U' D
R' D U' R2 F' U' D'
R' D U' R2 F' U' D2
R' D U' R2 F' D U'
R' D U' R2 F' D' U'
R' D U' R2 F' D2 U'
R' D U' F R2 F' U'
R' D U' F' R2 F' U'
R' D U' F2 R2 F' U'
D2 U L B' U B' L
R D U' F' R2 B2 U'
R D U' F' B2 R2 U'
R' D F U' R2 F' U'
R D U' B2 F' R2 U'
R' D F' U' R2 F' U'
R' D F2 U' R2 F' U'
R' D' L U L B U
R' D' L' U L' B U
R' D' L' U B L' U
R' D' L2 U B U B'
R2 D' R U L2 B U
R2 D' R U B L2 U
R' D' U L' B L' U
R' D' U L2 D B U
R' D' U L2 D' B U
R' D' U L2 D2 B U
R' D' U L2 B U D
R' D' U L2 B U D'
R' D' U L2 B U D2
R' D' U L2 B D U
R' D' U L2 B D' U
R' D' U L2 B D2 U
R' D' U B L2 U D
R' D' U B L2 U D'
R' D' U B L2 U D2
R' D' U B L2 D U
R' D' U B L2 D' U
R' D' U B L2 D2 U
R' D' U B U D' B2
R' D' U B D' U B2
R' D' U B' L2 B2 U
R D' U F2 L2 B' U
R' D' U2 B' D' R2 B2
R' D' U2 B' D' B2 R2
R' D' F U L2 B U
R' D' F U B L2 U
R' D' F' U L2 B U
R' D' F' U B L2 U
R' D' F2 U L2 B U
R' D' F2 U B L2 U
R' D2 L U B U B
R' D2 L' U B U B
R' D2 L2 U B U B
R2 D2 R U B U B
U D2 L B' U B' L
R' D2 U L B U B
R' D2 U L' B U B
R' D2 U L2 B U B
R' D2 U B L U B
R' D2 U B L' U B
R' D2 U B L2 U B
R' D2 U B U D B
R' D2 U B U D' B
R' D2 U B U D2 B
R' D2 U B U B D
R' D2 U B U B D'
R' D2 U B U B D2
R' D2 U B D U B
R' D2 U B D' U B
R' D2 U B D2 U B
R' D2 U' R2 F' U' B2
R' D2 U2 B' D' R2 B'
R' D2 U2 B' D' B' R2
R' D2 U2 B2 U' B' U
R' D2 F U B U B
R D2 U' F' U' L2 B2
R D2 U' F' U' B2 L2
R' D2 F' U B U B
R' D2 F2 U B U B
D2 U2 B D' B L R'
D2 U2 B D' B R' L
U2 D2 B D' B L R'
U2 D2 B D' B R' L
D2 U2 B2 L U' B' U
U2 D2 B2 L U' B' U
D' F L' R' U L' U
R' F L' U B L U
R' F L2 U B U B2
R' F L2 U2 B' D' R2
D' F R' L' U L' U
D' F R' D L' F2 U2
D' F R' D F2 U2 R
D' F R' D' L' U2 B2
L' F R' F U B U
L2 F R' F U B U
R' F U L2 B U B2
L F R' F U B U
R' F U B L2 U B'
R' F U B U' F U2
R F R2 D F U2 R2
R F R2 D' L2 U2 B'
R F R2 D' F L2 U2
R F R2 F U' F U'
D' F D L' R' F2 U2
D' F D L' F2 R' U2
D' F D R' L' F2 U2
D' F D R' F2 U2 R
R' F D F U B U
D' F D F2 R' U2 R2
D' F D' L' R' U2 B2
D' F D' L' U2 B2 L
D' F D' R' L' U2 B2
L' F D' R' F L' U2
R' F D' F U B U
L' F D' F L' R' U2
L' F D' F R' L' U2
L2 F D' R' F L' U2
L2 F D' F L' R' U2
L2 F D' F R' L' U2
R' F D2 F U B U
F' D R' U2 R' B R'
F' D R' U2 B R' B
F2 D R' U B U R'
L F D' R' F L' U2
F2 D R' U2 B R' B'
L F D' F L' R' U2
L F D' F R' L' U2
F2 D R' B' L B U2
F D R' D2 F L' U2
R' F' L F' U B U
R' F' L' F' U B U
R' F' L2 F' U B U
D' F' R' U L2 U R2
D' F' R' U2 R2 D' B2
F2 D B' L B R' U2
R' F' U B U' F' U2
R' F' U' R2 F' U' B
F' D' L F' R' U2 R2
D' F' U2 D' B2 L R
D' F' U2 D' B2 R L
R' F' U2 B' D' R2 B
D' F' D R' F2 U2 R2
F' D' L' F' R' U2 R2
R' F' D F' U B U
D' F' D F2 L' R' U2
D' F' D F2 R' L' U2
D' F' D' R' U2 R2 B2
D' F' D' R' U2 B2 R2
F' D' L2 F' R' U2 R2
D' F' D' U2 B2 L R
D' F' D' U2 B2 R L
R' F' D' F' U B U
L' F' D' F' R' U2 R2
L2 F' D' F' R' U2 R2
R' F' D2 F' U B U
F2 D' R' U' F' U' R
F2 D' R' U2 F' R F
L F' D' F' R' U2 R2
F2 D' R' F L' F' U2
F D' R F L' R2 U2
F D' R F R2 L' U2
F D' R' F L' U2 D
F D' R' F L' U2 D'
F D' R' F L' U2 D2
F D' R' F L' D U2
F D' R' F L' D' U2
F D' R' F L' D2 U2
F D' R' F D L' U2
F D' R' F D' L' U2
F D' R' F D2 L' U2
R' F2 L U D B U
R' F2 L U D' B U
R' F2 L U D2 B U
R' F2 L U B U D
R' F2 L U B U D'
R' F2 L U B U D2
R' F2 L U B D U
R' F2 L U B D' U
R' F2 L U B D2 U
L' F2 L R' U B U
R' F2 L D U B U
R' F2 L D' U B U
R' F2 L D2 U B U
L2 F2 L R' U B U
R' F2 L' U D B U
R' F2 L' U D' B U
R' F2 L' U D2 B U
R' F2 L' U B U D
R' F2 L' U B U D'
R' F2 L' U B U D2
R' F2 L' U B D U
R' F2 L' U B D' U
R' F2 L' U B D2 U
L' F2 L' R' U B U
R' F2 L' D U B U
R' F2 L' D' U B U
R' F2 L' D2 U B U
F' D' F L' R' F2 U2
F' D' F L' F2 R' U2
L2 F2 L' R' U B U
F' D' F R' L' F2 U2
F' D' F R' F2 U2 R
L F2 L R' U B U
R' F2 L2 U D B U
R' F2 L2 U D' B U
R' F2 L2 U D2 B U
R' F2 L2 U B U D
R' F2 L2 U B U D'
R' F2 L2 U B U D2
R' F2 L2 U B D U
R' F2 L2 U B D' U
R' F2 L2 U B D2 U
F2 D' F L' F' R' U2
L' F2 L2 R' U B U
R' F2 L2 D U B U
R' F2 L2 D' U B U
R' F2 L2 D2 U B U
F' D' F' L R' U2 R2
F' D' F' L' R' U2 R2
L2 F2 L2 R' U B U
F' D' F' L2 R' U2 R2
F' D' F' R' L U2 R2
F' D' F' R' L' U2 R2
F' D' F' R' L2 U2 R2
F' D' F' R' U2 R2 D
F' D' F' R' U2 R2 D'
F' D' F' R' U2 R2 D2
F' D' F' R' D2 L2 U2
L F2 L' R' U B U
F' D' F' U2 R D2 L2
F' D' F' D R' U2 R2
F2 D' F' R' F U2 R2
F D' F L' R' U2 D
F D' F L' R' U2 D'
F D' F L' R' U2 D2
F D' F L' R' D U2
F D' F L' R' D' U2
F D' F L' R' D2 U2
F' D' F' D' R' U2 R2
F D' F L' D R' U2
F D' F L' D' R' U2
F D' F L' D2 R' U2
F' D' F' D2 R' U2 R2
F D' F R' L' U2 D
F D' F R' L' U2 D'
F D' F R' L' U2 D2
F D' F R' L' D U2
F D' F R' L' D' U2
F D' F R' L' D2 U2
F D' F R' D L' U2
F D' F R' D' L' U2
F D' F R' D2 L' U2
F D' F D L' R' U2
F D' F D R' L' U2
F' D' F2 R' F U2 R
F D' F D' L' R' U2
F D' F D' R' L' U2
L F2 L2 R' U B U
F D' F D2 L' R' U2
F D' F D2 R' L' U2
L' F2 R' L U B U
L' F2 R' L' U B U
L' F2 R' L2 U B U
L' F2 R' U D B U
L' F2 R' U D' B U
L' F2 R' U D2 B U
L' F2 R' U B U D
L' F2 R' U B U D'
L' F2 R' U B U D2
L' F2 R' U B D U
L' F2 R' U B D' U
L' F2 R' U B D2 U
R2 F2 R U B U L'
R F2 L2 R2 U B' U
L' F2 R' D U B U
L' F2 R' D' U B U
F D' F' R' F2 U2 R2
L' F2 R' D2 U B U
L2 F2 R' L U B U
L2 F2 R' L' U B U
L2 F2 R' L2 U B U
L2 F2 R' U D B U
L2 F2 R' U D' B U
L2 F2 R' U D2 B U
U2 F2 R' U B U F2
L2 F2 R' U B U D
L2 F2 R' U B U D'
L2 F2 R' U B U D2
L2 F2 R' U B D U
L2 F2 R' U B D' U
L2 F2 R' U B D2 U
L2 F2 R' D U B U
L2 F2 R' D' U B U
L2 F2 R' D2 U B U
R' F2 U L B L' U
L F2 R' L U B U
L F2 R' L' U B U
R' F2 U L2 B L2 U
L F2 R' L2 U B U
U F2 R' U B R U
L F2 R' U D B U
L F2 R' U D' B U
L F2 R' U D2 B U
L F2 R' U B U D
L F2 R' U B U D'
L F2 R' U B U D2
L F2 R' U B D U
L F2 R' U B D' U
L F2 R' U B D2 U
R' F2 U D B U D
R' F2 U D B U D'
R' F2 U D B U D2
R' F2 U D B D U
R' F2 U D B D' U
R' F2 U D B D2 U
R' F2 U D' B U D
R' F2 U D' B U D'
R' F2 U D' B U D2
R' F2 U D' B D U
R' F2 U D' B D' U
R' F2 U D' B D2 U
L F2 R' D U B U
R' F2 U D2 B U D
R' F2 U D2 B U D'
R' F2 U D2 B U D2
R' F2 U D2 B D U
R' F2 U D2 B D' U
R' F2 U D2 B D2 U
L F2 R' D' U B U
L F2 R' D2 U B U
R' F2 U B' U D' R2
R' F2 U B' D' U R2
R' F2 U B2 D B' U
R' F2 U B2 D' B' U
R' F2 U B2 D2 B' U
R' F2 U' R2 F' R2 U'
R F2 R2 L2 U B' U
R' F2 U' F U2 B U
R' F2 U' F' U2 B U
R F2 R2 U' D F U'
R F2 R2 U' D' F U'
R F2 R2 U' D2 F U'
R F2 R2 U' F U' D
R F2 R2 U' F U' D'
R F2 R2 U' F U' D2
R F2 R2 U' F D U'
R F2 R2 U' F D' U'
R F2 R2 U' F D2 U'
R' F2 U' F2 U2 B U
R F2 R2 D U' F U'
R F2 R2 D' U' F U'
R F2 R2 D2 U' F U'
F2 D2 L R' U B' U
R' F2 U2 R2 U F' U'
R' F2 U2 B' D' B R2
R' F2 D L U B U
R' F2 D L' U B U
R' F2 D L2 U B U
R2 F2 U' B' U' L' R'
R2 F2 U' B' U' R' L'
F2 D2 L' R' U' F U'
R2 F2 U2 L' U' B' U
R' F2 D U B U D
R' F2 D U B U D'
R' F2 D U B U D2
R' F2 D U B D U
R' F2 D U B D' U
R' F2 D U B D2 U
R F2 U' D F B2 U'
R F2 U' D B2 F U'
R' F2 D' L U B U
R F2 U' D2 F U' L2
R' F2 D' L' U B U
R F2 U' F U R2 U2
R F2 U' F U' D2 L2
R F2 U' F D B2 U'
R F2 U' F D2 U' L2
R' F2 D' L2 U B U
R' F2 D' U B U D
R' F2 D' U B U D'
R' F2 D' U B U D2
R' F2 D' U B D U
R' F2 D' U B D' U
R' F2 D' U B D2 U
R' F2 D2 L U B U
R' F2 D2 L' U B U
R' F2 D2 L2 U B U
R' F2 D2 U B U D
R' F2 D2 U B U D'
R' F2 D2 U B U D2
R' F2 D2 U B D U
R' F2 D2 U B D' U
R' F2 D2 U B D2 U
R F2 D U' F B2 U'
R F2 D U' B2 F U'
F2 D2 R' L U B' U
F2 D2 R' L' U' F U'
R' F2 B' U2 D' R2 F'
R' F2 B' D L2 B U2
R' F2 B' D B L2 U2
R' F2 B' D' U2 R2 F'
R' F2 B' D' B U2 R2
F D2 R' D F L' U2
R F2 D2 U' F U' L2
F2 B D B' L R' U2
F2 B D B' R' L U2
R' B' F2 U2 D' R2 F'
R' B' F2 D L2 B U2
R' B' F2 D B L2 U2
R' B' F2 D' U2 R2 F'
R' B' F2 D' B U2 R2
B F2 D B' L R' U2
B F2 D B' R' L U2
