B' L F2 B U' B'
B' L B F2 U' B'
B' U L F2 B U'
B' U L B F2 U'
B' U F2 L B U'
F2 U' B' U L U'
F2 D' R U' F' B'
F2 D' R U' B' F'
U' B' U L F2 U'
U' B' U F2 L U'
F2 B' L B U' B'
B' F2 L B U' B'
F2 D' R U' D2 B' F'
F2 D' R U' F' D B'
F2 D' R U' F' D' B'
F2 D' R U' F' D2 B'
F2 D' R U' F' B' D
F2 D' R U' F' B' D'
F2 D' R U' F' B' D2
F2 D' R U' B' D F'
F2 D' R U' B' D' F'
F2 D' R U' B' D2 F'
F2 D' R U' B' F' D
F2 D' R U' B' F' D'
F2 D' R U' B' F' D2
F2 D' R D U' F' B'
F2 D' R D U' B' F'
F2 D' R D' U' F' B'
F2 D' R D' U' B' F'
F2 D' R D2 U' F' B'
F2 D' R D2 U' B' F'
F2 D' R' U B U2 B2
F2 D' R' U' B' D2 F2
F D' R F U' F2 B'
F D' R F U' B' F2
U' F' B' U L F' U'
U' F' B' U F' L U'
F2 D' U' R F' R' B'
F2 D' U' B' R F' R'
F2 D' U2 R U F' B'
F2 D' U2 R U B' F'
F' D' F' R U' F' B'
F' D' F' R U' B' F'
F D' F R U' F' B'
F D' F R U' B' F'
R' F2 U' B' U L U'
R2 F2 U' B' U L U'
R' F2 D' R U' F' B'
R' F2 D' R U' B' F'
R F2 U' B' U L U'
L F2 D L' U' F B'
L F2 D L' U' B' F
R2 F2 D' R U' F' B'
R2 F2 D' R U' B' F'
R F2 D' R U' F' B'
R F2 D' R U' B' F'
R' F2 B' L B U' B'
L' F2 B' L B U' B2
R2 F2 B' L B U' B'
R F2 B' L B U' B'
F' D2 F' U2 R U B'
U2 B R' U B2 D R2
U2 B R' U2 F2 U' B2
U2 B R' D L2 U R2
U2 B D L2 R' U R'
U2 B D R' L2 U R'
B' F U F L B U'
R' B' L F2 B U' B'
R' B' L B F2 U' B'
L' B' L F2 B U' B2
L' B' L B F2 U' B2
U' B' L' D L R2 F2
U' B' L' D L F2 R2
U' B' L' D R2 L F2
U' B' L' D R2 F2 L
U' B' L' D F2 L R2
U' B' L' D F2 R2 L
R2 B' L F2 B U' B'
R2 B' L B F2 U' B'
D B' L' R2 F D' L2
U' B' R U L F2 U'
U' B' R U F2 L U'
R B' L F2 B U' B'
R B' L B F2 U' B'
U' B' R' U L F2 U'
U' B' R' U F2 L U'
U' B' R2 U L F2 U'
U' B' R2 U F2 L U'
B' F' L F' B U' B'
U' B' U L U' D R2
U' B' U L D U' R2
U' B' U L F2 U' D
U' B' U L F2 U' D'
U' B' U L F2 U' D2
U' B' U L F2 D U'
U' B' U L F2 D' U'
U' B' U L F2 D2 U'
B' F' L B F' U' B'
U' B' U L' F2 L2 U'
R' B' U L F2 B U'
R' B' U L B F2 U'
F' B' L F' B U' B'
F2 B' L D B U' B'
U' B' U D L U' R2
F2 B' L D' B U' B'
F' B' L B F' U' B'
F2 B' L D2 B U' B'
U' B' U F' L F' U'
U' B' U F2 L U' D
U' B' U F2 L U' D'
U' B' U F2 L U' D2
U' B' U F2 L D U'
U' B' U F2 L D' U'
U' B' U F2 L D2 U'
F2 B' L B R U' B'
U' B' U F2 D L U'
F2 B' L B R' U' B'
U' B' U F2 D' L U'
F2 B' L B R2 U' B'
U' B' U F2 D2 L U'
F2 B' L B U' D B'
F2 B' L B U' D' B'
F2 B' L B U' D2 B'
F2 B' L B U' B' D
F2 B' L B U' B' D'
F2 B' L B U' B' D2
F2 B' L B D U' B'
F2 B' L B D' U' B'
F2 B' L B D2 U' B'
D B' R2 L' F D' L2
R' B' U F2 L B U'
U' B' U' D2 B2 R' U
R2 B' U L F2 B U'
R2 B' U L B F2 U'
U2 B' U F2 L U' L'
R2 B' U F2 L B U'
R B' U L F2 B U'
R B' U L B F2 U'
U' B' D R2 U L U'
U' B' D U L U' R2
U B' U' L F2 R U'
R B' U F2 L B U'
B' F' U L F' B U'
B' F' U L B F' U'
U' B' D2 U' B2 R' U
F' B' U L F' B U'
F' B' U L B F' U'
B' F' U F' L B U'
F' B' U F' L B U'
U' B' F U F L U'
U2 B' D2 B2 R' U B2
U' B' F' U L F' U'
U' B' F' U F' L U'
R' B' F2 L B U' B'
F B' U F L B U'
L' B' F2 L B U' B2
F2 B' D L B U' B'
R2 B' F2 L B U' B'
F2 B' D' L B U' B'
R B' F2 L B U' B'
F2 B' D2 L B U' B'
B' F2 L D B U' B'
B' F2 L D' B U' B'
B' F2 L D2 B U' B'
B' F2 L B R U' B'
B' F2 L B R' U' B'
B' F2 L B R2 U' B'
B' F2 L B U' D B'
B' F2 L B U' D' B'
B' F2 L B U' D2 B'
B' F2 L B U' B' D
B' F2 L B U' B' D'
B' F2 L B U' B' D2
B' F2 L B D U' B'
B' F2 L B D' U' B'
B' F2 L B D2 U' B'
B' F2 D L B U' B'
B' F2 D' L B U' B'
B' F2 D2 L B U' B'
