L' F2 U2 F' U B
L F2 B' L2 U' B2
L B D L2 R2 F2
L B D L2 F2 R2
L B D R2 L2 F2
L B D R2 F2 L2
L B D F2 L2 R2
L B D F2 R2 L2
L B' L2 F2 U' B2
L B' F2 L2 U' B2
L B' L2 F2 U' B2 D'
L B' L2 F2 U' B2 D2
L B' L2 F2 D' R2 U'
L B' R L2 F2 U' B2
L B' R F2 L2 U' B2
L B' R' L2 F2 U' B2
L B' R' F2 L2 U' B2
L B' R2 L2 F2 U' B2
L B' R2 F2 L2 U' B2
L B' U' B2 D R2 F2
L B' U' B2 D F2 R2
L' B' F2 R2 B U' B
L' B' F2 U2 F' U B2
L' B' F2 D' R2 B U'
L B' F' L2 F' U' B2
L B' F2 L2 R U' B2
L B' F2 L2 R' U' B2
L B' F2 L2 R2 U' B2
L B' F2 L2 U' B2 D
L B' F2 L2 U' B2 D'
L B' F2 L2 U' B2 D2
L B' F2 L2 D' R2 U'
L B' F2 R L2 U' B2
L B' F2 R' L2 U' B2
L B' F2 R2 L2 U' B2
L B' F2 U' B2 D F2
D2 B2 F2 R F' U B'
L' B2 F2 R2 B U' B2
L' B2 F2 U2 F' U B'
