B' L U2 F' L' U'
U2 L D2 F' R U'
B2 R2 B L R U
B2 R2 B R L U
U2 D L F' U' B'
U2 D F' L U' B'
U2 D2 L F' R U'
D2 U2 L F' R U'
D U2 L F' U' B'
U2 D2 F' L R U'
D2 U2 F' L R U'
U2 D2 F' R L U'
D2 U2 F' R L U'
D U2 F' L U' B'
U2 F' D L U' B'
R' B2 R' B L U
U2 D L F' R2 U' B'
U2 D L F' U' D B'
U2 D L F' U' D' B'
U2 D L F' U' D2 B'
U2 D L F' U' B' D
U2 D L F' U' B' D'
U2 D L F' U' B' D2
U2 D L F' D U' B'
U2 D L F' D' U' B'
U2 D L F' D2 U' B'
R D U2 L F U' B'
U2 D R L U' B' R'
U2 D F L F2 U' B'
D2 U F' L R U' L'
D2 U F' R L U' L'
U2 D F' L R U' B'
U2 D F' L R' U' B'
U2 D F' L R2 U' B'
U2 D F' L U' D B'
U2 D F' L U' D' B'
U2 D F' L U' D2 B'
U2 D F' L U' B' D
U2 D F' L U' B' D'
U2 D F' L U' B' D2
U2 D F' L D U' B'
U2 D F' L D' U' B'
U2 D F' L D2 U' B'
U2 D F' R L U' B'
U2 D F' R' L U' B'
U2 D F' R2 L U' B'
D U F' L U' B' L'
U D F' L U' B' L'
U2 D' L D' F' R U'
U2 D' L F' R' U' B
U2 D' F' L R' U' B
U2 D' F' R' L U' B
U2 D' F' D2 L U' B'
R2 D' B2 R' B' U B2
D' U2 L D' F' R U'
D' U2 L F' R' U' B
D2 U2 L F' R U' D
D2 U2 L F' R U' D'
D2 U2 L F' R U' D2
D2 U2 L F' R D U'
D2 U2 L F' R D' U'
D2 U2 L F' R D2 U'
D2 U2 L F' D R U'
D2 U2 L F' D' R U'
D2 U2 L F' D2 R U'
D U2 L R U' B' R'
U2 D2 L F' R U' D
U2 D2 L F' R U' D'
U2 D2 L F' R U' D2
U2 D2 L F' R D U'
U2 D2 L F' R D' U'
U2 D2 L F' R D2 U'
U2 D2 L F' D R U'
U2 D2 L F' D' R U'
U2 D2 L F' D2 R U'
D U2 L D F' U' B'
D U2 L D' F' U' B'
D2 U2 L' F' L2 R U'
D2 U2 L' F' R L2 U'
D U2 L D2 F' U' B'
D U2 L F' R U' B'
D U2 L F' R' U' B'
D U2 L F' R2 U' B'
D U2 L F' U' D B'
D U2 L F' U' D' B'
D U2 L F' U' D2 B'
D U2 L F' U' B' D
D U2 L F' U' B' D'
D U2 L F' U' B' D2
D U2 L F' D U' B'
D U2 L F' D' U' B'
D U2 L F' D2 U' B'
U2 D2 L' F' L2 R U'
U2 D2 L' F' R L2 U'
D U2 R L U' B' R'
L2 D2 U2 L' F' R U'
D' U2 F' L R' U' B
D2 U2 F' L R U' D
D2 U2 F' L R U' D'
D2 U2 F' L R U' D2
D2 U2 F' L R D U'
D2 U2 F' L R D' U'
D2 U2 F' L R D2 U'
D2 U2 F' L D R U'
D2 U2 F' L D' R U'
D2 U2 F' L D2 R U'
D' U2 F' R' L U' B
D2 U2 F' R L U' D
D2 U2 F' R L U' D'
D2 U2 F' R L U' D2
D2 U2 F' R L D U'
D2 U2 F' R L D' U'
D2 U2 F' R L D2 U'
D U2 F L F2 U' B'
D2 U2 F' R D L U'
D2 U2 F' R D' L U'
D2 U2 F' R D2 L U'
D' U2 F' D2 L U' B'
D2 U2 F' D L R U'
D2 U2 F' D R L U'
U2 D2 F' L R U' D
U2 D2 F' L R U' D'
U2 D2 F' L R U' D2
U2 D2 F' L R D U'
U2 D2 F' L R D' U'
U2 D2 F' L R D2 U'
U2 D2 F' L D R U'
U2 D2 F' L D' R U'
U2 D2 F' L D2 R U'
D2 U2 F' D' L R U'
D2 U2 F' D' R L U'
D2 U2 F' D2 L R U'
D2 U2 F' D2 R L U'
U2 D2 F' R L U' D
U2 D2 F' R L U' D'
U2 D2 F' R L U' D2
U2 D2 F' R L D U'
U2 D2 F' R L D' U'
U2 D2 F' R L D2 U'
U2 D2 F' R D L U'
U2 D2 F' R D' L U'
U2 D2 F' R D2 L U'
D U2 F' L R U' B'
D U2 F' L R' U' B'
D U2 F' L R2 U' B'
D U2 F' L U' D B'
D U2 F' L U' D' B'
D U2 F' L U' D2 B'
D U2 F' L U' B' D
D U2 F' L U' B' D'
D U2 F' L U' B' D2
D U2 F' L D U' B'
D U2 F' L D' U' B'
D U2 F' L D2 U' B'
U2 D2 F' D L R U'
U2 D2 F' D R L U'
U2 D2 F' D' L R U'
U2 D2 F' D' R L U'
U2 D2 F' D2 L R U'
D U2 F' R L U' B'
U2 D2 F' D2 R L U'
D U2 F' R' L U' B'
D U2 F' R2 L U' B'
U D2 F' L R U' L'
U D2 F' R L U' L'
L D2 F' R U2 F U
B' U2 F' L' U' D' B2
B' U2 F' L' U2 L2 U
B' U2 F' L' D' U' B2
B' U2 F' L' D2 R2 U'
B2 U2 F' U2 L' R' U
B2 U2 F' U2 R' L' U
L F R2 F2 B R' U'
L F R2 B R' F2 U'
L F R2 B F2 R' U'
B' D L U2 F' L' U'
F' D L U' D' B' L
F' D L D' U' B' L
U2 F D L U' R2 B'
U2 F D L U' B' R2
F' D L2 B' L' U' B'
B2 D R2 B L R U
B2 D R2 B R L U
U2 F' L D' R' U' B
U2 F' L B R' B' U'
D F' L U' D' B' L
D F' L D' U' B' L
D2 F' L2 R B' L' U'
U F' L B R' U' L'
U F' L B2 U' L' B'
D2 F' L2 B' L' R U'
D2 F' L2 B' R L' U'
L' F' L2 B R' B2 U'
L' F' L2 B' U2 L U
D2 F' R L2 B' L' U'
U2 F' R D L U' B'
D F' L2 B' L' U' B'
U2 F' R' D L U' B'
U2 F' R2 D L U' B'
B' D' L U2 F' L' U'
U2 F' D L R U' B'
U2 F' D L R' U' B'
U2 F' D L R2 U' B'
U2 F' D L U' D B'
U2 F' D L U' D' B'
U2 F' D L U' D2 B'
U2 F' D L U' B' D
U2 F' D L U' B' D'
U2 F' D L U' B' D2
U2 F' D L D U' B'
U2 F' D L D' U' B'
U2 F' D L D2 U' B'
U2 F' D R L U' B'
U2 F' D R' L U' B'
U2 F' D R2 L U' B'
L F' U2 D2 F L' U
U2 F' D' L R' U' B
U F' D L U' B' L'
U2 F' D' R' L U' B
L' F' B L2 R' B' U'
L' F' B R' L2 B' U'
U2 F' B R' B' L U'
L F' D2 U2 F L' U
B2 D' R2 B L R U
B2 D' R2 B R L U
L' F' B2 L2 B' R' U'
L F' B R' U2 F U
L F' B' U2 F L U
B' D2 L U2 F' L' U'
U2 F2 D F L U' B'
B2 D2 R2 B L R U
B2 D2 R2 B R L U
L' B U2 L2 F' R' U'
L' B U2 F' L2 R' U'
L' B U2 F' R' L2 U'
L2 B U2 L' F' R' U'
F' B L2 R' B' L U'
F' B R' L2 B' L U'
L' B F' L2 R' B' U'
L' B F' R' L2 B' U'
U2 B F' R' B' L U'
L' B' L U2 L F' U'
L' B' L U2 F' L U'
L B F' R' U2 F U
R' B' L B' R' B U
L2 B' L U2 L2 F' U'
L2 B' L U2 F' L2 U'
L2 B' L D2 R2 B U
R2 B' L B' R' B' U
L B' L U2 L' F' U'
B F' L2 R' B' L U'
D2 B' U2 F' L' R U'
D2 B' U2 F' R L' U'
B F' R' L2 B' L U'
R' B' D2 L B' R' U
L' B' D2 L R2 B U
L' B' D2 R2 L B U
B' F' U2 F L R U
B' F' U2 F R L U
F' B' U2 F L R U
F' B' U2 F R L U
R' B2 L R' B L U
R' B2 L' R' B L U
L B' F' U2 F L U
R' B2 L2 R' B L U
R' B2 R' L B L U
R' B2 R' L' B L U
R' B2 R' L2 B L U
D' B2 R' U D B R'
R' B2 R' D B L U
R' B2 R' D' B L U
R' B2 R' D2 B L U
D' B2 R' D U B R'
R' B2 R' B L U D
R' B2 R' B L U D'
R' B2 R' B L U D2
R' B2 R' B L D U
R' B2 R' B L D' U
R' B2 R' B L D2 U
R' B2 R' B D L U
R' B2 R' B D' L U
R' B2 R' B D2 L U
D' B2 R2 B R U B
R2 B2 R' B L B2 U
R2 B2 R' B' U2 R' U'
R B2 R B L R2 U
R B2 R B R2 L U
L' B2 D2 R2 B L U
L' B2 F' L2 B' R' U'
