L U2 F' U' L'
D L U2 F' U' L'
D' L U2 F' U' L'
D2 L U2 F' U' L'
R2 L B R2 U L
L R2 B R2 U L
L U2 D F' U' L'
L U2 D' F' U' L'
L U2 D2 F' U' L'
L U2 F' U' L' D
L U2 F' U' L' D'
L U2 F' U' L' D2
L U2 F' U' D L'
L U2 F' U' D' L'
L U2 F' U' D2 L'
L U2 F' D U' L'
L U2 F' D' U' L'
L U2 F' D2 U' L'
L U2 F' B U' L'
L U2 F' B' U' L'
L U2 F' B2 U' L'
L U2 B F' U' L'
L U2 B' F' U' L'
L U2 B2 F' U' L'
L D U2 F' U' L'
L D' U2 F' U' L'
L D2 U2 F' U' L'
U2 F' U' L' D' B2
U2 F' U2 L U L2
U2 F' B' U' L' B'
U2 F' B2 R' U' L'
L B U2 F' U' L
U2 B' F' U' L' B'
U2 B2 F' R' U' L'
L U2 B' F' U' D' L'
L U2 B' F' U' D2 L'
L U2 B' F' D U' L'
L U2 B' F' D' U' L'
L U2 B' F' D2 U' L'
L U2 B2 D F' U' L'
L U2 B2 D' F' U' L'
L U2 B2 D2 F' U' L'
L U2 B2 F' U' L' D
L U2 B2 F' U' L' D'
L U2 B2 F' U' L' D2
L U2 B2 F' U' D L'
L U2 B2 F' U' D' L'
L U2 B2 F' U' D2 L'
L U2 B2 F' D U' L'
L U2 B2 F' D' U' L'
L U2 B2 F' D2 U' L'
L2 D L' U2 F' U' L'
L D R2 B R2 U L
L D U2 F' U' L' D
L D U2 F' U' L' D'
L D U2 F' U' L' D2
L D U2 F' U' D L'
L D U2 F' U' D' L'
L D U2 F' U' D2 L'
L D U2 F' D U' L'
L D U2 F' D' U' L'
L D U2 F' D2 U' L'
L D U2 F' B U' L'
L D U2 F' B' U' L'
L D U2 F' B2 U' L'
L D U2 B F' U' L'
L D U2 B' F' U' L'
L D U2 B2 F' U' L'
L D B U2 F' U' L
U2 D F' U' L' D' B2
U2 D F' U2 L U L2
U2 D F' B' U' L' B'
U2 D F' B2 R' U' L'
R2 D' L B U L F2
R2 D' L B U F2 L
L2 D' L' U2 F' U' L'
U2 D B' F' U' L' B'
U2 D B2 F' R' U' L'
L D' R2 B R2 U L
L' D' U2 F' U' L' B2
L' D' U2 F' U' B2 L'
L D' U2 F' U' L' D
L D' U2 F' U' L' D'
L D' U2 F' U' L' D2
L D' U2 F' U' D L'
L D' U2 F' U' D' L'
L D' U2 F' U' D2 L'
L D' U2 F' D U' L'
L D' U2 F' D' U' L'
L D' U2 F' D2 U' L'
L D' U2 F' B U' L'
L D' U2 F' B' U' L'
L D' U2 F' B2 U' L'
L D' U2 B F' U' L'
L D' U2 B' F' U' L'
L D' U2 B2 F' U' L'
U2 D' F' U' L' D' B2
U2 D' F' U2 L U L2
U2 D' F' B' U' L' B'
U2 D' F' B2 R' U' L'
L D' B U2 F' U' L
L2 D2 L' U2 F' U' L'
U2 D' B' F' U' L' B'
U2 D' B2 F' R' U' L'
L D2 R2 B R2 U L
L' D2 U2 F' R2 U' L'
D' U2 F' U' L' D' B2
D' U2 F' U2 L U L2
L D2 U2 F' U' L' D
L D2 U2 F' U' L' D'
L D2 U2 F' U' L' D2
L D2 U2 F' U' D L'
L D2 U2 F' U' D' L'
L D2 U2 F' U' D2 L'
L D2 U2 F' D U' L'
L D2 U2 F' D' U' L'
L D2 U2 F' D2 U' L'
L D2 U2 F' B U' L'
L D2 U2 F' B' U' L'
L D2 U2 F' B2 U' L'
D2 U2 F' U' L' D' B2
D2 U2 F' U2 L U L2
L D2 U2 B F' U' L'
L D2 U2 B' F' U' L'
L D2 U2 B2 F' U' L'
D' U2 F' B' U' L' B'
D' U2 F' B2 R' U' L'
D2 U2 F' B' U' L' B'
D2 U2 F' B2 R' U' L'
U2 D2 F' U' L' D' B2
U2 D2 F' U2 L U L2
U2 D2 F' B' U' L' B'
U2 D2 F' B2 R' U' L'
D U2 F' U' L' D' B2
D U2 F' U2 L U L2
D U2 F' B' U' L' B'
D U2 F' B2 R' U' L'
D' U2 B' F' U' L' B'
D2 U2 B' F' U' L' B'
L D2 B U2 F' U' L
U2 D2 B' F' U' L' B'
D' U2 B2 F' R' U' L'
D2 U2 B2 F' R' U' L'
D U2 B' F' U' L' B'
U2 D2 B2 F' R' U' L'
B2 U2 D' F' R' B U'
B U2 D F' U' L B'
D U2 B2 F' R' U' L'
R2 F L B R2 U L
B U2 D2 F' R U' L
B2 U2 F' R' B' U' L
B2 U2 F' D' R' B U'
B U2 F' U' D L B'
B U2 F' D U' L B'
F D L B U L R2
F D L B U R2 L
L F D B U L R2
L F D B U R2 L
L F B U L D R2
L F B U D L R2
L F B U D R2 L
L F B U2 F2 U' L
L F B D U L R2
L F B D U R2 L
L F B' D2 B2 U L
R2 F' L B R2 U L
B D U2 F' U' L B'
U2 F' R U' L' D' B2
U2 F' R U2 L U L2
U2 F' R B' U' L' B'
U2 F' R B2 R' U' L'
U2 F' R' U' L' D' B2
U2 F' R' U2 L U L2
U2 F' R' B' U' L' B'
U2 F' R' B2 R' U' L'
U2 F' R2 U' L' D' B2
U2 F' R2 U2 L U L2
U2 F' R2 B' U' L' B'
U2 F' R2 B2 R' U' L'
U2 F' U' L' U' L2 U
U2 F' U' L' D' B2 D
U2 F' U' L' D' B2 D'
U2 F' U' L' D' B2 D2
U2 F' U' L' B D' B2
U2 F' U' L' B' D' B2
U2 F' U' L' B2 D' B2
U2 F' U' D L' D' B2
U2 F' U' D' L' D' B2
U2 F' U' D2 L' D' B2
U2 F' U2 L U L2 D
U2 F' U2 L U L2 D'
U2 F' U2 L U L2 D2
U2 F' U2 L D F2 U
U2 F' U2 L F U L2
U2 F' U2 L F' U L2
U2 F' U2 L F2 U L2
U2 F' U2 D L U L2
U2 F' U2 D' L U L2
U2 F' U2 D2 L U L2
U2 F' D U' L' D' B2
U2 F' D U2 L U L2
U2 F' D B' U' L' B'
U2 F' D B2 R' U' L'
U2 F' D' U' L' D' B2
U2 F' D' U2 L U L2
U2 F' D' B' U' L' B'
U2 F' D' B2 R' U' L'
U2 F' D2 U' L' D' B2
U2 F' D2 U2 L U L2
U2 F' D2 B' U' L' B'
U2 F' D2 B2 R' U' L'
U2 F' B' R U' L' B'
U2 F' B' R' U' L' B'
U2 F' B' R2 U' L' B'
U2 F' B' U' L' D B'
U2 F' B' U' L' D' B'
U2 F' B' U' L' D2 B'
U2 F' B' U' L' B' D
U2 F' B' U' L' B' D'
U2 F' B' U' L' B' D2
U2 F' B' U' D L' B'
U2 F' B' U' D' L' B'
U2 F' B' U' D2 L' B'
U2 F' B' U' B L' B'
U2 F' B' U' B' L' B'
U2 F' B' U' B2 L' B'
U2 F' B' D U' L' B'
U2 F' B' D' U' L' B'
U2 F' B' D2 U' L' B'
U2 F' B2 R' U' L' D
U2 F' B2 R' U' L' D'
U2 F' B2 R' U' L' D2
U2 F' B2 R' U' D L'
U2 F' B2 R' U' D' L'
U2 F' B2 R' U' D2 L'
U2 F' B2 R' D U' L'
U2 F' B2 R' D' U' L'
U2 F' B2 R' D2 U' L'
U2 F' B2 R' B U' L'
U2 F' B2 R' B' U' L'
U2 F' B2 R' B2 U' L'
U2 F' B2 D R' U' L'
U2 F' B2 D' R' U' L'
U2 F' B2 D2 R' U' L'
L F' B' U' R' U2 R
B2 D' U2 F' R' B U'
R2 F2 L B R2 U L
L' F2 L2 B' U' R' U2
L F2 U2 F U R U2
L' F2 B L2 B' U L'
L' F2 B2 L2 B' U L
L F2 B U2 F U' L
U2 F2 B2 R' F U' L'
L2 B L' U2 F' U' L2
B D2 U2 F' R U' L
R2 B R2 U D L B'
R2 B R2 D U L B'
L B U L U F' U'
L B U2 D F' U' L
L B U2 D' F' U' L
L B U2 D2 F' U' L
L B U2 F' U' L D
L B U2 F' U' L D'
L B U2 F' U' L D2
L B U2 F' U' D L
L B U2 F' U' D' L
L B U2 F' U' D2 L
L B U2 F' D U' L
L B U2 F' D' U' L
L B U2 F' D2 U' L
F2 B L2 B' L U L2
L B D U2 F' U' L
U2 B D2 F' R U' L'
L B D' U2 F' U' L
L B D2 U2 F' U' L
L' B F2 L2 B' U L'
L B F U L D R2
L B F U D L R2
L B F U D R2 L
L B F U2 F2 U' L
L B F D U L R2
L B F D U R2 L
B F U D L R2 B'
B F U D L B' R2
B F U D R2 L B'
F B U D L R2 B'
F B U D L B' R2
F B U D R2 L B'
L B F2 U2 F U' L
B F D U L R2 B'
B F D U L B' R2
B F D U R2 L B'
F B D U L R2 B'
F B D U L B' R2
F B D U R2 L B'
U2 B' D F' U' L' B'
L B' U2 F' U R' U2
L B' U2 F' B2 U' L
B' F' U R' F' U2 F
L B' U2 B2 F' U' L
U2 B' D' F' U' L' B'
F' B' U R' F' U2 F
B' F' U' R' U2 R B
U2 B' D2 F' U' L' B'
F' B' U' R' U2 R B
U2 B' F' R U' L' B'
U2 B' F' R' U' L' B'
U2 B' F' R2 U' L' B'
U2 B' F' U' L' D B'
U2 B' F' U' L' D' B'
U2 B' F' U' L' D2 B'
U2 B' F' U' L' B' D
U2 B' F' U' L' B' D'
U2 B' F' U' L' B' D2
U2 B' F' U' D L' B'
U2 B' F' U' D' L' B'
U2 B' F' U' D2 L' B'
U2 B' F' U' B L' B'
U2 B' F' U' B' L' B'
U2 B' F' U' B2 L' B'
U2 B' F' D U' L' B'
U2 B' F' D' U' L' B'
U2 B' F' D2 U' L' B'
L B' F D2 B2 U L
L B' F' U' R' U2 R
B F2 L2 B' L U L2
U B2 U F' R' U' L'
U2 B2 D F' R' U' L'
L B2 U2 F' B' U' L
L B2 U2 B' F' U' L
U2 B2 D' F' R' U' L'
U2 B2 D2 F' R' U' L'
U2 B2 F' R' U' L' D
U2 B2 F' R' U' L' D'
U2 B2 F' R' U' L' D2
L' B2 F2 L2 B' U L
U2 B2 F' R' U' D L'
U2 B2 F' R' U' D' L'
U2 B2 F' R' U' D2 L'
U2 B2 F' R' D U' L'
U2 B2 F' R' D' U' L'
U2 B2 F' R' D2 U' L'
U2 B2 F' R' B U' L'
U2 B2 F' R' B' U' L'
U2 B2 F' R' B2 U' L'
U2 B2 F' D R' U' L'
U2 B2 F' D' R' U' L'
U2 B2 F' D2 R' U' L'
U2 B2 F2 R' F U' L'
