U2 L' F B'
U2 L' B' F
U2 L' D F B'
U2 L' D B' F
U2 L' D' F B'
U2 L' D' B' F
U2 L' D2 F B'
U2 L' D2 B' F
U2 L' F D B'
U2 L' F D' B'
U2 L' F D2 B'
U2 L' F B' D
U2 L' F B' D'
U2 L' F B' D2
U2 L' B' D F
U2 L' B' D' F
U2 L' B' D2 F
U2 L' B' F D
U2 L' B' F D'
U2 L' B' F D2
R U2 L' F B
R U2 L' B F
R U2 B L' F
B' U2 L' F B'
B' U2 L' B' F
B2 U2 L' F B'
B U2 L' F B'
B2 U2 L' B' F
B U2 L' B' F
U2 B L' F B'
U2 B L' B' F
U2 B' L' F B'
U2 B' L' B' F
U2 B2 L' F B'
U2 B2 L' B' F
U2 R' L' B' R F
U R' U L' F B'
U R' U L' B' F
U' R' U' L' F B'
U' R' U' L' B' F
R' U2 L' F D2 B2
R' U2 L' F D2 B2
R U2 L' D F B
R U2 L' D B F
R U2 L' D' F B
R U2 L' D' B F
R U2 L' D2 F B
R U2 L' D2 B F
R U2 L' F D B
R U2 L' F D' B
R U2 L' F D2 B
R U2 L' F B D
R U2 L' F B D'
R U2 L' F B D2
R U2 L' B D F
R U2 L' B D' F
R U2 L' B D2 F
R U2 L' B F D
R U2 L' B F D'
R U2 L' B F D2
F R' F' U2 L' F
U2 R2 L' F R2 B'
U2 R2 L' F R2 B'
U2 R2 L' F B' R2
U2 R2 L' B' R2 F
U2 R2 L' B' F R2
U' R2 U' L' F B'
U' R2 U' L' B' F
U R2 U L' F B'
U R2 U L' B' F
R U2 B L' D F
R U2 B L' D' F
R U2 B L' D2 F
R U2 B L' F D
R U2 B L' F D'
R U2 B L' F D2
R U2 B' L' F B2
R U2 B' L' B2 F
F' U2 L' F B' L'
B2 U2 L' D F B'
B2 U2 L' D B' F
B' U2 L' D F B'
B' U2 L' D B' F
F' U2 L' B' F L'
B2 U2 L' D' F B'
B2 U2 L' D' B' F
B' U2 L' D' F B'
B' U2 L' D' B' F
B2 U2 L' D2 F B'
B2 U2 L' D2 B' F
B' U2 L' D2 F B'
B2 U2 L' F D B'
B2 U2 L' F D' B'
B' U2 L' D2 B' F
B2 U2 L' F D2 B'
B2 U2 L' F B' D
B2 U2 L' F B' D'
B2 U2 L' F B' D2
B' U2 L' F D B'
B' U2 L' F D' B'
B' U2 L' F D2 B'
B' U2 L' F B' D
B' U2 L' F B' D'
B' U2 L' F B' D2
B2 U2 L' B' D F
B2 U2 L' B' D' F
B2 U2 L' B' D2 F
B2 U2 L' B' F D
B2 U2 L' B' F D'
B2 U2 L' B' F D2
B' U2 L' B' D F
B' U2 L' B' D' F
B' U2 L' B' D2 F
B' U2 L' B' F D
B' U2 L' B' F D'
B' U2 L' B' F D2
B U2 L' D F B'
B U2 L' D B' F
B U2 L' D' F B'
B U2 L' D' B' F
B U2 L' D2 F B'
B U2 L' D2 B' F
B U2 L' F D B'
B U2 L' F D' B'
B U2 L' F D2 B'
B U2 L' F B' D
B U2 L' F B' D'
B U2 L' F B' D2
B U2 L' B' D F
B U2 L' B' D' F
B U2 L' B' D2 F
B U2 L' B' F D
B U2 L' B' F D'
B U2 L' B' F D2
F' U2 F L' F B'
F' U2 F L' B' F
L' F R B2 R' B'
L' F R2 B2 R' B
L F L2 F R B
F2 U2 F2 L' F B'
F2 U2 F2 L' B' F
B2 U2 B L' F B'
B2 U2 B L' B' F
B' U2 B L' F B'
B' U2 B L' B' F
B2 U2 B' L' F B'
B2 U2 B' L' B' F
L' F U2 L F U2
B' U2 B' L' F B'
B' U2 B' L' B' F
B U2 B L' F B'
B U2 B L' B' F
B2 U2 B2 L' F B'
B2 U2 B2 L' B' F
B' U2 B2 L' F B'
B' U2 B2 L' B' F
B U2 B' L' F B'
B U2 B' L' B' F
B U2 B2 L' F B'
B U2 B2 L' B' F
L' F B R B R'
L' F B2 R B R2
U2 F' L' F B' L'
U2 F' L' B' F L'
U F' L' U F L'
R' F' U2 L' F L'
R' F' U2 F L' F
L F2 L2 R F B
L F2 L2 R B F
D2 F2 R U2 F' B
D2 F2 R U2 B F'
L F2 R L2 F B
L F2 R L2 B F
F2 D2 R U2 F' B
F2 D2 R U2 B F'
L' B R F B R'
L' B R B R' F
L' B R B F R'
U2 B L' D F B'
U2 B L' D B' F
U2 B L' D' F B'
U2 B L' D' B' F
U2 B L' D2 F B'
U2 B L' D2 B' F
U2 B L' F D B'
U2 B L' F D' B'
U2 B L' F D2 B'
U2 B L' F B' D
U2 B L' F B' D'
U2 B L' F B' D2
U2 B L' B' D F
U2 B L' B' D' F
U2 B L' B' D2 F
U2 B L' B' F D
U2 B L' B' F D'
U2 B L' B' F D2
L' B F R B R'
U2 B' L' D F B'
U2 B' L' D B' F
U2 B' L' D' F B'
U2 B' L' D' B' F
U2 B' L' D2 F B'
U2 B' L' D2 B' F
U2 B' L' F D B'
U2 B' L' F D' B'
U2 B' L' F D2 B'
U2 B' L' F B' D
U2 B' L' F B' D'
U2 B' L' F B' D2
L B' L' U2 L' B'
U2 B' L' B' D F
U2 B' L' B' D' F
U2 B' L' B' D2 F
U2 B' L' B' F D
U2 B' L' B' F D'
U2 B' L' B' F D2
U' B' R' U' L' F
R B' L' F B2 R'
R B' L' B2 R' F
R B' L' B2 F R'
R B' U2 L' F B2
R B' U2 L' B2 F
R B' U2 B2 L' F
L' B2 R F B R2
L' B2 R B R2 F
L' B2 R B F R2
U2 B2 L' D F B'
U2 B2 L' D B' F
L' B2 R' F D2 B2
U2 B2 L' D' F B'
U2 B2 L' D' B' F
U2 B2 L' D2 F B'
U2 B2 L' D2 B' F
U2 B2 L' F D B'
U2 B2 L' F D' B'
U2 B2 L' F D2 B'
U2 B2 L' F B' D
U2 B2 L' F B' D'
U2 B2 L' F B' D2
U2 B2 L' B' D F
U2 B2 L' B' D' F
U2 B2 L' B' D2 F
U2 B2 L' B' F D
U2 B2 L' B' F D'
U2 B2 L' B' F D2
L' B2 F R B R2
R B2 U2 B' L' F
F2 L R B' L' U2 B2
U L U L' B' L' F
L' R D F B2 R' B'
U' L U' L' B' L' F
L' R D B2 R' F B'
L' R D B2 R' B' F
L' R D B2 F R' B'
L' R D' F B2 R' B'
L' R D' B2 R' F B'
L' R D' B2 R' B' F
L' R D' B2 F R' B'
L2 R D2 L F B R2
L2 R D2 L B R2 F
L2 R D2 L B F R2
U2 L U2 F U2 L2 F
U2 L U2 F B' U2 L2
U2 L U2 B' U2 L2 B'
U2 L U2 B' F U2 L2
L' R D2 F B2 R' B'
L' R D2 B2 R' F B'
L' R D2 B2 R' B' F
L' R D2 B2 F R' B'
L' R F R B2 R' B
L R F L2 F B R
L R F L2 B F R
R L F L2 F B R
R L F L2 B F R
L' R F U2 L U2 B
L' R F D B2 R' B'
L' R F D' B2 R' B'
L' R F D2 B2 R' B'
L' R F B2 R B' R2
L' R F B2 R' D B'
L' R F B2 R' D' B'
L' R F B2 R' D2 B'
L' R F B2 R' B' D
L' R F B2 R' B' D'
L' R F B2 R' B' D2
L' R F B2 R2 B' R
L' R F B2 D R' B'
L' R F B2 D' R' B'
L' R F B2 D2 R' B'
L' R F' B2 R' F2 B'
L' R F' B2 R' B' F2
R' L F2 L2 R F B'
R' L F2 L2 R B' F
R' L F2 L2 B' R F
R' L F2 R L2 F B'
R' L F2 R L2 B' F
L R F2 L2 B R F
R L F2 L2 B R F
B' L F L2 F R B
L' R F2 B D2 F' R
B2 L F L2 F R B
B L F L2 F R B
L' R B D2 F' R F2
U2 L F' L2 D2 F B2
U2 L F' L2 D2 B2 F
L' R B F2 D2 F' R
U L F' L' U L' F
L R B' L' U2 L' B2
L R B' L' U2 B2 L'
R L B' L' U2 L' B2
R L B' L' U2 B2 L'
D2 L F2 L2 R F' B
D2 L F2 L2 R B F'
L R B' U2 L2 B2 R'
D2 L F2 R L2 F' B
D2 L F2 R L2 B F'
D2 L F2 R F' L2 B
D2 L F2 R F' B L2
D2 L F2 R B L2 F'
D2 L F2 R B F' L2
B' L F2 L2 R F B
B' L F2 L2 R B F
R L B' U2 L2 B2 R'
B2 L F2 L2 R F B
B2 L F2 L2 R B F
U2 L F2 L2 F D2 B2
B' L F2 R L2 F B
B' L F2 R L2 B F
B2 L F2 R L2 F B
B2 L F2 R L2 B F
B L F2 L2 R F B
B L F2 L2 R B F
B L F2 R L2 F B
B L F2 R L2 B F
L' R B2 R F R2 B'
L' R B2 R F B' R2
L' R B2 R B' R2 F
L' R B2 R B' F R2
L' R B2 R' D F B'
L' R B2 R' D B' F
L' R B2 R' D' F B'
L' R B2 R' D' B' F
L' R B2 R' D2 F B'
L' R B2 R' D2 B' F
L' R B2 R' F D B'
L' R B2 R' F D' B'
L' R B2 R' F D2 B'
L' R B2 R' F B' D
L' R B2 R' F B' D'
L' R B2 R' F B' D2
L' R B2 R' B' D F
L' R B2 R' B' D' F
L' R B2 R' B' D2 F
L' R B2 R' B' F D
L' R B2 R' B' F D'
L' R B2 R' B' F D2
L' R B2 R2 B' R F
L' R B2 D R' F B'
L' R B2 D R' B' F
L' R B2 D F R' B'
L' R B2 D' R' F B'
L' R B2 D' R' B' F
L' R B2 D' F R' B'
L' R B2 D2 R' F B'
L' R B2 D2 R' B' F
L' R B2 D2 F R' B'
L' R B2 F R B' R2
L' R B2 F R' D B'
L' R B2 F R' D' B'
L' R B2 F R' D2 B'
L' R B2 F R' B' D
L' R B2 F R' B' D'
L' R B2 F R' B' D2
L' R B2 F R2 B' R
L' R B2 F D R' B'
L' R B2 F D' R' B'
L' R B2 F D2 R' B'
U2 L B L2 D2 F2 B'
U2 L B L2 D2 B' F2
L' R B2 F' R' F2 B'
L' R B2 F' R' B' F2
F2 L B' L' R U2 B
B' L B' L' U2 L' B'
B2 L B' L' U2 L' B'
F2 L B' R L' U2 B
B L B' L' U2 L' B'
U2 L B2 L2 B' D2 F2
R' L' U2 F' L U2 F2
L' R' U2 F' L U2 F2
U2 L' R D R' F B'
U2 L' R D R' B' F
U2 L' R D F R' B'
U2 L' R D' R' F B'
U2 L' R D' R' B' F
U2 L' R D' F R' B'
D2 L' R F' B2 R' B'
U2 L' R D2 R' F B'
U2 L' R D2 R' B' F
U2 L' R D2 F R' B'
B' L' R F B2 R' B'
U2 L' R F R B' R2
U2 L' R F R' D B'
U2 L' R F R' D' B'
U2 L' R F R' D2 B'
U2 L' R F R' B' D
U2 L' R F R' B' D'
U2 L' R F R' B' D2
U2 L' R F R2 B' R
U2 L' R F D R' B'
U2 L' R F D' R' B'
D2 L' R B D2 F' R
U2 L' R F D2 R' B'
U2 L' R F' R' F2 B'
U2 L' R F' R' B' F2
B2 L' R F B2 R' B'
B L' R F B2 R' B'
D2 L' R B2 F' R' B'
B' L' R B2 R' F B'
B' L' R B2 R' B' F
B' L' R B2 F R' B'
B2 L' R B2 R' F B'
B2 L' R B2 R' B' F
R' L' D F D2 B2 R'
B2 L' R B2 F R' B'
L' R' D F D2 B2 R'
B L' R B2 R' F B'
B L' R B2 R' B' F
B L' R B2 F R' B'
U2 L' R' D R F B'
U2 L' R' D R B' F
U2 L' R' D B' R F
U2 L' R' D' R F B'
U2 L' R' D' R B' F
U2 L' R' D' B' R F
U2 L' R' D2 R F B'
U2 L' R' D2 R B' F
R L' D F B2 R' B'
B' L' R' F D2 B2 R'
U2 L' R' D2 B' R F
B2 L' R' F D2 B2 R'
B L' R' F D2 B2 R'
U2 L' R' B R F B2
U2 L' R' B R B2 F
R L' D B2 R' F B'
R L' D B2 R' B' F
U2 L' R' B' R D F
U2 L' R' B' R D' F
U2 L' R' B' R D2 F
U2 L' R' B' R F D
U2 L' R' B' R F D'
U2 L' R' B' R F D2
U2 L' R' B' R' F R2
R L' D B2 F R' B'
U2 L' R' B' R2 F R'
U2 L' R' B' D R F
U2 L' R' B' D' R F
U2 L' R' B' D2 R F
R' L' D' F D2 B2 R'
L' R' D' F D2 B2 R'
B' L' R2 F B2 R' B
U2 L' R2 F R B' R
U2 L' R2 F R2 D B'
U2 L' R2 F R2 D' B'
U2 L' R2 F R2 D2 B'
U2 L' R2 F R2 B' D
U2 L' R2 F R2 B' D'
U2 L' R2 F R2 B' D2
U2 L' R2 F B R2 B2
U2 L' R2 F B' R2 D
U2 L' R2 F B' R2 D'
U2 L' R2 F B' R2 D2
U2 L' R2 F' R2 F2 B'
B2 L' R2 F B2 R' B
U2 L' R2 F' R2 B' F2
R L' D' F B2 R' B'
U2 L' R2 F' B' R2 F2
D2 L' R2 B2 R' F' B
D2 L' R2 B2 R' B F'
B L' R2 F B2 R' B
U2 L' R2 B R2 F B2
U2 L' R2 B R2 B2 F
U2 L' R2 B F R2 B2
B' L' R2 B2 R' F B
B' L' R2 B2 R' B F
U2 L' R2 B' R' F R'
U2 L' R2 B' R2 D F
U2 L' R2 B' R2 D' F
U2 L' R2 B' R2 D2 F
U2 L' R2 B' R2 F D
U2 L' R2 B' R2 F D'
U2 L' R2 B' R2 F D2
B' L' R2 B2 F R' B
U2 L' R2 B' F R2 D
U2 L' R2 B' F R2 D'
U2 L' R2 B' F R2 D2
U2 L' R2 B' F' R2 F2
L2 R' D2 L R2 F B
L2 R' D2 L R2 B F
B2 L' R2 B2 R' F B
B2 L' R2 B2 R' B F
R L' D' B2 R' F B'
R L' D' B2 R' B' F
B2 L' R2 B2 F R' B
R L' D' B2 F R' B'
B L' R2 B2 R' F B
B L' R2 B2 R' B F
B L' R2 B2 F R' B
U2 L' U R U' F B'
U2 L' U R U' B' F
U2 L' U R' U' F B'
U2 L' U R' U' B' F
R' L' D2 F D2 B2 R'
L2 R' D2 R2 L F B
L2 R' D2 R2 L B F
U2 L' U R2 U' F B'
U2 L' U R2 U' B' F
L' R' D2 F D2 B2 R'
R L' D2 F B2 R' B'
R' L' F R D2 B2 R'
L' R' F R D2 B2 R'
R' L' F R' D2 B2 R'
L' R' F R' D2 B2 R'
R L' D2 B2 R' F B'
R L' D2 B2 R' B' F
R' L' F R2 D2 B2 R'
R L' D2 B2 F R' B'
L' R' F R2 D2 B2 R'
R' L' F U2 L F2 U2
U2 L' U' R U F B'
U2 L' U' R U B' F
R' L' F U2 F2 L U2
L' R' F U2 L F2 U2
U2 L' U' R' U F B'
U2 L' U' R' U B' F
R2 L' F R' B2 R' B'
L' R' F U2 F2 L U2
U2 L' U' R2 U F B'
U2 L' U' R2 U B' F
R L' F R B2 R' B
R' L' F D2 R B2 R'
R' L' F D2 R' B2 R'
R' L' F D2 R2 B2 R'
R' L' F D2 B2 R' D
R' L' F D2 B2 R' D'
R' L' F D2 B2 R' D2
R' L' F D2 B2 D R'
R' L' F D2 B2 D' R'
R' L' F D2 B2 D2 R'
L' R' F D2 R B2 R'
L' R' F D2 R' B2 R'
L' R' F D2 R2 B2 R'
L' R' F D2 B2 R' D
L' R' F D2 B2 R' D'
L' R' F D2 B2 R' D2
L' R' F D2 B2 D R'
L' R' F D2 B2 D' R'
L' R' F D2 B2 D2 R'
R' L' F B2 R' D2 B2
R L' F U2 L U2 B
R' L' F B2 D2 R' B2
R' L' F' L U2 L' F2
L' R' F B2 R' D2 B2
L' R' F B2 D2 R' B2
L' R' F' L U2 L' F2
R L' F D B2 R' B'
R2 L' F B R' B R'
R L' F D' B2 R' B'
R L' F D2 B2 R' B'
R2 L' F B2 R' D B
R2 L' F B2 R' D' B
R2 L' F B2 R' D2 B
R2 L' F B2 R' B D
R2 L' F B2 R' B D'
R2 L' F B2 R' B D2
R L' F B2 R B' R2
R L' F B2 R' D B'
R L' F B2 R' D' B'
R L' F B2 R' D2 B'
R L' F B2 R' B' D
R L' F B2 R' B' D'
R L' F B2 R' B' D2
R L' F B2 R2 B' R
R L' F B2 D R' B'
R L' F B2 D' R' B'
R L' F B2 D2 R' B'
L2 R' F' L2 U2 L' F
U2 L' U2 F' U2 F2 B'
U2 L' U2 F' U2 B' F2
U2 L' U2 F2 U2 F' B'
U2 L' U2 F2 U2 B' F'
U2 L' U2 B U2 F B2
U2 L' U2 B U2 B2 F
R2 L' F' B2 R' F2 B
R2 L' F' B2 R' B F2
U2 L' U2 B2 U2 F B
U2 L' U2 B2 U2 B F
R L' F' B2 R' F2 B'
R L' F' B2 R' B' F2
L R' F2 L2 R F B'
L R' F2 L2 R B' F
L R' F2 L2 B' R F
L R' F2 R L2 F B'
L R' F2 R L2 B' F
U2 L' D R F R' B'
U2 L' D R' B' R F
U2 L' D R2 F R2 B'
U2 L' D R2 F B' R2
U2 L' D R2 B' R2 F
U2 L' D R2 B' F R2
U2 L' D F R' B' R
U2 L' D F R2 B' R2
U2 L' D F D B' D
U2 L' D F D B' D'
U2 L' D F D B' D2
U2 L' D F D' B' D
U2 L' D F D' B' D'
U2 L' D F D' B' D2
U2 L' D F D2 B' D
U2 L' D F D2 B' D'
U2 L' D F D2 B' D2
U2 L' D F B2 D B
U2 L' D F B2 D' B
U2 L' D F B2 D2 B
U2 L' D F2 D F' B'
U2 L' D F2 D B' F'
U2 L' D F2 D' F' B'
U2 L' D F2 D' B' F'
U2 L' D F2 D2 F' B'
U2 L' D F2 D2 B' F'
U2 L' D F2 B' D F'
U2 L' D F2 B' D' F'
U2 L' D F2 B' D2 F'
U2 L' D B' R F R'
U2 L' D B' R2 F R2
U2 L' D B' D F D
U2 L' D B' D F D'
U2 L' D B' D F D2
U2 L' D B' D' F D
U2 L' D B' D' F D'
U2 L' D B' D' F D2
U2 L' D B' D2 F D
U2 L' D B' D2 F D'
U2 L' D B' D2 F D2
U2 L' D B' F2 D F'
U2 L' D B' F2 D' F'
U2 L' D B' F2 D2 F'
U2 L' D B2 D F B
U2 L' D B2 D B F
U2 L' D B2 D' F B
U2 L' D B2 D' B F
U2 L' D B2 D2 F B
U2 L' D B2 D2 B F
U2 L' D B2 F D B
U2 L' D B2 F D' B
U2 L' D B2 F D2 B
R L' F2 B D2 F' R
R' L' B R2 F B R'
R' L' B R2 B R' F
R' L' B R2 B F R'
L' R' B R2 F B R'
L' R' B R2 B R' F
L' R' B R2 B F R'
U2 L' D' R F R' B'
R2 L' B R' F B R'
R2 L' B R' B R' F
R2 L' B R' B F R'
U2 L' D' R' B' R F
U2 L' D' R2 F R2 B'
U2 L' D' R2 F B' R2
U2 L' D' R2 B' R2 F
U2 L' D' R2 B' F R2
U2 L' D' F R' B' R
U2 L' D' F R2 B' R2
U2 L' D' F D B' D
U2 L' D' F D B' D'
U2 L' D' F D B' D2
U2 L' D' F D' B' D
U2 L' D' F D' B' D'
U2 L' D' F D' B' D2
U2 L' D' F D2 B' D
U2 L' D' F D2 B' D'
U2 L' D' F D2 B' D2
U2 L' D' F B2 D B
U2 L' D' F B2 D' B
U2 L' D' F B2 D2 B
U2 L' D' F2 D F' B'
U2 L' D' F2 D B' F'
U2 L' D' F2 D' F' B'
U2 L' D' F2 D' B' F'
U2 L' D' F2 D2 F' B'
U2 L' D' F2 D2 B' F'
U2 L' D' F2 B' D F'
U2 L' D' F2 B' D' F'
U2 L' D' F2 B' D2 F'
R2 L' B F R' B R'
U2 L' D' B' R F R'
U2 L' D' B' R2 F R2
U2 L' D' B' D F D
U2 L' D' B' D F D'
U2 L' D' B' D F D2
U2 L' D' B' D' F D
U2 L' D' B' D' F D'
U2 L' D' B' D' F D2
U2 L' D' B' D2 F D
U2 L' D' B' D2 F D'
U2 L' D' B' D2 F D2
U2 L' D' B' F2 D F'
U2 L' D' B' F2 D' F'
U2 L' D' B' F2 D2 F'
R L' B D2 F' R F2
U2 L' D' B2 D F B
U2 L' D' B2 D B F
U2 L' D' B2 D' F B
U2 L' D' B2 D' B F
U2 L' D' B2 D2 F B
U2 L' D' B2 D2 B F
U2 L' D' B2 F D B
U2 L' D' B2 F D' B
U2 L' D' B2 F D2 B
R L' B F2 D2 F' R
U2 L' D2 R F R' B'
U2 L' D2 R' B' R F
U2 L' D2 R2 F R2 B'
U2 L' D2 R2 F B' R2
U2 L' D2 R2 B' R2 F
U2 L' D2 R2 B' F R2
U2 L' D2 F R' B' R
U2 L' D2 F R2 B' R2
U2 L' D2 F D B' D
U2 L' D2 F D B' D'
U2 L' D2 F D B' D2
U2 L' D2 F D' B' D
U2 L' D2 F D' B' D'
U2 L' D2 F D' B' D2
U2 L' D2 F D2 B' D
U2 L' D2 F D2 B' D'
U2 L' D2 F D2 B' D2
U2 L' D2 F B2 D B
U2 L' D2 F B2 D' B
U2 L' D2 F B2 D2 B
U2 L' D2 F2 D F' B'
U2 L' D2 F2 D B' F'
U2 L' D2 F2 D' F' B'
U2 L' D2 F2 D' B' F'
U2 L' D2 F2 D2 F' B'
U2 L' D2 F2 D2 B' F'
U2 L' D2 F2 B' D F'
U2 L' D2 F2 B' D' F'
U2 L' D2 F2 B' D2 F'
U2 L' D2 B' R F R'
U2 L' D2 B' R2 F R2
U2 L' D2 B' D F D
U2 L' D2 B' D F D'
U2 L' D2 B' D F D2
U2 L' D2 B' D' F D
U2 L' D2 B' D' F D'
U2 L' D2 B' D' F D2
U2 L' D2 B' D2 F D
U2 L' D2 B' D2 F D'
U2 L' D2 B' D2 F D2
U2 L' D2 B' F2 D F'
U2 L' D2 B' F2 D' F'
U2 L' D2 B' F2 D2 F'
U2 L' D2 B2 D F B
U2 L' D2 B2 D B F
U2 L' D2 B2 D' F B
U2 L' D2 B2 D' B F
U2 L' D2 B2 D2 F B
U2 L' D2 B2 D2 B F
U2 L' D2 B2 F D B
U2 L' D2 B2 F D' B
U2 L' D2 B2 F D2 B
U2 L' F L D L' B'
U2 L' F L D' L' B'
U2 L' F L D2 L' B'
R' L' B2 R2 B R F
U2 L' F L B L' B'
U2 L' F L B' L' B'
U2 L' F L B2 L' B'
L' R' B2 R2 B R F
B' L' F R B2 R' B'
U2 L' F L2 B L2 B'
U2 L' F L2 B' L2 B'
U2 L' F L2 B2 L2 B'
U2 L' F R D R' B'
U2 L' F R D' R' B'
U2 L' F R D2 R' B'
B' L' F R2 B2 R' B
R2 L' B2 R' D F B
R2 L' B2 R' D B F
R2 L' B2 R' D' F B
R2 L' B2 R' D' B F
R2 L' B2 R' D2 F B
U2 L' F R' D R B'
R2 L' B2 R' D2 B F
U2 L' F R' D B' R
B2 L' F R B2 R' B'
U2 L' F R' D' R B'
R2 L' B2 R' F D B
R2 L' B2 R' F D' B
R2 L' B2 R' F D2 B
R2 L' B2 R' F B D
R2 L' B2 R' F B D'
R2 L' B2 R' F B D2
U2 L' F R' D' B' R
U2 L' F R' D2 R B'
U2 L' F R' D2 B' R
R2 L' B2 R' B D F
R2 L' B2 R' B D' F
R2 L' B2 R' B D2 F
R2 L' B2 R' B F D
R2 L' B2 R' B F D'
R2 L' B2 R' B F D2
U2 L' F R' B R B2
U2 L' F R' B' R D
U2 L' F R' B' R D'
U2 L' F R' B' R D2
U2 L' F R' B' D R
U2 L' F R' B' D' R
U2 L' F R' B' D2 R
U2 L' F R2 B R2 B2
U2 L' F R2 B' R2 D
U2 L' F R2 B' R2 D'
U2 L' F R2 B' R2 D2
B L' F R B2 R' B'
R L' B2 R F R2 B'
R L' B2 R F B' R2
U2 L' F U R U' B'
U2 L' F U R' U' B'
R L' B2 R B' R2 F
U2 L' F U R2 U' B'
R L' B2 R B' F R2
B' L' F U2 L F U2
B2 L' F R2 B2 R' B
R L' B2 R' D F B'
R L' B2 R' D B' F
R L' B2 R' D' F B'
R L' B2 R' D' B' F
R L' B2 R' D2 F B'
R L' B2 R' D2 B' F
R L' B2 R' F D B'
R L' B2 R' F D' B'
R L' B2 R' F D2 B'
R L' B2 R' F B' D
R L' B2 R' F B' D'
R L' B2 R' F B' D2
R L' B2 R' B' D F
R L' B2 R' B' D' F
R L' B2 R' B' D2 F
R L' B2 R' B' F D
R L' B2 R' B' F D'
R L' B2 R' B' F D2
R' L' B2 F R' D2 B2
