F' R F2 U' L U2
F' R F2 B2 U R'
F' R B2 F2 U R'
F U' L U' L2 U'
F U' L U2 D F2
F U' L D U2 F2
F U' L D' B2 U2
F U2 L' U L2 U2
F U2 L' U' D2 R2
F U2 L' D F2 U'
F U2 L' D2 U' R2
D' F U' L B' U2
D2 F B2 U R' F'
B2 F U2 L' U' R'
B2 F' R F2 U R2
F' B2 R F2 U R2
D2 B2 F U R' F'
F B2 U2 L' U' R'
D2 F B2 D U R' F'
D2 F B2 D' U R' F'
D2 F B2 D2 U R' F'
D F B2 R U F' R2
R2 F B2 U2 L' U' R'
D F B2 U R F' R2
F D U' L U' L2 U'
F D U' L U2 D F2
F D U' L D U2 F2
F D U' L D' B2 U2
R F B2 U2 L' U' R'
B2 D F R U F' R2
B2 D F U R F' R2
F D U2 L' U L2 U2
F D U2 L' U' D2 R2
F D U2 L' D F2 U'
F D U2 L' D2 U' R2
R' F' R F2 U' L U2
R' F' R F2 B2 U R'
R' F' R B2 F2 U R'
R2 F' R F2 U' L U2
R2 F' R F2 B2 U R'
R2 F' R B2 F2 U R'
R F' R F2 U' L U2
R F' R F2 B2 U R'
R F' R B2 F2 U R'
U F' R' D' L2 F2 R
F D B2 U2 L' U' R'
F' D' R U' L U2 L
F' D' R B2 U L2 R'
F' D' R B2 U R' L2
R' F' B2 R F2 U R2
R2 F' B2 R F2 U R2
F D' U' L U' L2 U'
F D' U' L U2 D F2
F D' U' L D U2 F2
F D' U' L D' B2 U2
R F' B2 R F2 U R2
F D' U2 L' U L2 U2
F D' U2 L' U' D2 R2
F D' U2 L' D F2 U'
F D' U2 L' D2 U' R2
F' D' B2 R U L2 R2
F' D' B2 R U R2 L2
F D' B2 U2 L' U' R'
F' D2 R U2 B2 U' R'
F D2 U' L U' L2 U'
F D2 U' L U2 D F2
F D2 U' L D U2 F2
F D2 U' L D' B2 U2
F D2 U2 L' U L2 U2
F D2 U2 L' U' D2 R2
F D2 U2 L' D F2 U'
F D2 U2 L' D2 U' R2
D2 B R' F B U R'
D2 B R' B F U R'
F D2 B2 U2 L' U' R'
D2 B D' R' F B U
D2 B D' R' B F U
D2 B D' F R' B U
B2 F R U2 L' U' R2
F' B R F2 B U R'
F' B R B F2 U R'
D2 B F R' B U R'
D2 B F D' R' B U
B2 F R2 U2 L' U' R
B2 F U R' U L' U'
B2 F U F2 R' D' F2
B' F U2 L' F U' R
B2 F U2 L' U' R' D
B2 F U2 L' U' R' D'
B2 F U2 L' U' R' D2
B2 F U2 L' U' D R'
B2 F U2 L' U' D' R'
B2 F U2 L' U' D2 R'
B2 F U2 L' D U' R'
B2 F U2 L' D' U' R'
B2 F U2 L' D2 U' R'
B2 F U2 L' F U' R'
B2 F U2 L' F' U' R'
B2 F U2 L' F2 U' R'
B2 F U2 D L' U' R'
B2 F U2 D' L' U' R'
B2 F U2 D2 L' U' R'
B2 F U2 F U' R' F'
B F U2 D L' F U'
B2 F D U2 L' U' R'
F B U2 D L' F U'
B F D U2 L' F U'
B2 F D' U2 L' U' R'
F B D U2 L' F U'
B2 F D2 U2 L' U' R'
B' F' R F2 B' U R'
B2 F' R U R2 D' L2
B' F' R B' F2 U R'
F' B' R F2 B' U R'
F' B' R B' F2 U R'
B2 F' R F2 U R2 D
B2 F' R F2 U R2 D'
B2 F' R F2 U R2 D2
B2 F' R F2 D B2 U
B2 F' R F2 B U R2
B2 F' R F2 B' U R2
B2 F' R F2 B2 U R2
B2 F' R B F2 U R2
B2 F' R B' F2 U R2
B2 F' R B2 F2 U R2
B2 F' R' F2 R2 U R2
B F' R F2 B U R'
B F' R B F2 U R'
B2 F' U R' D' L2 F2
B2 F' U R' D' F2 L2
F B' U2 L' F U' R
B2 F' D' R U L2 R2
B2 F' D' R U R2 L2
D B2 R F U R2 F2
D B2 R F U F2 R2
F' B2 R U R2 D' L2
D2 B2 U R' F' D' L2
F' B2 R F2 U R2 D
F' B2 R F2 U R2 D'
F' B2 R F2 U R2 D2
F' B2 R F2 D B2 U
F' B2 R F2 B U R2
F' B2 R F2 B' U R2
F' B2 R F2 B2 U R2
F' B2 R B F2 U R2
F' B2 R B' F2 U R2
F' B2 R B2 F2 U R2
F' B2 R' F2 R2 U R2
F B2 R U2 L' U' R2
F' B2 U R' D' L2 F2
F' B2 U R' D' F2 L2
D2 B2 D F U R' F'
F B2 R2 U2 L' U' R
D2 B2 D' F U R' F'
F B2 U R' U L' U'
F B2 U F2 R' D' F2
D2 B2 D2 F U R' F'
D2 B2 F U R' D F'
D2 B2 F U R' D' F'
D2 B2 F U R' D2 F'
D2 B2 F U R' F' D
D2 B2 F U R' F' D'
D2 B2 F U R' F' D2
D2 B2 F U D R' F'
D2 B2 F U D' R' F'
D2 B2 F U D2 R' F'
D2 B2 F U F R' F'
D2 B2 F U F' R' F'
D2 B2 F U F2 R' F'
R' B2 F U2 L' U' R'
D2 B2 F D U R' F'
D2 B2 F D' U R' F'
D2 B2 F D2 U R' F'
F B2 U2 L' U' R' D
F B2 U2 L' U' R' D'
F B2 U2 L' U' R' D2
F B2 U2 L' U' D R'
F B2 U2 L' U' D' R'
F B2 U2 L' U' D2 R'
F B2 U2 L' D U' R'
F B2 U2 L' D' U' R'
F B2 U2 L' D2 U' R'
F B2 U2 L' F U' R'
F B2 U2 L' F' U' R'
F B2 U2 L' F2 U' R'
R' B2 F' R F2 U R2
F' B2 D' R U L2 R2
F' B2 D' R U R2 L2
F B2 U2 D L' U' R'
F B2 U2 D' L' U' R'
F B2 U2 D2 L' U' R'
F B2 U2 F U' R' F'
D B2 F R U F' R2
R2 B2 F U2 L' U' R'
D B2 F U R F' R2
F B2 D U2 L' U' R'
R2 B2 F' R F2 U R2
F B2 D' U2 L' U' R'
R B2 F U2 L' U' R'
R B2 F' R F2 U R2
F B2 D2 U2 L' U' R'
