F' L2 B' L2 D' R2
L2 U B U L2 F'
L2 U B U F' L2
L U B U L' F'
F' U' L2 B U B2
F' U' B L2 U B'
F' U' B U' F U2
F' U2 F U B U
R2 F D R2 F' B
R2 F D R2 B F'
B' D L2 U2 L2 F'
B' D L2 U2 F' L2
L2 F' L2 B' D' R2
B' D' F R2 F2 B
B' D' F R2 B F2
U B U2 B' U' F'
B2 L2 F' L2 B' D R2
D L2 F' L2 B' D' R2
F L2 F2 L2 B' D' R2
B L2 F2 U F L2 B'
F' L2 B L2 B2 D' R2
U L2 B L2 F U F2
F L2 B U F2 L2 B'
F' L2 B' L D' L R2
F' L2 B' L D' R2 L
F' L2 B' L' D' L' R2
F' L2 B' L' D' R2 L'
F' L2 B' L2 R D' R2
F' L2 B' L2 R' D' R2
F' L2 B' L2 R2 D' R2
F' L2 B' L2 U' B2 U
F' L2 B' L2 D' R2 D
F' L2 B' L2 D' R2 D'
F' L2 B' L2 D' R2 D2
F' L2 B' R L2 D' R2
F' L2 B' R' L2 D' R2
F' L2 B' R2 L2 D' R2
F' L2 B' U' B2 U L2
F' L2 B' D' R2 D L2
L2 U D F2 B U F
L2 U D B F2 U F
L U D B U L' F'
L U D' B U L' F'
L U D2 B U L' F'
L2 U F B U L2 F2
L2 U F B U F2 L2
R2 U F' U B U2 B'
L2 U F2 B U F L2
L2 U B U L F' L
L2 U B U L2 D F'
L2 U B U L2 D' F'
L2 U B U L2 D2 F'
L2 U B U L2 F' D
L2 U B U L2 F' D'
L2 U B U L2 F' D2
L2 U B U F L2 F2
L2 U B U F' L2 D
L2 U B U F' L2 D'
L2 U B U F' L2 D2
F' R U2 D' F L' U2
L2 U B D F2 U F
L U B U L F' L2
L U B U L' D F'
L U B U L' D' F'
L U B U L' D2 F'
L U B U L' F' D
L U B U L' F' D'
L U B U L' F' D2
L U B U L2 F' L
L U B U D L' F'
L U B U D' L' F'
L U B U D2 L' F'
L2 U B F U L2 F2
L2 U B F U F2 L2
L2 U B F2 U F L2
L U B D U L' F'
L U B D' U L' F'
L U B D2 U L' F'
F' R D' U2 F L' U2
F R F' D' F' R B
F R F2 D R B R'
L2 U' B U F' L2 B'
L' U2 L U' B U F'
L' U2 L F' U' B U
L U2 L' U' B U F'
L U2 L' F' U' B U
L2 U2 L2 U' B U F'
L2 U2 L2 F' U' B U
L' U2 F' L U' B U
L2 U2 F' L2 U' B U
L2 U2 F' U' B U L2
F' R2 U F' U F2 U2
F' R2 U F' U' D2 B2
F' R2 U F' D R2 U'
F' R2 U F' D2 U' B2
F R2 U F' U' F' B
F R2 U F' U' B F'
L' U2 B U F' B' L
L' U2 B U B' L F'
L' U2 B U B' F' L
L2 U2 B U F' B' L2
L2 U2 B U B' L2 F'
L2 U2 B U B' F' L2
F' R2 U2 F U' F2 U'
R2 U2 B U' F' U' B'
F' R2 U2 F U2 D R2
F' R2 U2 F D U2 R2
F' R2 U2 F D' L2 U2
U' R2 U2 F' R2 U' F'
L U2 B U B' L' F'
B' R2 D L2 B U2 L2
B' R2 D B L2 U2 L2
F2 R2 D F D R2 B2
F2 R2 D F D B2 R2
B' R2 D' F R2 F' B
B' R2 D' F R2 B F'
F2 R2 D2 F B2 D R2
F2 R2 D2 B2 F D R2
D' R2 F D R2 F' B
D' R2 F D R2 B F'
D2 R2 F D R2 F' B
D2 R2 F D R2 B F'
B' R2 F D' R2 F' B
B' R2 F D' R2 B F'
D R2 F D R2 F' B
D R2 F D R2 B F'
F R2 F D F B R2
F R2 F D B R2 F
F R2 F D B F R2
F R2 F B D R2 F
F R2 F B D F R2
U R2 F' U B U2 B'
F R2 F2 U F U' B
B2 R2 B D L2 U2 L2
F R2 F2 B U F U'
F R2 B U F' U' F'
F R2 B F D R2 F
F R2 B F D F R2
F R2 B F2 U F U'
L2 D U F2 B U F
L2 D U B F2 U F
L D U B U L' F'
R2 D F D R2 F' B
R2 D F D R2 B F'
F' U R' U F U2 R
F' U R2 F' U F2 U2
F' U R2 F' U' D2 B2
F' U R2 F' D R2 U'
F' U R2 F' D2 U' B2
F2 U D R2 F' U' F2
F U R2 F' U' F' B
F U R2 F' U' B F'
F' U F U2 B U B'
D' U B U2 B' U' F'
D2 U B U2 B' U' F'
F' U F' D R2 F' U'
D U B U2 B' U' F'
F' U F2 R2 F' U' B
U D B U2 B' U' F'
B2 U B' U2 B U' F'
B' U B2 U D L2 F'
B' U B2 U D F' L2
B' U B2 U F' D L2
B' U B2 U2 B2 U' F'
B' U B2 D U L2 F'
B' U B2 D U F' L2
B' U B2 D2 F2 U F
L D' U B U L' F'
F' U' L B L U B'
F' U' L' B L' U B'
F' U' L2 U B' D' R2
R2 D' F D R2 F' B
R2 D' F D R2 B F'
F' U' L2 D B U B2
F' U' L2 D' B U B2
F' U' L2 D2 B U B2
F' U' L2 B L U B2
F' U' L2 B L' U B2
F' U' L2 B L2 U B2
F' U' L2 B U B2 D
F' U' L2 B U B2 D'
F' U' L2 B U B2 D2
F' U' L2 B D L2 U
F' U' D L2 B U B2
F' U' D B L2 U B'
F' U' D B U' F U2
F' U' D' L2 B U B2
F' U' D' B L2 U B'
F' U' D' B U' F U2
F' U' D2 L2 B U B2
F U' D B R2 U B
F' U' D2 B L2 U B'
F' U' D2 B U' F U2
U D' B U2 B' U' F'
F2 U' D2 B U F B
F2 U' D2 B U B F
F' U' B L2 U D B'
F' U' B L2 U D' B'
F' U' B L2 U D2 B'
F' U' B L2 U B' D
F' U' B L2 U B' D'
F' U' B L2 U B' D2
F' U' B L2 D U B'
F' U' B L2 D' U B'
F' U' B L2 D2 U B'
F' U' B U L2 B' L2
F' U' B U' D F U2
F' U' B U' D' F U2
F' U' B U' D2 F U2
F' U' B U' F U2 D
F' U' B U' F U2 D'
F' U' B U' F U2 D2
F' U' B U' F D U2
F' U' B U' F D' U2
F' U' B U' F D2 U2
F' U' B D L2 U B'
F' U' B D U' F U2
F' U' B D' L2 U B'
F' U' B D' U' F U2
F2 U' B U D2 F B2
F2 U' B U D2 B2 F
F' U' B D2 L2 U B'
F' U' B D2 U' F U2
F2 U' B U' F2 U2 F'
F2 U' B D2 U F B2
F2 U' B D2 U B2 F
F' U' B' L2 B2 U B
F U' B R2 U F2 B
F U' B R2 U B F2
L2 D2 R2 B U' F' U'
F U' B U' F' U2 F'
F U' B D R2 U B
L D2 U B U L' F'
F' U2 L' U B L U
F' U2 L2 U B U B2
F' U2 L2 U2 B' D' R2
R2 D2 F D R2 F' B
R2 D2 F D R2 B F'
U D2 B U2 B' U' F'
F' U2 D F U B U
B' U2 D' F' R2 D2 L2
F' U2 D' F U B U
F' U2 D2 F U B U
F' U2 F L U B U
F' U2 F L' U B U
F' U2 F L2 U B U
F' U2 F U D B U
F' U2 F U D' B U
F' U2 F U D2 B U
F' U2 F U B U D
F' U2 F U B U D'
F' U2 F U B U D2
F' U2 F U B D U
F' U2 F U B D' U
F' U2 F U B D2 U
F' U2 F D U B U
F' U2 F D' U B U
F' U2 F D2 U B U
B' U2 F' D' R2 D2 L2
F2 U2 F2 U B U F'
F U2 F' U B U F'
R' F R2 D B R' F'
R2 F R2 D F' B R2
R2 F R2 D B F' R2
R2 F R2 B D F' R2
U' F U2 F' B U F'
U' F U2 B F' U F'
B' D L2 R2 B U2 L2
B' D L2 U2 L F' L
B' D L2 U2 L2 D F'
B' D L2 U2 L2 D' F'
B' D L2 U2 L2 D2 F'
B' D L2 U2 L2 F' D
B' D L2 U2 L2 F' D'
B' D L2 U2 L2 F' D2
B' D L2 U2 F L2 F2
B' D L2 U2 F' L2 D
B' D L2 U2 F' L2 D'
B' D L2 U2 F' L2 D2
B' D L2 D2 R2 B U2
B' D L2 B U2 L2 F'
B' D L2 B U2 F' L2
B' D L2 B' U2 L2 F'
B' D L2 B' U2 F' L2
B' D L2 B2 U2 L2 F'
B' D L2 B2 U2 F' L2
R2 F D R2 D F' B
R2 F D R2 D B F'
R2 F D R2 D' F' B
R2 F D R2 D' B F'
R2 F D R2 D2 F' B
R2 F D R2 D2 B F'
R2 F D R2 F' D B
R2 F D R2 F' D' B
R2 F D R2 F' D2 B
R2 F D R2 F' B D
R2 F D R2 F' B D'
R2 F D R2 F' B D2
R2 F D R2 B D F'
R2 F D R2 B D' F'
R2 F D R2 B D2 F'
R2 F D R2 B F' D
R2 F D R2 B F' D'
R2 F D R2 B F' D2
F' D L2 B' L2 D' R2
B' D R2 L2 B U2 L2
L2 F B U F2 L2 B'
B' D R2 B L2 U2 L2
F2 D U R2 F' U' F2
U F B U2 B' U' F2
F' D U' L2 B U B2
F' D U' B L2 U B'
F' D U' B U' F U2
F' D U2 F U B U
F D U' B R2 U B
F2 D F U R2 F' U'
D2 F' L2 B' L2 D' R2
D' F' L2 B' L2 D' R2
B' D F' U2 L2 U2 B'
B' D F' U2 F L2 U2
L2 F' L2 U' B U B2
L' F' L2 B' L' D' R2
L' F' L2 B' D' L' R2
L' F' L2 B' D' R2 L'
L2 F' L2 D B' D' R2
L2 F' L2 D' B' D' R2
L2 F' L2 D2 B' D' R2
L2 F' L2 B' R D' R2
L2 F' L2 B' R' D' R2
L2 F' L2 B' R2 D' R2
L2 F' L2 B' U' B2 U
L2 F' L2 B' D' R2 D
L2 F' L2 B' D' R2 D'
L2 F' L2 B' D' R2 D2
B' D F2 D2 R2 F B2
B' D F2 D2 R2 B2 F
D F' L2 B' L2 D' R2
B' D F2 D2 F R2 B2
B' D F2 D2 F B2 R2
B' D F2 D2 B2 R2 F
B' D F2 D2 B2 F R2
B' D B L2 U2 L2 F'
B' D B L2 U2 F' L2
B' D B' L2 U2 L2 F'
B' D B' L2 U2 F' L2
B' D B2 L2 U2 L2 F'
B' D B2 L2 U2 F' L2
D2 F' U' L2 B U B2
D' F' U' L2 B U B2
U' F' U' F B U B'
U' F' U' B F U B'
B' D' L U2 L' F' R2
D2 F' U' B L2 U B'
D' F' U' B L2 U B'
D2 F' U' B U' F U2
D' F' U' B U' F U2
F D B' D' R2 F2 B
F D B' D' R2 B F2
U2 F' U' B U2 B' U'
D F' U' L2 B U B2
L2 F' U' B U L2 B'
D2 F' U2 F U B U
D' F' U2 F U B U
B' D' L' U2 L F' R2
B' D' L' U2 F' L R2
B' D' L' U2 F' R2 L
D F' U' B L2 U B'
D F' U' B U' F U2
B' D' L2 U2 L2 F' R2
B' D' L2 U2 F' L2 R2
B' D' L2 U2 F' R2 L2
D F' U2 F U B U
B' D' L2 F' L2 R2 B'
B' D' L2 F' L2 B' R2
B' D' L2 F' R2 L2 B'
F' D' L2 B' L2 D' R2
B' D' R2 U2 B U2 B'
L2 F' B' L2 D' R2 B'
L2 F' B' L2 D' B' R2
F' D' U' L2 B U B2
F' D' U' B L2 U B'
F' D' U' B U' F U2
B' D' U2 F' R2 D2 L2
F' D' U2 F U B U
B' D' F R' F2 R' B
B' D' F R2 F2 D B
B' D' F R2 F2 D' B
B' D' F R2 F2 D2 B
B' D' F R2 F2 B D
B' D' F R2 F2 B D'
B' D' F R2 F2 B D2
B' D' F R2 B F2 D
B' D' F R2 B F2 D'
B' D' F R2 B F2 D2
B' D' F B R2 F2 B
B' D' F B R2 B F2
B' D' F B' R2 F2 B
B' D' F B' R2 B F2
B' D' F B2 R2 F2 B
B' D' F B2 R2 B F2
F2 D' F U' L2 B U
B' D' F' L2 R2 B' L2
F2 D' F U' B L2 U
B' D' F' L2 B' L2 R2
B' D' F' L2 B' R2 L2
B' D' F' R2 L2 B' L2
B' D' F' R2 U2 F U2
F2 D' F B' D' R2 B2
F2 D' F B' D' B2 R2
B' D' F' U2 F U2 R2
B' D' F2 R2 D2 F B2
B' D' F2 R2 D2 B2 F
F2 D' B L2 U L2 F
B' D' B F R2 F2 B
B' D' B F R2 B F2
B' D' B' F R2 F2 B
B' D' B' F R2 B F2
F2 D' B' D' R2 F B2
F2 D' B' D' R2 B2 F
F2 D' B' D' F R2 B2
F2 D' B' D' F B2 R2
F2 D' B' D' B2 R2 F
F2 D' B' D' B2 F R2
R2 F2 R2 F' D R2 B
F2 D' B' F D' R2 B2
F2 D' B' F D' B2 R2
B' D' B2 F R2 F2 B
B' D' B2 F R2 B F2
U' F2 U2 F2 B U F'
U' F2 U2 B F2 U F'
F' D2 L2 B' L2 D' R2
L2 F2 B U F L2 B'
F2 D2 R2 F B2 D R2
F2 D2 R2 B2 F D R2
U F2 B U2 B' U' F
F' D2 U' L2 B U B2
F' D2 U' B L2 U B'
F' D2 U' B U' F U2
F2 D2 U' B U F B
F2 D2 U' B U B F
F' D2 U2 F U B U
R2 B L' U' F' U' L
F2 D2 F U' B U B
F2 D2 F B' D' R2 B'
F2 D2 F B' D' B' R2
F2 D2 F B2 U' B' U
R2 B L2 U' F' U' L2
U' B R' U2 R U' F'
U B L2 F L2 U F2
U' B R2 U2 R2 U' F'
U' B U L2 F' L2 B'
U' B U F' L2 B' L2
U' B U F' U2 F U2
U' B U F2 D2 F B2
U' B U F2 D2 B2 F
F2 D2 B' D' R2 F B'
F2 D2 B' D' R2 B' F
F2 D2 B' D' F R2 B'
F2 D2 B' D' F B' R2
F2 D2 B' D' B' R2 F
F2 D2 B' D' B' F R2
F2 D2 B' F D' R2 B'
F2 D2 B' F D' B' R2
L2 B U L2 D' F' B2
L2 B U L2 D' B2 F'
L2 B U L2 F' D' B2
L2 B U F' L2 D' B2
U' B U' B U2 F' B'
U' B U' B U2 B' F'
U' B U' B' U2 F' B
U' B U' B' U2 B F'
F2 D2 B2 U' B' U F
U' B U' B2 U2 F' B2
U' B U' B2 U2 B2 F'
F2 D2 B2 F U' B' U
U B U L2 F' D' L2
U B U F' U B' U'
R2 B U' F' U2 F U
U B U2 L U' F' L'
U B U2 D B' U' F'
U B U2 D' B' U' F'
U B U2 D2 B' U' F'
U B U2 B' L U' F'
U B U2 B' L' U' F'
U B U2 B' L2 U' F'
U B U2 B' U' D F'
U B U2 B' U' D' F'
U B U2 B' U' D2 F'
U B U2 B' U' F' D
U B U2 B' U' F' D'
U B U2 B' U' F' D2
U B U2 B' D U' F'
U B U2 B' D' U' F'
U B U2 B' D2 U' F'
B F L2 U F2 L2 B'
F B L2 U F2 L2 B'
U B D U2 B' U' F'
U B D' U2 B' U' F'
B' F R2 F2 D' B R2
L2 B F U F2 L2 B'
U B D2 U2 B' U' F'
B2 F R2 F2 B D' R2
B2 F R2 B F2 D' R2
U B F U2 B' U' F2
L2 B F2 U F L2 B'
F' B U2 F U' F' U'
U B F2 U2 B' U' F
B' F D' R2 D F2 B
B' F D' R2 D B F2
B' F D' R2 B D F2
F2 B D' L2 U L2 F
F2 B D2 F B2 D' R2
F2 B D2 B2 D' R2 F
F2 B D2 B2 D' F R2
F2 B D2 B2 F D' R2
L' B' U B2 U F' L'
L2 B' U B2 U L2 F'
L2 B' U B2 U F' L2
U2 B' U B2 U F' B'
U2 B' U B2 U B' F'
L' B' U2 D' F' L' R2
L' B' U2 D' F' R2 L'
L' B' U2 F' L' D' R2
L' B' U2 F' D' L' R2
L' B' U2 F' D' R2 L'
L2 B' U2 L2 D' F' R2
L2 B' U2 L2 F' D' R2
D2 B' D L2 U2 L2 F'
D2 B' D L2 U2 F' L2
L B' U B2 U L' F'
D' B' D L2 U2 L2 F'
D' B' D L2 U2 F' L2
L' B' D L2 U2 F' L'
U2 B' U2 D' F' B R2
U2 B' U2 D' B F' R2
L2 B' U2 F' L2 D' R2
U2 B' U2 F' D' B R2
U2 B' D L2 U2 F' B
U2 B' D L2 U2 B F'
L B' U2 L' D' F' R2
L B' U2 L' F' D' R2
D2 B' D' F R2 F2 B
D2 B' D' F R2 B F2
D' B' D' F R2 F2 B
D' B' D' F R2 B F2
D B' D L2 U2 L2 F'
L B' U2 D' L' F' R2
D B' D L2 U2 F' L2
L' B' D' U2 F' L' R2
L' B' D' U2 F' R2 L'
L B' D L2 U2 L F'
L B' D L2 U2 F' L
U2 B' D' U2 F' B R2
U2 B' D' U2 B F' R2
B' F' U' L2 B2 U B
D B' D' F R2 F2 B
D B' D' F R2 B F2
F' B' U' L2 B2 U B
L B' D' U2 L' F' R2
B' F' U' B2 L2 U B'
B' F' U' B2 U' F U2
F B' R2 F2 D' B R2
F' B' U' B2 L2 U B'
F' B' U' B2 U' F U2
B' F' U2 D L2 U2 B'
B' F' U2 D F L2 U2
B' F' U2 D' F U2 R2
B2 F' U' B' L2 U B'
B2 F' U' B' U' F U2
B' F' U2 F U B2 U
B' F' U2 F U2 D' R2
B' F' U2 F D L2 U2
B' F' U2 F D' U2 R2
F' B' U2 D L2 U2 B'
F' B' U2 D F L2 U2
F' B' U2 D' F U2 R2
L2 B' F' L2 D' R2 B'
L2 B' F' L2 D' B' R2
F' B' U2 F U B2 U
F' B' U2 F U2 D' R2
F' B' U2 F D L2 U2
F' B' U2 F D' U2 R2
B2 F' U2 F U B' U
B' F' D U2 L2 U2 B'
B' F' D U2 F L2 U2
F' B' D U2 L2 U2 B'
F' B' D U2 F L2 U2
B' F' D' L2 R2 B' L2
B' F' D' L2 B' L2 R2
B' F' D' L2 B' R2 L2
B F' U2 F U' F' U'
B' F' D' R2 L2 B' L2
B' F' D' R2 U2 F U2
B' F' D' U2 F U2 R2
F' B' D' L2 R2 B' L2
F' B' D' L2 B' L2 R2
F' B' D' L2 B' R2 L2
B' F' D' F2 R2 F2 B
B' F' D' F2 R2 B F2
F' B' D' R2 L2 B' L2
F' B' D' R2 U2 F U2
F' B' D' U2 F U2 R2
F2 B' D' R2 D' F B2
F2 B' D' R2 D' B2 F
F2 B' D' R2 F D' B2
F' B' D' F2 R2 F2 B
F' B' D' F2 R2 B F2
F2 B' D' F R2 D' B2
F B' D' R2 D F2 B
F B' D' R2 D B F2
F B' D' R2 B D F2
F2 B' D2 B2 D R2 F
F2 B' D2 B2 D F R2
L2 B2 U B' U L2 F'
L2 B2 U B' U F' L2
U2 B2 U B' U F' B'
U2 B2 U B' U B' F'
L2 B2 U2 L2 F' D R2
L B2 U B' U L' F'
L B2 U2 L' D F' R
F B2 R2 F2 B D' R2
F B2 R2 B F2 D' R2
F' B2 U' B' L2 U B'
F' B2 U' B' U' F U2
F' B2 U2 F U B' U
U B2 D B' U L2 F'
U B2 D B' U F' L2
B' F2 D' R2 D' F B2
B' F2 D' R2 D' B2 F
B' F2 D' R2 F D' B2
B' F2 D' F R2 D' B2
B F2 D' L2 U L2 F
U B2 D2 F2 B' U F
B' F2 D2 B2 D R2 F
B' F2 D2 B2 D F R2
U B2 D2 B' F2 U F
B F2 D2 F B2 D' R2
B F2 D2 B2 D' R2 F
B F2 D2 B2 D' F R2
B F2 D2 B2 F D' R2
