B' L' D F2 U2 L2
B' L' D' R2 U2 B2
B R' U L' B2 U2
B R' U B2 L' U2
B R' U' D2 F2 R
B R' D2 U' F2 R
B D2 R' U' F2 R
B R' U L' B2 U2 D2
B R' U L' B2 D U2
B R' U L' B2 D' U2
B R' U L' B2 D2 U2
B R' U L2 B2 U2 R'
B R' U D2 L' U2 F2
B R' U B L' B U2
L' U' B L' R' U' F
B R' U B2 L' U2 D
B R' U B2 L' U2 D'
B R' U B2 L' U2 D2
B R' U B2 L' D U2
B R' U B2 L' D' U2
B R' U B2 L' D2 U2
B R' U B2 D L' U2
B R' U B2 D' L' U2
B R' U B2 D2 L' U2
L' U' B R' L' U' F
B R' U' R D2 F2 R
B R' U' R' D2 F2 R
B R' U' R2 D2 F2 R
B R' U' D2 R F2 R
B R' U' D2 R' F2 R
B R' U' D2 R2 F2 R
B R' U' D2 F2 R D
B R' U' D2 F2 R D'
B R' U' D2 F2 R D2
B R' U' D2 F2 D R
B R' U' D2 F2 D' R
B R' U' D2 F2 D2 R
B R' U' F2 R D2 F2
B R' U' F2 D2 R F2
B R' D L2 U L U2
B R' D F2 L2 U' R
B R' D2 U L' U2 F2
B R' D2 U' R F2 R
B R' D2 U' R' F2 R
B R' D2 U' R2 F2 R
B R' D2 U' F2 R D
B R' D2 U' F2 R D'
B R' D2 U' F2 R D2
B R' D2 U' F2 D R
B R' D2 U' F2 D' R
B R' D2 U' F2 D2 R
B R' D2 F' U' F' R
B R' F2 U B2 U2 R
B R' F2 U' R D2 F2
B R' F2 U' D2 R F2
B R' F2 D L2 U' R
B R' F2 D2 U' R F2
B' R2 L' D F2 U2 L2
B' R2 L' D' R2 U2 B2
B R2 D2 R U' F2 R
B' U L D2 F2 U R2
B U L' B2 U L U
R D B' L' U2 L2 B'
R D B' L' F U2 L2
B' U D2 F2 L U R
B U B2 L' U L2 U
B U B2 L' U2 D' B2
B U B2 L' D F2 U2
B U B2 L' D' U2 B2
B U' D2 F2 R D B2
B' U' F2 B2 R' U' R2
B' U' B2 R' U L' U2
B' U' B2 R' F2 U' R
B' U' B2 F2 R' U' R2
B' D L' U L2 U L
B' D L' U2 D' L' B2
B' D L' U2 D' B2 L'
B' D L' D F2 R U2
B' D L' D' U2 L' B2
B' D L' D' U2 B2 L'
B D L2 R' U L U2
B D R' L2 U L U2
B D R' U' D F2 R
B D R' D U' F2 R
B D R' F2 L2 U' R
B D F2 L2 R' U' R2
B D F2 R' L2 U' R2
B' D' L' R2 U L2 U
B' D' L' R2 U2 D' B2
B' D' L' R2 D F2 U2
B' D' L' R2 D' U2 B2
B' D' R2 L' U L2 U
B' D' R2 L' U2 D' B2
B' D' R2 L' D F2 U2
B' D' R2 L' D' U2 B2
B' D2 L' U L2 F2 U
B' D2 L' U F2 L2 U
B' D2 L' U2 D' L2 B2
B' D2 L' U2 D' B2 L2
B' D2 L' D R2 F2 U2
B' D2 L' D F2 R2 U2
B' D2 L' D' U2 L2 B2
B' D2 L' D' U2 B2 L2
B D2 R' U L' U2 F2
B D2 R' U' R F2 R
B D2 R' U' R' F2 R
B D2 R' U' R2 F2 R
B D2 R' U' F2 R D
B D2 R' U' F2 R D'
B D2 R' U' F2 R D2
B D2 R' U' F2 D R
B D2 R' U' F2 D' R
B D2 R' U' F2 D2 R
B D2 R' F' U' F' R
B' D2 U F2 L U R
B D2 U' F2 R D B2
U' B R' U L' B2 U2
U' B R' U B2 L' U2
U' B R' U' D2 F2 R
U' B R' D2 U' F2 R
U2 B R' U L' B2 U2
U2 B R' U B2 L' U2
U2 B R' U' D2 F2 R
U2 B R' D2 U' F2 R
U B R' U L' B2 U2
U B R' U B2 L' U2
U B R' U' D2 F2 R
U B R' D2 U' F2 R
D B U L' F B2 U2
D B U L' B2 F U2
D B U B2 L' F U2
U' B D2 R' U' F2 R
U2 B D2 R' U' F2 R
F2 B R' U B2 U2 R2
F2 B R' U' R2 D2 F2
U B D2 R' U' F2 R
B' F U' B2 R' F' U'
U' B' L' D F2 U2 L2
U' B' L' D' R2 U2 B2
U2 B' L' D F2 U2 L2
U2 B' L' D' R2 U2 B2
R2 B' L' U L2 F' U
R2 B' L' U F' L2 U
F2 B D L2 R' U' R2
D B' L' U2 D L2 B'
F2 B D R' L2 U' R2
D B' L' D U2 L2 B'
D B' L' D F U2 L2
D B' L' D' R2 F U2
D B' L' D' F R2 U2
D B' L' F U' B2 U'
D B' L' F U2 D L2
D B' L' F D U2 L2
D B' L' F D' R2 U2
U B' L' D F2 U2 L2
U B' L' D' R2 U2 B2
F2 B D2 R' U' R2 F2
F2 B D2 R' U' F2 R2
D2 B' D' L' R2 F U2
D2 B' D' L' F R2 U2
D2 B' D' R2 L' F U2
F2 B' U' B2 R' U' R2
F B' U' B2 R' F' U'
B F2 R' U B2 U2 R2
B F2 R' U' R2 D2 F2
B' F2 U' B2 R' U' R2
B F2 D L2 R' U' R2
B F2 D R' L2 U' R2
B F2 D2 R' U' R2 F2
B F2 D2 R' U' F2 R2
