B' U' R' U' L R2
B' U' R' U' R2 L
B' U2 L R D B2
B' U2 R L D B2
B' U2 R D L B2
U' B' U2 L R B
U' B' U2 R L B
U B R D2 B L2 F2
U B R D2 B F2 L2
U B R' F' B2 U2 R2
U B R' B2 U2 R2 B
U B R' B2 F' U2 R2
U' B' L' U2 R B' L2
U' B' L' U2 B' L2 R
U' B' L' U2 B' R L2
L B' L R D F B2
L B' L R D B2 F
L B' L R F D B2
U B' L' R B L2 F
L2 B' R D F L B2
L2 B' R F L D B2
L2 B' R F D L B2
U B' L2 U2 L' R B'
U B' L2 U2 L' B' R
U B' L2 U2 R L' B'
L2 B' R' U' R2 F L
L2 B' R' U' F L R2
L2 B' R' U' F R2 L
L B' R L D F B2
L B' R L D B2 F
L B' R L F D B2
U B' R L' B L2 F
L B' R D L F B2
L B' R D L B2 F
U B' R' U2 L R2 B
U B' R' U2 R2 L B
F2 B' L' U' R' U' L2
U B' R' F' U2 L R2
U B' R' F' U2 R2 L
R' B' U' R' U' L R'
R' B' U' R' U' R' L
D' B' U' R' B U' R2
U B' R2 U2 L R' B
U B' R2 U2 R' L B
U' B' U2 L R D B
U' B' U2 L R D' B
U' B' U2 L R D2 B
U' B' U2 L R B D
U' B' U2 L R B D'
U' B' U2 L R B D2
U' B' U2 L D R B
U' B' U2 L D' R B
U' B' U2 L D2 R B
U' B' U2 L B R B
U' B' U2 L B' R B
U' B' U2 L B2 R B
U' B' U2 L' R B L2
U' B' U2 L2 R B L'
U' B' U2 R L D B
U' B' U2 R L D' B
U' B' U2 R L D2 B
U' B' U2 R L B D
U' B' U2 R L B D'
U' B' U2 R L B D2
U' B' U2 R L' B L2
U' B' U2 R L2 B L'
U' B' U2 R D L B
U' B' U2 R D' L B
U' B' U2 R D2 L B
U' B' U2 D L R B
U' B' U2 D R L B
U' B' U2 D' L R B
U' B' U2 D' R L B
U' B' U2 D2 L R B
U' B' U2 D2 R L B
U' B' U2 B' R B L
U' B' D U2 L R B
U' B' D U2 R L B
U' B' D' U2 L R B
U' B' D' U2 R L B
U B' U2 L' R B' L2
U B' U2 L' B' L2 R
U B' U2 L' B' R L2
U B' U2 R L' B' L2
U' B' D2 U2 L R B
U' B' D2 U2 R L B
B' F' U' R' F' U' L
F' B' U' R' F' U' L
U' B' F2 L' U2 B' L2
B' F2 L' U' R' U' L2
U B2 R2 F' R' B L
