R2 L U B L R2
R2 L U B R2 L
U' L R2 U B L
L R2 U B L R2
L R2 U B R2 L
L2 R2 F U B R2
R2 L2 F U B R2
U' L2 R2 F U B
R2 U B R2 D L2
L2 U' R2 F U B
U' R2 L U B L
U' R2 L2 F U B
U' R2 U B D L2
U' R2 U2 B' U' B2
R2 U2 B' U' R2 B2
R2 U2 B' U' B2 R2
B2 R2 F' U B R2
L' D' F2 L2 B' L
B2 U' R2 F' U B
B D' F2 D2 L2 B'
D' F2 B D L2 B'
D2 B D F2 L2 B'
D' B F2 D L2 B'
U B' U2 R2 U B
L' D F L' D2 B2 F2
L' D F D2 L' F2 B2
L' D F D2 L' B2 F2
L' D F D2 B2 L' F2
L' D F' R B2 L U2
L' D F' B2 R U2 R'
D' U R2 B' U' F2 B2
D' U R2 B' U' B2 F2
D2 U R2 B' L2 U' B2
L' D B2 F' R U2 R'
R2 D B2 U B' D L2
R2 D B2 U2 B U' B2
L' D' L F2 L2 B' L
U2 D F' B2 U' B U'
F2 U D2 B' L2 U' B'
L' D' L' F2 L2 B' L
L' D' L2 F2 L2 B' L
D2 U B' L2 R2 U' B
D2 U B' L2 U F' U2
D' U B' R2 U' F2 B
D' U B' R2 U' B F2
D2 U B' R2 L2 U' B
D' U B' U F' U2 F'
D U B' U F' B' U2
D U B' U B' F' U2
U D B' U F' B' U2
U D B' U B' F' U2
B2 U B U2 R2 U B
U2 D B2 F' U' B U'
L' D' R2 B R2 F2 L'
F2 U B' D2 L2 U' B'
R2 D' U B D L2 R2
R2 D' U B D R2 L2
B' U' L R2 U L' B
B' U' L R2 U B L'
F U B' D2 L2 U' B2
B2 U' L R2 F' U B
B U B2 U2 R2 U B
B' U' L' R2 U L B
B2 U' L' R2 F' U B
R2 D' U2 F2 B' U' B2
R2 D' U2 B' F2 U' B2
L' D' F D2 F L' B2
L' D' F D2 F B2 L'
L' D' F D2 B2 F L'
B' U' L2 R2 U L2 B
B' U' L2 R2 U B L2
B2 U' L2 R2 F' U B
F2 U' L2 R2 F U B'
F2 U' L2 F R2 U B'
L' D' F2 L B' L B'
L' D' F2 L2 B' L D
L' D' F2 L2 B' L D'
L' D' F2 L2 B' L D2
L' D' F2 L2 B' D L
L' D' F2 L2 B' D' L
L' D' F2 L2 B' D2 L
L2 D' F' D' F' L2 B'
L' D' F2 B' L2 B' L'
L D' F2 L2 D' B' L
U D' R2 B' U' F2 B2
U D' R2 B' U' B2 F2
B' U' R2 L U L' B
B' U' R2 L U B L'
B' U' R2 L' U L B
B' U' R2 L2 U L2 B
B' U' R2 L2 U B L2
L' D' B' L' F2 L2 B'
B2 U' R2 L F' U B
B2 U' R2 L' F' U B
B2 U' R2 L2 F' U B
F' U' R2 U2 R2 B' U'
F' U' R2 U2 B' R2 U'
F2 U' R2 L2 F U B'
U2 D' F' U' B' U' F'
F' U' R2 D2 L2 F U
B2 U' R2 D F' U B
B2 U' R2 D' F' U B
B2 U' R2 D2 F' U B
B2 U' R2 F' L U B
B2 U' R2 F' L' U B
B2 U' R2 F' L2 U B
B2 U' R2 F' U D B
B2 U' R2 F' U D' B
B2 U' R2 F' U D2 B
B2 U' R2 F' U B D
B2 U' R2 F' U B D'
B2 U' R2 F' U B D2
B2 U' R2 F' D U B
B2 U' R2 F' D' U B
B2 U' R2 F' D2 U B
L' D' B' F2 L2 B' L'
B U' R2 U D L2 B
B U' R2 U D B L2
B U' R2 U2 B2 U' B'
B U' R2 D U L2 B
B U' R2 D U B L2
B U' R2 D2 F2 U B
F U' R2 D' L2 F U
F U' D' L2 F U F
U D' B' R2 U' F2 B
U D' B' R2 U' B F2
U D' B' U F' U2 F'
F' U' B' U2 B R2 U
B' U' B2 D' R2 F2 B
B' U' B2 D' R2 B F2
D' U2 F' U' B' U' F'
U D2 R2 B' L2 U' B2
D2 U2 F' U' B' L2 U'
U2 D2 F' U' B' L2 U'
D U2 F' B2 U' B U'
U D2 B' L2 R2 U' B
U D2 B' L2 U F' U2
U D2 B' R2 L2 U' B
B U2 D F' B2 U2 L2
B U2 D B2 F' U2 L2
D U2 B2 F' U' B U'
R2 F L U B L R2
R2 F L U B R2 L
B U2 D' R2 U2 F2 B
B U2 D' R2 U2 B F2
B U2 D' F' R2 B U2
B' U2 F' U R2 F U
B' U2 F' U F R2 U
B2 U2 F' U R2 F' U
R2 F L2 F U B R2
B U2 F' D B2 U2 L2
B U2 F' D' R2 U2 F2
U' F R2 D' L2 F U
L2 F R2 U R2 D2 B2
L2 F R2 U' F2 U2 R2
R2 F U B R2 D L2
R2 F U2 B' U' R2 B2
R2 F U2 B' U' B2 R2
U' F D' L2 F U F
B D L2 R2 B R2 F'
B D L2 U2 F' B2 U2
B D L2 U2 B2 F' U2
B D L2 F D2 F2 B2
B D L2 F D2 B2 F2
L2 F D' F2 D' L2 B2
L2 F D' F2 D' B2 L2
B' D R2 U' B R2 F'
B D R2 L2 B R2 F'
B D R2 B L2 R2 F'
B D R2 B R2 L2 F'
B D R2 B R2 F' L2
R2 F' L U B L R2
R2 F' L U B R2 L
U' F' L2 F R2 U B
B D U2 F' B2 U2 L2
D' F' L2 F' D' L2 B'
B D U2 B2 F' U2 L2
B D F L2 D2 F2 B2
B D F L2 D2 B2 F2
R2 F' L2 F U B R2
B D F2 L2 D2 F2 B'
B D F2 L2 D2 B' F2
U' F' R2 U2 B' U' B
B D F2 B' L2 F B'
B D F2 B' L2 B' F
F D B D B2 L2 F
B D B' L2 F D2 B2
U2 F' U R2 U2 B' U'
B D B' F2 L2 F B'
B D B' F2 L2 B' F
R2 F' U B R2 D L2
U2 F' U' D' B' U' F2
U2 F' U' D2 B' L2 U'
U2 F' U' B' U' D' F2
U2 F' U' B' U2 R2 U
U2 F' U' B' D' U' F2
U2 F' U' B' D2 L2 U'
B D' L F2 D2 L2 B'
R2 F' U2 B' U' R2 B2
R2 F' U2 B' U' B2 R2
L2 F' D R2 B2 U2 R2
B D' L' F2 D2 L2 B'
L2 F' D B2 R2 U2 R2
U2 F' D B2 U' B U'
L2 F' D' L2 F2 D2 B2
U2 F' D' U' B' U' F2
L2 F' D' F' L2 F' B'
L2 F' D' F' L2 B' F'
L2 F' D' F2 L2 D2 B2
B D' L2 F2 D2 L2 B'
U2 F' D2 U' B' L2 U'
D' F' B D F' L2 B'
B' D' R2 U' F2 B R2
B' D' R2 U' B R2 F2
B' D' R2 U' B F2 R2
U2 F' B D B2 U2 L2
U2 F' B D' R2 U2 F2
B D' R2 U2 F2 B R2
B D' R2 U2 B R2 F2
B D' R2 U2 B F2 R2
U2 F' B2 U R2 F' U
R2 F2 L U B L R2
R2 F2 L U B R2 L
D' F2 L' D' L' B' L
F D' U' L2 F U F
U' F2 L2 R2 F U B'
D' F2 L2 U' F U B'
U' F2 L2 F R2 U B'
B D' U2 R2 U2 F2 B
B D' U2 R2 U2 B F2
B D' U2 F' R2 B U2
D' F2 L2 B' U' F U
B D' F D2 F L2 B2
B D' F D2 F B2 L2
B D' F D2 B2 F L2
R2 F2 L2 F U B R2
B2 D' F2 L2 B' D L2
B D' F' R2 U2 R2 F'
B D' F' R2 B U2 R2
B' D' F2 B2 D L2 B'
L F2 L2 D' F2 B' L
L F2 L2 D' B' L F2
L F2 L2 D' B' F2 L
B D' F' D2 F' L2 B'
B2 D' F2 B' D L2 B'
U' F2 R2 L2 F U B'
B D' F2 L2 D2 B' L2
B D' F2 L2 B' D2 L2
B D' F2 U2 R2 F U2
B D' F2 U2 F R2 U2
B D' F2 D2 L2 D B'
B D' F2 D2 L2 D' B'
B D' F2 D2 L2 D2 B'
B D' F2 D2 L2 B' D
B D' F2 D2 L2 B' D'
B D' F2 D2 L2 B' D2
B D' F2 D2 B L2 B'
B D' F2 D2 B' L2 B'
B D' F2 D2 B2 L2 B'
B D' F2 B D2 L2 B'
F D' F2 U' L2 F U
B D' F2 B' D2 L2 B'
B D' F2 B2 D2 L2 B'
D2 F2 U B' L2 U' B'
B D' B F2 D2 L2 B'
D' F2 U B' U F U2
B2 D' B' F2 D L2 B'
D' F2 U' L2 F U B'
B' D' B2 F2 D L2 B'
B D' B' F2 D2 L2 B'
R2 F2 U B R2 D L2
D' F2 U2 F U' B' U'
B D' B2 F2 D2 L2 B'
B' D2 L2 R2 U' B R2
D' F2 D B D L2 B'
R2 F2 U2 B' U' R2 B2
R2 F2 U2 B' U' B2 R2
L' F2 D' L2 F2 B' L
L' F2 D' L2 B' L F2
L' F2 D' L2 B' F2 L
D' F2 D' B D L2 B'
D' F2 D2 B D L2 B'
D' F2 B L2 D B' L2
B' D2 R2 L2 U' B R2
D2 F2 B D L2 F2 B'
D2 F2 B D L2 B' F2
D' F2 B D L2 D B'
D' F2 B D L2 D' B'
D' F2 B D L2 D2 B'
D' F2 B D L2 B' D
D' F2 B D L2 B' D'
D' F2 B D L2 B' D2
D' F2 B D B L2 B'
D' F2 B D B' L2 B'
D' F2 B D B2 L2 B'
D' F2 B2 L2 B' D L2
F2 D2 U B' L2 U' B'
D' B L F2 D L2 B'
D' B L' F2 D L2 B'
D' B L2 F2 D L2 B'
F2 D2 B D L2 F2 B'
F2 D2 B D L2 B' F2
L2 B R2 F U B R2
B2 D2 B' D F2 L2 B'
R2 B R2 D L2 D2 F2
R2 B R2 D' F2 D2 L2
B' D2 B2 D F2 L2 B'
F D2 B D L2 F2 B
F D2 B D L2 B F2
F D2 B D F2 L2 B
F D2 B D F2 B L2
F D2 B D B L2 F2
F D2 B D B F2 L2
L B R2 U B L R2
L B R2 U B R2 L
R2 B U R2 D L2 B2
R2 B U R2 D B2 L2
L2 B U' R2 F U B
F D2 B2 U L2 B U'
F D2 B2 U B L2 U'
D2 B D F2 L2 D B'
D2 B D F2 L2 D' B'
D2 B D F2 L2 D2 B'
D2 B D F2 L2 B' D
D2 B D F2 L2 B' D'
D2 B D F2 L2 B' D2
D2 B D F2 B L2 B'
D2 B D F2 B' L2 B'
D2 B D F2 B2 L2 B'
D2 B D B F2 L2 B'
D2 B D B' F2 L2 B'
D2 B D B2 F2 L2 B'
F2 B L2 D B' L2 F
U2 B D F' B2 U2 L2
U2 B D B2 F' U2 L2
L' B D' F2 L2 B' L
U2 B D' R2 U2 F2 B
U2 B D' R2 U2 B F2
R2 B D B2 U L2 B2
R2 B D B2 U B2 L2
U2 B D' F' R2 B U2
D' B F' D F' L2 B'
B2 F R2 F' U R2 B
D' B F2 L2 D B' L2
D2 B F2 D L2 F2 B'
D2 B F2 D L2 B' F2
D' B F2 D L2 D B'
D' B F2 D L2 D' B'
D' B F2 D L2 D2 B'
D' B F2 D L2 B' D
D' B F2 D L2 B' D'
D' B F2 D L2 B' D2
U2 B F' D B2 U2 L2
D' B F2 D B L2 B'
D' B F2 D B' L2 B'
D' B F2 D B2 L2 B'
U2 B F' D' R2 U2 F2
D2 B' L2 R2 U' B R2
U B' L U2 R2 U B
F2 B D L2 D2 F2 B'
F2 B D L2 D2 B' F2
F2 B D B' L2 F B'
F2 B D B' L2 B' F
U B' L' U2 R2 U B
F' B D' R2 U2 R2 F2
F' B D' R2 U2 F2 R2
F' B D' F2 D2 L2 B2
F' B D' F2 D2 B2 L2
U B' L2 U2 R2 U B
B' F D2 B2 D L2 F2
B' F D2 B2 D F2 L2
D2 B' R2 L2 U' B R2
D' B' R2 U' F2 B R2
D' B' R2 U' B R2 F2
D' B' R2 U' B F2 R2
L2 B' R2 F U B R2
U B' R' U2 R' U B
L B' R2 U B L R2
L B' R2 U B R2 L
R2 B' U R B2 L R
R2 B' U R B2 R L
R2 B' U R2 B2 D2 L2
L2 B' U' R2 F U B
R2 B' U B2 R2 D2 L2
U' B' U2 B R2 U B
U B' U D F' B2 U2
U B' U D B2 F' U2
U B' U D' F' U2 F'
R2 B' U' R2 B2 D2 F2
U B' U F' U R2 U
U B' U F' U2 D' F2
U B' U F' D B2 U2
U B' U F' D' U2 F2
U2 B' U2 R2 U B R2
R2 B' U' B' R2 F' B'
R2 B' U' B' R2 B' F'
R2 B' U' B2 R2 D2 F2
U B' U2 L R2 U B
U B' U2 L' R2 U B
U B' U2 L2 R2 U B
U B' U2 R2 L U B
U B' U2 R2 L' U B
U B' U2 R2 L2 U B
U B' U2 R2 U D B
U B' U2 R2 U D' B
U B' U2 R2 U D2 B
U B' U2 R2 U B D
U B' U2 R2 U B D'
U B' U2 R2 U B D2
U B' U2 R2 D U B
U B' U2 R2 D' U B
U B' U2 R2 D2 U B
L' B' D' F2 L2 B' L
U B' D U F' B2 U2
U B' D U B2 F' U2
U B' D' R2 U' F2 B
U B' D' R2 U' B F2
U B' D' U F' U2 F'
U B' D2 L2 R2 U' B
U B' D2 L2 U F' U2
U B' D2 R2 L2 U' B
B F' D' R2 U2 R2 F2
B F' D' R2 U2 F2 R2
B F' D' F2 D2 L2 B2
B F' D' F2 D2 B2 L2
F B' D2 B2 D L2 F2
F B' D2 B2 D F2 L2
U' B2 R2 F' B2 U B'
U' B2 R2 B2 F' U B'
B F2 L2 D B' L2 F
L2 B2 R2 F U B R2
U2 B2 U R2 F' U B
L B2 R2 U B L R2
L B2 R2 U B R2 L
L2 B2 U' R2 F U B
R2 B2 U B' R2 D L2
R2 B2 U2 B U' R2 B2
R2 B2 U2 B U' B2 R2
F B2 R2 F' U R2 B
U B2 U2 R2 F' U B
L' B2 D' F2 L2 B' L
B F2 D L2 D2 F2 B'
B F2 D L2 D2 B' F2
B F2 D B' L2 F B'
B F2 D B' L2 B' F
D' B2 F2 L2 B' D L2
U2 B2 F' U R2 F' U
