F' L' F U F'
F' L' R F U F'
F' L' R' F U F'
F' L' R2 F U F'
F' L' D F U F'
F' L' D' F U F'
F' L' D2 F U F'
F' L' F U D F'
F' L' F U D' F'
F' L' F U D2 F'
F' L' F U F' D
F' L' F U F' D'
F' L' F U F' D2
F' L' F U F' D2
F' L' F D U F'
F' L' F D' U F'
F' L' F D2 U F'
U L' F' D' B' L2
U L' F' B' D' L2
U L' B' F' D' L2
U2 L2 U' F' L' B'
F' R L' F U F'
F' R' L' F U F'
F' R2 L' F U F'
D' U L' F' B' L
D' U L' B' L F'
D' U L' B' F' L
D U F L' F2 B'
D U F L' B' F2
U D F L' F2 B'
U D F L' B' F2
D' U F' L' B' L
U D' L' F' B' L
U D' L' B' L F'
U D' L' B' F' L
U D' F' L' B' L
L' F U2 R U' F2
L' F' L' F2 U F2
U F' D' L' B' L
U F2 D F L' B'
F' L' F U D' F' D2
F' L' F U D2 F' D
F' L' F U D2 F' D'
F' L' F U D2 F' D2
F' L' F U F2 D F
F' L' F U F2 D' F
F' L' F U F2 D2 F
F' L' F U' B U2 F'
F' L' F U' B' U2 F'
F' L' F U' B2 U2 F'
F' L' F U2 L U' F'
F' L' F U2 L' U' F'
F' L' F U2 L2 U' F'
F' L' F D U F' D
F' L' F D U F' D'
F' L' F D U F' D2
F' L' F D' U F' D
F' L' F D' U F' D'
F' L' F D' U F' D2
F' L' F D2 U F' D
F' L' F D2 U F' D'
F' L' F D2 U F' D2
F' L' F' R F2 U F'
F' L' F' R' F2 U F'
F' L' F' R2 F2 U F'
F' L' F' U D' F L2
U L' F' L2 D' L2 B'
F' L' F' D' U F L2
U L' F' U' F2 U B'
U L' F' D B' D2 L2
U L' F' D' B L2 B2
U L' F' D' B' L2 D
U L' F' D' B' L2 D'
U L' F' D' B' L2 D2
U L' F' D' B2 L2 B
U L' F' B' L D' L2
U L' F' B' L' D' L2
U L' F' B' L2 D' L2
U L' F' B' U' F2 U
U L' F' B' D' L2 D
U L' F' B' D' L2 D'
U L' F' B' D' L2 D2
U L' F' B2 D' L2 B
U L' F' B2 D' B L2
F L' F2 L' F' U F
F' L' F2 D F' R2 U
U L' B' U' F U F2
U L' B' D F' D' L2
U L' B' D' F' D' L2
U L' B' D2 F' D' L2
U L' B' F' L D' L2
U L' B' F' L' D' L2
U L' B' F' L2 D' L2
U L' B' F' U' F2 U
U L' B' F' D' L2 D
U L' B' F' D' L2 D'
U L' B' F' D' L2 D2
U L' B2 F' D' L2 B
U L' B2 F' D' B L2
D' L2 U L' F' B' L
D' L2 U L' B' L F'
D' L2 U L' B' F' L
D' L2 U F' L' B' L
D' L2 U F' L' B' L
D L2 U F L' F2 B'
D L2 U F L' B' F2
U2 L2 U' L' F' B' L'
U2 L2 U' L' B' F' L'
U2 L2 U' D F' L' B'
U2 L2 U' D' F' L' B'
U2 L2 U' D2 F' L' B'
U2 L2 U' F' L' D B'
U2 L2 U' F' L' D' B'
U2 L2 U' F' L' D2 B'
U2 L2 U' F' L' B' D
U2 L2 U' F' L' B' D'
U2 L2 U' F' L' B' D2
U2 L2 U' F' D L' B'
U2 L2 U' F' D' L' B'
U2 L2 U' F' D2 L' B'
U2 L2 U' F' B L' B'
U2 L2 U' F' B' L' B'
U2 L2 U' F' B2 L' B'
U2 L2 U' B F' L' B'
U2 L2 U' B' F' L' B'
U2 L2 U' B2 F' L' B'
F L2 U2 R B U' F2
F' L2 D L F U F'
U2 L2 D U' F' L' B'
F' L2 D' L F U F'
U2 L2 D' U' F' L' B'
F' L2 D2 L F U F'
U2 L2 D2 U' F' L' B'
F' L2 F L F U F2
L U L' D' F' B' L
L U L' D' B' L F'
L U L' D' B' F' L
L2 U L' F' B L B2
L2 U L' B L F' B2
L2 U L' B L B2 F'
L2 U L' B F' L B2
L U L' F' D' B' L
L2 U L2 F' B L B'
L2 U L2 B L F' B'
L2 U L2 B L B' F'
L2 U L2 B F' L B'
F' L2 F2 L F U F
U2 R L B' R' U' F'
F' R L' D F U F'
F' R L' D' F U F'
F' R L' D2 F U F'
F' R L' F U D F'
F' R L' F U D' F'
F' R L' F U D2 F'
F' R L' F U F' D
F' R L' F U F' D'
F' R L' F U F' D2
F' R L' F D U F'
F' R L' F D' U F'
F' R L' F D2 U F'
L' U F' L D' L2 B'
L' U F' L' D' B' L2
L' U F' L' B' D' L2
L2 U F' L' B L B2
L2 U F' L2 B L B'
L' U F' D' L' B' L'
L U F' L' D' B' L
L U F' U B' R' U'
L2 U F' B L' B' L2
L2 U F' B2 L' B' L
L2 U B L F' D2 B2
L2 U B L' F' B' L2
L2 U B L' B' L2 F'
L2 U B L' B' F' L2
L2 U B F' L' B' L2
L2 U B2 L' F' B' L
L2 U B2 L' B' L F'
L2 U B2 L' B' F' L
L2 U B2 F' L' B' L
F2 R F L' F U F'
D2 R F' L' R' U F'
D2 R F' R' L' U F'
L2 U' R U2 B L F
R2 U' D' B R' F' U2
F' R' L' D F U F'
F' R' L' D' F U F'
F' R' L' D2 F U F'
F' R' L' F U D F'
F' R' L' F U D' F'
F' R' L' F U D2 F'
F' R' L' F U F' D
F' R' L' F U F' D'
F' R' L' F U F' D2
F' R' L' F D U F'
F' R' L' F D' U F'
F' R' L' F D2 U F'
L2 U' F R U2 F2 B
L2 U' F R U2 B F2
L2 U' F U2 F2 L' B'
L2 U' F2 U2 F L' B'
L U2 L U' F' L' B'
L' U2 L' U' F' L' B'
R U2 L B' R' U' F
F2 R' F L' F U F'
L U2 R B' R' U' F'
F' R2 L' D F U F'
F' R2 L' D' F U F'
F' R2 L' D2 F U F'
F' R2 L' F U D F'
F' R2 L' F U D' F'
F' R2 L' F U D2 F'
F' R2 L' F U F' D
F' R2 L' F U F' D'
F' R2 L' F U F' D2
F' R2 L' F D U F'
F' R2 L' F D' U F'
F' R2 L' F D2 U F'
D' R2 U' B R' F' U2
F2 R2 F L' F U F'
D2 U L' D F' B' L
D2 U L' D B' L F'
D2 U L' D B' F' L
D' U L' F B' L F2
D' U L' F' B' L D
D' U L' F' B' L D'
D' U L' F' B' L D2
D' U L' F' B' D L
D' U L' F' B' D' L
D' U L' F' B' D2 L
D2 U L' F' D B' L
L' D F U2 R U' F2
D' U L' B' L D F'
D' U L' B' L D' F'
D' U L' B' L D2 F'
D' U L' B' L F' D
D' U L' B' L F' D'
D' U L' B' L F' D2
D' U L' B' L' F' L2
D' U L' B' D L F'
D' U L' B' D F' L
D' U L' B' D' L F'
D' U L' B' D' F' L
D' U L' B' D2 L F'
D' U L' B' D2 F' L
D' U L' B' F L F2
D' U L' B' F' L D
D' U L' B' F' L D'
D' U L' B' F' L D2
D' U L' B' F' D L
D' U L' B' F' D' L
D' U L' B' F' D2 L
L' D F' L' F2 U F2
D U L' D2 F' B' L
D U L' D2 B' L F'
D U L' D2 B' F' L
D U L' F B' L' F2
D' U L2 F' L B' L
D' U L2 F' B' L B'
D' U L2 B' L F' B'
D' U L2 B' L B' F'
D U L' B' F L' F2
D' U L2 B' F' L B'
U D L' D2 F' B' L
U D L' D2 B' L F'
U D L' D2 B' F' L
U D L' F B' L' F2
U D L' B' F L' F2
U' D R' F' R U2 F'
D' U F L' F2 B' L
D' U F L' B' L F2
D' U F L' B' F2 L
U' D F U2 L' F2 B'
U' D F U2 L' B' F2
D U F L' F2 D B'
D U F L' F2 D' B'
D U F L' F2 D2 B'
D U F L' F2 B' D
D U F L' F2 B' D'
D U F L' F2 B' D2
D U F L' B' F2 D
D U F L' B' F2 D'
D U F L' B' F2 D2
D' U F' L' B' L D
D' U F' L' B' L D'
D' U F' L' B' L D2
D' U F' L' B' D L
D' U F' L' B' D' L
D' U F' L' B' D2 L
D U F L2 F2 L B'
D2 U F' L' D B' L
D' U F' L2 B' L B'
U D F L' F2 D B'
U D F L' F2 D' B'
U D F L' F2 D2 B'
U D F L' F2 B' D
U D F L' F2 B' D'
U D F L' F2 B' D2
U D F L' B' F2 D
U D F L' B' F2 D'
U D F L' B' F2 D2
U D F L2 F2 L B'
F2 U D' F L B' L
D2 U F' D L' B' L
F2 U D' F B' L B'
D U F B L' F2 B'
D U F B L' B' F2
D' U F' B' L' B' L2
D U F B' L' F2 B'
D U F B' L' B' F2
D U F B2 L' F2 B'
D U F B2 L' B' F2
F2 U D' B' F L B'
D' U F2 L' B' L F
U D F B L' F2 B'
U D F B L' B' F2
U D F B' L' F2 B'
U D F B' L' B' F2
U D F B2 L' F2 B'
U D F B2 L' B' F2
D U F' U2 R U2 B
D' U F2 D2 F L' B'
D2 U F2 D' F L' B'
U D F' U2 R U2 B
F2 U F U' L' F U
D' U B' L F' D2 B2
D' U B' L' F' B' L2
D' U B' L' B' L2 F'
D' U B' L' B' F' L2
D U B F L' F2 B'
D U B F L' B' F2
D' U B' F' L' B' L2
U D B F L' F2 B'
U D B F L' B' F2
D U B' F L' F2 B'
D U B' F L' B' F2
U D B' F L' F2 B'
U D B' F L' B' F2
F U F2 U' L' F U
D U B2 F L' F2 B'
D U B2 F L' B' F2
U D B2 F L' F2 B'
U D B2 F L' B' F2
U D' L' F B' L F2
U D' L' F' B' L D
U D' L' F' B' L D'
U D' L' F' B' L D2
U D' L' F' B' D L
U D' L' F' B' D' L
U D' L' F' B' D2 L
U D' L' B' L D F'
U D' L' B' L D' F'
U D' L' B' L D2 F'
U D' L' B' L F' D
U D' L' B' L F' D'
U D' L' B' L F' D2
U D' L' B' L' F' L2
R2 D' U' B R' F' U2
U D' L' B' D L F'
U D' L' B' D F' L
U D' L' B' D' L F'
U D' L' B' D' F' L
U D' L' B' D2 L F'
U D' L' B' D2 F' L
U D' L' B' F L F2
U D' L' B' F' L D
U D' L' B' F' L D'
U D' L' B' F' L D2
U D' L' B' F' D L
U D' L' B' F' D' L
U D' L' B' F' D2 L
U D' L2 F' L B' L
L' D' F U2 R U' F2
U D' L2 F' B' L B'
F' U' L' F U' L U2
U D' L2 B' L F' B'
U D' L2 B' L B' F'
F' U' L' F B2 U R'
U D' L2 B' F' L B'
F' U' L' B2 F U R'
L' D' F' L' F2 U F2
D' U' R2 B R' U2 B
U' D' R2 B R' U2 B
D U' R' F' R U2 F'
U D' F L' F2 B' L
U D' F L' B' L F2
U D' F L' B' F2 L
D U' F U2 L' F2 B'
D U' F U2 L' B' F2
U D' F' L' B' L D
U D' F' L' B' L D'
U D' F' L' B' L D2
U D' F' L' B' D L
U D' F' L' B' D' L
U D' F' L' B' D2 L
U D' F' L2 B' L B'
U D' F' B' L' B' L2
U D' F2 L' B' L F
U D' F2 D2 F L' B'
U' D' B2 U2 F' L' B'
D' U' B2 U2 F' L' B'
U D' B' L F' D2 B2
U D' B' L' F' B' L2
U D' B' L' B' L2 F'
U D' B' L' B' F' L2
U D' B' F' L' B' L2
R' D2 R F' L' U F
U D2 L' D F' B' L
U D2 L' D B' L F'
U D2 L' D B' F' L
U D2 L' F' D B' L
R2 D2 R2 U F' L' B'
F U2 L R B' U' F2
L' D2 F U2 R U' F2
L' D2 F' L' F2 U F2
F U2 L B' R U' F2
U D2 F' L' D B' L
U D2 F' D L' B' L
F U2 R L B' U' F2
U D2 F2 D' F L' B'
L' F L U2 R U' F2
L' F L' U2 R U' F2
L' F L2 U2 R U' F2
L' F R U F2 D2 B2
L' F R' U F2 D B2
L' F R' U2 R2 U' F2
L' F R' D R2 U B2
L' F R2 U2 R' U' F2
L' F U F2 U' L' U
L' F U2 L R U' F2
L' F U2 L' R U' F2
L' F U2 L2 R U' F2
L' F U2 R L U' F2
L' F U2 R L' U' F2
L' F U2 R L2 U' F2
L' F U2 R U' F2 D
L' F U2 R U' F2 D'
L' F U2 R U' F2 D2
L' F U2 R D' L2 U'
L' F U2 D' L2 R U'
L' F U2 D' R L2 U'
L2 F U2 R B U' F2
F' D L' F U L' F'
L' F D R2 U2 R' U'
D F U2 R U' L' F2
L F U2 R B' U' F2
L' F D' U2 L2 R U'
L' F D' U2 R L2 U'
L F U2 B' R U' F2
F2 D R' U F L' B
F2 D R' U F B L'
F2 D R' U B F L'
L' F' L F2 L2 U F2
R' F' L' R F U F2
D2 F' L' R F' U F
L' F' L' R F2 U F2
L' F' L' R' F2 U F2
L' F' L' R2 F2 U F2
L2 F' L F L2 U F'
R' F' L' F R U F'
L' F' L' F2 R U F2
L' F' L' F2 R' U F2
L' F' L' F2 R2 U F2
L' F' L' F2 U F2 D
L' F' L' F2 U F2 D'
L' F' L' F2 U F2 D2
L' F' L' F2 D R2 U
F' D F U L' F' B'
F' D F U L' B' F'
R2 F' L' R2 F U F2
U F' L B D L2 B'
R2 F' L' F R2 U F'
R2 F' L' F U' B U2
L' F' L2 F2 L U F2
R' F' R L' F U F2
D2 F' R L' F' U F
U F' L' U' F U B'
D F' L' F2 U L' F2
R F' L' R' F U F2
L' F' R L' F2 U F2
U F' L' B' U' F U
R F' L' F R' U F'
L' F' R' L' F2 U F2
L F' L2 F L U F'
L' F' R2 L' F2 U F2
R2 F' R2 L' F U F2
R F' R' L' F U F2
D' F' D L' F U F'
U F' U' F' L' F U
U F' D L' D2 B' L
D2 F' D2 L' F U F'
U F' D F L' F' B'
U F' D F L' B' F'
U F' D' L' B' L D
U F' D' L' B' L D'
U F' D' L' B' L D2
U F' D' L' B' D L
U F' D' L' B' D' L
U F' D' L' B' D2 L
U F' D' L2 B' L B'
U F' D' B' L' B' L2
U F' D2 L' D B' L
F2 D' U F L B' L
F2 D' U F B' L B'
U F' B D' L' B' L
F2 D' U B' F L B'
U F' B' D' L' B' L
L2 F2 L F L' U F
U F' B2 D' L' B' L
U' F2 U2 D F L' B'
F' D2 L' R F' U F
U' F2 D U2 F L' B'
F' D2 R L' F' U F
U F2 D F L' D B'
U F2 D F L' D' B'
U F2 D F L' D2 B'
U F2 D F L' B' D
U F2 D F L' B' D'
U F2 D F L' B' D2
U F2 D F D L' B'
U F2 D F D' L' B'
U F2 D F D2 L' B'
U F2 D F B L' B'
U F2 D F B' L' B'
U F2 D F B2 L' B'
U F2 D B F L' B'
U F2 D B' F L' B'
U F2 D B2 F L' B'
U F2 D' L' B' L F
U F2 D' F L' B' L
U F2 B D F L' B'
U F2 B' D F L' B'
U F2 B2 D F L' B'
U B L' F' D' B' L2
U B L' F' B' D' L2
U B L' B' F' D' L2
U B D F L' F2 B'
U B D F L' B' F2
U B D' L' F' B' L
U B D' L' B' L F'
U B D' L' B' F' L
U B D' F' L' B' L
F' B U' B' L' F U
U B F' D' L' B' L
U B F2 D F L' B'
U B' L' F' D' B' L2
U B' L' F' B' D' L2
U B' L' B' F' D' L2
B' F' L' F B U F'
B' F' L' B F U F'
F' B' L' F B U F'
F' B' L' B F U F'
B2 F' L' F B2 U F'
B2 F' L' B2 F U F'
L B' U2 B L U F'
U B' D F L' F2 B'
U B' D F L' B' F2
B' F' U' L' F B U
B' F' U' L' B F U
U B' D' L' F' B' L
U B' D' L' B' L F'
U B' D' L' B' F' L
F' B' U' L' F B U
F' B' U' L' B F U
B2 F' U' L' F B2 U
B2 F' U' L' B2 F U
B' F' U' B L' F U
U B' D' F' L' B' L
F' B' U' B L' F U
B2 F' U' B2 L' F U
B F' U' B' L' F U
U B' F' D' L' B' L
U B' F2 D F L' B'
U B2 L' F' D' B' L2
U B2 L' F' B' D' L2
U B2 L' B' F' D' L2
F' B2 L' F B2 U F'
F' B2 L' B2 F U F'
F' B2 U' L' F B2 U
F' B2 U' L' B2 F U
F' B2 U' B2 L' F U
U B2 D F L' F2 B'
U B2 D F L' B' F2
U B2 D' L' F' B' L
U B2 D' L' B' L F'
U B2 D' L' B' F' L
U B2 D' F' L' B' L
U B2 F' D' L' B' L
U B2 F2 D F L' B'
