B' L' U L2 R U2
B' L' U R L2 U2
B L' U R U2 R2
B L' U' R' D2 L2
B' L' D F2 U' L'
B L' F2 U' L' R'
B L' F2 U' R' L'
L' F2 B U' L' R'
L' F2 B U' R' L'
L' B U R U2 R2
L' B U' R' D2 L2
L' B F2 U' L' R'
L' B F2 U' R' L'
L' B' U L R U2
L' B' U R L U2
B L' F2 D' U' L' R'
B L' F2 D' U' R' L'
B L' F2 D2 U' L' R'
B L' F2 D2 U' R' L'
B2 L' F2 B' U' L' R'
B2 L' F2 B' U' R' L'
B' L' B U L2 R U2
B' L' B U R L2 U2
B2 L' B U L R U2
B2 L' B U R L U2
B' L' B D F2 U' L'
B' L' B' U L2 R U2
B' L' B' U R L2 U2
B2 L' B' U R U2 R2
B' L' B' D F2 U' L'
B2 L' B' U' R' D2 L2
B2 L' B' F2 U' L' R'
B2 L' B' F2 U' R' L'
B' L' B2 U L2 R U2
B' L' B2 U R L2 U2
B' L' B2 D F2 U' L'
B L' B2 U L R U2
B L' B2 U R L U2
D L2 F L F U' L'
L' U R U B U R'
L' U R U2 B R' B'
B' L2 F2 L U' L2 R
B' L2 F2 L U' R L2
L' U R B' L B U2
D L2 F2 L F U' L2
B L2 F2 L U' L2 R'
B L2 F2 L U' R' L2
L' U D' R U' F' U'
B' R L U' L2 R' U'
B' R L U' R' L2 U'
D' R U' L' F' R' U'
D R U' L' R' F U'
D R U' L' F R' U'
B R U' L' R' U' R'
D R U' R' L' F U'
B R U' R' L' U' R'
L' U B R B' U2 R2
U R U' D L' F U'
L' U B' L B R U2
U R D U' L' F U'
R U' R' D L' F U'
U R B U' L' U' R'
U R B' L U' L2 U'
U R B' L U2 D F2
U R B' L D U2 F2
U R B' L D' B2 U2
R U' D L' R' F U'
R U' D L' F R' U'
R U' D R' L' F U'
L' U' B R' D2 B' L2
L' U' B R' B' D2 L2
L' U2 F2 B U L' R'
L' U2 F2 B U R' L'
L' U2 B U R' D2 L2
L' U2 B U' R U2 R2
L' U2 B F2 U L' R'
L' U2 B F2 U R' L'
L' U2 B' U' L R U2
L' U2 B' U' R L U2
R' D L' R F B2 U'
R' D L' R B2 F U'
R' D L' B2 R F U'
R2 D L' F U' B2 L
L D L' F U' F L'
R' D R L' F B2 U'
R' D R L' B2 F U'
R' D R B2 L' F U'
B' U L R U' L2 U'
B' U L R U2 D F2
B' U L R D U2 F2
B' U L R D' B2 U2
B' U L U2 D F2 L'
B' U L D R U2 F2
B' U L D U2 F2 L'
B' U L D' R B2 U2
B' U L D' B2 R U2
R D U' L' R' F U'
R D U' L' F R' U'
R D U' R' L' F U'
B' U R L U' L2 U'
B' U R L U2 D F2
B' U R L D U2 F2
B' U R L D' B2 U2
D' U R U' L' F' U'
B U R U' L' U' R2
D U R U' L' F U'
U D R U' L' F U'
R' D B2 L' R F U'
R' D B2 R L' F U'
L' D' U R U' F' U'
F U B' L U2 F L'
B U' L D F2 L' R'
B U' L D F2 R' L'
U D' R U' L' F' U'
D2 U' F' D R F' L'
B U' F2 L' R' D' F2
B U' F2 R' L' D' F2
B U' F2 R' D' L' F2
U' D2 F' D R F' L'
F2 U2 R B U L' R'
F2 U2 R B U R' L'
B U2 F2 R U L' R2
B U2 F2 R U R2 L'
F2 U2 B R U L' R2
F2 U2 B R U R2 L'
B' D L' U L2 R U2
B' D L' U R L2 U2
B' D L' D F2 U' L'
B D L' U R U2 R2
B D L' U' R' D2 L2
B D L' F2 U' L' R'
B D L' F2 U' R' L'
B' D' L' U L2 R U2
B' D' L' U R L2 U2
B' D' L' D F2 U' L'
L' F' U2 B U L R'
L' F' U2 B U R' L
B D' L' U R U2 R2
B D' L' U' R' D2 L2
B D' L' F2 U' L' R'
B D' L' F2 U' R' L'
L' F' D2 F' U' L' R
L' F' D2 F' U' R L'
L2 F2 L B U' L2 R'
L2 F2 L B U' R' L2
U2 F2 R B U L' R'
U2 F2 R B U R' L'
L' F2 U' L' B R' B'
L' F2 U' B R' B' L'
B' D2 L' U L2 R U2
B' D2 L' U R L2 U2
B' D2 L' D F2 U' L'
L' F2 U2 B U L' R'
L' F2 U2 B U R' L'
B D2 L' U R U2 R2
B D2 L' U' R' D2 L2
B D2 L' F2 U' L' R'
B D2 L' F2 U' R' L'
L' F2 B U' L' R' D
L' F2 B U' L' R' D'
L' F2 B U' L' R' D2
L' F2 B U' L' D R'
L' F2 B U' L' D' R'
L' F2 B U' L' D2 R'
L' F2 B U' R' L' D
L' F2 B U' R' L' D'
L' F2 B U' R' L' D2
L' F2 B U' R' D L'
L' F2 B U' R' D' L'
L' F2 B U' R' D2 L'
L' F2 B U' D L' R'
L' F2 B U' D R' L'
L' F2 B U' D' L' R'
L' F2 B U' D' R' L'
L' F2 B U' D2 L' R'
L' F2 B U' D2 R' L'
L' F2 B D U' L' R'
L' F2 B D U' R' L'
L' F2 B D' U' L' R'
L' F2 B D' U' R' L'
L' F2 B D2 U' L' R'
L' F2 B D2 U' R' L'
U2 F2 B R U L' R2
U2 F2 B R U R2 L'
L' F2 B' U L U2 L2
L' F2 B' U' L' D2 R2
L F2 B L2 U' L R'
L F2 B L2 U' R' L
L B L2 U R U2 R2
L B L2 U' R' D2 L2
L B L2 F2 U' L' R'
L B L2 F2 U' R' L'
U B R U' L' U' R2
L' B U L R U2 R2
L' B U L' R U2 R2
L' B U L2 R U2 R2
L' B U R L U2 R2
L' B U R L' U2 R2
L' B U R L2 U2 R2
L' B U R U2 R2 D
L' B U R U2 R2 D'
L' B U R U2 R2 D2
L' B U R D2 L2 U2
L' B U D R U2 R2
L' B U D' R U2 R2
L' B U D2 R U2 R2
L' B U' L R' D2 L2
L' B U' L' R' D2 L2
L' B U' L2 R' D2 L2
L' B U' R' L D2 L2
L' B U' R' L' D2 L2
L' B U' R' L2 D2 L2
L' B U' R' U2 R2 U2
L' B U' R' D2 L2 D
L' B U' R' D2 L2 D'
L' B U' R' D2 L2 D2
L' B U' D R' D2 L2
L' B U' D' R' D2 L2
L' B U' D2 R' D2 L2
L' B U' F2 L' R' F2
L' B U' F2 L' F2 R'
L' B U' F2 R' L' F2
L' B U2 F2 U L' R'
L' B U2 F2 U R' L'
L B U' D F2 L' R'
L B U' D F2 R' L'
L' B D U R U2 R2
L' B D U' R' D2 L2
R B U' L' U' R' B'
L' B D F2 U' L' R'
L' B D F2 U' R' L'
L' B D' U R U2 R2
L' B D' U' R' D2 L2
L' B D' F2 U' L' R'
L' B D' F2 U' R' L'
L' B D2 U R U2 R2
L B D U' F2 L' R'
L B D U' F2 R' L'
L' B D2 U' R' D2 L2
L' B D2 F2 U' L' R'
L' B D2 F2 U' R' L'
B' F U L U2 F L'
L' B F2 U' L' R' D
L' B F2 U' L' R' D'
L' B F2 U' L' R' D2
L' B F2 U' L' D R'
L' B F2 U' L' D' R'
L' B F2 U' L' D2 R'
L' B F2 U' R' L' D
L' B F2 U' R' L' D'
L' B F2 U' R' L' D2
L' B F2 U' R' D L'
L' B F2 U' R' D' L'
L' B F2 U' R' D2 L'
L' B F2 U' D L' R'
L' B F2 U' D R' L'
L' B F2 U' D' L' R'
L' B F2 U' D' R' L'
L' B F2 U' D2 L' R'
L' B F2 U' D2 R' L'
L' B F2 D U' L' R'
L' B F2 D U' R' L'
L' B F2 D' U' L' R'
L' B F2 D' U' R' L'
L' B F2 D2 U' L' R'
L' B F2 D2 U' R' L'
U2 B F2 R U L' R2
U2 B F2 R U R2 L'
F2 B U' L' R' D' F2
F2 B U' R' L' D' F2
F2 B U' R' D' L' F2
L B F2 L2 U' L R'
L B F2 L2 U' R' L
B F U' R' F L' F2
F2 B U2 R U L' R2
F2 B U2 R U R2 L'
B F U' F L' R' F'
B F U' F R' L' F'
B F U' F2 R' F' L'
U B' L R U' L2 U'
U B' L R U2 D F2
U B' L R D U2 F2
U B' L R D' B2 U2
F B U' R' F L' F2
U B' L U2 D F2 L'
F B U' F L' R' F'
F B U' F R' L' F'
U B' L D R U2 F2
U B' L D U2 F2 L'
U B' L D' R B2 U2
F B U' F2 R' F' L'
U B' L D' B2 R U2
L B' L2 U L' R U2
L B' L2 U R L' U2
L B' L2 F2 U' L' R
L B' L2 F2 U' R L'
U B' R L U' L2 U'
U B' R L U2 D F2
U B' R L D U2 F2
U B' R L D' B2 U2
L' B' U L R U2 D
L' B' U L R U2 D'
L' B' U L R U2 D2
L' B' U L R D U2
L' B' U L R D' U2
L' B' U L R D2 U2
L' B' U L D R U2
L' B' U L D' R U2
L' B' U L D2 R U2
L' B' U R L U2 D
L' B' U R L U2 D'
L' B' U R L U2 D2
L' B' U R L D U2
L' B' U R L D' U2
L' B' U R L D2 U2
L' B' U R D L U2
L' B' U R D' L U2
L' B' U R D2 L U2
L' B' U D L R U2
L' B' U D R L U2
L' B' U D' L R U2
L' B' U D' R L U2
L' B' U D2 L R U2
L' B' U D2 R L U2
L2 B' U L R B U2
L2 B' U R L B U2
L' B' D U L R U2
L' B' D U R L U2
L' B' D' U L R U2
L' B' D' U R L U2
L' B' D2 U L R U2
L' B' D2 U R L U2
F B' U L U2 F L'
L' B' F2 U L U2 L2
L' B' F2 U' L' D2 R2
L' B2 U R U B U
B F2 U' L' R' D' F2
B F2 U' R' L' D' F2
B F2 U' R' D' L' F2
B F2 U2 R U L' R2
B F2 U2 R U R2 L'
