F R U' L2 U' B
D R U2 F2 B L
D R U2 B L F2
D R U2 B F2 L
F R U2 D F2 B
F R U2 D B F2
F R U2 B D F2
F R D U2 F2 B
F R D U2 B F2
F R D' B2 U2 B'
R U' L2 U' B L
D' R' F' B2 U2 L'
D R' F' U2 L' F'
D' R' B2 F' U2 L'
R U2 D F2 B L
R U2 D B L F2
R U2 D B F2 L
R U2 B D L F2
R U2 B D F2 L
R' D F' U2 L' F'
R D U2 F2 B L
R D U2 B L F2
R D U2 B F2 L
R' D' F' B2 U2 L'
R' D' B2 F' U2 L'
F' U2 D L' F2 B'
F' U2 D L' B' F2
F U2 D F2 L' B'
D' F R B2 U2 B'
D F R U2 F B
D F R U2 B F
F D R U2 F2 B
F D R U2 F2 B
F D R U2 B F2
D' F B2 R U2 B
F' D U2 L' F2 B'
F' D U2 L' B' F2
F D U2 F2 L' B'
R' F' U' L2 U' L
R' F' U2 D L' F2
R' F' D U2 L' F2
R' F' D' B2 U2 L'
D F' U2 L' F' B'
D F' U2 L' B' F'
F D' R B2 U2 B'
D' F' B2 U2 L' B'
F' D' B2 U2 L' B'
F D' B2 R U2 B
D' B2 R U2 B L
D' B2 R' F' U2 L'
D' B2 F R U2 B
D' B2 F' U2 L' B'
D' R' F' B2 R U2 L'
D' R' F' B2 R' U2 L'
D' R' F' B2 R2 U2 L'
D' R' F' B2 U2 L' D
D' R' F' B2 U2 L' D'
D' R' F' B2 U2 L' D2
D' R' F' B2 U2 D L'
D' R' F' B2 U2 D' L'
D' R' F' B2 U2 D2 L'
D' R' F' B2 D U2 L'
D' R' F' B2 D' U2 L'
D' R' F' B2 D2 U2 L'
B2 R' F' D U2 L' F2
F2 R' F' U2 D F2 L'
F2 R' F' D R U2 F2
D R' F' R2 B U2 L'
F2 R' F' D U2 F2 L'
B2 R' F' D' B2 U2 L'
F2 R' F' D' R B2 U2
F2 R' F' D' B2 R U2
B R' F' U' L2 U' L
D R' F' U2 L F' L2
D R' F' U2 L' D F'
D R' F' U2 L' D' F'
D R' F' U2 L' D2 F'
D R' F' U2 L' F' D
D R' F' U2 L' F' D'
D R' F' U2 L' F' D2
D R' F' U2 L2 F' L
D R' F' U2 D L' F'
D R' F' U2 D' L' F'
D R' F' U2 D2 L' F'
B R' F' U2 D L' F2
D R' F' D U2 L' F'
F R' F' R2 U' L2 U'
B R' F' D U2 L' F2
F R' F' R2 U2 D F2
F R' F' R2 D U2 F2
F R' F' R2 D' B2 U2
D R' F' D' U2 L' F'
B R' F' D' B2 U2 L'
D R' F' D2 U2 L' F'
D R' F' B U2 L' F'
D R' F' B' U2 L' F'
D R' F' B2 U2 L' F'
D R' B F' U2 L' F'
D' R' B2 R2 U2 B L
D R' B' F' U2 L' F'
R U2 D L F2 B L
R U2 D L B L F2
R U2 D L B F2 L
D' R' B2 D F' U2 L'
R U2 D L' F2 B L
R U2 D L' B L F2
R U2 D L' B F2 L
D' R' B2 D' F' U2 L'
R U2 D L2 F2 B L
R U2 D L2 B L F2
R U2 D L2 B F2 L
D' R' B2 D2 F' U2 L'
D' R' B2 F R F2 U2
D' R' B2 F' R U2 L'
D' R' B2 F' R' U2 L'
D' R' B2 F' R2 U2 L'
D' R' B2 F' U2 L' D
D' R' B2 F' U2 L' D'
D' R' B2 F' U2 L' D2
D' R' B2 F' U2 D L'
D' R' B2 F' U2 D' L'
D' R' B2 F' U2 D2 L'
D' R' B2 F' D U2 L'
D' R' B2 F' D' U2 L'
D' R' B2 F' D2 U2 L'
R U2 D F' B L F'
R U2 D F2 L B L
R U2 D F2 L' B L
R U2 D F2 L2 B L
R U2 D F2 D B L
R U2 D F2 D' B L
R U2 D F2 D2 B L
R U2 D F2 B L D
R U2 D F2 B L D'
R U2 D F2 B L D2
R U2 D F2 B D L
R U2 D F2 B D' L
R U2 D F2 B D2 L
R U2 D B L F2 D
R U2 D B L F2 D'
R U2 D B L F2 D2
R U2 D B L' F2 L2
R U2 D B F' L F'
R U2 D B F2 L D
R U2 D B F2 L D'
R U2 D B F2 L D2
R U2 D B F2 D L
R U2 D B F2 D' L
R U2 D B F2 D2 L
D R' B2 F' U2 L' F'
R U2 D2 B L D' F2
R U2 D2 B D' L F2
R U2 D2 B D' F2 L
U' R2 L2 B' R' B U'
R U2 F D F2 B L
R U2 F D B L F2
R U2 F D B F2 L
R U2 F B D L F2
R U2 F B D F2 L
R U2 F' D F2 B L
R U2 F' D B L F2
R U2 F' D B F2 L
R U2 F' B D L F2
R U2 F' B D F2 L
R U2 F2 D F2 B L
R U2 F2 D B L F2
R U2 F2 D B F2 L
R U2 F2 B D L F2
R U2 F2 B D F2 L
R U2 B L U L U'
R U2 B U L2 U' L'
R U2 B D L F2 D
R U2 B D L F2 D'
R U2 B D L F2 D2
R U2 B D L' F2 L2
R U2 B D F' L F'
R U2 B D F2 L D
R U2 B D F2 L D'
R U2 B D F2 L D2
R U2 B D F2 D L
R U2 B D F2 D' L
R U2 B D F2 D2 L
R U2 B D' L D2 F2
R U2 B D2 L D' F2
R U2 B F D L F2
R U2 B F D F2 L
R U2 B F' D L F2
R U2 B F' D F2 L
R U2 B F2 D L F2
R U2 B F2 D F2 L
D' R2 F R F' B2 U2
D' R2 F R B2 F' U2
D' R2 F B2 R F' U2
D R2 F R F' U2 F2
R' D R2 U2 F2 B L
R' D R2 U2 B L F2
R' D R2 U2 B F2 L
U' R2 B' L2 R' B U'
U' R2 B' R' L2 B U'
U' R2 B' R' B L2 U'
D' R2 B2 R F' U2 L'
D' R2 B2 R' U2 B L
R D R2 F' U2 L' F'
D' R2 B2 F R F' U2
R' D F R F2 U2 F'
R D U2 L F2 B L
R D U2 L B L F2
R D U2 L B F2 L
R D U2 L' F2 B L
R D U2 L' B L F2
R D U2 L' B F2 L
R D U2 L2 F2 B L
R D U2 L2 B L F2
R D U2 L2 B F2 L
R D U2 F' B L F'
R D U2 F2 L B L
R D U2 F2 L' B L
R D U2 F2 L2 B L
R D U2 F2 D B L
R D U2 F2 D' B L
R D U2 F2 D2 B L
R D U2 F2 B L D
R D U2 F2 B L D'
R D U2 F2 B L D2
R D U2 F2 B D L
R D U2 F2 B D' L
R D U2 F2 B D2 L
R D U2 B L F2 D
R D U2 B L F2 D'
R D U2 B L F2 D2
R D U2 B L' F2 L2
R' D F' R2 B U2 L'
R D U2 B F' L F'
R D U2 B F2 L D
R D U2 B F2 L D'
R D U2 B F2 L D2
R D U2 B F2 D L
R D U2 B F2 D' L
R D U2 B F2 D2 L
U2 D L' F2 B L B2
U2 D L' B L F2 B2
U2 D L' B L B2 F2
U2 D L' B F2 L B2
R' D F' U2 L F' L2
R' D F' U2 L' D F'
R' D F' U2 L' D' F'
R' D F' U2 L' D2 F'
R' D F' U2 L' F' D
R' D F' U2 L' F' D'
R' D F' U2 L' F' D2
R' D F' U2 L2 F' L
R' D F' U2 D L' F'
R' D F' U2 D' L' F'
R' D F' U2 D2 L' F'
R' D F' D U2 L' F'
R' D F' D' U2 L' F'
R' D F' D2 U2 L' F'
R' D F' B U2 L' F'
R' D F' B' U2 L' F'
R' D F' B2 U2 L' F'
U2 D L2 F2 B L B'
U2 D L2 B L F2 B'
U2 D L2 B L B' F2
U2 D L2 B F2 L B'
R D F' U2 L' F' B
R D F' U2 L' B F'
R D F' U2 B L' F'
R' D B F' U2 L' F'
R' D B' F' U2 L' F'
R' D B2 F' U2 L' F'
F' U D2 R2 U L' B'
U2 D F2 L' B L B2
U2 D F2 L2 B L B'
U2 D F2 B L' B' L2
U2 D F2 B2 L' B' L
U2 D B L' F2 B' L2
U2 D B L' B' L2 F2
U2 D B L' B' F2 L2
U2 D B F2 L' B' L2
U2 D B2 L' F2 B' L
U2 D B2 L' B' L F2
U2 D B2 L' B' F2 L
U2 D B2 F2 L' B' L
R D' R2 F' B2 U2 L'
R D' R2 B2 F' U2 L'
R' D' F R F2 B2 U2
R' D' F R B2 F2 U2
R' D' F B2 R F2 U2
R' D' F' R B2 U2 L'
R' D' F' R' B2 U2 L'
R' D' F' R2 B2 U2 L'
R' D' F' U2 L' D2 F2
R' D' F' U2 D2 L' F2
F' U' L2 U' L' B' L2
R' D' F' D2 U2 L' F2
R' D' F' B2 R U2 L'
R' D' F' B2 R' U2 L'
R' D' F' B2 R2 U2 L'
R' D' F' B2 U2 L' D
R' D' F' B2 U2 L' D'
R' D' F' B2 U2 L' D2
R' D' F' B2 U2 D L'
R' D' F' B2 U2 D' L'
R' D' F' B2 U2 D2 L'
R' D' F' B2 D U2 L'
R' D' F' B2 D' U2 L'
R' D' F' B2 D2 U2 L'
R D' F B2 R U2 B'
F U' L2 U R U2 B
R D' F' B2 U2 B' L'
R' D' B2 R2 U2 B L
R' D' B2 D F' U2 L'
R' D' B2 D' F' U2 L'
R' D' B2 D2 F' U2 L'
R' D' B2 F R F2 U2
R' D' B2 F' R U2 L'
R' D' B2 F' R' U2 L'
R' D' B2 F' R2 U2 L'
R' D' B2 F' U2 L' D
R' D' B2 F' U2 L' D'
R' D' B2 F' U2 L' D2
R' D' B2 F' U2 D L'
R' D' B2 F' U2 D' L'
R' D' B2 F' U2 D2 L'
R' D' B2 F' D U2 L'
R' D' B2 F' D' U2 L'
R' D' B2 F' D2 U2 L'
R D' B2 U2 B L B2
R D' B2 F R U2 B'
R D' B2 F' U2 B' L'
D U2 L' F2 B L B2
D U2 L' B L F2 B2
D U2 L' B L B2 F2
D U2 L' B F2 L B2
F' U' B' L2 R' U' L
F' U' B' R' L2 U' L
R' D2 U R2 U B L
D U2 L2 F2 B L B'
D U2 L2 B L F2 B'
D U2 L2 B L B' F2
D U2 L2 B F2 L B'
F' U2 L' B' U L' U'
R' D2 F' U R2 U L'
R' D2 F' U2 L' D' F2
R' D2 F' U2 D' L' F2
R' D2 F' D B2 U2 L'
R' D2 F' D' U2 L' F2
R D2 U2 B L D' F2
R D2 U2 B D' L F2
R D2 U2 B D' F2 L
D U2 F2 L' B L B2
D U2 F2 L2 B L B'
D U2 F2 B L' B' L2
D U2 F2 B2 L' B' L
D U2 B L' F2 B' L2
D U2 B L' B' L2 F2
D U2 B L' B' F2 L2
D U2 B F2 L' B' L2
F' U2 D L' F2 D B'
F' U2 D L' F2 D' B'
F' U2 D L' F2 D2 B'
F' U2 D L' F2 B' D
F' U2 D L' F2 B' D'
F' U2 D L' F2 B' D2
F' U2 D L' B' F2 D
F' U2 D L' B' F2 D'
F' U2 D L' B' F2 D2
F' U2 D L2 F2 L B'
F' U2 D B L' F2 B'
F' U2 D B L' B' F2
F' U2 D B' L' F2 B'
F' U2 D B' L' B' F2
F' U2 D B2 L' F2 B'
F' U2 D B2 L' B' F2
F' U2 D' L' D2 F2 B'
F' U2 D' L' D2 B' F2
D U2 B2 L' F2 B' L
D U2 B2 L' B' L F2
D U2 B2 L' B' F2 L
F U2 D L' F2 B' L'
F U2 D L' B' F2 L'
F' U2 D2 L' D' F2 B'
F' U2 D2 L' D' B' F2
F' U2 D2 L' B' D' F2
D U2 B2 F2 L' B' L
F U2 D F2 L' D B'
F U2 D F2 L' D' B'
F U2 D F2 L' D2 B'
F U2 D F2 L' B' D
F U2 D F2 L' B' D'
F U2 D F2 L' B' D2
F U2 D F2 D L' B'
F U2 D F2 D' L' B'
F U2 D F2 D2 L' B'
F U2 D F2 B L' B'
F U2 D F2 B' L' B'
F U2 D F2 B2 L' B'
F U2 D B F2 L' B'
F U2 D B' F2 L' B'
F U2 D B2 F2 L' B'
F2 U2 F D L' F2 B'
F2 U2 F D L' B' F2
D' F R U2 D2 F2 B
D' F R U2 D2 B F2
D' F R D2 U2 F2 B
D' F R D2 U2 B F2
D' F R F B2 U2 B'
F2 U2 F' D F2 L' B'
R' F R F2 U' L2 U'
R' F R F2 U2 D F2
D' F R F' B2 U2 B'
R' F R F2 D U2 F2
R' F R F2 D' B2 U2
D' F R F2 B2 U2 B'
D' F R B2 U2 D B'
D' F R B2 U2 D' B'
D' F R B2 U2 D2 B'
D' F R B2 U2 B' D
D' F R B2 U2 B' D'
D' F R B2 U2 B' D2
D' F R B2 D U2 B'
D' F R B2 D' U2 B'
D' F R B2 D2 U2 B'
D' F R B2 F U2 B'
D' F R B2 F' U2 B'
D' F R B2 F2 U2 B'
F' U2 F2 D F2 L' B'
R2 F R D F' U2 F'
R2 F R D' F' B2 U2
R2 F R D' B2 F' U2
D F R U2 D F B
D F R U2 D B F
D F R U2 D' F B
D F R U2 D' B F
D F R U2 D2 F B
D F R U2 D2 B F
D F R U2 F D B
D F R U2 F D' B
D F R U2 F D2 B
D F R U2 F B D
D F R U2 F B D'
D F R U2 F B D2
D' F R' F' R2 B2 U2
D F R U2 B D F
D F R U2 B D' F
D F R U2 B D2 F
D F R U2 B F D
D F R U2 B F D'
D F R U2 B F D2
D' F R' F' B2 R2 U2
D F R D U2 F B
D F R D U2 B F
R2 F R F' U' L2 U'
R2 F R F' U2 D F2
R2 F R F' D U2 F2
R2 F R F' D' B2 U2
D F R D' U2 F B
D F R D' U2 B F
D F R D2 U2 F B
D F R D2 U2 B F
D' F R' B2 R2 U2 B
D' F R' B2 F' R2 U2
D F R F' U2 F2 B
D F R F' U2 B F2
D F R F2 U2 F' B
D F R F2 U2 B F'
D F R B' U2 F B2
D F R B' U2 B2 F
D F R B2 U2 F B'
D F R B2 U2 B' F
F' U2 B D L' F2 B'
F' U2 B D L' B' F2
F U2 F2 D L' F2 B'
F U2 F2 D L' B' F2
D F R' F' R2 U2 F2
F' U2 B' D L' F2 B'
F' U2 B' D L' B' F2
F U2 B D F2 L' B'
F' U2 B2 D L' F2 B'
F' U2 B2 D L' B' F2
F U2 B' D F2 L' B'
F' D L F2 L2 R B
F' D L F2 R L2 B
F' D L F2 R B L2
D2 F U2 D' F2 L' B'
D' F U2 D2 F2 L' B'
F U2 B2 D F2 L' B'
D2 F D R B2 U2 B'
F D L F2 L' R B
U F U2 L2 R B U'
F D L F2 R L' B
F D L F2 R B L'
D2 F D B2 R U2 B
U F U2 R L2 B U'
U F U2 R B L2 U'
D F U2 F2 L' F' B'
D F U2 F2 L' B' F'
D2 F D' R U2 F2 B
D2 F D' R U2 B F2
R F U2 D F2 L' B
R F U2 D F2 B L'
R F U2 D B F2 L'
D F D R U2 F B
D F D R U2 B F
D2 F D' U2 F2 L' B'
B' D R U2 F2 B L
B' D R U2 B L F2
B' D R U2 B F2 L
R F U2 B D F2 L'
F' D R U2 L' F2 B
F' D R U2 L' B F2
F' D R U2 B L' F2
D' F D2 R U2 F2 B
D' F D2 R U2 B F2
B2 D R U2 F2 B L
B2 D R U2 B L F2
B2 D R U2 B F2 L
D' F D2 U2 F2 L' B'
D F D' R U2 F B
D F D' R U2 B F
R F D U2 F2 L' B
R F D U2 F2 B L'
R F D U2 B F2 L'
B D R U2 F2 B L
B D R U2 B L F2
B D R U2 B F2 L
B' D R' F' U2 L' F'
F D R U2 F2 D B
F D R U2 F2 D' B
F D R U2 F2 D2 B
F D R U2 F2 B D
F D R U2 F2 B D'
F D R U2 F2 B D2
F D R U2 F2 B D
F D R U2 F2 B D'
F D R U2 F2 B D2
B2 D R' F' U2 L' F'
F D R U2 B F2 D
F D R U2 B F2 D'
F D R U2 B F2 D2
D F D2 R U2 F B
D F D2 R U2 B F
F D R D2 B2 U2 B'
F D R F U2 F B
F D R F U2 B F
F D R F' U2 F' B
F D R F' U2 B F'
R F D' B2 R U2 B'
D' F B' R B' U2 B2
F D R B' U2 F2 B2
F D R B' U2 B2 F2
F D R B2 U2 F2 B'
F D R B2 U2 B' F2
B D R' F' U2 L' F'
D F B R U2 F B
D F B R U2 B F
D' F B2 R U2 D B
D' F B2 R U2 D' B
D' F B2 R U2 D2 B
D' F B2 R U2 B D
D' F B2 R U2 B D'
D' F B2 R U2 B D2
F D R' F' R2 B U2
D' F B2 R D U2 B
D' F B2 R D' U2 B
D' F B2 R D2 U2 B
D' F B2 R F U2 B
D' F B2 R F' U2 B
D' F B2 R F2 U2 B
D' F B2 R' F' R2 U2
D' F B2 D R U2 B
D' F B2 D' R U2 B
D F B' R U2 F B
D F B' R U2 B F
D' F B2 D2 R U2 B
D F B2 R U2 F B
D F B2 R U2 B F
F' D U2 L' F2 D B'
F' D U2 L' F2 D' B'
F' D U2 L' F2 D2 B'
F' D U2 L' F2 B' D
F' D U2 L' F2 B' D'
F' D U2 L' F2 B' D2
F' D U2 L' B' F2 D
F' D U2 L' B' F2 D'
F' D U2 L' B' F2 D2
F' D U2 L2 F2 L B'
F' D U2 B L' F2 B'
F' D U2 B L' B' F2
F' D U2 B' L' F2 B'
F' D U2 B' L' B' F2
F' D U2 B2 L' F2 B'
F' D U2 B2 L' B' F2
B' D F R U2 F B
B' D F R U2 B F
B2 D F R U2 F B
B2 D F R U2 B F
F D U2 L' F2 B' L'
F D U2 L' B' F2 L'
F D U2 F2 L' D B'
F D U2 F2 L' D' B'
F D U2 F2 L' D2 B'
F D U2 F2 L' B' D
F D U2 F2 L' B' D'
F D U2 F2 L' B' D2
F D U2 F2 D L' B'
F D U2 F2 D' L' B'
F D U2 F2 D2 L' B'
F D U2 F2 B L' B'
F D U2 F2 B' L' B'
F D U2 F2 B2 L' B'
B' D F' U2 L' F' B'
B' D F' U2 L' B' F'
B D F R U2 F B
B D F R U2 B F
F D U2 B F2 L' B'
F D U2 B' F2 L' B'
R' F' R U' L2 U' L
U F' L' U2 B' L' U'
F D U2 B2 F2 L' B'
R' F' R U2 D L' F2
R' F' R D U2 L' F2
R' F' R D' B2 U2 L'
B2 D F' U2 L' F' B'
B2 D F' U2 L' B' F'
F D F U2 F L' B'
D' F' R B2 U2 B' L'
R' F' R' U' L2 U' L
R' F' R' U2 D L' F2
R' F' R' D U2 L' F2
B D F' U2 L' F' B'
B D F' U2 L' B' F'
R' F' R' D' B2 U2 L'
R' F' R2 U' L2 U' L
R' F' R2 U2 D L' F2
F' D B U2 L' F2 B'
F' D B U2 L' B' F2
R' F' R2 D U2 L' F2
R' F' R2 D' B2 U2 L'
F' D B' U2 L' F2 B'
F' D B' U2 L' B' F2
D2 F' U R2 U L' B'
R' F' U D2 R2 U L'
F D B R U2 F2 B
F D B R U2 B F2
F D B U2 F2 L' B'
R' F' U' L2 U' L D
R' F' U' L2 U' L D'
R' F' U' L2 U' L D2
R' F' U' L2 U' D L
R' F' U' L2 U' D' L
R' F' U' L2 U' D2 L
R' F' U' L2 D U' L
R' F' U' L2 D' U' L
R' F' U' L2 D2 U' L
F' D B2 U2 L' F2 B'
F' D B2 U2 L' B' F2
F D B' R U2 F2 B
F D B' R U2 B F2
R' F' U' B L2 U' L
R' F' U' B' L2 U' L
R' F' U' B2 L2 U' L
F D B' U2 F2 L' B'
R' F' U2 L' U L' U'
D2 F' U2 L' D' F2 B'
D2 F' U2 L' D' B' F2
D' F' U2 L' D2 F2 B'
D' F' U2 L' D2 B' F2
D2 F' U2 L' B' D' F2
R' F' U2 D L F2 L2
R' F' U2 D L' F2 D
R' F' U2 D L' F2 D'
R' F' U2 D L' F2 D2
R' F' U2 D L2 F2 L
R' F' U2 D' L' D2 F2
R' F' U2 D2 L' D' F2
D2 F' U2 D' L' F2 B'
D2 F' U2 D' L' B' F2
F D B2 R U2 F2 B
F D B2 R U2 B F2
D' F' U2 D2 L' F2 B'
D' F' U2 D2 L' B' F2
R' F' U2 F2 D F2 L'
F D B2 U2 F2 L' B'
R' F' D R U2 L' F2
