D2 L U' R2 F B'
D2 L U' R2 B' F
D2 L U' F R2 B'
D2 L U' F B' R2
D2 L U' B' R2 F
D2 L U' B' F R2
L U' F B2 R' B
L U' B2 R' F B
L U' B2 R' B F
L U' B2 F R' B
L' R' U' B D2 F2 R
L R' U' F B2 R' B'
L R' U' B2 R' F B'
L R' U' B2 R' B' F
L R' U' B2 F R' B'
B2 L B2 U' R' F B
B2 L B2 U' R' B F
B2 L B2 U' F R' B
D2 L' U F B' U2 R2
D2 L' U B' F U2 R2
U L2 U R' U F' B
U L2 U R' U B F'
U L2 B' U R' U B
D2 R L U' R F B'
D2 R L U' R B' F
D2 R L U' B' R F
L' U D2 B' L' F U2
U2 R U D2 R2 F' B
U2 R U D2 R2 B F'
U2 R U' L2 F' B U2
U2 R U' L2 B F' U2
U2 R U' F' L2 B U2
U2 R U' F' B L2 U2
U2 R U' B L2 F' U2
U2 R U' B F' L2 U2
L' U B' D2 L' F U2
L U B2 U2 R' F B
L U B2 U2 R' B F
L U B2 U2 F R' B
U2 R D2 U R2 F' B
U2 R D2 U R2 B F'
L U' R F D2 B2 R'
L' U' R' B D2 F2 R
L U' R' F B2 R' B'
L U' R' B2 R' F B'
L U' R' B2 R' B' F
L U' R' B2 F R' B'
D2 R' L U' R' F B'
D2 R' L U' R' B' F
D2 R' L U' F R' B'
L U' F R' B2 R' B'
L U' F B R' B R'
L U' F B2 R' D B
L U' F B2 R' D' B
L U' F B2 R' D2 B
L U' F B2 R' B D
L U' F B2 R' B D'
L U' F B2 R' B D2
U2 R' U D2 F' B R2
U2 R' U D2 B F' R2
U2 R' U F' D2 B R2
U2 R' U F' B D2 R2
U2 R' U B D2 F' R2
U2 R' U B F' D2 R2
L U' F' B2 R' F2 B
L U' F' B2 R' B F2
U2 R' U' L2 U2 F' B
U2 R' U' L2 U2 B F'
L U' B R' F B R'
L U' B R' B R' F
L U' B R' B F R'
L U' B F R' B R'
L U' B2 R' D F B
L U' B2 R' D B F
L U' B2 R' D' F B
L U' B2 R' D' B F
L U' B2 R' D2 F B
L U' B2 R' D2 B F
L U' B2 R' F D B
L U' B2 R' F D' B
L U' B2 R' F D2 B
L U' B2 R' F B D
L U' B2 R' F B D'
L U' B2 R' F B D2
L U' B2 R' B D F
L U' B2 R' B D' F
L U' B2 R' B D2 F
L U' B2 R' B F D
L U' B2 R' B F D'
L U' B2 R' B F D2
L U' B2 F R' D B
L U' B2 F R' D' B
L U' B2 F R' D2 B
L U' B2 F R' B D
L U' B2 F R' B D'
L U' B2 F R' B D2
L U' B2 F' R' F2 B
L U' B2 F' R' B F2
U2 R' D' B2 U F' B'
U2 R' D' B2 U B' F'
U2 R' D2 U F' B R2
U2 R' D2 U B F' R2
R' D L F2 U' F' B
R' D L F2 U' B F'
L U2 B2 U R' F B
L U2 B2 U R' B F
L U2 B2 U F R' B
R' D F2 L U' F B
R' D F2 L U' B F
R' D2 L U' F B R2
R' D2 L U' B R2 F
R' D2 L U' B F R2
R D2 L U' R2 F B
R D2 L U' R2 B F
L' D2 U B' L' F U2
D2 F L U' R2 F B'
D2 F L U' R2 B' F
D2 F L U' F R2 B'
D2 F L U' F B' R2
D2 F L U' B' R2 F
D2 F L U' B' F R2
D2 F' L U' R2 F B'
D2 F' L U' R2 B' F
D2 F' L U' F R2 B'
D2 F' L U' F B' R2
D2 F' L U' B' R2 F
D2 F' L U' B' F R2
L F B2 R' D L2 B
L F B2 R' D B L2
L F' U' F2 B2 R' B
L F' U' B2 R' F2 B
L F' U' B2 R' B F2
L F' U' B2 F2 R' B
D2 F2 L U' R2 F B'
D2 F2 L U' R2 B' F
D2 F2 L U' F R2 B'
D2 F2 L U' F B' R2
D2 F2 L U' B' R2 F
D2 F2 L U' B' F R2
F' D2 L U' R2 F B'
F' D2 L U' R2 B' F
F' D2 L U' F R2 B'
F' D2 L U' F B' R2
F' D2 L U' B' R2 F
F' D2 L U' B' F R2
F2 D2 L U' R2 F B'
F2 D2 L U' R2 B' F
F2 D2 L U' F R2 B'
F2 D2 L U' F B' R2
F2 D2 L U' B' R2 F
F2 D2 L U' B' F R2
F D2 L U' R2 F B'
F D2 L U' R2 B' F
F D2 L U' F R2 B'
F D2 L U' F B' R2
F D2 L U' B' R2 F
F D2 L U' B' F R2
L F2 U' F' B2 R' B
L F2 U' B2 F' R' B
D F2 D L U' F B'
D F2 D L U' B' F
U B' L2 U R' U B
L B2 R' D F L2 B
L B2 R' D F B L2
L B2 R' D B F L2
L B2 R' F D L2 B
L B2 R' F D B L2
L B2 F R' D L2 B
L B2 F R' D B L2
