R2 U' R' U' F'
U' R U B R U2
R2 U' L R' U' F'
R2 U' L' R' U' F'
R2 U' L2 R' U' F'
R2 U' R' L U' F'
R2 U' R' L' U' F'
R2 U' R' L2 U' F'
R2 U' R' U' D F'
R2 U' R' U' D' F'
R2 U' R' U' D2 F'
R2 U' R' U' F' D
R2 U' R' U' F' D'
R2 U' R' U' F' D2
R2 U' R' D U' F'
R2 U' R' D' U' F'
R2 U' R' D2 U' F'
R2 U' D R' U' F'
R2 U' D' R' U' F'
R2 U' D2 R' U' F'
B' R2 U' R' U' F'
B2 R2 U' R' U' F'
B R2 U' R' U' F'
R2 D U' R' U' F'
R2 D' U' R' U' F'
R2 D2 U' R' U' F'
R2 F' U' L' R' U'
R2 F' U' R' L' U'
R2 B2 U L U F
R2 U' D R' L U' F'
R2 U' D R' L' U' F'
R2 U' D R' L2 U' F'
R2 U' D R' U' D F'
R2 U' D R' U' D' F'
R2 U' D R' U' D2 F'
R2 U' D R' U' F' D
R2 U' D R' U' F' D'
R2 U' D R' U' F' D2
R2 U' D R' D U' F'
R2 U' D R' D' U' F'
R2 U' D R' D2 U' F'
U' R B2 U R B' U2
U' R B2 U B' R U2
R2 U' D' L R' U' F'
R2 U' D' L' R' U' F'
R2 U' D' L2 R' U' F'
R2 U' D' R' L U' F'
R2 U' D' R' L' U' F'
R2 U' D' R' L2 U' F'
R2 U' D' R' U' D F'
R2 U' D' R' U' D' F'
R2 U' D' R' U' D2 F'
R2 U' D' R' U' F' D
R2 U' D' R' U' F' D'
R2 U' D' R' U' F' D2
R2 U' D' R' D U' F'
R2 U' D' R' D' U' F'
R2 U' D' R' D2 U' F'
R2 U' D2 L R' U' F'
R2 U' D2 L' R' U' F'
R2 U' D2 L2 R' U' F'
R2 U' D2 R' L U' F'
R2 U' D2 R' L' U' F'
R2 U' D2 R' L2 U' F'
R2 U' D2 R' U' D F'
R2 U' D2 R' U' D' F'
R2 U' D2 R' U' D2 F'
R2 U' D2 R' U' F' D
R2 U' D2 R' U' F' D'
R2 U' D2 R' U' F' D2
R2 U' D2 R' D U' F'
R2 U' D2 R' D' U' F'
R2 U' D2 R' D2 U' F'
R2 U' F' R' F U' F2
R2 U' F2 R' F2 U' F
U' R' U' D F' B2 L
U' R' U' D B2 L F'
U' R' U' D B2 F' L
U' R' U' F' D B2 L
U' R' D U' F' B2 L
U' R' D U' B2 L F'
U' R' D U' B2 F' L
F R' D R' B2 U2 B'
R2 U2 F U R' U' F'
R2 U2 F' U R' U' F'
F2 R2 U D' L' U F
B' R2 U' L R' U' F'
B' R2 U' L' R' U' F'
F' R2 U' L' R U' B
B' R2 U' L2 R' U' F'
D2 R2 U' R' U' L2 F'
D2 R2 U' R' U' F' L2
B2 R2 U' L R' U' F'
F' R2 U' R L' U' B
B' R2 U' R' L U' F'
B2 R2 U' L' R' U' F'
B' R2 U' R' L' U' F'
B' R2 U' R' L2 U' F'
B' R2 U' R' U' D F'
B' R2 U' R' U' D' F'
B' R2 U' R' U' D2 F'
B' R2 U' R' U' F' D
B' R2 U' R' U' F' D'
B' R2 U' R' U' F' D2
B' R2 U' R' D U' F'
B' R2 U' R' D' U' F'
B' R2 U' R' D2 U' F'
B2 R2 U' L2 R' U' F'
F R2 U D R' U B
B' R2 U' D R' U' F'
B2 R2 U' R' L U' F'
B' R2 U' D' R' U' F'
B2 R2 U' R' L' U' F'
B2 R2 U' R' L2 U' F'
B2 R2 U' R' U' D F'
B2 R2 U' R' U' D' F'
B2 R2 U' R' U' D2 F'
B2 R2 U' R' U' F' D
B2 R2 U' R' U' F' D'
B2 R2 U' R' U' F' D2
R2 U2 F2 U R' U' F'
B2 R2 U' R' D U' F'
B2 R2 U' R' D' U' F'
B2 R2 U' R' D2 U' F'
B' R2 U' D2 R' U' F'
B2 R2 U' D R' U' F'
B R2 U' L R' U' F'
B2 R2 U' D' R' U' F'
B R2 U' L' R' U' F'
B2 R2 U' D2 R' U' F'
B R2 U' L2 R' U' F'
B R2 U' R' L U' F'
B R2 U' R' L' U' F'
B R2 U' R' L2 U' F'
B R2 U' R' U' D F'
B R2 U' R' U' D' F'
B R2 U' R' U' D2 F'
B R2 U' R' U' F' D
B R2 U' R' U' F' D'
B R2 U' R' U' F' D2
B R2 U' R' D U' F'
B R2 U' R' D' U' F'
B R2 U' R' D2 U' F'
D R2 U' R' B2 U' F'
B R2 U' D R' U' F'
B R2 U' D' R' U' F'
B R2 U' D2 R' U' F'
B' R2 D U' R' U' F'
B2 R2 D U' R' U' F'
B R2 D U' R' U' F'
F R2 D U R' U B
B' R2 D' U' R' U' F'
F2 R2 D' U L' U F
B2 R2 D' U' R' U' F'
B R2 D' U' R' U' F'
B' R2 D2 U' R' U' F'
B' R2 D2 U' R' U' F'
B2 R2 D2 U' R' U' F'
B R2 D2 U' R' U' F'
F R2 F U L' R' U
F R2 F U R' L' U
B' R2 F' U' L' R' U'
B' R2 F' U' R' L' U'
B2 R2 F' U' L' R' U'
B2 R2 F' U' R' L' U'
B R2 F' U' L' R' U'
B R2 F' U' R' L' U'
L' D R B2 U' R' F'
R D R U' R' U' F'
B' R2 B2 U L U F
B2 R2 B2 U L U F
R2 D U' L R' U' F'
R2 D U' L' R' U' F'
R2 D U' L2 R' U' F'
B R2 B2 U L U F
R2 D U' R' L U' F'
R2 D U' R' L' U' F'
R2 D U' R' L2 U' F'
R2 D U' R' U' D F'
R2 D U' R' U' D' F'
R2 D U' R' U' D2 F'
R2 D U' R' U' F' D
R2 D U' R' U' F' D'
R2 D U' R' U' F' D2
R2 D U' R' D U' F'
R2 D U' R' D' U' F'
R2 D U' R' D2 U' F'
D' U L F2 L' U F'
D' U L2 F2 L' U F
R2 D F' U' L' R' U'
R2 D F' U' R' L' U'
U' D R B2 L2 U' F
U' D R B2 U B' U2
F U R F2 U L' B'
R2 D B2 U L U F
F2 U D' L' F2 U F'
D' U F2 L' U' B' U2
U' D B2 R U B U2
R D' R U' R' U' F'
U D' L F2 L' U F'
R2 D' U' L R' U' F'
R2 D' U' L' R' U' F'
R2 D' U' L2 R' U' F'
R2 D' U' R' L U' F'
R2 D' U' R' L' U' F'
R2 D' U' R' L2 U' F'
R2 D' U' R' U' D F'
R2 D' U' R' U' D' F'
R2 D' U' R' U' D2 F'
R2 D' U' R' U' F' D
R2 D' U' R' U' F' D'
R2 D' U' R' U' F' D2
R2 D' U' R' D U' F'
R2 D' U' R' D' U' F'
R2 D' U' R' D2 U' F'
D2 U' R U B U2 L2
D2 U' R B2 U' L2 F
U D' L2 F2 L' U F
D U' R B2 L2 U' F
D U' R B2 U B' U2
B' U' R U B R U2
R2 D' F' U' L' R' U'
R2 D' F' U' R' L' U'
R' D' F2 D R' B U2
B2 U' R U B R U2
B U' R U B R U2
U D' F2 L' U' B' U2
R2 D' B2 U L U F
D U' B2 R U B U2
R D2 R U' R' U' F'
U' D2 R U B U2 L2
U' D2 R B2 U' L2 F
R2 D2 U' L R' U' F'
R2 D2 U' L' R' U' F'
R2 D2 U' L2 R' U' F'
R2 D2 U' R' L U' F'
R2 D2 U' R' L' U' F'
R2 D2 U' R' L2 U' F'
R2 D2 U' R' U' D F'
R2 D2 U' R' U' D' F'
R2 D2 U' R' U' D2 F'
R2 D2 U' R' U' F' D
R2 D2 U' R' U' F' D'
R2 D2 U' R' U' F' D2
R2 D2 U' R' D U' F'
R2 D2 U' R' D' U' F'
R2 D2 U' R' D2 U' F'
R2 D2 F' U' L' R' U'
R2 D2 F' U' R' L' U'
R2 D2 B2 U L U F
D' F U R F L' U
R2 F U R U D B2
R2 F U R U2 R2 U'
R2 F U R D U B2
R2 F U R D2 L2 U
R2 F U' R' U' D' F2
R2 F U' R' U2 R2 U
R2 F U' R' D' U' F2
R2 F U' R' D2 L2 U'
R2 F B U R U B
R2 F B2 U L R U
R2 F B2 U R L U
R' F' R' U' L' R' U'
R' F' R' U' R' L' U'
R2 F' U' L' R' U' D
R2 F' U' L' R' U' D'
R2 F' U' L' R' U' D2
R2 F' U' L' R' D U'
R2 F' U' L' R' D' U'
R2 F' U' L' R' D2 U'
R2 F' U' L' D R' U'
R2 F' U' L' D' R' U'
R2 F' U' L' D2 R' U'
R2 F' U' R' L' U' D
R2 F' U' R' L' U' D'
R2 F' U' R' L' U' D2
R2 F' U' R' L' D U'
R2 F' U' R' L' D' U'
R2 F' U' R' L' D2 U'
R2 F' U' R' D L' U'
R2 F' U' R' D' L' U'
R2 F' U' R' D2 L' U'
R2 F' U' D L' R' U'
R2 F' U' D R' L' U'
R2 F' U' D' L' R' U'
R2 F' U' D' R' L' U'
R2 F' U' D2 L' R' U'
R2 F' U' D2 R' L' U'
R2 F' D U' L' R' U'
R2 F' D U' R' L' U'
R2 F' D' U' L' R' U'
R2 F' D' U' R' L' U'
R2 F' D2 U' L' R' U'
R2 F' D2 U' R' L' U'
R2 F' B U' L' U' B'
F2 D' U L' F2 U F'
U F2 L' U D2 L2 F
U F2 L' U' R2 B' U2
U F2 L' U' B' R2 U2
U F2 L' D2 U L2 F
R' F2 D R' B U2 B
U' B R U B R U2
R B R U' R' U' F'
R2 B F U R U B
R2 B F' U' L' U' B'
U' B' R U B R U2
R B' R U' R' U' F'
U' B2 R U B R U2
R B2 R U' R' U' F'
R2 B2 U L R U F
R2 B2 U L R' U F
R2 B2 U L R2 U F
R2 B2 U L U D F
R2 B2 U L U D' F
R2 B2 U L U D2 F
R2 B2 U L U F D
R2 B2 U L U F D'
R2 B2 U L U F D2
R2 B2 U L D U F
R2 B2 U L D' U F
R2 B2 U L D2 U F
R2 B2 U R L U F
R2 B2 U R' L U F
R2 B2 U R2 L U F
R2 B2 U D L U F
R2 B2 U D' L U F
R2 B2 U D2 L U F
R2 B2 D U L U F
R2 B2 D' U L U F
R2 B2 D2 U L U F
R2 B2 F U L R U
R2 B2 F U R L U
