D L F U2 L' F
B2 R' D F L' B'
B2 R' D F L' B'
D F L' D2 R2 B'
D F L' D2 B' R2
D F L' B' D2 R2
B2 D R' F L' B'
D F B' L' B' R'
D F B2 L' R' B'
D F B2 R' L' B'
B2 D F L' R' B'
B' D F L' B' R'
B2 D F R' L' B'
D B' F L' B' R'
D B2 R' F L' B'
D B2 F L' R' B'
D B2 F R' L' B'
B' D F L' D' B' R'
B' D F L' D2 B' R'
B' D F L' B' R' D
B' D F L' B' R' D'
B' D F L' B' R' D2
B' D F L' B' D R'
B' D F L' B' D' R'
B' D F L' B' D2 R'
B' D F R L' B' R'
B' D F R' L' B' R'
B' D F R2 L' B' R'
B2 D F L' R B' R2
B2 D F L' R' D B'
B2 D F L' R' D' B'
B2 D F L' R' D2 B'
B2 D F L' R' B' D
B2 D F L' R' B' D'
B2 D F L' R' B' D2
B2 D F L' R2 B' R
D F' L F U2 F L'
B2 D F L' D R' B'
B2 D F L' D' R' B'
B2 D F L' D2 R' B'
B' D F D L' B' R'
B2 D F R L' B' R2
B' D F D' L' B' R'
B2 D F R' L' D B'
B2 D F R' L' D' B'
B2 D F R' L' D2 B'
B2 D F R' L' B' D
B2 D F R' L' B' D'
B2 D F R' L' B' D2
B2 D F R' D L' B'
B2 D F R' D' L' B'
B2 D F R' D2 L' B'
B' D F D2 L' B' R'
B2 D F R' B L' B'
B2 D F R' B' L' B'
B2 D F R' B2 L' B'
B2 D F R2 L' B' R
B' D F B' L' R' B'
B' D F B' R' L' B'
B2 D F D L' R' B'
B2 D F D R' L' B'
B2 D F D' L' R' B'
B2 D F D' R' L' B'
B2 D F D2 L' R' B'
B2 D F D2 R' L' B'
B2 D F B L' B' R'
D F' R L F U2 F
B2 D B F L' B' R'
B' D B' R' F L' B'
B' D B' F L' R' B'
B' D B' F R' L' B'
B2 D' L' R' B' L F
B' D' L' B' L R' F
B' D' L' B' L F R'
B' D' L' B' R' L F
F D' L' B' D2 L R2
F D' L' B' D2 R2 L
B2 D' R' L' B' L F
B2 D' R' D2 F L' B'
B2 D' R' F L' B' L
B' D' F L' B' L R'
B' D' F L' B' R' L
D F2 L F R U2 F2
B2 D' F L' R' B' L
D F2 L F U2 F2 L'
B2 D' F R' L' B' L
F D' B' L' B' L2 R'
F D' B' L' B' R' L2
B2 F R' D' L' B' L
D B F L' B R' B2
L2 B' L' F U' B' U'
B' F D' L' B' L R'
B' F D' L' B' R' L
B2 F D' L' R' B' L
B2 F D' R' L' B' L
D B' R F L' B' R'
D B' R' F L' B' R'
D B' R2 F L' B' R'
D' B' U2 F L R B
D' B' U2 F R L B
R' B' D F L' B' R'
D B' U2 F L' R B
D B' U2 F R L' B
D B' U2 F R B L'
D2 B' D' F L' B' R'
R2 B' D F L' B' R'
D' B' F L' B' L2 R'
D' B' F L' B' R' L2
R B' D F L' B' R'
D B' F L' R B' R'
D B' F L' R' B' R'
D B' F L' R2 B' R'
D B' F L' D B' R'
D B' F L' D' B' R'
D B' F L' D2 B' R'
D B' F L' B' R' D
D B' F L' B' R' D'
D B' F L' B' R' D2
D B' F L' B' D R'
D B' F L' B' D' R'
D B' F L' B' D2 R'
D B' F R L' B' R'
D B' F R' L' B' R'
D B' F R2 L' B' R'
D B' F D L' B' R'
D B' F D' L' B' R'
D B' F D2 L' B' R'
F B' D' L' B' L R'
F B' D' L' B' R' L
R' B2 R' D F L' B'
D B2 R F L' R2 B'
D B2 R F L' B' R2
D B2 R F R2 L' B'
R2 B2 R' D F L' B'
D B2 R' F L' D B'
D B2 R' F L' D' B'
D B2 R' F L' D2 B'
D B2 R' F L' B' D
D B2 R' F L' B' D'
D B2 R' F L' B' D2
D B2 R' F D L' B'
D B2 R' F D' L' B'
D B2 R' F D2 L' B'
D B2 R' F B L' B'
D B2 R' F B' L' B'
D B2 R' F B2 L' B'
D B2 R' B F L' B'
D B2 R' B' F L' B'
D B2 R' B2 F L' B'
R B2 R' D F L' B'
F B2 R' D' L' B' L
R' B2 D R' F L' B'
R' B2 D F L' R' B'
R' B2 D F R' L' B'
D2 B2 D' R' F L' B'
D2 B2 D' F L' R' B'
D2 B2 D' F R' L' B'
R2 B2 D R' F L' B'
R2 B2 D F L' R' B'
R2 B2 D F R' L' B'
R B2 D R' F L' B'
R B2 D F L' R' B'
R B2 D F R' L' B'
D B2 F L' R B' R2
D B2 F L' R' D B'
D B2 F L' R' D' B'
D B2 F L' R' D2 B'
D B2 F L' R' B' D
D B2 F L' R' B' D'
D B2 F L' R' B' D2
D B2 F L' R2 B' R
D B2 F L' D R' B'
D B2 F L' D' R' B'
D B2 F L' D2 R' B'
D B2 F R L' B' R2
D B2 F R' L' D B'
D B2 F R' L' D' B'
D B2 F R' L' D2 B'
D B2 F R' L' B' D
D B2 F R' L' B' D'
D B2 F R' L' B' D2
D B2 F R' D L' B'
D B2 F R' D' L' B'
D B2 F R' D2 L' B'
D B2 F R' B L' B'
D B2 F R' B' L' B'
D B2 F R' B2 L' B'
D B2 F R2 L' B' R
D B2 F D L' R' B'
D B2 F D R' L' B'
D B2 F D' L' R' B'
D B2 F D' R' L' B'
D B2 F D2 L' R' B'
D B2 F D2 R' L' B'
F B2 D' L' R' B' L
F B2 D' R' L' B' L
