F L' U2 B L U
U2 L' D2 B R' U
F2 R2 F' L' R' U'
F2 R2 F' R' L' U'
U2 D' L' B U F
U2 D' B L' U F
D2 U2 L' B R' U
U2 D2 L' B R' U
D' U2 L' B U F
D' U2 B L' U F
U2 D2 B L' R' U
D2 U2 B L' R' U
U2 D2 B R' L' U
D2 U2 B R' L' U
R F2 R F' L' U'
U2 B D' L' U F
F2 R2 D' F' R' L' U'
F2 R2 D2 F' L' R' U'
F2 R2 D2 F' R' L' U'
F' R2 F' R U' D' F2
F' R2 F' R U2 R2 U
F' R2 F' R D' U' F2
F' R2 F' R D2 L2 U'
F2 R2 F' L' R' U' D
F2 R2 F' L' R' U' D'
F2 R2 F' L' R' U' D2
F2 R2 F' L' R' D U'
F2 R2 F' L' R' D' U'
F2 R2 F' L' R' D2 U'
F2 R2 F' L' D R' U'
F2 R2 F' L' D' R' U'
F2 R2 F' L' D2 R' U'
F2 R2 F' R' L' U' D
F2 R2 F' R' L' U' D'
F2 R2 F' R' L' U' D2
F2 R2 F' R' L' D U'
F2 R2 F' R' L' D' U'
F2 R2 F' R' L' D2 U'
F2 R2 F' R' D L' U'
F2 R2 F' R' D' L' U'
F2 R2 F' R' D2 L' U'
F2 R2 F' D L' R' U'
F2 R2 F' D R' L' U'
F2 R2 F' D' L' R' U'
F2 R2 F' D' R' L' U'
F2 R2 F' D2 L' R' U'
F2 R2 F' D2 R' L' U'
F2 R2 F2 R' F L' U'
B' R2 B2 L' F' R U
U2 D L' D B R' U
U2 D L' B R U F'
R2 D F2 R F U' F2
U2 D B L' R U F'
U2 D B R L' U F'
U2 D B D2 L' U F
U2 D' L' R' U F R
U2 D' L' D B U F
U2 D' L' D' B U F
U2 D' L' D2 B U F
U2 D' L' B R U F
U2 D' L' B R' U F
U2 D' L' B R2 U F
U2 D' L' B U D F
U2 D' L' B U D' F
U2 D' L' B U D2 F
U2 D' L' B U F D
U2 D' L' B U F D'
U2 D' L' B U F D2
U2 D' L' B D U F
U2 D' L' B D' U F
U2 D' L' B D2 U F
R' D' U2 L' B' U F
U2 D' R' L' U F R
D' U' B L' U F L
U' D' B L' U F L
D2 U' B L' R' U L
D2 U' B R' L' U L
U2 D' B L' R U F
U2 D' B L' R' U F
U2 D' B L' R2 U F
U2 D' B L' U D F
U2 D' B L' U D' F
U2 D' B L' U D2 F
U2 D' B L' U F D
U2 D' B L' U F D'
U2 D' B L' U F D2
U2 D' B L' D U F
U2 D' B L' D' U F
U2 D' B L' D2 U F
U2 D' B R L' U F
U2 D' B R' L' U F
U2 D' B R2 L' U F
U2 D' B' L' B2 U F
D2 U2 L B L2 R' U
D2 U2 L B R' L2 U
D' U2 L' R' U F R
D' U2 L' D B U F
D' U2 L' D' B U F
D' U2 L' D2 B U F
U2 D2 L B L2 R' U
U2 D2 L B R' L2 U
D' U2 L' B R U F
D' U2 L' B R' U F
D' U2 L' B R2 U F
D' U2 L' B U D F
D' U2 L' B U D' F
D' U2 L' B U D2 F
D' U2 L' B U F D
D' U2 L' B U F D'
D' U2 L' B U F D2
D' U2 L' B D U F
D' U2 L' B D' U F
D' U2 L' B D2 U F
D2 U2 L' B R' U D
D2 U2 L' B R' U D'
D2 U2 L' B R' U D2
D2 U2 L' B R' D U
D2 U2 L' B R' D' U
D2 U2 L' B R' D2 U
D2 U2 L' B D R' U
D2 U2 L' B D' R' U
D2 U2 L' B D2 R' U
U2 D2 L' B R' U D
U2 D2 L' B R' U D'
U2 D2 L' B R' U D2
U2 D2 L' B R' D U
U2 D2 L' B R' D' U
U2 D2 L' B R' D2 U
U2 D2 L' B D R' U
U2 D2 L' B D' R' U
U2 D2 L' B D2 R' U
D U2 L' D B R' U
D U2 L' B R U F'
D' U2 R' L' U F R
L2 D2 U2 L B R' U
U' D2 B L' R' U L
D' U2 B L' R U F
D' U2 B L' R' U F
D' U2 B L' R2 U F
D' U2 B L' U D F
D' U2 B L' U D' F
D' U2 B L' U D2 F
D' U2 B L' U F D
D' U2 B L' U F D'
D' U2 B L' U F D2
D' U2 B L' D U F
D' U2 B L' D' U F
D' U2 B L' D2 U F
D' U2 B R L' U F
D2 U2 B L' R' U D
D2 U2 B L' R' U D'
D2 U2 B L' R' U D2
D2 U2 B L' R' D U
D2 U2 B L' R' D' U
D2 U2 B L' R' D2 U
U' D2 B R' L' U L
D2 U2 B L' D R' U
D2 U2 B L' D' R' U
D2 U2 B L' D2 R' U
D' U2 B R' L' U F
D' U2 B R2 L' U F
D2 U2 B R' L' U D
D2 U2 B R' L' U D'
D2 U2 B R' L' U D2
D2 U2 B R' L' D U
D2 U2 B R' L' D' U
D2 U2 B R' L' D2 U
D2 U2 B R' D L' U
D2 U2 B R' D' L' U
D2 U2 B R' D2 L' U
L' D2 B R' U2 B' U'
D2 U2 B D L' R' U
D2 U2 B D R' L' U
D2 U2 B D' L' R' U
U2 D2 B L' R' U D
U2 D2 B L' R' U D'
U2 D2 B L' R' U D2
U2 D2 B L' R' D U
U2 D2 B L' R' D' U
U2 D2 B L' R' D2 U
D2 U2 B D' R' L' U
U2 D2 B L' D R' U
U2 D2 B L' D' R' U
U2 D2 B L' D2 R' U
D2 U2 B D2 L' R' U
D2 U2 B D2 R' L' U
U2 D2 B R' L' U D
U2 D2 B R' L' U D'
U2 D2 B R' L' U D2
U2 D2 B R' L' D U
U2 D2 B R' L' D' U
U2 D2 B R' L' D2 U
U2 D2 B R' D L' U
U2 D2 B R' D' L' U
U2 D2 B R' D2 L' U
D' U2 B' L' B2 U F
D U2 B L' R U F'
U2 D2 B D L' R' U
U2 D2 B D R' L' U
U2 D2 B D' L' R' U
U2 D2 B D' R' L' U
U2 D2 B D2 L' R' U
D U2 B R L' U F'
U2 D2 B D2 R' L' U
D U2 B D2 L' U F
L' F L' U2 L B U
L2 F L' U2 L2 B U
L2 F L' U2 B L2 U
L2 F L' D2 R2 F' U'
R2 F L' F R F U'
L F L' U2 L' B U
L F L' U2 B L' U
R F L' F R F' U'
F2 U2 B U2 L R U'
F2 U2 B U2 R L U'
F U2 B L U D F2
F U2 B L U2 L2 U'
F U2 B L D U F2
F U2 B L D2 R2 U
D2 F U2 B L R' U
D2 F U2 B R' L U
F D L' U2 B L U
L' F B U2 B' L' U'
L F D2 L' R2 F' U'
R F D2 L' F R U'
L F D2 R2 L' F' U'
F2 D R2 F' L' R' U'
F2 D R2 F' R' L' U'
L2 F' U2 L B R U
B D' L' U D F L'
L F' U2 L2 B R U
B D' L' D U F L'
F D' L' U2 B L U
L F' U2 B L2 R U
L F' U2 B R L2 U
B D' L2 F L U F
L' F' B R U2 B' U'
U2 F' B R F L' U
F2 D' R2 F' L' R' U'
F2 D' R2 F' R' L' U'
L F' B L2 R F U
L F' B R L2 F U
R F2 L R F' L' U'
R F2 L' R F' L' U'
R F2 L2 R F' L' U'
R' F2 R' F' L' R2 U'
R' F2 R' F' R2 L' U'
D F2 R U' D' F' R
R2 F2 R F U2 R U
R2 F2 R F' L' F2 U'
D F2 R D' U' F' R
R F2 R L F' L' U'
R F2 R L' F' L' U'
R F2 R L2 F' L' U'
R F2 R D F' L' U'
R F2 R D' F' L' U'
R F2 R D2 F' L' U'
R F2 R F' L' U' D
R F2 R F' L' U' D'
R F2 R F' L' U' D2
R F2 R F' L' D U'
R F2 R F' L' D' U'
R F2 R F' L' D2 U'
R F2 R F' D L' U'
R F2 R F' D' L' U'
R F2 R F' D2 L' U'
D F2 R2 F' R' U' F'
F D2 L' U2 B L U
L F2 D2 R2 F' L' U'
F2 D2 R2 F' L' R' U'
F2 D2 R2 F' R' L' U'
L F2 B L2 F R U
D' B L' U D F L'
U' B L' F' R U L
D' B L' D U F L'
U' B L' F2 U L F
D2 B L2 R' F L U
U2 B L' D R U F'
U2 B L' F' R F U
D2 B L2 F L R' U
D2 B L2 F R' L U
D' B L2 F L U F
D2 B R' L2 F L U
U2 B R D' L' U F
L B L2 F U2 L' U'
L B L2 F' R F2 U
U2 B R' D' L' U F
U2 B R2 D' L' U F
L' B U2 D2 B' L U'
F' B L2 R F L' U
U' B D' L' U F L
U2 B D L' R U F'
U2 B D R L' U F'
F' B R L2 F L' U
U2 B D' L' R U F
U2 B D' L' R' U F
U2 B D' L' R2 U F
U2 B D' L' U D F
U2 B D' L' U D' F
U2 B D' L' U D2 F
U2 B D' L' U F D
U2 B D' L' U F D'
U2 B D' L' U F D2
U2 B D' L' D U F
U2 B D' L' D' U F
U2 B D' L' D2 U F
U2 B D' R L' U F
U2 B D' R' L' U F
U2 B D' R2 L' U F
L' B D2 U2 B' L U'
L' B F U2 B' L' U'
L' B F' R U2 B' U'
U2 B F' R F L' U
L B F' L2 R F U
L B F' R L2 F U
L B F2 L2 F R U
B F U2 B' L' R' U'
B F U2 B' R' L' U'
F B U2 B' L' R' U'
F B U2 B' R' L' U'
L' B' R2 F' R B2 U
L' B' R2 F' B2 R U
L' B' R2 B2 F' R U
B F' L2 R F L' U
B F' R L2 F L' U
U2 B' D' L' U R2 F
U2 B' D' L' U F R2
U2 B2 D' B' L' U F
