U2 L' F U B' R'
D R F U' L' B
D R F U' B L'
R D F U' L' B
R D F U' B L'
F U2 L' F U B'
D F R U' L' B
D F R U' B L'
D F R U' L' D2 B
D F R U' L' B D
D F R U' L' B D'
D F R U' L' B D2
D F R U' D L' B
D F R U' D B L'
D F R U' D' L' B
D F R U' D' B L'
D F R U' D2 L' B
D F R U' D2 B L'
D F R U' B L' D
D F R U' B L' D'
D F R U' B L' D2
D F R U' B D L'
D F R U' B D' L'
D F R U' B D2 L'
D F R U' B' L' B2
D F R D U' L' B
D F R D U' B L'
D F R D' U' L' B
D F R D' U' B L'
D2 F R' B R2 U' B
D F R D2 U' L' B
D F R D2 U' B L'
D2 F R' B U F' U2
D F R B' U' L' B2
D F R B' U' B2 L'
D F R B2 U' B' L'
F U2 F2 L' F U B'
D' F U2 L' U B' L
R F U' L B D L2
D F U' B L' D' B2
D F U2 L U L2 B'
D F U2 L2 U L B'
R F U' D' B' L B2
R F U' B2 D' B' L
R F U2 L' F U B
R F U2 L2 U B L
D F D R U' L' B
D F D R U' B L'
B' D R F U' L' B
B' D R F U' B L'
R' F D2 R' B U' B
B2 D R F U' L' B
B2 D R F U' B L'
D F D' R U' L' B
D F D' R U' B L'
B D R F U' L' B
B D R F U' B L'
D F D2 R U' L' B
D F D2 R U' B L'
R F D' U' B' L B2
R F D' B' U' L B2
D' F B' R U' L B
F D R' U F' R U2
D F B R U' L' B
D F B R U' B L'
D F B' R U' L' B
D F B' R U' B L'
D F B2 R U' L' B
D F B2 R U' B L'
B' D F R U' L' B
B' D F R U' B L'
R F B2 U' D' B' L
R F B2 D' U' B' L
B2 D F R U' L' B
B2 D F R U' B L'
B D F R U' L' B
B D F R U' B L'
F D' R U' B' L B2
F D' R B' U' L B2
F D' U2 L' U B' L
F D' B' R U' L B
F D2 R U2 F' U B
F D2 R' B R2 U' B
F D2 R' B U F' U2
U2 B L' F U B' R'
D B R F U' L' B
D B R F U' B L'
D B F R U' L' B
D B F R U' B L'
B' F U2 L' F U B'
B2 F U2 L' F U B'
U2 B' L' F U B' R'
B F U2 L' F U B'
F B U2 L' F U B'
L B' L' R F U' B
D' B' R F U' L B
L B' L' F R U' B
D B' R F U' L' B
D B' R F U' B L'
L B' R L' F U' B
D' B' F R U' L B
D B' F R U' L' B
D B' F R U' B L'
F B' U2 L' F U B'
U2 B2 L' F U B' R'
D B2 R F U' L' B
D B2 R F U' B L'
R B2 D F U' B' L'
F B2 U2 L' F U B'
R B2 D' F U' B' L
D B2 F R U' L' B
D B2 F R U' B L'
R B2 F U' D' B' L
R B2 F D' U' B' L
