B' L' D2 F2
B' D2 L' F2
B' L' U2 B2 U2
B' L' D2 F2 D
B' L' D2 F2 D'
B' L' D2 F2 D2
B' L' F D2 F2
B' L' F' D2 F2
B' L' F2 D2 F2
B L' B2 D2 F2
B' L2 D2 L F2
B' L2 D2 F2 L
B2 L2 F L B
B U2 L' B2 R'
B' U2 B2 U2 L'
B' D' L' D' F2
B' D2 L F2 L2
B' D2 L' F2 D
B' D2 L' F2 D'
B' D2 L' F2 D2
B' D2 L2 F2 L
U2 B U2 L' B2
U2 B U2 B2 L'
D' B' L' D2 F2
D B' L' D2 F2
R2 B' L' F' R2
D2 B' L' D2 F2
D' B' D2 L' F2
D B' D2 L' F2
D2 B' D2 L' F2
F2 B' D2 F2 L'
B' F2 D2 F2 L'
B U2 L' B2 D2 R'
B' U2 R B2 U2 L'
B U2 R L' B2 R'
D' U2 B U2 L' B2
U2 D2 B U2 L' B2
D' U2 B U2 B2 L'
U2 D2 B U2 B2 L'
D2 U2 B U2 L' B2
D2 U2 B U2 B2 L'
B' U2 R' B2 U2 L'
B U2 R' L' B2 R'
D U2 B U2 L' B2
B' U2 R2 B2 U2 L'
D U2 B U2 B2 L'
B U2 R2 L' B2 R'
F2 U2 B R U2 B2
B2 U2 B' U2 L' B2
B2 U2 B' U2 B2 L'
F U2 B U2 L B2
B' U2 B2 R U2 L'
B' U2 B2 R' U2 L'
B' U2 B2 R2 U2 L'
B' U2 B2 U2 L' D
B' U2 B2 U2 L' D'
B' U2 B2 U2 L' D2
B' U2 B2 U2 D L'
B' U2 B2 U2 D' L'
B' U2 B2 U2 D2 L'
B' U2 B2 D U2 L'
B' U2 B2 D' U2 L'
B' U2 B2 D2 U2 L'
B' D L' U L' U'
B2 D L2 F L B
B' D U L2 U' L
B' D F2 D F2 L'
B2 D B L' D2 F2
B2 D B D2 L' F2
R2 F' R2 D2 B' L
F2 D B' D2 F2 L'
B' D' L' U' R2 U
B' D' L' D' F2 D
B' D' L' D' F2 D'
B' D' L' D' F2 D2
B' D' L' F D' F2
B' D' L' F' D' F2
B' D' L' F2 D' F2
B' D' L2 D' L F2
B' D' L2 D' F2 L
B2 D' L2 F L B
B' D' U' R2 U L'
B' D' F2 D' F2 L'
B2 D' B L' D2 F2
B2 D' B D2 L' F2
F2 D' B' D2 F2 L'
B' D2 L F' L2 F'
B' D2 L F2 L2 D
B' D2 L F2 L2 D'
B' D2 L F2 L2 D2
B' D2 L' R F2 R'
B' D2 L' R2 F2 R2
B' D2 L' F D F
B' D2 L' F D' F
B' D2 L' F D2 F
B' D2 L' F' D F'
B' D2 L' F' D' F'
B' D2 L' F' D2 F'
B' D2 L2 F' L F'
B' D2 L2 F2 L D
B' D2 L2 F2 L D'
B' D2 L2 F2 L D2
B' D2 L2 F2 D L
B' D2 L2 F2 D' L
B' D2 L2 F2 D2 L
B2 D2 L2 F L B
B' D2 R L' F2 R'
U2 F2 B R U2 B2
B' D2 R2 L' F2 R2
D' F2 B' D2 F2 L'
D2 F2 B' D2 F2 L'
D F2 B' D2 F2 L'
R2 B L' F' R2 B2
R2 B L' F' B2 R2
D2 B L' B2 D2 F2
R2 B L' B2 F' R2
D' B L' B2 D2 F2
D B L' B2 D2 F2
U2 B R U2 L' B2
U2 B R U2 B2 L'
B' D2 F2 U2 R U2
F' D2 B' L D2 F2
B2 D2 B L' D2 F2
U2 B R' U2 L' B2
U2 B R' U2 B2 L'
F' D2 B' D2 L F2
F' D2 B' D2 F2 L
B2 D2 B D2 L' F2
B' D2 B' L' F2 B
B' D2 B' L' B F2
B D2 F2 R U2 R'
U2 B R2 U2 L' B2
U2 B R2 U2 B2 L'
B' D2 B2 L' F2 B2
B' D2 B2 L' B2 F2
F2 D2 B' D2 F2 L'
U2 B U2 L B2 L2
D2 B U2 L' B2 R'
U2 B U2 L' B2 D
U2 B U2 L' B2 D'
U2 B U2 L' B2 D2
U2 B U2 L' B2 D2
D' B U2 L' B2 R'
U2 B U2 B L' B
U2 B U2 B2 L' D
U2 B U2 B2 L' D'
U2 B U2 B2 L' D2
U2 B U2 B2 D L'
U2 B U2 B2 D' L'
U2 B U2 B2 D2 L'
D B U2 L' B2 R'
F2 B R U2 R' B2
U2 B D2 F2 R U2
U2 B F2 R U2 B2
R' B' L' R' F' R2
R2 B' L F' L2 R2
R2 B' L F' R2 L2
D2 B' L' U2 B2 U2
D2 B' L' D2 F2 D
D2 B' L' D2 F2 D'
D2 B' L' D2 F2 D2
D2 B' L' F D2 F2
D2 B' L' F' D2 F2
D' B' L' U2 B2 U2
D2 B' L' F2 D2 F2
R2 B' L' F R2 F2
D' B' L' D2 F2 D
D' B' L' D2 F2 D'
D' B' L' D2 F2 D2
R2 B' L' F' R2 D
R2 B' L' F' R2 D'
R2 B' L' F' R2 D2
D' B' L' F D2 F2
R2 B' L' F2 R2 F
D' B' L' F' D2 F2
D' B' L' F2 D2 F2
D2 B' L2 D2 L F2
D2 B' L2 D2 F2 L
D B' L' U2 B2 U2
D' B' L2 D2 L F2
D' B' L2 D2 F2 L
R2 B' L2 F' L R2
R2 B' L2 F' R2 L
D B' L' D2 F2 D
D B' L' D2 F2 D'
D B' L' D2 F2 D2
R' B' R' L' F' R2
D B' L' F D2 F2
D B' L' F' D2 F2
D B' L' F2 D2 F2
D B' L2 D2 L F2
D B' L2 D2 F2 L
B' F D2 F' L' F'
F2 B' L D2 F2 L'
F2 B' L' D2 F2 L'
F2 B' L2 D2 F2 L'
B2 F' L2 F L' B
B2 F' L2 F B L'
B2 F' L2 B F L'
D2 B' U2 B2 U2 L'
D' B' U2 B2 U2 L'
D2 B' D' L' D' F2
D' B' D' L' D' F2
D B' U2 B2 U2 L'
D2 B' D2 L F2 L2
D2 B' D2 L' F2 D
D2 B' D2 L' F2 D'
D2 B' D2 L' F2 D2
D2 B' D2 L2 F2 L
D' B' D2 L F2 L2
D' B' D2 L' F2 D
D' B' D2 L' F2 D'
D' B' D2 L' F2 D2
D' B' D2 L2 F2 L
D B' D' L' D' F2
D B' D2 L F2 L2
D B' D2 L' F2 D
D B' D2 L' F2 D'
D B' D2 L' F2 D2
D B' D2 L2 F2 L
F2 B' U2 R B2 U2
D2 B' F2 D2 F2 L'
F2 B' U2 B2 R U2
D' B' F2 D2 F2 L'
D B' F2 D2 F2 L'
R2 B2 L' F' B R2
F2 B' D2 L F2 L'
R2 B2 L' B F' R2
F2 B' D2 L' F2 L'
F2 B' D2 L2 F2 L'
D2 B2 L2 F L B
B' F2 L D2 F2 L'
L B2 L' B' L' F
D' B2 L2 F L B
F2 B' D2 F2 L' D
F2 B' D2 F2 L' D'
F2 B' D2 F2 L' D2
F2 B' D2 F2 D L'
F2 B' D2 F2 D' L'
F2 B' D2 F2 D2 L'
B' F2 L' D2 F2 L'
D B2 L2 F L B
F B' D2 F' L' F'
F' B2 L2 F L' B
F' B2 L2 F B L'
B' F2 L2 D2 F2 L'
F' B2 L2 B F L'
B F2 R U2 R' B2
B' F2 U2 R B2 U2
B' F2 U2 B2 R U2
B' F2 D2 L F2 L'
B' F2 D2 L' F2 L'
B' F2 D2 L2 F2 L'
B' F2 D2 F2 L' D
B' F2 D2 F2 L' D'
B' F2 D2 F2 L' D2
B' F2 D2 F2 D L'
B' F2 D2 F2 D' L'
B' F2 D2 F2 D2 L'
B L R U2 L2 R' B2
B L R U2 R' L2 B2
B L R U2 R' B2 L2
B L R' U2 L2 R B2
B L R' U2 L2 B2 R
B L R' U2 R L2 B2
B L R' U2 R B2 L2
B' L R' D2 R F2 L'
B L R' U2 B2 L2 R
B L R' U2 B2 R L2
B L R2 U2 L2 R2 B2
B L R2 U2 L2 B2 R2
B L R2 U2 R2 L2 B2
B L R2 U2 R2 B2 L2
B L R2 U2 B2 L2 R2
B L R2 U2 B2 R2 L2
F L R2 F' L' R2 B'
F L R2 F' L' B' R2
F L R2 F' R2 L' B'
B' L U B' U' L2 F
B' L U2 R B2 U2 L2
B L U2 L' B2 L' R'
B L U2 L' B2 R' L'
B' L U2 R' B2 U2 L2
B L U2 L2 B2 D2 R2
B' L U2 R2 B2 U2 L2
B' L U2 D2 R2 U2 F2
F2 L U2 B R U2 B
B' L U2 B' U2 L2 F
B' L U2 B2 R U2 L2
B' L U2 B2 R' U2 L2
B' L U2 B2 R2 U2 L2
B' L U2 B2 U2 L2 D
B' L U2 B2 U2 L2 D'
B' L U2 B2 U2 L2 D2
B' L U2 B2 D2 R2 U2
B L U2 B2 L2 D2 R2
R2 L F' L' R2 B' L'
R2 L F' L' B' L' R2
R2 L F' L' B' R2 L'
R2 L F' R2 L' B' L'
B' L D2 L F2 D2 L2
B' L D2 L' F2 D2 L2
B' L D2 L2 F2 D2 L2
B' L D2 R F2 L' R'
B' L D2 R F2 R' L'
B L D2 R2 F2 U2 R2
B' L D2 U2 R2 U2 F2
B' L D2 F D2 F L2
B' L D2 F' D2 L2 F'
B' L D2 F' D2 F' L2
B' L D2 F2 L D2 L2
B' L D2 F2 L' D2 L2
B' L D2 F2 L2 D2 L2
B' L D2 F2 U2 R2 U2
B' L D2 F2 D2 L2 D
B' L D2 F2 D2 L2 D'
B' L D2 F2 D2 L2 D2
B L D2 F2 R2 U2 R2
B' L F L D2 L F2
B' L F L D2 F2 L
F' L F L' B' D2 F2
B' L F L' D2 L' F2
B2 L F L F L B
B' L F L2 U2 B2 U2
B' L F L2 D2 F2 D
B' L F L2 D2 F2 D'
B' L F L2 D2 F2 D2
B' L F L2 F D2 F2
B' L F L2 F' D2 F2
B' L F L2 F2 D2 F2
B L F L2 B2 D2 F2
B' L F U2 B2 U2 L2
B' L F D2 F2 D2 L2
B2 L F B L F L
B' L F B' L2 F B
B' L F B' L2 B F
B L F B L2 F B
B L F B L2 B F
B' L F' L D2 L F2
B' L F' L D2 F2 L
B2 L F' L F L B
B' L F' L' D2 L' F2
B L F B2 L2 D2 F2
B' L F' L2 U2 B2 U2
B' L F' L2 D2 F2 D
B' L F' L2 D2 F2 D'
B' L F' L2 D2 F2 D2
B' L F' L2 F D2 F2
B' L F' L2 F' D2 F2
B' L F' L2 F2 D2 F2
F L F' L' B' D2 F2
B L F' L2 B2 D2 F2
B' L F' U2 B2 U2 L2
B' L F' D2 F2 D2 L2
B2 L F' B L F L
B' L F' B' L2 F B
B' L F' B' L2 B F
B L F' B L2 F B
B L F' B L2 B F
B' L F2 L D2 L F2
B' L F2 L D2 F2 L
B2 L F2 L F L B
B' L F2 L' D2 L' F2
B L F' B2 L2 D2 F2
F2 L F2 L' B' D2 F2
B' L F2 L2 U2 B2 U2
B' L F2 L2 D2 F2 D
B' L F2 L2 D2 F2 D'
B' L F2 L2 D2 F2 D2
B' L F2 L2 F D2 F2
B' L F2 L2 F' D2 F2
B' L F2 L2 F2 D2 F2
B L F2 L2 B2 D2 F2
B' L F2 U2 B2 U2 L2
B' L F2 D2 F2 D2 L2
B2 L F2 B L F L
B' L F2 B' L2 F B
B' L F2 B' L2 B F
B L F2 B L2 F B
B L F2 B L2 B F
B2 L B L D F L
B2 L B L D' F L
B2 L B L D2 F L
B2 L B L F L D
B2 L B L F L D'
B2 L B L F L D2
B2 L B L F D L
B2 L B L F D' L
B2 L B L F D2 L
B2 L B L F' L F2
B2 L B L F2 L F'
B L F2 B2 L2 D2 F2
U2 L B L' U2 B' L'
B L B L' B L' F
B L B L2 D F B
B L B L2 D B F
B L B L2 D' F B
B L B L2 D' B F
B L B L2 D2 F B
B L B L2 D2 B F
B L B L2 F D B
B L B L2 F D' B
B L B L2 F D2 B
B L B L2 F B D
B L B L2 F B D'
B L B L2 F B D2
B L B L2 B D F
B L B L2 B D' F
B L B L2 B D2 F
B L B L2 B F D
B L B L2 B F D'
B L B L2 B F D2
B2 L B F L F L
B2 L B F' L F L
B L B F L2 F B
B L B F L2 B F
B2 L B F2 L F L
B L B F' L2 F B
B L B F' L2 B F
B L B F2 L2 F B
B2 L B' L F L B2
B L B F2 L2 B F
B' L B' L' B L' F
B' L B' L2 D F B
B' L B' L2 D B F
B' L B' L2 D' F B
B' L B' L2 D' B F
B' L B' L2 D2 F B
B' L B' L2 D2 B F
B' L B' L2 F D B
B' L B' L2 F D' B
B' L B' L2 F D2 B
B' L B' L2 F B D
B' L B' L2 F B D'
B' L B' L2 F B D2
B' L B' L2 B D F
B' L B' L2 B D' F
B' L B' L2 B D2 F
B' L B' L2 B F D
B' L B' L2 B F D'
B' L B' L2 B F D2
F2 L B' D2 F2 L' B'
B' L B' F L2 F B
B' L B' F L2 B F
B' L B' F' L2 F B
B' L B' F' L2 B F
B' L B' F2 L2 F B
B' L B' F2 L2 B F
D2 L B2 L' B' L' F
D' L B2 L' B' L' F
D L B2 L' B' L' F
B' L B2 L2 B2 D2 F2
B L B2 L D2 L F2
B L B2 L D2 F2 L
B L B2 L' D2 L' F2
B L B2 L2 U2 B2 U2
B L B2 L2 D2 F2 D
B L B2 L2 D2 F2 D'
B L B2 L2 D2 F2 D2
B L B2 L2 F D2 F2
B L B2 L2 F' D2 F2
B L B2 L2 F2 D2 F2
B L B2 U2 B2 U2 L2
B L B2 D2 F2 D2 L2
B L B2 F L2 D2 F2
B L B2 F' L2 D2 F2
B L B2 F2 L2 D2 F2
B' L' R U2 B2 L U2
B' L' R D R' D F2
B' L' R D2 R F2 R2
B' L' R D2 R' F2 D
B' L' R D2 R' F2 D'
B' L' R D2 R' F2 D2
B' L' R D2 F R' F
B' L' R D2 F2 R' D
B' L' R D2 F2 R' D'
B' L' R D2 F2 R' D2
B' L' R D2 F2 D R'
B' L' R D2 F2 D' R'
B' L' R D2 F2 D2 R'
B' L' R F R' D2 F2
B' L' R F D2 R' F2
B' L' R F D2 F2 R'
B' L' R F' R' D2 F2
B' L' R F' D2 R' F2
B' L' R F' D2 F2 R'
B' L' R F2 R' D2 F2
B' L' R F2 D2 R' F2
B' L' R F2 D2 F2 R'
B' L' R' U2 B2 U2 R
B' L' R' D R D F2
B' L' R' D2 R F2 D
B' L' R' D2 R F2 D'
B' L' R' D2 R F2 D2
B' L' R' D2 R' F2 R2
B L' R' U2 R B2 L
B' L' R' D2 R2 F2 R'
B2 L' R' D2 R F' B
B2 L' R' D2 R B F'
B' L' R' F2 D2 F2 R
B L' R' B2 R D2 F2
B L' R' B2 D2 R F2
B' L' R2 U2 B2 U2 R2
B' L' R2 D2 F2 D2 R2
B' L' R2 F R2 D2 F2
B' L' R2 F' R2 D2 F2
B' L' R2 F2 R2 D2 F2
B' L' R2 B R2 F' B'
B' L' R2 B R2 B' F'
B' L' U L U B2 U2
B' L' U L U' D2 F2
B' L' U L D L2 U'
B' L' U L D2 U' F2
B' L' U L' U B2 U2
B' L' U L' U' D2 F2
R' L' D2 R' F' B R2
B' L' U L' D L2 U'
R' L' D2 R' B F' R2
B' L' U L' D2 U' F2
B L' R2 B' R2 F' B'
B L' R2 B' R2 B' F'
L' R' D2 R' F' B R2
L' R' D2 R' B F' R2
B' L' U L2 U B2 U2
B' L' U L2 U' D2 F2
B' L' U L2 D L2 U'
B' L' U L2 D2 U' F2
B L' R2 B2 R2 D2 F2
B2 L' U L' U' F B
B2 L' U L' U' B F
B' L' U D L2 U' D
B' L' U D L2 U' D'
B' L' U D L2 U' D2
B' L' U D L2 D U'
B' L' U D L2 D' U'
B' L' U D L2 D2 U'
B' L' U D2 L U' F2
B' L' U D2 L' U' F2
B' L' U D2 L2 U' F2
B2 L' U' L' U F B
B2 L' U' L' U B F
B' L' U' R U D2 F2
B' L' U' R U' B2 U2
B' L' U' R D' R2 U
B' L' U' R D2 U F2
B' L' U' R' U D2 F2
B' L' U' R' U' B2 U2
B' L' U' R' D' R2 U
B' L' U' R' D2 U F2
B' L' U' R2 U D2 F2
B' L' U' R2 U' B2 U2
B' L' U' R2 D' R2 U
B' L' U' R2 D2 U F2
B' L' U' D' R2 U D
B' L' U' D' R2 U D'
B' L' U' D' R2 U D2
B' L' U' D' R2 D U
B' L' U' D' R2 D' U
B' L' U' D' R2 D2 U
B' L' U' D2 R U F2
B' L' U' D2 R' U F2
B' L' U' D2 R2 U F2
B' L' U2 L B2 L' U2
R2 L' F' L R2 B' L'
R2 L' F' L B' L' R2
R2 L' F' L B' R2 L'
U2 L' U2 L B U2 B2
B' L' U2 L' B2 U2 R'
B' L' U2 L2 B2 L2 U2
B' L' U2 R B2 U2 L
B' L' U2 R' B2 R U2
R2 L' F' R' D2 R' B
R2 L' F' R2 L B' L'
B' L' U2 R2 B2 R2 U2
B' L' U2 D2 B U2 F2
B' L' U2 D2 B' U2 F2
B' L' U2 D2 B2 U2 F2
B L' U2 D2 F2 U2 F2
B' L' U2 B D B U2
B' L' U2 B D' B U2
B L' U2 F U2 F' B2
B' L' U2 B D2 B U2
B L' U2 F U2 B2 F'
B' L' U2 B' D B' U2
B L' U2 F' U2 F B2
B' L' U2 B' D' B' U2
B L' U2 F' U2 B2 F
B' L' U2 B' D2 B' U2
B L' U2 F2 U2 F2 B2
B L' U2 F2 U2 B2 F2
F L' U2 B U2 L B'
B' L' D R D R' F2
B' L' D R D F2 R'
B' L' D R' D R F2
B' L' D U L2 U' D
B' L' D U L2 U' D'
B' L' D U L2 U' D2
B' L' D U L2 D U'
B' L' D U L2 D' U'
B' L' D U L2 D2 U'
B' L' D F U L2 U'
B' L' D F D F2 D
B' L' D F D F2 D'
B' L' D F D F2 D2
B' L' D F' U L2 U'
B' L' D F' D F2 D
B' L' D F' D F2 D'
B' L' D F' D F2 D2
B' L' D F2 U L2 U'
B' L' D F2 D F2 D
B' L' D F2 D F2 D'
B' L' D F2 D F2 D2
B' L' D B D F2 B'
B' L' D B D B' F2
B' L' D B' D F2 B
B' L' D B' D B F2
B' L' D' L D' L' F2
B' L' D' L' D' L F2
B' L' D' L' D' F2 L
B' L' D' U' R2 U D
B' L' D' U' R2 U D'
B' L' D' U' R2 U D2
B' L' D' U' R2 D U
B' L' D' U' R2 D' U
B' L' D' U' R2 D2 U
B' L' D' F U' R2 U
B' L' D' F D' F2 D
B' L' D' F D' F2 D'
B' L' D' F D' F2 D2
B' L' D' F' U' R2 U
B' L' D' F' D' F2 D
B' L' D' F' D' F2 D'
B' L' D' F' D' F2 D2
B' L' D' F2 U' R2 U
B' L' D' F2 D' F2 D
B' L' D' F2 D' F2 D'
B' L' D' F2 D' F2 D2
B' L' D' B D' F2 B'
B' L' D' B D' B' F2
B' L' D' B' D' F2 B
B' L' D' B' D' B F2
B2 L' D' B U' R' U
B' L' D2 L' F' L F'
B' L' D2 L' F2 L D
B' L' D2 L' F2 L D'
B' L' D2 L' F2 L D2
B' L' D2 L' F2 D L
B' L' D2 L' F2 D' L
B' L' D2 L' F2 D2 L
B' L' D2 L2 F' L2 F'
B' L' D2 L2 F2 L2 D
B' L' D2 L2 F2 L2 D'
B' L' D2 L2 F2 L2 D2
B' L' D2 R F R' F
B' L' D2 R F2 R' D
B' L' D2 R F2 R' D'
B' L' D2 R F2 R' D2
B' L' D2 R F2 D R'
B' L' D2 R F2 D' R'
B' L' D2 R F2 D2 R'
B' L' D2 R2 F R2 F
B' L' D2 R2 F2 R2 D
B' L' D2 R2 F2 R2 D'
B' L' D2 R2 F2 R2 D2
B2 L' D2 R F' R' B
B' L' D2 U L U' F2
B' L' D2 U L' U' F2
B' L' D2 U L2 U' F2
B' L' D2 U' R U F2
B' L' D2 U' R' U F2
B' L' D2 U' R2 U F2
B' L' D2 U2 B U2 F2
B' L' D2 U2 B' U2 F2
B' L' D2 U2 B2 U2 F2
B' L' D2 F R F R'
B' L' D2 F R2 F R2
B' L' D2 F D F D
B' L' D2 F D F D'
B' L' D2 F D F D2
B' L' D2 F D' F D
B' L' D2 F D' F D'
B' L' D2 F D' F D2
B' L' D2 F D2 F D
B' L' D2 F D2 F D'
B' L' D2 F D2 F D2
B' L' D2 F' L' F' L
B' L' D2 F' L2 F' L2
B' L' D2 F' D F' D
B' L' D2 F' D F' D'
B' L' D2 F' D F' D2
B' L' D2 F' D' F' D
B' L' D2 F' D' F' D'
B' L' D2 F' D' F' D2
B' L' D2 F' D2 F' D
B' L' D2 F' D2 F' D'
B' L' D2 F' D2 F' D2
B' L' D2 F2 L D L'
B' L' D2 F2 L D' L'
B' L' D2 F2 L D2 L'
B' L' D2 F2 L' D L
B' L' D2 F2 L' D' L
B' L' D2 F2 L' D2 L
B' L' D2 F2 R D R'
B' L' D2 F2 R D' R'
B' L' D2 F2 R D2 R'
B' L' D2 F2 R' D R
B' L' D2 F2 R' D' R
B' L' D2 F2 R' D2 R
B' L' D2 F2 B D B'
B' L' D2 F2 B D' B'
B' L' D2 F2 B D2 B'
B' L' D2 F2 B' D B
B' L' D2 F2 B' D' B
B' L' D2 F2 B' D2 B
B L' D2 U2 F2 U2 F2
B' L' D2 B F2 D B'
B' L' D2 B F2 D' B'
B' L' D2 B F2 D2 B'
B' L' D2 B' F2 D B
B' L' D2 B' F2 D' B
B' L' D2 B' F2 D2 B
B2 L' D2 B R F' R'
B' L' F L D2 L' F2
B' L' F L' D2 L F2
B' L' F L' D2 F2 L
B L' D2 B2 D2 F2 B2
B' L' F R D2 R' F2
B L' D2 B2 D2 B2 F2
B' L' F R D2 F2 R'
B2 L' F L' F L B
B' L' F R' D2 R F2
B' L' F U D L2 U'
B' L' F U' D' R2 U
B' L' F U2 B2 U2 D
B' L' F U2 B2 U2 D'
B' L' F U2 B2 U2 D2
B' L' F U2 B2 D U2
B' L' F U2 B2 D' U2
B' L' F U2 B2 D2 U2
B' L' F D U L2 U'
B' L' F D F D F2
B' L' F D F' D F2
B' L' F D F2 D F2
B' L' F D' U' R2 U
B' L' F D' F D' F2
B' L' F D' F' D' F2
B' L' F D' F2 D' F2
B' L' F D2 L' F2 L
B' L' F D2 L2 F2 L2
B' L' F D2 R F2 R'
B' L' F D2 R2 F2 R2
B' L' F D2 F D F
B' L' F D2 F D' F
B' L' F D2 F D2 F
B' L' F D2 F' D F'
B' L' F D2 F' D' F'
B' L' F D2 F' D2 F'
B2 L' F B L' F L
B' L' F' L D2 L' F2
B' L' F' L' D2 L F2
B' L' F' L' D2 F2 L
B L' F B2 U2 B2 U2
B L' F B2 D2 F2 D
B L' F B2 D2 F2 D'
B L' F B2 D2 F2 D2
B' L' F' R D2 R' F2
B' L' F' R D2 F2 R'
B2 L' F' L' F L B
B' L' F' R' D2 R F2
B' L' F' U D L2 U'
B' L' F' U' D' R2 U
B' L' F' U2 B2 U2 D
B' L' F' U2 B2 U2 D'
B' L' F' U2 B2 U2 D2
B' L' F' U2 B2 D U2
B' L' F' U2 B2 D' U2
B' L' F' U2 B2 D2 U2
B' L' F' D U L2 U'
B' L' F' D F D F2
B' L' F' D F' D F2
B' L' F' D F2 D F2
