F L' R2 B' D' R2
F L' U F' U' B'
F L' B' U F' U'
L U F U2 L' F
U2 R U F L' B
U2 R U F B L'
U2 R U B F L'
L U' L' F L' B'
L2 U' L2 F L' B'
F R2 L' B' D' R2
U' F L' U R U'
U' F U R U' L'
F2 D F' L' R2 B'
F2 D F' L' B' R2
F2 D F' R2 L' B'
F R2 L' B' D' R2 D2
U' R2 U R2 F L' B'
U' R2 U F L' R2 B'
U' R2 U F L' B' R2
U' R2 U F R2 L' B'
F R2 U' B U L' B'
F2 R2 D R2 F' L' B'
F R2 D L' B' D' R2
F R2 D' L' B' D' R2
F R2 D2 L' B' D' R2
F R2 B' L' D' R2 B'
F R2 B' L' D' B' R2
F R2 B' D' L' R2 B'
F R2 B' D' L' B' R2
F R2 B' D' R2 L' B'
U2 D R F' U F2 B
U2 D R F' U B F2
F U R U' L' B' R'
F' U F U' F L' B'
L D' L B' L U' B'
B' U' F L' U R U'
B2 U' F L' U R U'
F' U' F R U' F L'
B' U' F U R U' L'
B2 U' F U R U' L'
B U' F L' U R U'
B U' F U R U' L'
D U2 R F' U F2 B
D U2 R F' U B F2
B' U2 R U F L' B
B' U2 R U F B L'
B' U2 R U B F L'
B2 U2 R U F L' B
B2 U2 R U F B L'
B2 U2 R U B F L'
B U2 R U F L' B
B U2 R U F B L'
B U2 R U B F L'
U' F L U R U' L2
U' F L' R' D R B2
U' F L' R' D B2 R
U' F L' U R U' D
U' F L' U R U' D'
U' F L' U R U' D2
U' F L' U R D U'
U' F L' U R D' U'
U' F L' U R D2 U'
U' F L' U D R U'
U' F L' U D' R U'
U' F L' U D2 R U'
R' F L' R2 B' D' R2
R' F L' U F' U' B'
U' F L' D U R U'
U' F L' D' U R U'
U' F L' D2 U R U'
U' F L' B U R U'
U' F L' B' U R U'
U' F L' B2 U R U'
R' F L' B' U F' U'
U' F L2 U R U' L
R2 F L' R2 B' D' R2
R2 F L' U F' U' B'
R2 F L' B' U F' U'
R F L' R2 B' D' R2
R F L' U F' U' B'
L F L' F D R2 B
U F L' B2 D' R' B
R F L' B' U F' U'
U' F R' L' D R B2
U' F R' L' D B2 R
U' F R' D L' R B2
U' F R' D L' B2 R
U' F R' D R L' B2
U' F R' D R B2 L'
U' F R' D B2 L' R
U' F R' D B2 R L'
R' F R2 L' B' D' R2
U' F U R U' L' D
U' F U R U' L' D'
U' F U R U' L' D2
U' F U R U' D L'
U' F U R U' D' L'
U' F U R U' D2 L'
U' F U R D U' L'
U' F U R D' U' L'
U' F U R D2 U' L'
U' F U R B U' L'
U' F U R B' U' L'
U' F U R B2 U' L'
R2 F R2 L' B' D' R2
U' F U D R U' L'
U' F U D' R U' L'
U' F U D2 R U' L'
U' F U B R U' L'
U' F U B' R U' L'
U' F U B2 R U' L'
R F R2 L' B' D' R2
U' F D L' U R U'
U' F D U R U' L'
F2 D L' F' R2 B' L'
F2 D L' F' B' L' R2
F2 D L' F' B' R2 L'
U' F D' L' U R U'
F2 D L' B' F' L' R2
F2 D L' B' F' R2 L'
L F U2 L' F D R2
U' F D' U R U' L'
F D L' R2 B' D' R2
F D L' U F' U' B'
U' F D2 L' U R U'
F D L' B' U F' U'
U' F D2 U R U' L'
U' F B L' U R U'
U' F B U R U' L'
U' F B' L' U R U'
U' F B' U R U' L'
U' F B2 L' U R U'
U' F B2 U R U' L'
U F B L' D' B2 R'
F D R2 L' B' D' R2
U' F' L F2 D' L' B2
U' F' L F2 D' B2 L'
U' F' L2 F2 L' D' B2
F2 D F' L' R B' R
F2 D F' L' R2 D B'
F2 D F' L' R2 D' B'
F2 D F' L' R2 D2 B'
F2 D F' L' R2 B' D
F2 D F' L' R2 B' D'
F2 D F' L' R2 B' D2
F2 D F' L' B R2 B2
F2 D F' L' B' R2 D
F2 D F' L' B' R2 D'
F2 D F' L' B' R2 D2
F2 D F' R L' B' R
F2 D F' R2 L' D B'
F2 D F' R2 L' D' B'
F2 D F' R2 L' D2 B'
F2 D F' R2 L' B' D
F2 D F' R2 L' B' D'
F2 D F' R2 L' B' D2
F2 D F' R2 D L' B'
F2 D F' R2 D' L' B'
F2 D F' R2 D2 L' B'
F2 D F' R2 B L' B'
F2 D F' R2 B' L' B'
F2 D F' R2 B2 L' B'
F2 D F' B L' R2 B'
F2 D F' B L' B' R2
F2 D F' B R2 L' B'
F2 D F' B' L' R2 B'
F2 D F' B' L' B' R2
F2 D F' B' R2 L' B'
F2 D F' B2 L' R2 B'
F2 D F' B2 L' B' R2
F2 D F' B2 R2 L' B'
F2 D F2 R2 F L' B'
F2 D B F' L' R2 B'
F2 D B F' L' B' R2
F2 D B F' R2 L' B'
U' F' U' L' U F2 L'
F2 D B' F' L' R2 B'
F2 D B' F' L' B' R2
F2 D B' F' R2 L' B'
F2 D B2 F' L' R2 B'
F2 D B2 F' L' B' R2
F2 D B2 F' R2 L' B'
F D' L' R2 B' D' R2
F D' L' U F' U' B'
F D' L' B' U F' U'
F D' R2 L' B' D' R2
F2 D' F' D2 L' R2 B'
F2 D' F' D2 L' B' R2
F2 D' F' D2 R2 L' B'
R' F2 D F' L' R2 B'
R' F2 D F' L' B' R2
R' F2 D F' R2 L' B'
U' F2 D' L F' B' L'
U' F2 D' L B' F' L'
U' F2 D' L2 F' L' B'
U' F2 D' F' L B' L2
F D2 L' R2 B' D' R2
F D2 L' U F' U' B'
R2 F2 D F' L' R2 B'
R2 F2 D F' L' B' R2
R2 F2 D F' R2 L' B'
F D2 L' B' U F' U'
R F2 D F' L' R2 B'
R F2 D F' L' B' R2
R F2 D F' R2 L' B'
F D2 R2 L' B' D' R2
L' B L U' F L' B2
L' B L U' F B2 L'
L' B L U' B2 F L'
F2 D2 F' L' D' R2 B'
F2 D2 F' L' D' B' R2
F2 D2 F' D' L' R2 B'
F2 D2 F' D' L' B' R2
F2 D2 F' D' R2 L' B'
B' F L' R2 B' D' R2
B' F L' U F' U' B'
L B U F U2 L' F
B2 F L' R2 B' D' R2
B2 F L' U F' U' B'
L B U' L' F L' B'
B' F L' B' U F' U'
B2 F L' B' U F' U'
B F L' R2 B' D' R2
B F L' U F' U' B'
F B L' R2 B' D' R2
F B L' U F' U' B'
U B U2 F L' D' B2
B F L' B' U F' U'
F B L' B' U F' U'
U' B F L' U R U'
U' B F U R U' L'
B' F R2 L' B' D' R2
B2 F R2 L' B' D' R2
B F R2 L' B' D' R2
U B F L' D' B2 R'
F B R2 L' B' D' R2
F2 B D F' L' R2 B'
F2 B D F' L' B' R2
F2 B D F' R2 L' B'
F B' L' R2 B' D' R2
F B' L' U F' U' B'
L B' U F U2 L' F
F B' L' B' U F' U'
L B' U' L' F L' B'
U B' U' R' U' F L'
U' B' F L' U R U'
U' B' F U R U' L'
F B' R2 L' B' D' R2
L' B2 L U' F L' B
L' B2 L U' F B L'
L' B2 L U' B F L'
F2 B' D F' L' R2 B'
F2 B' D F' L' B' R2
F2 B' D F' R2 L' B'
F B2 L' R2 B' D' R2
F B2 L' U F' U' B'
F B2 L' B' U F' U'
L B2 U F U2 L' F
L B2 U' L' F L' B'
F B2 R2 L' B' D' R2
U' B2 F L' U R U'
B' F2 D F' L' R2 B'
B' F2 D F' L' B' R2
B' F2 D F' R2 L' B'
U' B2 F U R U' L'
B2 F2 D F' L' R2 B'
B2 F2 D F' L' B' R2
B2 F2 D F' R2 L' B'
F2 B2 D F' L' R2 B'
F2 B2 D F' L' B' R2
F2 B2 D F' R2 L' B'
B F2 D F' L' R2 B'
B F2 D F' L' B' R2
B F2 D F' R2 L' B'
