U L' U F' R'
U2 F' D R' B
B2 L U L2 U F'
B2 L U2 D' F' B2
B2 L U2 D' B2 F'
B2 L U2 F' D' B2
B2 L D F2 U2 F
B2 L D' U2 F' B2
B2 L D' U2 B2 F'
U2 L' U L F' R'
U L' U D F' R'
U L' U D' F' R'
U L' U D2 F' R'
U L' U F R' F2
U2 L' U F' L R'
U2 L' U F' R' L
U L' U F' R' D
U L' U F' R' D'
U L' U F' R' D2
U L' U F' D R'
U L' U F' D' R'
U L' U F' D2 R'
U L' U F2 R' F
U L' D U F' R'
U L' D' U F' R'
U L' D2 U F' R'
L2 U L U F' R'
L U L2 U F' R'
L U2 D' F' R' B2
L U2 F' R' D' B2
L U2 F' D' R' B2
D2 U L' U F' R'
D' U L' U F' R'
U D L' U F' R'
D U L' U F' R'
L D F2 U2 R' F
L D F2 U2 F R'
U2 D F' D R' B
U D' L' U F' R'
L D' U2 F' R' B2
F2 U' R U' R2 F
F2 U' R U' F R2
U2 D' F' D R' B
U D2 L' U F' R'
D' U2 F' D R' B
U2 D2 F' D R' B
D2 U2 F' D R' B
D U2 F' D R' B
F2 U2 R' D F B2
F2 U2 R' D B2 F
F2 U2 R' F D B2
F2 U2 F D R' B
U2 F' D R' D B
U2 F' D R' D' B
U2 F' D R' D2 B
U2 F' D R' B D
U2 F' D R' B D'
U2 F' D R' B D2
U' F2 R U' R2 F
U' F2 R U' F R2
U2 F2 R' D F B2
U2 F2 R' D B2 F
U2 F2 R' F D B2
B2 L U2 B2 F' D' B2
D2 L D F2 U2 R' F
D2 L D F2 U2 F R'
D' L D F2 U2 R' F
D' L D F2 U2 F R'
B2 L D F2 U2 D F
B2 L D F2 U2 D' F
B2 L D F2 U2 D2 F
B2 L D F2 U2 F D
B2 L D F2 U2 F D'
B2 L D F2 U2 F D2
B2 L D F2 D U2 F
B2 L D F2 D' U2 F
B2 L D F2 D2 U2 F
B2 L D F2 B U2 F
B2 L D F2 B' U2 F
D L D F2 U2 R' F
D L D F2 U2 F R'
B2 L D F2 B2 U2 F
B L D F2 U2 F R
B2 L D B F2 U2 F
B2 L D B' F2 U2 F
B2 L D B2 F2 U2 F
U2 L D' L' F' R' B2
D' L D' U2 F' R' B2
D2 L D' U2 F' R' B2
U' L D' U' F' R' B2
B2 L D' U2 F' B2 D
B2 L D' U2 F' B2 D'
B2 L D' U2 F' B2 D2
D L D' U2 F' R' B2
B2 L D' U2 B2 D F'
B2 L D' U2 B2 D' F'
B2 L D' U2 B2 D2 F'
B2 L D' U2 B2 F' D
B2 L D' U2 B2 F' D'
B2 L D' U2 B2 F' D2
U L D' U F' R' B2
B2 L D' F U2 F2 B2
B2 L D' F U2 B2 F2
B2 L D' F2 U2 F B2
B2 L D' F2 U2 B2 F
B2 L D' B U2 F' B
B2 L D' B U2 B F'
B2 L D' B' U2 F' B'
B2 L D' B' U2 B' F'
B2 L D2 U2 F' D B2
B2 L F U L2 U F2
B2 L F U2 F2 D' B2
B2 L F' D F2 U2 F2
B2 L F2 U2 D' F B2
B2 L F2 U2 D' B2 F
B2 L F2 U2 F D' B2
B2 L F2 D F2 U2 F'
B2 L F2 D' U2 F B2
B2 L F2 D' U2 B2 F
B2 L B U L2 U F'
B2 L B U2 D' F' B2
B2 L B U2 D' B2 F'
B2 L B U2 F' D' B2
B2 L B D F2 U2 F
B2 L B D' U2 F' B2
B2 L B D' U2 B2 F'
B2 L B' U L2 U F'
B2 L B' U2 D' F' B2
B2 L B' U2 D' B2 F'
B2 L B' U2 F' D' B2
B2 L B' D F2 U2 F
B2 L B' D' U2 F' B2
B2 L B' D' U2 B2 F'
R2 L' U' R2 U2 F' R'
R2 L' U' B R2 U2 R'
B2 L B2 U L2 U F'
B2 L B2 U2 D' F' B2
B2 L B2 U2 D' B2 F'
B2 L B2 U2 F' D' B2
B2 L B2 D F2 U2 F
B2 L B2 D' U2 F' B2
B2 L B2 D' U2 B2 F'
U L' R2 U R2 F' R'
U L' R2 U' B U2 R
U2 L' U L D F' R'
U2 L' U L D' F' R'
U2 L' U L D2 F' R'
U2 L' U L F R' F2
U2 L' U L F' R' D
U2 L' U L F' R' D'
U2 L' U L F' R' D2
U2 L' U L F' D R'
U2 L' U L F' D' R'
U2 L' U L F' D2 R'
U2 L' U L F2 R' F
U2 L' U L' F' L2 R'
U2 L' U L' F' R' L2
U L' U L' F' L R'
U L' U L' F' R' L
U2 L' U D L F' R'
U L' U L2 F' L2 R'
U L' U L2 F' R' L2
U2 L' U D F' L R'
U2 L' U D F' R' L
U2 L' U D' L F' R'
U2 L' U D' F' L R'
U2 L' U D' F' R' L
U2 L' U D2 L F' R'
U' L' U F R' F2 L'
U2 L' U D2 F' L R'
U2 L' U D2 F' R' L
U2 L' U F L R' F2
U2 L' U F L F2 R'
U2 L' U F R' L F2
U2 L' U F R' F2 L
U2 L' U F' L R' D
U2 L' U F' L R' D'
U2 L' U F' L R' D2
U2 L' U F' L D R'
U2 L' U F' L D' R'
U2 L' U F' L D2 R'
U2 L' U F' R' L D
U2 L' U F' R' L D'
U2 L' U F' R' L D2
U2 L' U F' R' D L
U2 L' U F' R' D' L
U2 L' U F' R' D2 L
U2 L' U F' D L R'
U2 L' U F' D R' L
U2 L' U F' D' L R'
U2 L' U F' D' R' L
U2 L' U F' D2 L R'
U L' U D F R' F2
U2 L' U F' D2 R' L
U L' U D F' R' D
U L' U D F' R' D'
U L' U D F' R' D2
U L' U D F' D R'
U L' U D F' D' R'
U L' U D F' D2 R'
U L' U D F2 R' F
U2 L' U F2 R' F L
U L' U D' F R' F2
U L' U D' F' R' D
U L' U D' F' R' D'
U L' U D' F' R' D2
U L' U D' F' D R'
U L' U D' F' D' R'
U L' U D' F' D2 R'
U L' U D' F2 R' F
U L' U D2 F R' F2
U L' U D2 F' R' D
U L' U D2 F' R' D'
U L' U D2 F' R' D2
U L' U D2 F' D R'
U L' U D2 F' D' R'
U L' U D2 F' D2 R'
U L' U D2 F2 R' F
U L' U F R F2 R2
U L' U F R' F2 D
U L' U F R' F2 D'
U L' U F R' F2 D2
U L' U F' R2 D R
U L' U F' R2 D' R
U L' U F' R2 D2 R
U L' U F' D R' D
U L' U F' D R' D'
U L' U F' D R' D2
U L' U F' D' R' D
U L' U F' D' R' D'
U L' U F' D' R' D2
U L' U F' D2 R' D
U L' U F' D2 R' D'
U L' U F' D2 R' D2
U L' U F2 R F R2
U L' U F2 R' D F
U L' U F2 R' D' F
U L' U F2 R' D2 F
U L' U F2 R' F D
U L' U F2 R' F D'
U L' U F2 R' F D2
U L' U F2 D R' F
U L' U F2 D F R'
U L' U F2 D' R' F
U L' U F2 D' F R'
U L' U F2 D2 R' F
U L' U F2 D2 F R'
U L' U' L U2 F' R'
U L' U' L' U2 F' R'
U L' U' L2 U2 F' R'
U L' U' B2 L U2 F'
F2 L' U2 R' D F' B2
F2 L' U2 R' D B2 F'
F2 L' U2 R' F' D B2
U L' U2 L U' F' R'
U L' U2 L' U' F' R'
U L' U2 L2 U' F' R'
U L' U2 F U' R' F2
U L' U2 F U' F2 R'
U L' U2 F2 U' R' F
U L' U2 F2 U' F R'
U2 L' D U L F' R'
U2 L' D U F' L R'
U2 L' D U F' R' L
U L' D U F R' F2
U L' D U F' R' D
U L' D U F' R' D'
U L' D U F' R' D2
U L' D U F' D R'
U L' D U F' D' R'
U L' D U F' D2 R'
U L' D U F2 R' F
U2 L' D' U L F' R'
U2 L' D' U F' L R'
U2 L' D' U F' R' L
U L' D' U F R' F2
U L' D' U F' R' D
U L' D' U F' R' D'
U L' D' U F' R' D2
U L' D' U F' D R'
U L' D' U F' D' R'
U L' D' U F' D2 R'
U L' D' U F2 R' F
U2 L' D2 U L F' R'
U2 L' D2 U F' L R'
U2 L' D2 U F' R' L
U L' D2 U F R' F2
U L' D2 U F' R' D
U L' D2 U F' R' D'
U L' D2 U F' R' D2
U L' D2 U F' D R'
U L' D2 U F' D' R'
U L' D2 U F' D2 R'
U L' D2 U F2 R' F
U' L' F U R' F2 L'
U2 L' F U L R' F2
U2 L' F U L F2 R'
U2 L' F U R' L F2
U2 L' F U R' F2 L
U2 L' F U F2 L R'
U2 L' F U F2 R' L
L' R2 U' R2 U2 F' R'
U2 L' F2 U R' F L
U2 L' F2 U F L R'
U2 L' F2 U F R' L
L' R2 U' B R2 U2 R'
U L' B' U D2 F' R
U L' B' D2 U F' R
U L' B2 U' L U2 F'
D2 L2 U L U F' R'
D' L2 U L U F' R'
D L2 U L U F' R'
U' L2 U2 L U F' R'
U L2 D L U F' R'
U L2 D' L U F' R'
L2 U L U D F' R'
L2 U L U D' F' R'
L2 U L U D2 F' R'
L2 U L U F R' F2
L2 U L U F' R' D
L2 U L U F' R' D'
L2 U L U F' R' D2
L2 U L U F' D R'
L2 U L U F' D' R'
L2 U L U F' D2 R'
L2 U L U F2 R' F
L2 U L D U F' R'
L2 U L D' U F' R'
L2 U L D2 U F' R'
U L2 D2 L U F' R'
L U L2 U D F' R'
L U L2 U D' F' R'
L U L2 U D2 F' R'
L U L2 U F R' F2
L U L2 U F' R' D
L U L2 U F' R' D'
L U L2 U F' R' D2
L U L2 U F' D R'
L U L2 U F' D' R'
L U L2 U F' D2 R'
L U L2 U F2 R' F
L U L2 D U F' R'
L U L2 D' U F' R'
L U L2 D2 U F' R'
L2 U D L U F' R'
L2 U D' L U F' R'
L2 U D2 L U F' R'
L' U F' R' U' F U
L' U F' U' F U R'
F2 R U R' U2 R' F
F2 R U R' U2 F R'
L' U F2 R' D' F L2
F R U R2 F2 L' B'
L' U F2 D' R' F L2
L' U F2 D' F L2 R'
L' U F2 D' F R' L2
F2 R U' R2 F2 L' F'
F2 R U' F' R2 F2 L'
L' U B' U F' B R'
L' U B' U B F' R'
L' U B2 U F' B2 R'
L' U B2 U B2 F' R'
R' U' L' U' R U2 F'
F2 R F' U' R2 F2 L'
F' R B2 R2 D' L B'
F2 R B2 U' R2 F L
F2 R B2 U' F L R2
F2 R B2 U' F R2 L
U2 R' U' L' R U F'
U2 R' U' R L' U F'
F' R' U' F2 U L' B'
U2 R' U' D2 L' U F
F' R' U2 D R F' U2
F' R' D U2 R F' U2
F2 R' D F2 L' F' B2
F2 R' D F2 L' B2 F'
F2 R' D F2 B2 L' F'
F2 R' D B2 F2 L' F'
L' U2 L U' L' F' R'
L2 U2 L U L' F' R'
L' U2 L' U' L F' R'
L' U2 L' U' F' L R'
L' U2 L' U' F' R' L
U2 R' D2 U' L' U F
L' U2 L2 U' L2 F' R'
L' U2 L2 U' F' L2 R'
L' U2 L2 U' F' R' L2
R' U2 R U L' U F'
L U2 L2 U L2 F' R'
L U2 L2 U F' L2 R'
L U2 L2 U F' R' L2
U' R' F2 R U' F' R'
F2 R' F2 L' D F' B2
F2 R' F2 L' D B2 F'
F2 R' F2 L' F' D B2
L' U2 R' U R U' F'
U2 R' F2 U R U' F'
F2 R' F2 D L' F' B2
F2 R' F2 D L' B2 F'
F2 R' F2 D B2 L' F'
F R' F2 L2 D' L B'
F R' F2 D' L B' L2
L U2 D F' R2 B R
L U2 D' F R' F2 B2
L U2 D' F R' B2 F2
L U2 D' F' R B2 R2
L U2 D' F' R' B2 D
L U2 D' F' R' B2 D'
L U2 D' F' R' B2 D2
L U2 D' F' R2 B2 R
L U2 D' F2 R' F B2
L U2 D' F2 R' B2 F
L U2 D2 F' D R' B2
U R2 L' U R2 F' R'
U R2 L' U' B U2 R
L U2 F R' F2 D' B2
L' U2 F' R' U R U'
L' U2 F' R2 D R B2
L' U2 F' R2 D B2 R
L2 U2 F' R' U' L U
L2 U2 F' U' L U R'
L U2 F' R' U' L2 U
L U2 F' R' D' B2 D
L U2 F' R' D' B2 D'
L U2 F' R' D' B2 D2
L U2 F' R' B D' B2
L U2 F' R' B' D' B2
L U2 F' R' B2 D' B2
L U2 F' R2 D' R B2
L U2 F' R2 D' B2 R
L U2 F' U' L2 U R'
L U2 F' D R' D2 B2
F R2 U R F2 L' B'
L U2 F' D' R B2 R2
L U2 F' D' R' B2 D
L U2 F' D' R' B2 D'
L U2 F' D' R' B2 D2
L U2 F' D' R2 B2 R
L U2 F' B2 D' B2 R'
L U2 F2 R' D' F B2
L U2 F2 R' D' B2 F
L U2 F2 R' F D' B2
F R2 U' R F2 L' B
F R2 U' R F2 B L'
F R2 U' R B F2 L'
L U2 F2 D' R' F B2
L U2 F2 D' R' B2 F
L U2 F2 D' F R' B2
L U2 B2 D' F' B2 R'
L U2 B2 D' B2 F' R'
L U2 B2 F' D' B2 R'
L D L F2 U2 R' F
L D L F2 U2 F R'
L D L' F2 U2 R' F
L D L' F2 U2 F R'
L D L2 F2 U2 R' F
L D L2 F2 U2 F R'
L2 D U L U F' R'
D' U L' U D F' R'
D' U L' U D' F' R'
D' U L' U D2 F' R'
D' U L' U F R' F2
D' U L' U F' R' D
D' U L' U F' R' D'
D' U L' U F' R' D2
D' U L' U F' D R'
D' U L' U F' D' R'
D' U L' U F' D2 R'
D' U L' U F2 R' F
D2 U L' U D F' R'
D2 U L' U D' F' R'
D2 U L' U D2 F' R'
D2 U L' U F R' F2
D2 U L' U F' R' D
D2 U L' U F' R' D'
D2 U L' U F' R' D2
D2 U L' U F' D R'
D2 U L' U F' D' R'
D2 U L' U F' D2 R'
D2 U L' U F2 R' F
B' U L' U D2 F' R
D' U L' D U F' R'
D2 U L' D U F' R'
D' U L' D' U F' R'
D2 U L' D' U F' R'
D' U L' D2 U F' R'
B2 U L' U D2 F' R2
B2 U L' U F' D2 R2
D2 U L' D2 U F' R'
B2 U L' U' L2 U2 F'
B' U L' D2 U F' R
U2 D L' U L F' R'
U2 D L' U F' L R'
U2 D L' U F' R' L
B2 U L' D' B2 U F'
B2 U L' D2 U F' R2
B' U L' B U F' R'
L D U2 F' R2 B R
D U L' U D F' R'
B U L' U F R F2
D U L' U D' F' R'
D U L' U D2 F' R'
D U L' U F R' F2
D U L' U F' R' D
D U L' U F' R' D'
D U L' U F' R' D2
D U L' U F' D R'
D U L' U F' D' R'
D U L' U F' D2 R'
D U L' U F2 R' F
D U L' D U F' R'
D U L' D' U F' R'
F U L' U R' F2 B'
F U L' U R' B' F2
F U L' U F2 R' B'
D U L' D2 U F' R'
U D L' U D F' R'
U D L' U D' F' R'
U D L' U D2 F' R'
U D L' U F R' F2
U D L' U F' R' D
U D L' U F' R' D'
U D L' U F' R' D2
U D L' U F' D R'
U D L' U F' D' R'
U D L' U F' D2 R'
U D L' U F2 R' F
U D L' D U F' R'
U D L' D' U F' R'
U D L' D2 U F' R'
F2 U R U F R2 B
L D F2 L' U2 R' F'
L D F2 U2 R F R2
L D F2 U2 R' D F
L D F2 U2 R' D' F
L D F2 U2 R' D2 F
L D F2 U2 R' F D
L D F2 U2 R' F D'
L D F2 U2 R' F D2
L D F2 U2 D R' F
L D F2 U2 D F R'
L D F2 U2 D' R' F
L D F2 U2 D' F R'
L D F2 U2 D2 R' F
L D F2 U2 D2 F R'
L D F2 U2 F R' D
L D F2 U2 F R' D'
L D F2 U2 F R' D2
L D F2 U2 F D R'
L D F2 U2 F D' R'
L D F2 U2 F D2 R'
L D F2 U2 F' R' F2
L D F2 D U2 R' F
L D F2 D U2 F R'
L D F2 D' U2 R' F
L D F2 D' U2 F R'
L D F2 D2 U2 R' F
L D F2 D2 U2 F R'
L D F2 B U2 F R
L D B F2 U2 F R
L D B2 L F2 U2 F
B' U D2 L' U F' R
U2 D F' D R' D B
U2 D F' D R' D' B
U2 D F' D R' D2 B
U2 D F' D R' B D
U2 D F' D R' B D'
U2 D F' D R' B D2
U' D F2 R U' R2 F
U' D F2 R U' F R2
L D' L U2 F' R' B2
U2 D F2 R' D F B2
U2 D F2 R' D B2 F
U2 D F2 R' F D B2
L D' L' U2 F' R' B2
L D' L2 U2 F' R' B2
B' U B L' U F' R'
L2 D' U L U F' R'
U2 D' L' U L F' R'
U2 D' L' U F' L R'
U2 D' L' U F' R' L
B2 U B2 L' U F' R'
U D' L' U D F' R'
U D' L' U D' F' R'
U D' L' U D2 F' R'
U D' L' U F R' F2
U D' L' U F' R' D
U D' L' U F' R' D'
U D' L' U F' R' D2
U D' L' U F' D R'
U D' L' U F' D' R'
U D' L' U F' D2 R'
U D' L' U F2 R' F
U D' L' D U F' R'
U D' L' D' U F' R'
U D' L' D2 U F' R'
L D' U2 F R' F2 B2
L D' U2 F R' B2 F2
L D' U2 F' R B2 R2
L D' U2 F' R' B2 D
L D' U2 F' R' B2 D'
L D' U2 F' R' B2 D2
L D' U2 F' R2 B2 R
L D' U2 F2 R' F B2
L D' U2 F2 R' B2 F
L D' F R' F2 L' B2
L D' F R' F2 B2 L'
L D' F R' B2 F2 L'
L D' F U2 R' F2 B2
L D' F U2 R' B2 F2
L D' F U2 F2 R' B2
F2 U' R U' R' F R'
F2 U' R U' R2 D F
F2 U' R U' R2 D' F
F2 U' R U' R2 D2 F
F2 U' R U' R2 F D
F2 U' R U' R2 F D'
F2 U' R U' R2 F D2
F2 U' R U' F R2 D
F2 U' R U' F R2 D'
F2 U' R U' F R2 D2
F2 U' R U' F' R2 F2
L D' F' R B2 L R2
L D' F' R B2 R2 L
F2 U' R D' F2 U' F'
F2 U' R F' U' R2 F2
F2 U' R F' U' F2 R2
F2 U' R F2 U' F' R2
F U' R U' F2 B R2
F U' R U' B R2 F2
F U' R U' B F2 R2
L D' F2 U2 R' F B2
L D' F2 U2 R' B2 F
L D' F2 U2 F R' B2
D' U' F2 R U' R2 F
U' D' F2 R U' R2 F
D' U' F2 R U' F R2
U' D' F2 R U' F R2
D2 U' F2 R U' R2 F
D2 U' F2 R U' F R2
U2 D' F' D R' D B
U2 D' F' D R' D' B
U2 D' F' D R' D2 B
U2 D' F' D R' B D
U2 D' F' D R' B D'
U2 D' F' D R' B D2
U2 D' F2 R' D F B2
U2 D' F2 R' D B2 F
U2 D' F2 R' F D B2
F2 U' D R U' R2 F
F2 U' D R U' F R2
D U' F2 R U' R2 F
D U' F2 R U' F R2
F2 U' D' R U' R2 F
F2 U' D' R U' F R2
F2 U' D2 R U' R2 F
F2 U' D2 R U' F R2
D' U2 L' U L F' R'
D' U2 L' U F' L R'
D' U2 L' U F' R' L
D2 U2 L' U L F' R'
D2 U2 L' U F' L R'
D2 U2 L' U F' R' L
U2 D2 L' U L F' R'
U2 D2 L' U F' L R'
U2 D2 L' U F' R' L
D U2 L' U L F' R'
D U2 L' U F' L R'
D U2 L' U F' R' L
B U' F2 R U' F R
U D2 L' U D F' R'
U D2 L' U D' F' R'
U D2 L' U D2 F' R'
U D2 L' U F R' F2
U D2 L' U F' R' D
U D2 L' U F' R' D'
U D2 L' U F' R' D2
U D2 L' U F' D R'
U D2 L' U F' D' R'
U D2 L' U F' D2 R'
U D2 L' U F2 R' F
U D2 L' D U F' R'
U D2 L' D' U F' R'
U D2 L' D2 U F' R'
L2 D2 U L U F' R'
L D2 U2 F' D R' B2
D' U2 F' D R' D B
D' U2 F' D R' D' B
D' U2 F' D R' D2 B
D' U2 F' D R' B D
D' U2 F' D R' B D'
D' U2 F' D R' B D2
D2 U2 F' D R' D B
D2 U2 F' D R' D' B
D2 U2 F' D R' D2 B
D2 U2 F' D R' B D
D2 U2 F' D R' B D'
D2 U2 F' D R' B D2
U' D2 F2 R U' R2 F
U' D2 F2 R U' F R2
D' U2 F2 R' D F B2
D' U2 F2 R' D B2 F
D' U2 F2 R' F D B2
U2 D2 F' D R' D B
U2 D2 F' D R' D' B
U2 D2 F' D R' D2 B
U2 D2 F' D R' B D
U2 D2 F' D R' B D'
U2 D2 F' D R' B D2
D2 U2 F2 R' D F B2
D2 U2 F2 R' D B2 F
D2 U2 F2 R' F D B2
D U2 F' D R' D B
D U2 F' D R' D' B
D U2 F' D R' D2 B
D U2 F' D R' B D
D U2 F' D R' B D'
D U2 F' D R' B D2
U2 D2 F2 R' D F B2
U2 D2 F2 R' D B2 F
U2 D2 F2 R' F D B2
F2 U2 R F R2 D B2
D U2 F2 R' D F B2
D U2 F2 R' D B2 F
D U2 F2 R' F D B2
F2 U2 R' U R2 U' F
F2 U2 R' D F B2 D
F2 U2 R' D F B2 D'
F2 U2 R' D F B2 D2
F2 U2 R' D B2 D F
F2 U2 R' D B2 D' F
F2 U2 R' D B2 D2 F
F2 U2 R' D B2 F D
F2 U2 R' D B2 F D'
F2 U2 R' D B2 F D2
F2 U2 R' D2 F D' B2
F2 U2 R' F U R2 U'
F2 U2 R' F D B2 D
F2 U2 R' F D B2 D'
F2 U2 R' F D B2 D2
F2 U2 R' F B D B2
F2 U2 R' F B' D B2
F2 U2 R' F B2 D B2
F2 U2 R' F2 D F' B2
F2 U2 R' F2 D B2 F'
F2 U2 R' B D F B2
F2 U2 R' B D B2 F
F2 U2 R' B F D B2
F2 U2 R' B' D F B2
F2 U2 R' B' D B2 F
F2 U2 R' B' F D B2
F2 U2 R' B2 D F B2
F2 U2 R' B2 D B2 F
F2 U2 R' B2 F D B2
F2 U2 D R' D F B2
F2 U2 D R' D B2 F
F2 U2 D R' F D B2
F2 U2 D F D R' B
F2 U2 D' R' D F B2
F2 U2 D' R' D B2 F
F2 U2 D' R' F D B2
F2 U2 D' F D R' B
F2 U2 D2 R' D F B2
F2 U2 D2 R' D B2 F
F2 U2 D2 R' F D B2
F2 U2 D2 F D R' B
F2 U2 F D R' D B
F2 U2 F D R' D' B
F2 U2 F D R' D2 B
F2 U2 F D R' B D
F2 U2 F D R' B D'
F2 U2 F D R' B D2
L' F R U R2 F2 L'
B' U2 F' B D R' B
B2 U2 F' D B2 R' B
B2 U2 F' B2 D R' B
U' F R2 U' R F2 B
U' F R2 U' R B F2
L' F R2 U R F2 L'
B' U2 B F' D R' B
L2 F R' F2 L' D' B2
U' F U R' F2 L' B'
L' F U R' F2 D' L2
L F R' F2 D' L' B2
L F R' F2 D' B2 L'
L2 F U L U R' F2
L2 F U L U F2 R'
L' F U F2 R' D' L2
L' F U F2 D' L2 R'
L' F U F2 D' R' L2
U' F U' R F2 B R2
U' F U' R B R2 F2
U' F U' R B F2 R2
U' F U' F2 R B R2
B2 U2 B2 F' D R' B
L F U L2 U R' F2
L F U L2 U F2 R'
B2 D L U L2 U F'
B2 D L U2 D' F' B2
B2 D L U2 D' B2 F'
B2 D L U2 F' D' B2
B2 D L D F2 U2 F
B2 D L D' U2 F' B2
B2 D L D' U2 B2 F'
L F U2 R' F2 D' B2
L F U2 F2 R' D' B2
L F U2 F2 D' R' B2
F' D R B R2 B L
F' D R B2 L R2 B
F' D R B2 R2 L B
F' D R' F2 L' F2 B
F' D R' F2 L' B F2
F' D R' F2 B L' F2
F' D R' B U2 R U2
F' D R' B F2 L' F2
F' D R2 D2 L2 R B
F' D R2 D2 R L2 B
F' D R2 D2 R B L2
F2 D U' R U' R2 F
F2 D U' R U' F R2
U2 F' L D L' R' B
U2 F' L D R' L' B
U2 F' L D R' B L'
F2 D U2 R' D F B2
F2 D U2 R' D B2 F
F2 D U2 R' F D B2
F2 D U2 F D R' B
U2 F' L' R' D' L B'
U2 F' L' D L R' B
U2 F' L' D R' L B
U2 F' L' D' L R' B'
U2 F' L' D' R' L B'
F' D F U2 F' R' B
F' D F' U2 R' F B
F' D F' U2 R' B F
F' D F' U2 F R' B
F' D F2 R' F2 L' B
F' D F2 R' F2 B L'
F' D F2 R' B F2 L'
F' D F2 U2 R' F2 B
F' D F2 U2 R' B F2
F' D F2 U2 F2 R' B
U2 F' R' L' D' L B'
U2 F' R' D R' B R
U2 F' R' D' L B' L'
U F' R' U' F L' U
U2 F' R2 D R' B R2
U2 F' U F' R U' R2
B2 D' L U L2 U F'
B2 D' L U2 D' F' B2
B2 D' L U2 D' B2 F'
B2 D' L U2 F' D' B2
B2 D' L D F2 U2 F
B2 D' L D' U2 F' B2
B2 D' L D' U2 B2 F'
F' D' L' F U2 F' R'
U F' U' F L' U R'
U2 F' D L R' B L'
U2 F' D L2 R' B L2
U2 F' D R B R2 B
U2 F' D R B' R2 B
U2 F' D R B2 R2 B
U2 F' D R' L B L'
U2 F' D R' L2 B L2
U2 F' D R' D B D
U2 F' D R' D B D'
U2 F' D R' D B D2
U2 F' D R' D' B D
U2 F' D R' D' B D'
U2 F' D R' D' B D2
U2 F' D R' D2 B D
U2 F' D R' D2 B D'
U2 F' D R' D2 B D2
U2 F' D R' B2 D B'
U2 F' D R' B2 D' B'
U2 F' D R' B2 D2 B'
U2 F' D R2 D R B
U2 F' D R2 D' R B
U2 F' D R2 D2 R B
U2 F' D R2 B R B
U2 F' D R2 B' R B
U2 F' D R2 B2 R B
U2 F' D F' R' F B
U2 F' D F' R' B F
