R2 L' U L D R2
R2 L' U D L R2
R2 L' U D R2 L
R2 L' U2 F2 U' L
R2 L' D U L R2
R2 L' D U R2 L
U' L' R2 U D R2
U' L' R2 U2 F2 U'
U' L' R2 D U R2
U' L' R2 D2 B2 U
D' L' U F2 L R
D' L' U F2 R L
L' R2 U L D R2
L' R2 U D L R2
L' R2 U D R2 L
L' R2 U2 F2 U' L
L' R2 D U L R2
L' R2 D U R2 L
R2 U F2 R U' F2
R U F2 L' R U'
R U F2 R L' U'
U R F2 L' R U'
U R F2 R L' U'
U' R2 L' U D R2
U' R2 L' U2 F2 U'
U' R2 L' D U R2
U' R2 L' D2 B2 U
U' R2 U2 F2 R U'
U' R2 D L' U R2
U' R2 D2 L' B2 U
U' R2 D2 B2 L' U
R2 D L' U L R2
R2 D L' U R2 L
L D' L' F2 R B2
L D' L' F2 B2 R
L D' L' B2 F2 R
U' D' L' U F2 R
D' U' L' U F2 R
L D' B2 L' F2 R
R2 D2 B2 L' U L
R F2 L' R U' L
U F2 R U2 R U
R F2 R L' U' L
F2 D2 L2 R U' L2
F2 D2 R L2 U' L2
U F2 D' R U' F2
U F2 D2 L2 R U'
U F2 D2 R L2 U'
D' L' U F2 R L D2
D' L' U F2 R D L
D' L' U F2 R D' L
D' L' U F2 R D2 L
D' L' U F2 D L R
D' L' U F2 D R L
D' L' U F2 D' L R
D' L' U F2 D' R L
D' L' U F2 D2 L R
D' L' U F2 D2 R L
D' L' U' L' U2 L2 F2
D' L' U' L' U2 F2 L2
R2 L' D2 B2 U' R' U2
U' L' U' D B2 U2 R2
U' L' U' D' L2 U2 F2
R2 L' F U2 F U' L
D L' U' B2 R' U2 R'
R2 L' F' U2 F' U' L
U' L' U2 F2 U' D' F2
U' L' U2 F2 U2 R2 U
U' L' U2 F2 D' U' F2
U' L' U2 F2 D2 L2 U'
U' L' D U R2 D2 F2
U' L' D U' B2 U2 R2
U' L' D B U R2 F'
F2 L' D' R U' L F2
F2 L' D' R U' F2 L
U' L' D' U F2 D2 R2
U' L' D' U' L2 U2 F2
F2 L' D2 L2 R U' L'
F2 L' D2 R L2 U' L'
U' L' D2 B2 U D F2
U' L' D2 B2 U2 L2 U'
U' L' D2 B2 D U F2
U' L' D2 B2 D2 R2 U
L' R2 U L R D R2
L' R2 U L R' D R2
L' R2 U L R2 D R2
L' R2 U L U F2 U'
L' R2 U L D R2 D
L' R2 U L D R2 D'
L' R2 U L D R2 D2
R2 L' B2 D2 B2 U L
L' R2 U L2 D L' R2
L' R2 U L2 D R2 L'
L' R2 U R L D R2
L' R2 U R D L R2
L' R2 U R D R2 L
L' R2 U R' L D R2
L' R2 U R' D L R2
L' R2 U R' D R2 L
L' R2 U R2 L D R2
L' R2 U R2 D L R2
L' R2 U R2 D R2 L
L' R2 U D L R2 D
L' R2 U D L R2 D'
L' R2 U D L R2 D2
L' R2 U D R2 L D
L' R2 U D R2 L D'
L' R2 U D R2 L D2
L' R2 U D R2 D L
L' R2 U D R2 D' L
L' R2 U D R2 D2 L
D' L' F' U L F' R
L' R2 U D2 L D' R2
D' L' F' U F' L R
D' L' F' U F' R L
U' L' F' R2 F B U
U' L' F' R2 B F U
L' R2 U' D' L2 U2 L'
U' L' B R2 U D R2
U' L' B R2 U2 F2 U'
U' L' B R2 D U R2
U' L' B R2 D2 B2 U
L' R2 U2 F2 U' L D
L' R2 U2 F2 U' L D'
L' R2 U2 F2 U' L D2
L' R2 U2 F2 U' D L
L' R2 U2 F2 U' D' L
L' R2 U2 F2 U' D2 L
L' R2 U2 F2 D U' L
L' R2 U2 F2 D' U' L
L' R2 U2 F2 D2 U' L
L2 R2 D L F2 U R2
R2 L2 D L F2 U R2
L' R2 D U L R2 D
L' R2 D U L R2 D'
L' R2 D U L R2 D2
L' R2 D U R2 L D
L' R2 D U R2 L D'
L' R2 D U R2 L D2
L' R2 D U R2 D L
L' R2 D U R2 D' L
L' R2 D U R2 D2 L
U' L' B' R2 U D R2
U' L' B' R2 U2 F2 U'
U' L' B' R2 D U R2
U' L' B' R2 D2 B2 U
L' R2 D F U L R2
L' R2 D F U R2 L
L' R2 D F' U L R2
L' R2 D F' U R2 L
L' R2 D F2 U L R2
L' R2 D F2 U R2 L
L2 R2 D F2 L U R2
R2 L2 D F2 L U R2
L' R2 D' U' L2 U2 L'
U' L' B2 R2 U D R2
U' L' B2 R2 U2 F2 U'
U' L' B2 R2 D U R2
U' L' B2 R2 D2 B2 U
F2 L2 R U2 R U L2
L' R2 D2 U L D' R2
L' R2 D2 B2 U' R' U2
L' R2 F U2 F U' L
U' L2 R2 D L U R2
U' L2 R2 D2 L B2 U
D' L2 U L U L F2
D' L2 U L U F2 L
L' R2 F' U2 F' U' L
L' R2 B2 D2 B2 U L
F2 L2 D' R B2 U' F2
L' U L D R2 D2 F2
D2 L2 D' B2 R' U' R'
L' U L D' F2 D2 R2
U' L2 D2 L B2 R' U
F2 L2 D' B2 R U' F2
L' U L2 D' L' F2 R
R2 U R F2 R U' F2
U L2 F2 U2 L R2 U
U L2 F2 U2 R2 L U
R2 U R' F2 R U' F2
R' U R2 F2 L' R U'
R' U R2 F2 R L' U'
L' U D L R2 D2 F2
R2 U R2 F2 R U' F2
L' U D R2 L D2 F2
L' U D R2 D2 L F2
L' U D R2 D2 F2 L
L' U D' L' F2 L2 R
L' U D' L' F2 R L2
L' U D' F2 D2 L R2
L' U D' F2 D2 R2 L
L U D' L' F2 R B2
L U D' L' F2 B2 R
L U D' L' B2 F2 R
F2 R L U2 R U L'
L U D' B2 L' F2 R
D' R L' U F2 L R
D' R L' U F2 R L
U' R L' U2 F2 L' U'
U' R L' D R U R
F2 R L' U2 R U L
U' R L' D2 R B2 U
U' R L' D2 B2 R U
F2 R L2 U2 R U L2
R' U F2 R U' D' F2
R' U F2 R U2 R2 U
R' U F2 R D' U' F2
R' U F2 R D2 L2 U'
B' R U F2 L' R U'
B' R U F2 R L' U'
B2 R U F2 L' R U'
B2 R U F2 R L' U'
R2 U F2 L R U' F2
R2 U F2 L' R U' F2
D' R U' L' U F2 R
R2 U F2 L2 R U' F2
B R U F2 L' R U'
R2 U F2 R L U' F2
B R U F2 R L' U'
R2 U F2 R L' U' F2
R2 U F2 R L2 U' F2
R2 U F2 R U' F2 D
R2 U F2 R U' F2 D'
R2 U F2 R U' F2 D2
R2 U F2 R D' L2 U'
R U F2 L' R U' D
R U F2 L' R U' D'
R U F2 L' R U' D2
R U F2 L' R D U'
R U F2 L' R D' U'
R U F2 L' R D2 U'
R U F2 L' D R U'
R U F2 L' D' R U'
R U F2 L' D2 R U'
R U F2 R L' U' D
R U F2 R L' U' D'
R U F2 R L' U' D2
R U F2 R L' D U'
R U F2 R L' D' U'
R U F2 R L' D2 U'
R U F2 R D L' U'
R U F2 R D' L' U'
R U F2 R D2 L' U'
R2 U F2 D' L2 R U'
R2 U F2 D' R L2 U'
R U F2 D L' R U'
R U F2 D R L' U'
R U F2 D' L' R U'
R U F2 D' R L' U'
R U F2 D2 L' R U'
R U F2 D2 R L' U'
F2 R U2 R U' R' U2
U' R U2 F2 L' R U'
U' R U2 F2 R L' U'
U' R D L' R U R
U' R D R L' U R
U' R D2 L' R B2 U
U' R D2 L' B2 R U
U' R D2 R L' B2 U
U' R D2 R B2 L' U
R' U' L' R' U D R2
R' U' L' R' U2 F2 U'
R' U' L' R' D U R2
R' U' L' R' D2 B2 U
R' U' L' D R' U R'
R' U' L' D2 R' B2 U
U' R D2 B2 L' R U
U' R D2 B2 R L' U
R U' L' R U D R2
R U' L' R U2 F2 U'
R U' L' R D U R2
R U' L' R D2 B2 U
R2 U' L' U2 F2 U' F2
R U' L' U2 F2 L' U'
R U' L' D R U R
R U' L' D2 R B2 U
R U' L' D2 B2 R U
B' R F2 L' R U' L
B' R F2 R L' U' L
B2 R F2 L' R U' L
R U' R L' U D R2
R U' R L' U2 F2 U'
R U' R L' D U R2
R U' R L' D2 B2 U
R' U' R' L' U D R2
B2 R F2 R L' U' L
F2 R F2 L' F2 U' L
R' U' R' L' U2 F2 U'
R' U' R' L' D U R2
R' U' R' L' D2 B2 U
B R F2 L' R U' L
R U' R U2 F2 R U'
R U' R D L' U R2
R' U' R' U2 F2 R U'
B R F2 R L' U' L
R' U' R' D L' U R2
R U' R D2 L' B2 U
R' U' R' D2 L' B2 U
U R F2 L' R U' D
U R F2 L' R U' D'
U R F2 L' R U' D2
U R F2 L' R D U'
U R F2 L' R D' U'
U R F2 L' R D2 U'
R U' R D2 B2 L' U
R' U' R' D2 B2 L' U
U R F2 L' D R U'
U R F2 L' D' R U'
U R F2 L' D2 R U'
U R F2 R L' U' D
U R F2 R L' U' D'
U R F2 R L' U' D2
U R F2 R L' D U'
U R F2 R L' D' U'
U R F2 R L' D2 U'
U R F2 R D L' U'
U R F2 R D' L' U'
U R F2 R D2 L' U'
U R F2 D L' R U'
U R F2 D R L' U'
U R F2 D' L' R U'
U R F2 D' R L' U'
U R F2 D2 L' R U'
U R F2 D2 R L' U'
R' U' D L' R' U R'
R' U' D R' L' U R'
L' U' D B2 R' U2 R'
R U' D L' R U R
R U' D L' R U R
L' U' D' L2 U2 L' F2
R U' D R L' U R
R' U' D2 L' R' B2 U
L U' D' L' F2 R B2
L U' D' L' F2 B2 R
L U' D' L' B2 F2 R
R' U' D2 R' L' B2 U
R' U' D2 R' B2 L' U
L U' D' B2 L' F2 R
D' R' L' U F2 L R
D' R' L' U F2 R L
R U' D2 L' R B2 U
U' R' L' D R' U R'
R U' D2 L' B2 R U
R U' D2 R L' B2 U
U' R' L' D2 R' B2 U
R U' D2 R B2 L' U
R U' D2 B2 L' R U
R U' D2 B2 R L' U
D' R' U' L' U F2 R
U' R' D L' R' U R'
U' R' D R' L' U R'
U' R' D2 L' R' B2 U
U' R' D2 R' L' B2 U
U' R' D2 R' B2 L' U
D R' D2 F2 R' D B2
U R' F2 R U' D' F2
U R' F2 R U2 R2 U
U R' F2 R D' U' F2
U R' F2 R D2 L2 U'
R2 U2 R' F2 R U' L'
F2 R' B2 L R2 U' L'
F2 R' B2 R2 L U' L'
L U2 D' L' F2 R B2
L U2 D' L' F2 B2 R
L U2 D' L' B2 F2 R
D' R2 L' U F2 L R
D' R2 L' U F2 R L
B' R2 L' U L D R2
U' R2 L' U R D R2
B' R2 L' U D L R2
U' R2 L' U R' D R2
B' R2 L' U D R2 L
U' R2 L' U R2 D R2
U' R2 L' U D R2 D
U' R2 L' U D R2 D'
U' R2 L' U D R2 D2
U' R2 L' U' D' L2 U2
B' R2 L' U2 F2 U' L
L U2 D' B2 L' F2 R
U' R2 L' U2 F2 U' D
U' R2 L' U2 F2 U' D'
U' R2 L' U2 F2 U' D2
U' R2 L' U2 F2 D U'
U' R2 L' U2 F2 D' U'
U' R2 L' U2 F2 D2 U'
B2 R2 L' U L D R2
B' R2 L' D U L R2
B' R2 L' D U R2 L
U' R2 L' D U R2 D
U' R2 L' D U R2 D'
U' R2 L' D U R2 D2
B2 R2 L' U D L R2
B2 R2 L' U D R2 L
U' R2 L' D B U R2
U' R2 L' D B' U R2
U' R2 L' D B2 U R2
U' R2 L' D' U' L2 U2
U' R2 L' D2 B2 U D
U' R2 L' D2 B2 U D'
U' R2 L' D2 B2 U D2
U' R2 L' D2 B2 D U
U' R2 L' D2 B2 D' U
U' R2 L' D2 B2 D2 U
B2 R2 L' U2 F2 U' L
B2 R2 L' D U L R2
B2 R2 L' D U R2 L
B R2 L' U L D R2
B R2 L' U D L R2
U' R2 L' B U D R2
B R2 L' U D R2 L
U' R2 L' B U2 F2 U'
U' R2 L' B D U R2
U' R2 L' B D2 B2 U
U' R2 L' B' U D R2
U' R2 L' B' U2 F2 U'
U' R2 L' B' D U R2
U' R2 L' B' D2 B2 U
U2 R2 L' D2 B2 U L2
U' R2 L' B2 U D R2
U' R2 L' B2 U2 F2 U'
U' R2 L' B2 D U R2
B R2 L' U2 F2 U' L
U' R2 L' B2 D2 B2 U
B R2 L' D U L R2
B R2 L' D U R2 L
U' R2 L2 D L U R2
U' R2 L2 D2 L B2 U
B' R2 U F2 R U' F2
B2 R2 U F2 R U' F2
L' U2 F2 U' L D' F2
L' U2 F2 U' D' L F2
L' U2 F2 U' D' F2 L
D' R2 U' L' U F2 R
L' U2 F2 U2 R2 U L
L' U2 F2 D' U' L F2
L' U2 F2 D' U' F2 L
L' U2 F2 D2 L2 U' L'
R2 U2 F2 R U R' U2
R2 U2 F2 R B2 U' L
B R2 U F2 R U' F2
D R2 U' L' U D2 F2
D R2 U' L' U' B2 U2
D R2 U' L' D' R2 U
D R2 U' L' D2 U F2
D R2 U' D' L' R2 U
D R2 U' D' R2 L' U
D R2 U' D2 L' U F2
U' R2 U2 R F2 R U'
U' R2 U2 R' F2 R U'
U' R2 U2 R2 F2 R U'
U' R2 U2 F2 R U' D
U' R2 U2 F2 R U' D'
U' R2 U2 F2 R U' D2
U' R2 U2 F2 R D U'
U' R2 U2 F2 R D' U'
U' R2 U2 F2 R D2 U'
U' R2 U2 F2 D R U'
U' R2 U2 F2 D' R U'
U' R2 U2 F2 D2 R U'
U' R2 D L' U R2 D
U' R2 D L' U R2 D'
U' R2 D L' U R2 D2
B' R2 D L' U L R2
B' R2 D L' U R2 L
U' R2 D L' D B2 U
U' R2 D L' B U R2
U' R2 D L' B' U R2
U' R2 D L' B2 U R2
B2 R2 D L' U L R2
B2 R2 D L' U R2 L
D R2 U2 B2 U L' U
B R2 D L' U L R2
B R2 D L' U R2 L
U' R2 D B L' U R2
U' R2 D B' L' U R2
U' R2 D B2 L' U R2
U' R2 D' L' U' L' U2
U2 R2 D' L' F2 U R
U' R2 D2 L B2 L2 U
U' R2 D2 L' U D' R2
U' R2 D2 L' D' U R2
U' R2 D2 L' B2 U D
U' R2 D2 L' B2 U D'
U' R2 D2 L' B2 U D2
U' R2 D2 L' B2 D U
U' R2 D2 L' B2 D' U
U' R2 D2 L' B2 D2 U
D R2 D' U' L' R2 U
D R2 D' U' R2 L' U
R' D L' R' U L R'
R' D L' R' U R' L
U2 R2 D2 L' B2 U L'
U' R2 D2 B L' B U
U' R2 D2 B2 L' U D
U' R2 D2 B2 L' U D'
U' R2 D2 B2 L' U D2
U' R2 D2 B2 L' D U
U' R2 D2 B2 L' D' U
U' R2 D2 B2 L' D2 U
B' R2 D2 B2 L' U L
U' R2 D2 B2 D L' U
U' R2 D2 B2 D' L' U
U' R2 D2 B2 D2 L' U
B2 R2 D2 B2 L' U L
D R2 D2 U' L' U F2
R2 D L' U L R2 D
R2 D L' U L R2 D'
R2 D L' U L R2 D2
U2 R2 D2 B2 L' U L'
R2 D L' U R2 L D
R2 D L' U R2 L D'
R2 D L' U R2 L D2
R2 D L' U R2 D L
R2 D L' U R2 D' L
R2 D L' U R2 D2 L
D R2 D2 F2 U R U'
B R2 D2 B2 L' U L
R D L' R U L R
R D L' R U R L
R2 D L' F U L R2
R2 D L' F U R2 L
L D L' R2 D2 F2 B2
L D L' R2 D2 B2 F2
R2 D L' F' U L R2
R2 D L' F' U R2 L
F' R2 F B L' U L
R2 D L' F2 U L R2
R2 D L' F2 U R2 L
R' D R' L' U L R'
R' D R' L' U R' L
R D R L' U L R
R D R L' U R L
U' R2 B L' U D R2
U' R2 B L' U2 F2 U'
U' R2 B L' D U R2
U' R2 B L' D2 B2 U
U R2 F2 R U2 R' U
R' D R2 U' L' R U
R' D R2 U' R L' U
U' R2 B U2 F2 R U'
U' R2 B D L' U R2
U' R2 B D2 L' B2 U
U' R2 B D2 B2 L' U
F' R2 B F L' U L
U' R2 B' L' U D R2
U' R2 B' L' U2 F2 U'
U' R2 B' L' D U R2
U' R2 B' L' D2 B2 U
R2 D R2 U' L' R2 U
R2 D R2 U' R2 L' U
L' D U L R2 D2 F2
U' R2 B' U2 F2 R U'
U' R2 B' D L' U R2
U' R2 B' D2 L' B2 U
L D R2 L' D2 F2 B2
L D R2 L' D2 B2 F2
U' R2 B' D2 B2 L' U
L' D U R2 L D2 F2
L' D U R2 D2 L F2
L' D U R2 D2 F2 L
R D R2 U' L' R' U
U' R2 B2 L' U D R2
R D R2 U' R' L' U
U' R2 B2 L' U2 F2 U'
U' R2 B2 L' D U R2
U' R2 B2 L' D2 B2 U
R' D U' L' R' U R'
L D R2 D2 L' F2 B2
L D R2 D2 L' B2 F2
L D R2 D2 B2 L' F2
R' D U' R' L' U R'
U' R2 B2 U2 F2 R U'
U' R2 B2 D L' U R2
U' R2 B2 D2 L' B2 U
U' R2 B2 D2 B2 L' U
L' D U' B2 R' U2 R'
R D U' L' R U R
R D U' R L' U R
U' D L' U R2 D2 F2
U' D L' U' B2 U2 R2
U' D L' B U R2 F'
D2 U L2 U2 L B2 U
F2 U R U2 R U R'
B' U R F2 L' R U'
B' U R F2 R L' U'
B2 U R F2 L' R U'
B2 U R F2 R L' U'
B U R F2 L' R U'
B U R F2 R L' U'
L D F2 R B2 U2 R
R2 D B L' U L R2
R2 D B L' U R2 L
L D F2 B2 R U2 R
R2 D B' L' U L R2
R2 D B' L' U R2 L
R2 D B2 L' U L R2
R2 D B2 L' U R2 L
L D B2 F2 R U2 R
R2 D' L' U L D2 R2
U' D B L' U R2 F'
R2 D' L' U' L' U2 L2
L D' L F2 B2 L2 R'
L D' L F2 B2 R' L2
L D' L B2 L2 R' F2
L D' L B2 L2 F2 R'
L D' L B2 R' L2 F2
L D' L B2 R' F2 L2
L D' L B2 F2 L2 R'
L D' L B2 F2 R' L2
L D' L' R F2 R B2
L D' L' R F2 B2 R
L D' L' R B2 F2 R
L D' L' R' F2 R B2
L D' L' R' F2 B2 R
L D' L' R' B2 F2 R
R2 D' L' F2 U L R
R2 D' L' F2 U R L
L D' L' R2 F2 R B2
L D' L' R2 F2 B2 R
L D' L' R2 B2 F2 R
F' U F' R U2 R U
L D' L' F2 R B2 D
L D' L' F2 R B2 D'
L D' L' F2 R B2 D2
L D' L' F2 R' B2 R2
L D' L' F2 B' R B'
L D' L' F2 B2 R D
L D' L' F2 B2 R D'
L D' L' F2 B2 R D2
L D' L' F2 B2 D R
L D' L' F2 B2 D' R
L D' L' F2 B2 D2 R
F' U F' D' R U' F2
F' U F' D2 L2 R U'
F' U F' D2 R L2 U'
L D' L' B' F2 R B'
L D' L' B2 R F2 R
L D' L' B2 R' F2 R
L D' L' B2 R2 F2 R
L D' L' B2 F2 R D
L D' L' B2 F2 R D'
L D' L' B2 F2 R D2
L D' L' B2 F2 D R
L D' L' B2 F2 D' R
L D' L' B2 F2 D2 R
L D' L2 U2 L F2 B2
L D' L2 U2 L B2 F2
B' U F2 R U2 R U
L D' L2 U2 F2 L B2
B2 U F2 R U2 R U
B' U F2 D' R U' F2
B' U F2 D2 L2 R U'
B' U F2 D2 R L2 U'
B2 U F2 D' R U' F2
L D' R L' F2 R B2
L D' R L' F2 B2 R
L D' R L' B2 F2 R
B2 U F2 D2 L2 R U'
B2 U F2 D2 R L2 U'
B U F2 R U2 R U
U2 D B2 U L' U R2
B U F2 D' R U' F2
B U F2 D2 L2 R U'
B U F2 D2 R L2 U'
L D' R B2 L' F2 R
L D' R' L' F2 R B2
L D' R' L' F2 B2 R
L D' R' L' B2 F2 R
D' U' L' R U F2 R
U' D' L' R U F2 R
D2 U' L B2 L2 R' U
D2 U' L B2 R' L2 U
U' D' L' R' U F2 R
D' U' L' R' U F2 R
U' D' L' R2 U F2 R
D' U' L' R2 U F2 R
D' U' L' U R F2 R
U' D' L' U R F2 R
D' U' L' U R' F2 R
U' D' L' U R' F2 R
D' U' L' U R2 F2 R
U' D' L' U R2 F2 R
L' D' U L' F2 L2 R
L' D' U L' F2 R L2
D' U' L' U F2 R D
D' U' L' U F2 R D'
D' U' L' U F2 R D2
U' D' L' U F2 R D
U' D' L' U F2 R D'
U' D' L' U F2 R D2
D' U' L' U F2 D R
D' U' L' U F2 D' R
D' U' L' U F2 D2 R
U' D' L' U F2 D R
U' D' L' U F2 D' R
U' D' L' U F2 D2 R
U' D' L' U' L' U2 F2
D' U' L' U' L' U2 F2
L D' R' B2 L' F2 R
L D' R2 L' F2 R B2
L D' R2 L' F2 B2 R
L D' R2 L' B2 F2 R
L' D' U F2 D2 L R2
L' D' U F2 D2 R2 L
U' D' L' B U F2 R
D' U' L' B U F2 R
U' D' L' B' U F2 R
D' U' L' B' U F2 R
D' U' L' B2 U F2 R
U' D' L' B2 U F2 R
D2 U' L' B2 U2 L' U'
L' D' U' L2 U2 L' F2
D U' L' U R2 D2 F2
D U' L' U' B2 U2 R2
L D' R2 B2 L' F2 R
L D' U L' F2 R B2
L D' U L' F2 B2 R
L D' U L' B2 F2 R
U2 D' L2 U L U F2
D U' L' B U R2 F'
U' D' R L' U F2 R
D' U' R L' U F2 R
L D' U B2 L' F2 R
L D' U' L' F2 R B2
L D' U' L' F2 B2 R
L D' U' L' B2 F2 R
B' U' L' R2 U D R2
B' U' L' R2 U2 F2 U'
B' U' L' R2 D U R2
B' U' L' R2 D2 B2 U
B2 U' L' R2 U D R2
U' D' R' L' U F2 R
D' U' R' L' U F2 R
B2 U' L' R2 U2 F2 U'
B2 U' L' R2 D U R2
B2 U' L' R2 D2 B2 U
L D' U' B2 L' F2 R
