D' L2 R F2 B R'
D' L2 R B R' F2
D' L2 R B F2 R'
D' L2 F2 R B R'
D' R L2 F2 B R'
D' R L2 F2 B R'
D' R L2 B R' F2
D' R L2 B F2 R'
D' R F2 L2 B R'
D' R F2 B L2 R'
D' R F2 B R' L2
D' R B L2 R' F2
D' R B L2 F2 R'
D' R B R' L2 F2
D' R B R' F2 L2
D' R B F2 L2 R'
D' R B F2 R' L2
D' F2 L2 R B R'
D' F2 R L2 B R'
D' F2 R B L2 R'
D' F2 R B R' L2
D' B R' F2 L2 B'
D' B' L2 F2 R B
B2 D' L2 R B R' F2
B2 D' L2 R B F2 R'
B' D' L2 F2 R B R'
B' D' R L2 F2 B R'
B' D' R L2 B R' F2
B' D' R L2 B F2 R'
B2 D' L2 F2 R B R'
B D' L2 R F2 B R'
B D' L2 R B R' F2
B D' L2 R B F2 R'
B2 D' R L2 F2 B R'
B2 D' R L2 B R' F2
B2 D' R L2 B F2 R'
B' D' R F2 L2 B R'
B' D' R F2 B L2 R'
B' D' R F2 B R' L2
B' D' R B L2 R' F2
B' D' R B L2 F2 R'
F2 D' R U F2 B R'
F2 D' R U B R' F2
B' D' R B R' L2 F2
B' D' R B R' F2 L2
F2 D' R U B F2 R'
B' D' R B F2 L2 R'
B' D' R B F2 R' L2
B D' L2 F2 R B R'
B2 D' R F2 L2 B R'
B2 D' R F2 B L2 R'
B2 D' R F2 B R' L2
B2 D' R B L2 R' F2
B2 D' R B L2 F2 R'
B2 D' R B R' L2 F2
B2 D' R B R' F2 L2
B2 D' R B F2 L2 R'
B2 D' R B F2 R' L2
B D' R L2 F2 B R'
B D' R L2 B R' F2
B D' R L2 B F2 R'
D F' D2 L2 R F2 B
D F' D2 L2 R B F2
D F' D2 R L2 F2 B
D F' D2 R L2 B F2
D F' D2 R F2 L2 B
B D' R F2 L2 B R'
D F' D2 R F2 B L2
D F' D2 R B L2 F2
D F' D2 R B F2 L2
B D' R F2 B L2 R'
B D' R F2 B R' L2
B D' R B L2 R' F2
B D' R B L2 F2 R'
B D' R B R' L2 F2
B D' R B R' F2 L2
B D' R B F2 L2 R'
B D' R B F2 R' L2
D F' B2 R2 U2 R' B
D' F2 L' R B L' R'
D' F2 L' R B R' L'
R2 F2 L D B' L U
R' F2 L2 R' U B' R'
D' F2 L2 R B R' D
D' F2 L2 R B R' D'
D' F2 L2 R B R' D2
D' F2 L2 R B D R'
D' F2 L2 R B D' R'
D' F2 L2 R B D2 R'
D' F2 L2 R2 B R' B
D' F2 L2 B R B R2
D' F2 R L' B L' R'
D' F2 R L' B R' L'
D' F2 R L2 B R' D
D' F2 R L2 B R' D'
D' F2 R L2 B R' D2
D' F2 R L2 B D R'
D' F2 R L2 B D' R'
D' F2 R L2 B D2 R'
R2 F2 L2 U B' R' B
B' D' F2 L2 R B R'
B' D' F2 R L2 B R'
B' D' F2 R B L2 R'
B' D' F2 R B R' L2
D' F2 R B L2 R' D
D' F2 R B L2 R' D'
D' F2 R B L2 R' D2
D' F2 R B L2 D R'
D' F2 R B L2 D' R'
D' F2 R B L2 D2 R'
D' F2 R B R' L2 D
D' F2 R B R' L2 D'
D' F2 R B R' L2 D2
R' F2 R' L2 U B' R'
B2 D' F2 L2 R B R'
B2 D' F2 R L2 B R'
B2 D' F2 R B L2 R'
B2 D' F2 R B R' L2
B' D' B R' F2 L2 B'
B D' F2 L2 R B R'
B D' F2 R L2 B R'
D' F2 R2 L2 B R' B
B D' F2 R B L2 R'
B D' F2 R B R' L2
B2 D' B R' F2 L2 B'
U' F2 R2 B L B' U
B' D' B' L2 F2 R B
D' F2 R2 B L2 R' B
D' F2 R2 B R' L2 B
D' F2 R2 B R' B L2
L F2 R B' R U B2
L2 F2 R2 U B' R' B
B2 D' B' L2 F2 R B
B D' B R' F2 L2 B'
B D' B' L2 F2 R B
L F2 R2 D B' L U
R2 F2 U R' D' B R'
R F2 U2 L' F U' B
U' F2 B L R2 B' U
U' F2 B L B' R2 U
U' F2 B R2 L B' U
D' F2 B L2 R B R2
D' F2 B R L2 B R2
D' F2 B R B L2 R2
D' F2 B R B R2 L2
U' B L R2 F2 B' U
U' B L R2 B' F2 U
U' B L F2 R2 B' U
U' B L F2 B' R2 U
U' B L B' R2 F2 U
U' B L B' F2 R2 U
D' B L2 R F2 B R2
D' B L2 R B R2 F2
D' B L2 R B F2 R2
D' B L2 F2 R B R2
D' B R L2 F2 B R2
D' B R L2 B R2 F2
D' B R L2 B F2 R2
D' B R F2 L2 B R2
D' B R F2 B L2 R2
D' B R F2 B R2 L2
D' B R B L2 R2 F2
D' B R B L2 F2 R2
D' B R B R2 L2 F2
D' B R B R2 F2 L2
D' B R B F2 L2 R2
D' B R B F2 R2 L2
U' B R2 L F2 B' U
U' B R2 L B' F2 U
D' B R' F2 L2 D B'
D' B R' F2 L2 D' B'
D' B R' F2 L2 D2 B'
D' B R' F2 L2 B' D
D' B R' F2 L2 B' D'
D' B R' F2 L2 B' D2
D' B R' F2 B L2 B'
D' B R' F2 B' L2 B'
D' B R' F2 B2 L2 B'
D' B R' B F2 L2 B'
D' B R' B' F2 L2 B'
D' B R' B2 F2 L2 B'
U' B R2 F2 L B' U
U' B F2 L R2 B' U
U' B F2 L B' R2 U
U' B F2 R2 L B' U
D' B F2 L2 R B R2
D' B F2 R L2 B R2
D' B F2 R B L2 R2
D' B F2 R B R2 L2
D' B' L2 R F2 B R
D' B' L2 R B F2 R
D' B' L2 F2 R D B
D' B' L2 F2 R D' B
D' B' L2 F2 R D2 B
D' B' L2 F2 R B D
D' B' L2 F2 R B D'
D' B' L2 F2 R B D2
D' B' L2 F2 D R B
D' B' L2 F2 D' R B
D' B' L2 F2 D2 R B
D' B' L2 F2 B R B
D' B' L2 F2 B' R B
D' B' L2 F2 B2 R B
D' B' L2 B F2 R B
D' B' L2 B' F2 R B
D' B' L2 B2 F2 R B
D' B' R L2 F2 B R
D' B' R L2 B F2 R
D2 B2 L2 R F' U' B
D2 B2 R L2 F' U' B
D2 B2 R F' L2 U' B
D' B2 R B L2 F2 R
D' B2 R' F2 L2 B' R'
D B2 R' F' R' U2 R2
D B2 F' R2 U2 R' B
