D2 F L2 B' U L
B' D2 B' L2 U L'
B2 F U L' D B2
B2 F U D L' B2
B2 F U D B2 L'
B2 F U2 R2 U' L'
B2 F D U L' B2
B2 F D U B2 L'
B2 F D2 L2 U L
F B2 U L' D B2
F B2 U D L' B2
F B2 U D B2 L'
F B2 U2 R2 U' L'
F B2 U2 R2 U' L'
F B2 D U L' B2
F B2 D U B2 L'
F B2 D2 L2 U L
B2 U' F' D R U2 B2
B2 U' F' D' R F2 U2
B2 U' F' D' F2 U2 L'
R2 D2 L2 F2 B' U' L
R2 D2 L2 B' F2 U' L
L' D2 F L2 B' U L
L2 D2 F L2 B' U L
L D2 F L2 B' U L
R2 D2 F2 L2 B' U' L
B2 U2 R' D R' B U'
R2 D2 F2 B' L2 U' L'
F' U2 R2 U2 B2 U L
B2 U2 R2 U' F L' F'
B2 U2 R2 U2 F U L'
B2 U2 R2 D2 B' U' L
B2 U2 D R' B U' B
F U2 R2 U' L' D' R2
F U2 R2 U' D' L' R2
F U2 R2 U' D' R2 L'
R2 D2 B' F2 L2 U' L'
B U2 R2 F' U R U2
F U2 R2 U2 B2 U L'
F U2 R2 D' U' L' R2
F U2 R2 D' U' R2 L'
U D2 B' D' L B2 R'
D2 F L2 F B' U L
D2 F L2 F' B' U L
D2 F L2 F2 B' U L
D2 F L2 B' U L D
D2 F L2 B' U L D'
D2 F L2 B' U L D2
D2 F L2 B' U D L
D2 F L2 B' U D' L
D2 F L2 B' U D2 L
D2 F L2 B' D U L
D2 F L2 B' D' U L
D2 F L2 B' D2 U L
D2 F L2 B' F U L
D2 F L2 B' F' U L
D2 F L2 B' F2 U L
U F L' D' F' R2 B
B U2 F2 R2 F' U' L'
F2 U2 B R2 F' U' L
U2 F R2 U' L' D' R2
U2 F R2 U' D' L' R2
U2 F R2 U' D' R2 L'
U2 F R2 U2 B2 U L'
U2 F R2 D' U' L' R2
U2 F R2 D' U' R2 L'
R2 F U' L' D' R2 F2
R2 F U' L' D' F2 R2
R2 F U' D' L' R2 F2
R2 F U' D' L' F2 R2
R2 F U' D' R2 L' F2
U' F D L2 U2 L B2
F D L U B2 L2 R'
F D L U B2 R' L2
R2 F U2 R2 B2 U L'
R2 F U2 B2 R2 U L'
U' F D' F2 R U2 R
B2 D R F' R' U B2
R2 F D' U' L' R2 F2
R2 F D' U' L' F2 R2
R2 F D' U' R2 L' F2
U F D' L' F' R2 B
R2 F D2 L2 F2 U' L
D2 F B' L2 B' U L'
L' F B2 U L' D B2
L' F B2 U D L' B2
L' F B2 U D B2 L'
L' F B2 U2 R2 U' L'
L' F B2 D U L' B2
L' F B2 D U B2 L'
B2 D U B' D B' L
L' F B2 D2 L2 U L
F' D U' L2 R U2 B2
F' D U' R L2 U2 B2
L2 F B2 U L' D B2
L2 F B2 U D L' B2
L2 F B2 U D B2 L'
L2 F B2 U2 R2 U' L'
L2 F B2 D U L' B2
L2 F B2 D U B2 L'
L2 F B2 D2 L2 U L
F D U L B2 L2 R'
F D U L B2 R' L2
B2 D U2 R' B U' B
L F B2 U L' D B2
L F B2 U D L' B2
L F B2 U D B2 L'
F D U B2 D2 L' R2
F D U B2 D2 R2 L'
L F B2 U2 R2 U' L'
F D U' L2 U2 L B2
L F B2 D U L' B2
L F B2 D U B2 L'
L F B2 D2 L2 U L
D' F' L2 U R2 B L
B' D B' U D B' L
B' D B' D U B' L
U2 F' R2 U2 B2 U L
B2 D' L D' L2 F U
R2 F' U' D' F2 L' R2
R2 F' U' D' F2 R2 L'
U' F' D L2 R U2 B2
U' F' D R L2 U2 B2
B2 D' L' D' F L2 U
B2 D' L' D2 F U B2
B2 D' L' F L2 U B'
R2 F' U2 R2 B2 U L
B2 D' L' F U' F U2
U' F' D' R F2 L' U2
U' F' D' F2 U2 L' R2
U' F' D' F2 U2 R2 L'
R2 F' D' U' F2 L' R2
R2 F' D' U' F2 R2 L'
R2 F' D2 L2 F2 U' L'
R2 F' D2 F2 L2 U' L
F' D' U R2 D2 B2 L
F' D' U' R F2 L' U2
F' D' U' F2 U2 L' R2
F' D' U' F2 U2 R2 L'
F D' U L' R2 D2 B2
F D' U R2 L' D2 B2
F D' U R2 D2 L' B2
F D' U R2 D2 B2 L'
D' F2 L' F U R2 B
F D' U' F2 R U2 R
F2 D' F' U L' R2 B
F2 D' F' U R2 L' B
F2 D' F' U R2 B L'
B2 D2 L' D L' F U
F' D2 L2 U2 F2 U' L'
B2 D2 L2 U B' L B
B2 D2 L2 U2 B' U' L
B2 D2 L2 D2 F U L'
F D2 L2 U L D R2
F D2 L2 U D L R2
F D2 L2 U D R2 L
B D2 L2 B U' R' U2
F D2 L2 U2 F2 U' L
F D2 L2 D U L R2
F D2 L2 D U R2 L
U2 F2 B R2 F' U' L'
B2 D2 U B D' B2 L
B2 D2 U B' D' L B2
B' D2 F B' L2 U L'
D2 B L2 D2 B2 U L
B' D2 F' B' L2 U L'
B' D2 F2 B' L2 U L'
B' D2 B L2 B2 U L
B' D2 B' L2 U L' D
B' D2 B' L2 U L' D'
B' D2 B' L2 U L' D2
B' D2 B' L2 U D L'
B' D2 B' L2 U D' L'
B' D2 B' L2 U D2 L'
B' D2 B' L2 D U L'
B' D2 B' L2 D' U L'
B' D2 B' L2 D2 U L'
B' D2 B' U D' L B2
B' D2 B' D' U L B2
B D2 B L2 U' R' U2
B2 D2 B' L2 B U L'
B' D2 B' F L2 U L'
B' D2 B' F' L2 U L'
B' D2 B' F2 L2 U L'
B D2 B U D' B2 L
U2 B R2 F' U R U2
B' D2 B2 L2 B U L
B D2 B D' U B2 L
B D2 B' L2 B2 U L'
B2 F L U L2 D B2
B2 F L U2 R2 U' L2
B2 F L D F2 U B2
B2 F L' D2 L2 U L2
B2 F L2 U L D B2
B2 F L2 U D L B2
B2 F L2 U2 R2 U' L
B2 F L2 D U L B2
B2 F L2 D2 L2 U L'
B2 F U L' U R2 U'
B2 F U L' D B2 D
B2 F U L' D B2 D'
B2 F U L' D B2 D2
B2 F U L' B D B2
B2 F U L' B' D B2
B2 F U L' B2 D B2
B2 F U L2 D L B2
B2 F U D L B2 L2
B2 F U D L' B2 D
B2 F U D L' B2 D'
B2 F U D L' B2 D2
B2 F U D B L' B
B2 F U D B2 L' D
B2 F U D B2 L' D'
B2 F U D B2 L' D2
B2 F U D B2 D L'
B2 F U D B2 D' L'
B2 F U D B2 D2 L'
B2 F U D' L' D2 B2
B2 F U B L' D B2
B2 F U B D L' B2
B2 F U B D B2 L'
B2 F U B' L' D B2
B2 F U B' D L' B2
B2 F U B' D B2 L'
B2 F U B2 L' D B2
U2 B F2 R2 F' U' L'
B2 F U B2 D L' B2
B2 F U B2 D B2 L'
B2 F U' D' F2 R U2
B2 F U2 R2 U' L' D
B2 F U2 R2 U' L' D'
B2 F U2 R2 U' L' D2
B2 F U2 R2 U' D L'
B2 F U2 R2 U' D' L'
B2 F U2 R2 U' D2 L'
B2 F U2 R2 D U' L'
B2 F U2 R2 D' U' L'
B2 F U2 R2 D2 U' L'
B2 F U2 R2 B U' L'
B2 F U2 R2 B' U' L'
B2 F U2 R2 B2 U' L'
D2 B' L2 U L' D R2
D2 B' L2 U D L' R2
D2 B' L2 U D R2 L'
B2 F U2 B R2 U' L'
B2 F U2 B' R2 U' L'
D2 B' L2 D U L' R2
D2 B' L2 D U R2 L'
B2 F U2 B2 R2 U' L'
B2 F D L U L2 B2
B2 F D L U B2 L2
D2 B' L2 D2 B2 U L'
B2 F D L2 U L B2
B' F D B' U B' L'
B2 F D U L B2 L2
B2 F D U L' B2 D
B2 F D U L' B2 D'
B2 F D U L' B2 D2
B2 F D U B L' B
B2 F D U B2 L' D
B2 F D U B2 L' D'
B2 F D U B2 L' D2
B2 F D U B2 D L'
B2 F D U B2 D' L'
B2 F D U B2 D2 L'
B2 F D' U L' D2 B2
B2 F D' U' F2 R U2
B F D B U L' B
B F D B U B L'
B2 F D2 L2 U L D
B2 F D2 L2 U L D'
B2 F D2 L2 U L D2
B2 F D2 L2 U D L
B2 F D2 L2 U D' L
B2 F D2 L2 U D2 L
B2 F D2 L2 D U L
B2 F D2 L2 D' U L
B2 F D2 L2 D2 U L
B2 F D2 L2 F U L
B2 F D2 L2 F' U L
B2 F D2 L2 F2 U L
B' F D2 B' L2 U L
F B D B U L' B
F B D B U B L'
B F D2 B L2 U L
D2 B' U D' L B2 R'
F B D2 B L2 U L
D2 B' D' U L B2 R'
L' B' D2 B' L2 U L'
D2 B' F L2 B' U L'
L2 B' D2 B' L2 U L'
B2 F' U' R U' R U'
B2 F' U' D R U2 B2
B2 F' U' D' R F2 U2
B2 F' U' D' F2 U2 L'
B2 F' U2 R2 U R' U2
B2 F' U2 R2 B2 U' L
L B' D2 B' L2 U L'
R' B2 L R F U L'
R' B2 L D R F' U
B2 F' D U' R U2 B2
B2 F' D F2 U L' B2
B2 F' D F2 U B2 L'
B2 F' D' U' R F2 U2
B2 F' D' U' F2 U2 L'
B2 F' D2 L2 U' R U2
B2 F' D2 L2 F2 U L'
F B' D B' U B' L'
B2 F' D2 F2 L2 U L
R' B2 R L F U L'
R' B2 R F L U L2
F B' D2 B' L2 U L
F B2 L U L2 D B2
F B2 L U2 R2 U' L2
F B2 L D F2 U B2
F B2 L' D2 L2 U L2
F B2 L2 U L D B2
F B2 L2 U D L B2
F B2 L2 U2 R2 U' L
F B2 L2 D U L B2
F B2 L2 D2 L2 U L'
R' B2 D L R F' U
R' B2 D R L F' U
R' B2 D R F' L U
F' B2 U' R U' R U'
F' B2 U' D R U2 B2
F' B2 U' D' R F2 U2
F' B2 U' D' F2 U2 L'
F B2 U L' U R2 U'
F B2 U L' D B2 D
F B2 U L' D B2 D'
F B2 U L' D B2 D2
F B2 U L' B D B2
F B2 U L' B' D B2
F B2 U L' B2 D B2
F B2 U L2 D L B2
F B2 U D L B2 L2
F B2 U D L' B2 D
F B2 U D L' B2 D'
F B2 U D L' B2 D2
F B2 U D B L' B
F B2 U D B2 L' D
F B2 U D B2 L' D'
F B2 U D B2 L' D2
F B2 U D B2 D L'
F B2 U D B2 D' L'
F B2 U D B2 D2 L'
F B2 U D' L' D2 B2
F' B2 U2 R2 U R' U2
F' B2 U2 R2 B2 U' L
B2 F2 U2 R2 B U' L
F B2 U B L' D B2
F B2 U B D L' B2
F B2 U B D B2 L'
F B2 U B' L' D B2
F B2 U B' D L' B2
F B2 U B' D B2 L'
F2 B2 U2 R2 B U' L
F B2 U B2 L' D B2
F B2 U B2 D L' B2
F B2 U B2 D B2 L'
B2 F2 U2 B R2 U' L
F2 B2 U2 B R2 U' L
F B2 U' D' F2 R U2
F' B2 D U' R U2 B2
F' B2 D F2 U L' B2
F' B2 D F2 U B2 L'
L' B2 F U L' D B2
L' B2 F U D L' B2
L' B2 F U D B2 L'
B2 F2 D F' U L' B2
B2 F2 D F' U B2 L'
L' B2 F U2 R2 U' L'
L' B2 F D U L' B2
L' B2 F D U B2 L'
F2 B2 D F' U L' B2
F2 B2 D F' U B2 L'
L' B2 F D2 L2 U L
F B2 U2 R2 U' L' D
F B2 U2 R2 U' L' D'
F B2 U2 R2 U' L' D2
F B2 U2 R2 U' D L'
F B2 U2 R2 U' D' L'
F B2 U2 R2 U' D2 L'
F B2 U2 R2 D U' L'
F B2 U2 R2 D' U' L'
F B2 U2 R2 D2 U' L'
F B2 U2 R2 B U' L'
F B2 U2 R2 B' U' L'
F B2 U2 R2 B2 U' L'
L2 B2 F U L' D B2
F' B2 D' U' R F2 U2
L2 B2 F U D L' B2
L2 B2 F U D B2 L'
F' B2 D' U' F2 U2 L'
L2 B2 F U2 R2 U' L'
F B2 U2 B R2 U' L'
L2 B2 F D U L' B2
L2 B2 F D U B2 L'
F B2 U2 B' R2 U' L'
L2 B2 F D2 L2 U L
F B2 U2 B2 R2 U' L'
F B2 D L U L2 B2
F B2 D L U B2 L2
F B2 D L2 U L B2
F' B2 D2 L2 U' R U2
F' B2 D2 L2 F2 U L'
F B2 D U L B2 L2
F B2 D U L' B2 D
F B2 D U L' B2 D'
F B2 D U L' B2 D2
F B2 D U B L' B
F B2 D U B2 L' D
F B2 D U B2 L' D'
F B2 D U B2 L' D2
F B2 D U B2 D L'
F B2 D U B2 D' L'
F B2 D U B2 D2 L'
B2 F2 D2 L2 F' U L'
F2 B2 D2 L2 F' U L'
F' B2 D2 F2 L2 U L
B2 F2 D2 F' L2 U L
L B2 F U L' D B2
L B2 F U D L' B2
L B2 F U D B2 L'
F2 B2 D2 F' L2 U L
L B2 F U2 R2 U' L'
L B2 F D U L' B2
L B2 F D U B2 L'
F B2 D' U L' D2 B2
L B2 F D2 L2 U L
F B2 D' U' F2 R U2
F B2 D2 L2 U L D
F B2 D2 L2 U L D'
F B2 D2 L2 U L D2
F B2 D2 L2 U D L
F B2 D2 L2 U D' L
F B2 D2 L2 U D2 L
F B2 D2 L2 D U L
F B2 D2 L2 D' U L
F B2 D2 L2 D2 U L
F B2 D2 L2 F U L
F B2 D2 L2 F' U L
F B2 D2 L2 F2 U L
