L' U' R' B L
L' R B U' R2 B
R L' B U' R2 B
L' U' L R' B L
L' U' L' R' B L
L' U' L2 R' B L
L' U' R' L B L
L' U' R' L' B L
L' U' R' L2 B L
L' U' R' D B L
L' U' R' D' B L
L' U' R' D2 B L
L' U' R' B L D
L' U' R' B L D'
L' U' R' B L D2
L' U' R' B D L
L' U' R' B D' L
L' U' R' B D2 L
U' R' B L D F2
F U' R' F' B L
F U' R' B L F'
F U' R' B F' L
L' F U' R' B L
L' F' U' R' B L
L' F2 U' R' B L
R B L' U' R2 B
L' U' R' D2 B L D
L' U' R' D2 B L D'
L' U' R' D2 B L D2
L' U' R' D2 B D L
L' U' R' D2 B D' L
L' U' R' D2 B D2 L
L' U' R' F B L F'
L' U' R' F2 B L F2
L' U' R' B L2 D L'
L' U' R' B L2 D' L'
L' U' R' B L2 D2 L'
L' U' R' B D L D
L' U' R' B D L D'
L' U' R' B D L D2
L' U' R' B D' L D
L' U' R' B D' L D'
L' U' R' B D' L D2
L' U' R' B D2 L D
L' U' R' B D2 L D'
L' U' R' B D2 L D2
L' U' R' B F L F'
L' U' R' B F2 L F2
L' U' R' B' L B2 L
L' U' R' B' L' B2 L
L' U' R' B' L2 B2 L
D R B L' R' U' R'
L U' R' D F2 B L
L U' R' D B L F2
L U' R' D B F2 L
D R B R' L' U' R'
L' U' R2 D R B L
L' U' R2 D' R B L
L' U' R2 D2 R B L
L U' R' B D L F2
L U' R' B D F2 L
L' U' R2 B L R B
L' U' R2 B R L B
U' R' L D F2 B L
U' R' L D B L F2
U' R' L D B F2 L
L' U' D2 R' B L B'
U' R' L B D L F2
U' R' L B D F2 L
L' U' D2 B L B' R'
L' U' F' R' F B L
L' U' F' R' B F L
U' R' U L' U' B L
L' U' F2 R' F2 B L
L' U' F2 R' B L F2
L' U' F2 R' B F2 L
U R' U L' B' U' B2
L' U' B L B' R' B
L' U' B D2 L B' R'
R U' B L' U' R2 B
U' R' D B L D F2
U' R' D' B L D F2
L' U2 L F U R' B
U' R' D2 B L D F2
F2 R' F D' L2 F2 B
F2 R' F D' L2 B F2
F2 R' F D' F2 L2 B
F2 R' F D' F2 B L2
F2 R' F D' B L2 F2
F2 R' F D' B F2 L2
F2 R' F B D' L2 F2
F2 R' F B D' F2 L2
F' R' F' R U R' B
R U2 L' B U' R2 B
F2 R' F' R2 U R2 B
U R' F' D' L' F B
U R' F' D' L' B F
U R' F' D' B L' F
U R' F' B D' L' F
U' R' B L U L2 U'
U' R' B L D F2 D
U' R' B L D F2 D'
U' R' B L D F2 D2
U' R' B L F D F2
U' R' B L F' D F2
U' R' B L F2 D F2
U' R' B U L' U' L2
F' R' B U' F' R U
U' R' B D L D F2
U' R' B D' L D F2
U' R' B D2 L D F2
F2 R' B U' F' R2 U
F2 R' B F D' L2 F2
F2 R' B F D' F2 L2
U R' B U L' B' U'
U R' B F' D' L' F
L' U2 F U R' B L
L' U2 F' U R' B L
L' U2 F2 U R' B L
R U2 B L' U' R2 B
L' D R B R' U' R'
F U' L R' F' B L
F U' L R' B L F'
F U' L R' B F' L
L' D' F' R B U' R2
F U' L' R' F' B L
F U' L' R' B L F'
F U' L' R' B F' L
F U' L2 R' F' B L
F U' L2 R' B L F'
F U' L2 R' B F' L
F2 U' R' D' F2 B L
F2 U' R' D' B L F2
F2 U' R' D' B F2 L
F2 U' R' B L D' F2
F2 U' R' B D' L F2
F2 U' R' B D' F2 L
F U' R' L F' B L
F U' R' L B L F'
F U' R' L B F' L
F U' R' L' F' B L
F U' R' L' B L F'
F U' R' L' B F' L
F U' R' L2 F' B L
F U' R' L2 B L F'
F U' R' L2 B F' L
F U' R' D F' B L
F U' R' D B L F'
F U' R' D B F' L
F U' R' D' F' B L
F U' R' D' B L F'
F U' R' D' B F' L
F U' R' D2 F' B L
F U' R' D2 B L F'
F U' R' D2 B F' L
F U' R' F B L F2
F U' R' F' L B L
F U' R' F' L' B L
F U' R' F' L2 B L
F U' R' F' D B L
F U' R' F' D' B L
F U' R' F' D2 B L
F U' R' F' B L D
F U' R' F' B L D'
F U' R' F' B L D2
F U' R' F' B D L
F U' R' F' B D' L
F U' R' F' B D2 L
F U' R' B L D F'
F U' R' B L D' F'
F U' R' B L D2 F'
F U' R' B L F' D
F U' R' B L F' D'
F U' R' B L F' D2
F U' R' B L' F' L2
F U' R' B D L F'
F U' R' B D F' L
F U' R' B D' L F'
F U' R' B D' F' L
F U' R' B D2 L F'
F U' R' B D2 F' L
F U' R' B F L F2
F U' R' B F' L D
F U' R' B F' L D'
F U' R' B F' L D2
F U' R' B F' D L
F U' R' B F' D' L
F U' R' B F' D2 L
F U' F R' F' B L
F U' F R' B L F'
F U' F R' B F' L
F U' F' R' F' B L
F U' F' R' B L F'
F U' F' R' B F' L
F U' F2 R' F' B L
F U' F2 R' B L F'
F U' F2 R' B F' L
L' D2 U' R' B L B'
L' D2 U' B L B' R'
F2 U2 R U R2 B L
L2 F L U' R' B L
L' F R B U' R2 B
L F L2 U' R' B L
U2 F U R' B L F
L' F U' L R' B L
L' F U' L' R' B L
L' F U' L2 R' B L
L' F U' R' L B L
L' F U' R' L' B L
L' F U' R' L2 B L
L' F U' R' D B L
L' F U' R' D' B L
L' F U' R' D2 B L
L' F U' R' B L D
L' F U' R' B L D'
L' F U' R' B L D2
L' F U' R' B D L
L' F U' R' B D' L
L' F U' R' B D2 L
U2 F U' R' F' L' B
U2 F U' R' F' B L'
U2 F U' R' B F' L'
L2 F' L U' R' B L
L' F' R B U' R2 B
L F' L2 U' R' B L
U F' R' D' L' F B
U F' R' D' L' B F
U F' R' D' B L' F
U F' R' B D' L' F
L' F' U' L R' B L
L' F' U' L' R' B L
L' F' U' L2 R' B L
L' F' U' R' L B L
L' F' U' R' L' B L
L' F' U' R' L2 B L
L' F' U' R' D B L
L' F' U' R' D' B L
L' F' U' R' D2 B L
L' F' U' R' B L D
L' F' U' R' B L D'
L' F' U' R' B L D2
L' F' U' R' B D L
L' F' U' R' B D' L
L' F' U' R' B D2 L
L2 F2 L U' R' B L
R' F2 R F U R' B
U2 F2 R U R2 B L
L' F2 R B U' R2 B
U' F2 R' D' F2 B L
U' F2 R' D' B L F2
U' F2 R' D' B F2 L
L F2 L2 U' R' B L
U' F2 R' B L D' F2
U' F2 R' B D' L F2
U' F2 R' B D' F2 L
L' F2 U' L R' B L
L' F2 U' L' R' B L
L' F2 U' L2 R' B L
L' F2 U' R' L B L
L' F2 U' R' L' B L
L' F2 U' R' L2 B L
L' F2 U' R' D B L
L' F2 U' R' D' B L
L' F2 U' R' D2 B L
L' F2 U' R' B L D
L' F2 U' R' B L D'
L' F2 U' R' B L D2
L' F2 U' R' B D L
L' F2 U' R' B D' L
L' F2 U' R' B D2 L
R' F2 B U' R F U
R' B L' U' F' U F
U2 B L' B' U' R' B
R B L' R' U' R' B
R B L' U F' U2 R2
R B L' U' R2 D B
R B L' U' R2 D' B
R B L' U' R2 D2 B
R B L' U' R2 B D
R B L' U' R2 B D'
R B L' U' R2 B D2
R B L' U' B R2 B
R B L' U' B' R2 B
R B L' U' B2 R2 B
R' B U L' U2 F' U
R B R' L' U' R' B
R' B U' F2 R F U
R' B F2 U' R F U
R B' L' B2 U' R2 B
L' B' U' R' B L R'
L' B' U' R' B R' L
L' B' U' B L R' B
L' B' U' B R' L B
