B' L F U' B2
B' L R F U' B2
B' L R' F U' B2
B' L R2 F U' B2
B' L D' R2 F U'
B' L D' F R2 U'
B' L F R U' B2
B' L F R' U' B2
B' L F R2 U' B2
B' L F U' B2 D
B' L F U' B2 D'
B' L F U' B2 D2
B' L F D' R2 U'
B' R L F U' B2
B' R' L F U' B2
B' R2 L F U' B2
B' D' L R2 F U'
B' D' L F R2 U'
B' D' R2 L F U'
B' F L F U' B2
U B' L U' R' B2
F' B' L F U' B2
B' F' L F U' B2
F2 B' L F U' B2
F B' L F U' B2
B' F2 L F U' B2
B' L F U F2 U2 B2
B' L F U' L B2 L'
B' L F U' L2 B2 L2
B' L F U' R' B2 R
B' L F U' R2 B2 R2
B' L F U' B D B
B' L F U' B D' B
B' L F U' B D2 B
B' L F U' B' D B'
B' L F U' B' D' B'
B' L F U' B' D2 B'
B' L F U2 L U B2
B' L F U2 L' U B2
B' L F U2 L2 U B2
B' L F U2 D L2 U
B' L F D U2 L2 U
B' L F D' R2 U' D
B' L F D' R2 U' D'
B' L F D' R2 U' D2
B' L F D' R2 D U'
B' L F D' R2 D' U'
B' L F D' R2 D2 U'
B' L F D2 U F2 U2
B L F B2 L U' B2
B' L F' R F2 U' B2
B' L F' R' F2 U' B2
B' L F' R2 F2 U' B2
B' L F' U' B2 D R2
B' L F2 D' F' R2 U'
B L B2 F L U' B2
B' L' F L2 F U' B2
B' L' F' L2 F U' B2
B' L' F2 L2 F U' B2
B' R L D' R2 F U'
B' R L D' F R2 U'
B' R L F R U' B2
B' R L F R' U' B2
B' R L F R2 U' B2
B' R L F U' B2 D
B' R L F U' B2 D'
B' R L F U' B2 D2
B' R L F D' R2 U'
R U B' L U' R' B
B' R D' L R2 F U'
B' R D' L F R2 U'
B' R D' R2 L F U'
B' R F L F U' B2
B' R F' L F U' B2
B' R F2 L F U' B2
U R B' L U' R' B
B' R' L D' R2 F U'
B' R' L D' F R2 U'
B' R' L F R U' B2
B' R' L F R' U' B2
B' R' L F R2 U' B2
B' R' L F U' B2 D
B' R' L F U' B2 D'
B' R' L F U' B2 D2
B' R' L F D' R2 U'
B2 R' U B' R' F' L'
B' R' D' L R2 F U'
B' R' D' L F R2 U'
B' R' D' R2 L F U'
B' R' F L F U' B2
B' R' F' L F U' B2
B' R' F2 L F U' B2
B' R2 L D' R2 F U'
B' R2 L D' F R2 U'
B' R2 L F R U' B2
B' R2 L F R' U' B2
B' R2 L F R2 U' B2
B' R2 L F U' B2 D
B' R2 L F U' B2 D'
B' R2 L F U' B2 D2
B' R2 L F D' R2 U'
B' R2 D' L R2 F U'
B' R2 D' L F R2 U'
B' R2 D' R2 L F U'
B' R2 F L F U' B2
B' R2 F' L F U' B2
B2 R2 F' U B' R' F'
B' R2 F2 L F U' B2
F' U B' L U' R' B2
F2 U B' L U' R' B2
B2 U B' R' D L2 F'
B2 U B' R' D F' L2
B2 U B' R' F' D L2
B2 U B' D L2 R' F'
B2 U B' D R' L2 F'
B2 U B' D R' F' L2
F U B' L U' R' B2
B' U' F B2 R D' F2
B' U' B2 F R D' F2
L D2 F L' B' U' B2
L F L' B' L U' B2
B' D L F U2 L U
U' F B' L U' R B2
U' F B' L U' B2 R
U F B' L U' R' B2
B2 D B L F U' B2
B' D' L R' F R' U'
B' D' L R2 D F U'
B' D' L R2 D' F U'
B' D' L R2 D2 F U'
B' D' L R2 F U' D
B' D' L R2 F U' D'
B' D' L R2 F U' D2
B' D' L R2 F D U'
B' D' L R2 F D' U'
B' D' L R2 F D2 U'
B' D' L D F U' B2
B' D' L F R2 U' D
B' D' L F R2 U' D'
B' D' L F R2 U' D2
B' D' L F R2 D U'
B' D' L F R2 D' U'
B' D' L F R2 D2 U'
B' D' L F U' D B2
B' D' L F D U' B2
B' D' L F' R2 F2 U'
B' D' R' L F R' U'
B' D' R2 L D F U'
B' D' R2 L D' F U'
B' D' R2 L D2 F U'
B' D' R2 L F U' D
B' D' R2 L F U' D'
B' D' R2 L F U' D2
B' D' R2 L F D U'
B' D' R2 L F D' U'
B' D' R2 L F D2 U'
B' D' R2 D L F U'
B' D' R2 D' L F U'
B' D' R2 D2 L F U'
B' D' R2 F L F U'
B' D' R2 F' L F U'
B' D' R2 F2 L F U'
U F' B' L U' R' B2
B' D' F L R2 F U'
B' D' F L F R2 U'
B' D' F R2 L F U'
B' D' F' L R2 F U'
B' D' F' L F R2 U'
B' D' F' R2 L F U'
B' D' F2 L R2 F U'
B' D' F2 L F R2 U'
B' D' F2 R2 L F U'
B2 D' B L F U' B2
B' D2 L D R2 F U'
B' D2 L D F R2 U'
B' D2 L D2 F U' B2
B' D2 L F U F U2
U F2 B' L U' R' B2
B2 D2 B L F U' B2
U' B U B2 L F U'
B' F L R F U' B2
B' F L R' F U' B2
B' F L R2 F U' B2
B' F L D' R2 F U'
B' F L D' F R2 U'
B' F L F R U' B2
B' F L F R' U' B2
B' F L F R2 U' B2
B' F L F U' B2 D
B' F L F U' B2 D'
B' F L F U' B2 D2
B' F L F D' R2 U'
U B U B2 L U' R'
B' F R L F U' B2
B' F R' L F U' B2
B' F R2 L F U' B2
R' B' L R F U' B
U' B' L F U' R B2
U' B' L F U' B2 R
R' B' L F R U' B
D2 B' L F L' U' B2
U2 B' L R' F' U' B2
U2 B' L U' B' R' B'
R2 B' L R2 F U' B
R2 B' L F U F2 U2
R2 B' L F U' D2 B2
R2 B' L F D R2 U'
R2 B' L F D2 U' B2
U B' L R U' R2 B2
U B' L R U' B2 R2
U B' L R2 U' R B2
U B' L R2 U' B2 R
U B' L U' R B2 R2
U B' L U' R' B2 D
U B' L U' R' B2 D'
U B' L U' R' B2 D2
U B' L U' R2 B2 R
U B' L D' R2 U' R
R B' L R' F U' B
U B' L F U' R' B2
U B' L F' U' R' B2
B' F D' L R2 F U'
B' F D' L F R2 U'
U B' L F2 U' R' B2
R' B' R L F U' B
B' F D' R2 L F U'
R B' L F R' U' B
B' F' L R F U' B2
U2 B' R' L F' U' B2
B' F' L R' F U' B2
B' F' L R2 F U' B2
U B' R L U' R2 B2
U B' R L U' B2 R2
F' B' L R F U' B2
B' F' L D' R2 F U'
B' F' L D' F R2 U'
F' B' L R' F U' B2
F' B' L R2 F U' B2
B' F' L F R U' B2
B' F' L F R' U' B2
B' F' L F R2 U' B2
B' F' L F U' B2 D
B' F' L F U' B2 D'
B' F' L F U' B2 D2
B' F' L F D' R2 U'
U2 B' R' F' L U' B2
F2 B' L R F U' B2
F2 B' L R' F U' B2
F2 B' L R2 F U' B2
F' B' L D' R2 F U'
F' B' L D' F R2 U'
F' B' L F R U' B2
F' B' L F R' U' B2
F' B' L F R2 U' B2
F' B' L F U' B2 D
F' B' L F U' B2 D'
F' B' L F U' B2 D2
F' B' L F D' R2 U'
F2 B' L D' R2 F U'
F2 B' L D' F R2 U'
F2 B' L F R U' B2
F2 B' L F R' U' B2
F2 B' L F R2 U' B2
F2 B' L F U' B2 D
F2 B' L F U' B2 D'
F2 B' L F U' B2 D2
F2 B' L F D' R2 U'
R2 B' R2 L F U' B
R B' R' L F U' B
F B' L R F U' B2
F B' L R' F U' B2
F B' L R2 F U' B2
U B' R2 L U' R B2
U B' R2 L U' B2 R
F B' L D' R2 F U'
F B' L D' F R2 U'
F B' L F R U' B2
F B' L F R' U' B2
F B' L F R2 U' B2
F B' L F U' B2 D
F B' L F U' B2 D'
F B' L F U' B2 D2
F B' L F D' R2 U'
D' B' U' F R F' B2
D' B' U' F R B2 F'
D' B' U' F B2 R F'
B' F' R L F U' B2
D' B' U' B2 F R F'
L' B' U2 L B' U' B'
F' B' R L F U' B2
F2 B' R L F U' B2
B' F' R' L F U' B2
F' B' R' L F U' B2
F2 B' R' L F U' B2
B' F' R2 L F U' B2
F B' R L F U' B2
F' B' R2 L F U' B2
F2 B' R2 L F U' B2
F B' R' L F U' B2
U' B' F L U' R B2
U' B' F L U' B2 R
F B' R2 L F U' B2
U B' D' L R2 U' R
U B' D' R2 L U' R
R B' D2 L F U' B'
U B' F L U' R' B2
B' F' D' L R2 F U'
B' F' D' L F R2 U'
U B' F' L U' R' B2
B' F' D' R2 L F U'
F' B' D' L R2 F U'
F' B' D' L F R2 U'
F' B' D' R2 L F U'
F2 B' D' L R2 F U'
F2 B' D' L F R2 U'
U B' F2 L U' R' B2
F2 B' D' R2 L F U'
B' F2 L R F U' B2
B' F2 L R' F U' B2
B' F2 L R2 F U' B2
F B' D' L R2 F U'
F B' D' L F R2 U'
B' F2 L D' R2 F U'
B' F2 L D' F R2 U'
B' F2 L F R U' B2
B' F2 L F R' U' B2
B' F2 L F R2 U' B2
F B' D' R2 L F U'
B' F2 L F U' B2 D
B' F2 L F U' B2 D'
B' F2 L F U' B2 D2
B' F2 L F D' R2 U'
B' F2 R L F U' B2
B' F2 R' L F U' B2
B' F2 R2 L F U' B2
B' F2 D' L R2 F U'
B' F2 D' L F R2 U'
B' F2 D' R2 L F U'
