D' L2 U2 L' B' L
L U' F2 B' R' U'
L U' B' R' F2 U'
L U' B' F2 R' U'
D R' F' R U2 R2
R' D F' R U2 R
D F U2 L' R2 B'
D F U2 L' B' R2
D F U2 R2 L' B'
D F' R U2 B R
D F U2 L' B' R2 D2
L F U' F B' R' U'
D F U2 R L' B' R
D F U2 R2 L' D B'
D F U2 R2 L' D' B'
D F U2 R2 L' D2 B'
D F U2 R2 L' B' D
D F U2 R2 L' B' D'
D F U2 R2 L' B' D2
D F U2 R2 D L' B'
D F U2 R2 D' L' B'
D F U2 R2 D2 L' B'
D F U2 R2 B L' B'
L F U' B' R' F U'
D F U2 R2 B' L' B'
D F U2 R2 B2 L' B'
L F U' B' F R' U'
D F U2 B L' R2 B'
D F U2 B L' B' R2
D F U2 B R2 L' B'
D F U2 B' L' R2 B'
D F U2 B' L' B' R2
D F U2 B' R2 L' B'
D F U2 B2 L' R2 B'
D F U2 B2 L' B' R2
D F U2 B2 R2 L' B'
R' F' L U' F' B' U'
R' F' L U' B' F' U'
D F' L R U2 B R
F D U' F U' L' B'
R' F' L2 U' F' U' L'
D' F' L2 U2 L' B' L
D F' L' R U2 B R
D F' L2 R U2 B R
U F' L' F U D R2
U F' L' F U2 F2 U'
U F' L' F D U R2
U F' L' F D2 B2 U
D F' R L U2 B R
D F' R L' U2 B R
D F' R L2 U2 B R
D F' R U2 D B R
D F' R U2 D' B R
D F' R U2 D2 B R
D F' R U2 B R D
D F' R U2 B R D'
D F' R U2 B R D2
D F' R U2 B D R
D F' R U2 B D' R
D F' R U2 B D2 R
D F' R U2 B' R B2
D F' R U2 B2 R B'
D F' R D U2 B R
D F' R D' U2 B R
D F' R D2 U2 B R
D F' R F2 L' U2 B
D F' R' F' R2 U2 R
L2 F' U' F' U' L' B'
L F' U' F' B' R' U'
L F' U' B' F' R' U'
B' D' L2 B R' F' U2
D F' D2 L2 R U2 B
D F' D2 R L2 U2 B
U' F2 L B' L' R' U'
U' F2 L B' R' L' U'
D' F2 L2 U2 L' B' L
B' D' B L2 R' F' U2
B' D' B R' L2 F' U2
B' D' B R' F' L2 U2
D F2 R U2 B L R
D F2 R U2 B R L
D F2 R' F' U2 L' R'
D F2 R' F' U2 R' L'
B D' B' L2 U2 L' B'
U' F2 U' D' L' B' L
U' F2 U2 F' L' F U
L F2 U' B' R' U' R
U' F2 D' U' L' B' L
U' F2 D' B' R' U' L
U' F2 D2 B' R' B U'
U' F2 B' D2 R' B U'
D' B L2 R' F' U2 F2
D' B R' L2 F' U2 F2
D' B R' F' L2 U2 F
D' B R' F' B' L2 U2
D' B R' B' L2 F' U2
D' B R' B' F' L2 U2
R B D L2 R2 F L'
R B D L2 F L' R2
R B D L2 F R2 L'
R B D R2 L2 F L'
D' B' L2 B U2 L' B'
U' B' F2 D2 R' B U'
