F2 R U B U F2
D' R L' U' B L' U
F2 R L' U B U F2
D2 R L' B' D' R2 B'
D2 R L' B' D' B' R2
D2 R L' B2 U' B' U
F2 R L2 U B U F2
L U F U' L2 R B'
L U F U' L2 B' R
L U F U' R L2 B'
R' U F' U F' R U2
L' U F' U L' F' U2
F2 R U D B R2 U
F2 R U B R U F2
F2 R U B R' U F2
F2 R U B R2 U F2
F2 R U B U F2 D
F2 R U B U F2 D'
F2 R U B U F2 D2
F2 R U B D R2 U
D2 R U' B U L' B
D2 R U' B U B L'
D' R U' B L2 U L
F2 R U2 F2 U' B U
F2 R D U B R2 U
F2 R D2 B2 U B' U
F2 R B U2 F2 D R2
D' R B' D' L' R2 B2
D' R B' D' L' B2 R2
D2 R B' D' R2 B' L'
D' R B' D' R2 L' B2
D' R B' D' R2 B2 L'
D2 R B' D' B' L' R2
D2 R B' D' B' R2 L'
D' R B' D' B2 L' R2
D' R B' D' B2 R2 L'
F2 R B' U B2 U F2
F2 R B' U2 F2 D' R2
L' U' D' L2 B' U R'
D2 R B2 U' B' U L'
F2 R B2 U B' U F2
L' U' D' B' L2 U R'
D2 R' L' U F' U' B2
R U' D' B L2 U L
L' U' D2 B' U R' B'
D R' L' U F' R' U'
D2 R' L' B2 U F' U'
R U' D2 B U L' B
R U' D2 B U B L'
L' U' B U D2 B2 R'
L' U' B U' L F2 U2
L' U' B U' F2 L U2
L' U' B D2 U B2 R'
R U' B U L' D2 B2
R U' B U D2 L' B2
R U' B U D2 B2 L'
L' U' B' U R' D2 B2
L' U' B' U D2 R' B2
R U' B U' F2 R U2
L' U' B' U' F2 U2 R'
R U' B D' L2 U L
L' U' B' D' L2 U R'
R U' B D2 U L' B2
R U' B D2 U B2 L'
L' U' B' D2 U R' B2
L' U2 L F2 U' F' U'
L' U2 L' F2 U B' U
D2 R' F' U' F L' B2
D2 R' F' U' F B2 L'
D2 R' F' U' B2 F L'
D R' F' R' U' F L'
D2 R' B2 L' U F' U'
D2 R2 L' B D B R'
R' U2 F2 R U' F U'
L' U2 F2 L U' F U'
L' U2 F2 L' U B' U
L' U2 F2 U B' U R'
L' U2 F2 U' F U' R
R2 U2 F2 R U' F' U'
R' D L' U F' R2 U'
F' R2 F L' D B R'
F' R2 F D L' B R'
F' R2 F D B L' R'
F' R2 F D B R' L'
R D L' U R2 F' U'
R2 D L' B D R' B2
R2 D L' B' D B2 R'
L' D R' U F' R' U'
D2 R2 B L' D B R'
D2 R2 B D L' B R'
D2 R2 B D B L' R'
D2 R2 B D B R' L'
L' D U R2 F U' R
L' D U F R2 U' R'
R D R2 F' U' F L'
R' D F' R2 U' F L'
F' U R F L' R B
F' U R F R L' B
F' U R F R B L'
R2 D B L' D R' B2
R2 D B D L' R' B2
R2 D B D R' L' B2
R2 D B D R' B2 L'
F' U R2 F L' B R
F' U R2 F B L' R
F' U R2 F B R L'
F' U R2 B F L' R
F' U R2 B F R L'
R2 D B' D B2 L' R'
R2 D B' D B2 R' L'
F' U F L' R D2 B2
F' U F L' D2 R B2
F' U F L' D2 B2 R
F' U F R L' D2 B2
F' U F R D2 L' B2
F' U F R D2 B2 L'
F2 U F U R F L'
F' U F D2 L' R B2
F' U F D2 L' B2 R
F' U F D2 R L' B2
F' U F D2 R B2 L'
F' U F D2 B2 L' R
F' U F D2 B2 R L'
F' U F' L' R U2 F2
F' U F' L' U2 F2 L'
F' U F' R L' U2 F2
F' U F' R U2 F2 R
R D' L' U' L' B U
R D' L' U' B L' U
F' U F' U2 F2 L' R
F' U F' U2 F2 R L'
L' D' R U' L2 B U
L' D' R U' B L2 U
L' D' R B' D' R2 B2
L' D' R B' D' B2 R2
L' D' U' L2 B' U R'
L' D' U' B' L2 U R'
R D' U' B L2 U L
R D' B' D' L' R2 B2
R D' B' D' L' B2 R2
U' D' B' L2 U L R'
U' D' B' L2 U R' L
R D' B' D' R2 L' B2
R D' B' D' R2 B2 L'
D' U' B' L2 U L R'
D' U' B' L2 U R' L
R D' B' D' B2 L' R2
R D' B' D' B2 R2 L'
D2 U' B' U R' B' L'
R' D2 L' U F' U' B2
R' D2 L' B2 U F' U'
R2 D2 L' U F U' B2
R2 D2 L' B2 U F U'
R D2 L' U' B U B
L' D2 R U' B U B
R D2 L' B' D' R2 B'
R D2 L' B' D' B' R2
R D2 L' B2 U' B' U
L' D2 R B' D' R2 B'
L' D2 R B' D' B' R2
L' D2 R B2 U' B' U
L' D2 R' U F' U' B2
L' D2 R' B2 U F' U'
L' D2 R2 B D B R'
F2 U' B' U' F2 L' R'
F2 U' B' U' F2 R' L'
L' D2 U F U' R B2
L' D2 U F U' B2 R
L' D2 U' B' U R' B'
R D2 U' B U L' B
R D2 U' B U B L'
R' D2 F' U' F L' B2
R' D2 F' U' F B2 L'
R' D2 F' U' B2 F L'
U' D2 B' U R' B' L'
L' D2 B' R B' D' R2
R2 D2 B D' L' B R'
R2 D2 B D' B L' R'
R2 D2 B D' B R' L'
R' D2 B2 L' U F' U'
L' D2 B2 R U' B U
L' D2 B2 R' U F' U'
L' D2 B2 U F U' R
L' D2 B2 U' B' U R'
R2 D2 B2 L' U F U'
R D2 B' D' R2 B' L'
R D2 B' D' B' L' R2
R D2 B' D' B' R2 L'
R D2 B2 U' B' U L'
F2 U2 F2 L' U' B' U
L F U' L2 F' B' R'
L F U' L2 B' F' R'
F2 D R U B R U
R' F' R2 U' F L' B
R' F' R2 U' F B L'
R' F' R2 U' B F L'
L' F' R2 D F B R'
L' F' R2 D B R' F
L' F' R2 D B F R'
L' F' R2 F D B R'
R' F' U F' R U2 F2
R' F' U F' U2 F2 L'
D2 F' U F L' R B2
D2 F' U F L' B2 R
D2 F' U F R L' B2
D2 F' U F R B2 L'
D2 F' U F B2 L' R
D2 F' U F B2 R L'
D2 F' U B2 F L' R
D2 F' U B2 F R L'
R' F' U' F L' D2 B2
R' F' U' F D2 L' B2
R' F' U' F D2 B2 L'
U F' U L' F' R U2
U2 F2 L R U' F U'
U2 F2 L' R U B' U
R' F2 R U' F U' F
U2 F2 R L U' F U'
U2 F2 R L' U B' U
U2 F2 R U B' U R'
U2 F2 R U' F U' R
R2 F2 R U' F' U' F'
R' F2 U' F U' F L'
R F2 U B U F2 L'
F2 D2 R B2 U B' U
R B L' D2 B2 D' R2
U' B U L' D2 R2 B2
U' B U L' D2 B2 R2
U' B U D2 B2 L' R'
U' B U D2 B2 R' L'
U' B U' L F2 U2 L2
F2 D2 B2 R U B U
U' B U' F2 L R U2
U' B U' F2 R L U2
U' B D2 U B2 L' R'
U' B D2 U B2 R' L'
F2 B R U B U F2
R B D2 L' B2 D' R2
R B D2 B2 L' D' R2
R B D2 B2 D' L' R2
R B D2 B2 D' R2 L'
D2 B' R B' L' D' R2
D2 B' R B' D' L' R2
D2 B' R B' D' R2 L'
R B' L' D' R2 D' B2
R B' L' D2 B2 D R2
U' B' U L' R' D2 B2
U' B' U L' D2 R' B2
U' B' U R' L' D2 B2
U' B' U R' D2 L' B2
U' B' U R' D2 B2 L'
U' B' U D2 L' R' B2
U' B' U D2 R' L' B2
U' B' U D2 R' B2 L'
U' B' U' F2 R U2 R2
F2 B' R U B U F2
U' B' D' L2 U L R'
U' B' D' L2 U R' L
U' B' D2 U L' R' B2
U' B' D2 U R' L' B2
U' B' D2 U R' B2 L'
R B' D' R2 D' L' B2
R B' D' R2 D' B2 L'
R B' D2 L' B2 D R2
R B' D2 B2 L' D R2
R B' D2 B2 D L' R2
R B' D2 B2 D R2 L'
D2 B2 L' R U' B U
D2 B2 L' R' U F' U'
D2 B2 L' U F U' R
D2 B2 L' U' B' U R'
D2 B2 R L' U' B U
D2 B2 R U' B U L'
D2 B2 R' L' U F' U'
B' F2 R U B U F2
B2 F2 R U B U F2
F2 B2 R U B U F2
B F2 R U B U F2
D2 B2 U' B' U L' R'
D2 B2 U' B' U R' L'
