B' L U F B' U
B' L U B' F U
B' L' U' F B' U'
B' L' U' B' F U'
L U F B' R' U
L U B' R' F U
L U B' F R' U
D' B' L U F U
L D U F B' R' U
L D U B' R' F U
L D U B' F R' U
B' U D' B U L R'
B' U D' B U R' L
L' D' U' F B' L U'
L' D' U' B' F L U'
L D' U F B' R' U
L D' U B' R' F U
L D' U B' F R' U
R' D' B' L U F U
R2 D' B' L U F U
B' U' D F' U' L' R
B' U' D F' U' R L'
R D' B' L U F U
L D2 U F B' R' U
L D2 U B' R' F U
L D2 U B' F R' U
B' D U' F' U' L' R
B' D U' F' U' R L'
U' F' L2 U' F L R
U' F' L2 U' F R L
B' D' U B U L R'
B' D' U B U R' L
U' F2 L' F U' L' F
U' F2 L2 U' F L' R
U' F2 L2 U' F R L'
B' D2 R U' F' U' L'
B' D2 R' U B U L
D' B' L R U F U
D' B' L R' U F U
R' B' L U F B' U
D' B' L R2 U F U
R' B' L U B' F U
D' B' L U D F U
D' B' L U D' F U
D' B' L U D2 F U
D' B' L U F U D
D' B' L U F U D'
D' B' L U F U D2
D' B' L U F D U
D' B' L U F D' U
D' B' L U F D2 U
D' B' L D U F U
D' B' L D' U F U
D' B' L D2 U F U
R' B' L' U' F B' U'
R' B' L' U' B' F U'
R2 B' L U F B' U
R2 B' L U B' F U
R2 B' L' U' F B' U'
R2 B' L' U' B' F U'
R B' L U F B' U
R B' L U B' F U
D' B' R L U F U
D2 B' R U' F' U' L'
R B' L' U' F B' U'
R B' L' U' B' F U'
D' B' R' L U F U
D2 B' R' U B U L
D' B' R2 L U F U
D' B' D L U F U
D B' U' F' U' L' R
D B' U' F' U' R L'
D' B' D' L U F U
D' B' D2 L U F U
