U L' U B' L2 F
B2 R' U L' U B'
B2 R' U' R U' B
B2 R' F U' R U'
B2 R' F' U L' U
B2 U2 B2 D L B'
B2 F R' U' R2 U'
B2 F R' U2 D B2
B2 F R' D U2 B2
B2 F R' D' F2 U2
B2 F' R' U L' U
F' B2 R' U L' U
F B2 R' U' R2 U'
F B2 R' U2 D B2
F B2 R' D U2 B2
F B2 R' D' F2 U2
B2 F2 D R' U2 B
F2 B2 D R' U2 B
F' U D' R2 L' U L2
F2 U D' R2 U L B'
F' U D2 L' U L2 F2
F' U D2 L' U F2 L2
L2 D' R2 B2 U L' B'
U D' L' R2 U B' L2
D U' L2 R U' L' B
D U' L2 R U' B L'
D2 U' R U' L F2 B
D2 U' R U' L B F2
D2 U' R U' F2 L B
D U' R L2 U' L' B
D U' R L2 U' B L'
B2 U' R U R2 F' U2
B2 U' R U' D2 L2 B
B2 U' R U' D2 B L2
B2 U' R U' B D2 L2
B2 U' R D B2 U' B'
B2 U' R D2 U' L2 B
B2 U' R D2 U' B L2
U D' R2 L' U B' L2
F U' R U B2 R' U2
F U' R U' L D2 F2
F U' R U' D2 L F2
F U' R U' D2 F2 L
F U' R D L2 U' L'
F U' R D2 U' L F2
F U' R D2 U' F2 L
B2 U' R2 U R F' U2
L2 D' B2 R2 U L' B'
F U' D L2 R U' L'
F U' D R L2 U' L'
F U' D2 R U' L F2
F U' D2 R U' F2 L
U D2 L' U F2 B' L2
U D2 L' U B' L2 F2
U D2 L' U B' F2 L2
U' D2 R U' L F2 B
U' D2 R U' L B F2
U' D2 R U' F2 L B
L2 D2 U L' R2 F2 B'
L2 D2 U L' R2 B' F2
L2 D2 U L' F2 R2 B'
L2 D2 U L' F2 B' R2
L2 D2 U L' B' R2 F2
L2 D2 U L' B' F2 R2
B2 U' B2 R U' L B
L2 D2 U R2 L' F2 B'
L2 D2 U R2 L' B' F2
F' U2 L D' B2 D' F2
F' U2 L D2 F2 D B2
B2 U2 L B2 D L B'
B2 U2 L' B2 D L B'
B2 U2 L2 B2 D L B'
L D2 F2 R2 D R' B
L D2 F2 D R' B R2
F' U2 D' L D' F2 B2
F' U2 D' L D' B2 F2
B2 U2 D B2 D L B'
F2 U2 D' L D' F2 B'
F2 U2 D' L D' B' F2
F2 U2 D' L B' D' F2
F' U2 D2 L F2 D' B2
B2 U2 D' B2 D L B'
F2 U2 D2 F2 D L B'
B2 U2 D2 B2 D L B'
F U2 D2 F2 L D' B2
U F L' U B' L2 F
B2 U2 B U' L F U
D2 F U' R U' F L
B2 U2 B2 D L D B'
B2 U2 B2 D L D' B'
B2 U2 B2 D L D2 B'
B2 U2 B2 D L B' D
B2 U2 B2 D L B' D'
B2 U2 B2 D L B' D2
D F U' L2 R U' L'
D F U' R L2 U' L'
D2 F U2 F D' L B'
B2 D R' U L' U B'
B2 D R' U' R U' B
B2 D R' F U' R U'
B2 D R' F' U L' U
R' F B2 R' U' R2 U'
R' F B2 R' U2 D B2
R' F B2 R' D U2 B2
R' F B2 R' D' F2 U2
D' F' L D' F2 R B2
D' F' L D' F2 B2 R
D' F' L D' B2 F2 R
R2 F B2 R' U' R2 U'
R2 F B2 R' U2 D B2
R2 F B2 R' D U2 B2
R2 F B2 R' D' F2 U2
R F B2 R' U' R2 U'
R F B2 R' U2 D B2
R F B2 R' D U2 B2
R F B2 R' D' F2 U2
F D U' L2 R U' L'
F D U' R L2 U' L'
B2 D U2 B2 D L B'
B2 D F R' U' R2 U'
B2 D F R' U2 D B2
B2 D F R' D U2 B2
B2 D F R' D' F2 U2
U F' L' U B' L2 F
B2 D F' R' U L' U
B2 D F2 D R' U2 B
D' F' U L' R2 U L2
D2 F' U L' U L2 F'
D2 F' U L' U F' L2
D' F' U R2 L' U L2
D2 F' U2 L D' F' B2
D2 F' U2 L D' B2 F'
D2 F' U2 L F' D' B2
D' F' U2 L D' F2 B2
D' F' U2 L D' B2 F2
F' D' L D' F2 R B2
F' D' L D' F2 B2 R
F' D' L D' B2 F2 R
F2 D' L D' F2 R B'
F2 D' L D' F2 B' R
F2 D' L D' B' F2 R
D2 F' U2 F' D' L B'
F2 D' L B' D' F2 R
B2 D' R' U L' U B'
B2 D' R' U' R U' B
B2 D' R' F U' R U'
B2 D' R' F' U L' U
F' D' U L' R2 U L2
R' F' B2 R' U L' U
F' D' U R2 L' U L2
F2 D' U R2 U L B'
R2 F' B2 R' U L' U
F' D' U2 L D' F2 B2
F' D' U2 L D' B2 F2
F2 D' U2 L D' F2 B'
F2 D' U2 L D' B' F2
F2 D' U2 L B' D' F2
R F' B2 R' U L' U
B2 D' U2 B2 D L B'
B2 D' F R' U' R2 U'
B2 D' F R' U2 D B2
B2 D' F R' D U2 B2
B2 D' F R' D' F2 U2
U F2 L' U B' L2 F
B2 D' F' R' U L' U
B2 D' F2 D R' U2 B
F' D2 L F2 R D' B2
D' F2 U2 D' L F2 B'
D' F2 U2 D' L B' F2
F' D2 L F2 D' R B2
F' D2 L F2 D' B2 R
D' F2 U2 D' F2 L B'
F' D2 L' U L2 F2 R
D' F2 D B2 R' U2 B
D' F2 D' L F2 R B'
D' F2 D' L F2 B' R
D' F2 D' L B' F2 R
D' F2 D' U2 L F2 B'
D' F2 D' U2 L B' F2
D' F2 D' U2 F2 L B'
B2 D2 R' U L' U B'
B2 D2 R' U' R U' B
B2 D2 R' F U' R U'
B2 D2 R' F' U L' U
F' D2 U L' U L2 F2
F' D2 U L' U F2 L2
R' F2 B2 D R' U2 B
F' D2 U2 L F2 D' B2
R2 F2 B2 D R' U2 B
F2 D2 U2 F2 D L B'
B2 D2 U2 B2 D L B'
F D2 U' R U' L F2
F D2 U' R U' F2 L
B2 D2 F R' U' R2 U'
B2 D2 F R' U2 D B2
B2 D2 F R' D U2 B2
B2 D2 F R' D' F2 U2
R F2 B2 D R' U2 B
F D2 U2 F2 L D' B2
B2 D2 F' R' U L' U
B2 D2 F2 D R' U2 B
B2 F R' U D2 L2 U
B2 F R' U' R2 U' D
B2 F R' U' R2 U' D'
B2 F R' U' R2 U' D2
B2 F R' U' R2 D U'
B2 F R' U' R2 D' U'
B2 F R' U' R2 D2 U'
B2 F R' U2 D B2 D
B2 F R' U2 D B2 D'
B2 F R' U2 D B2 D2
B2 F R' U2 B D B2
B2 F R' U2 B' D B2
B2 F R' U2 B2 D B2
B2 F R' D U2 B2 D
B2 F R' D U2 B2 D'
B2 F R' D U2 B2 D2
B2 F R' D F U2 B2
B2 F R' D F' U2 B2
B2 F R' D F2 U2 B2
B2 F R' D' F2 U2 D
B2 F R' D' F2 U2 D'
B2 F R' D' F2 U2 D2
B2 F R' D' F2 D U2
B2 F R' D' F2 D' U2
B2 F R' D' F2 D2 U2
B2 F R' D2 U L2 U
B2 F R' F U' R2 U'
B2 F R' F U2 D B2
B2 F R' F D U2 B2
B2 F R' F D' F2 U2
B2 F R' F' U' R2 U'
B2 F R' F' U2 D B2
B2 F R' F' D U2 B2
B2 F R' F' D' F2 U2
B2 F R' F2 U' R2 U'
B2 F R' F2 U2 D B2
B2 F R' F2 D U2 B2
B2 F R' F2 D' F2 U2
B2 F U' R U R2 U2
B2 F U' R U' D2 L2
B2 F U' R D B2 U'
B2 F U' R D2 U' L2
B2 F U' B2 R U' L
B2 F D R' U' R2 U'
B2 F D R' U2 D B2
B2 F D R' D U2 B2
B2 F D R' D' F2 U2
B2 F D' R' U' R2 U'
B2 F D' R' U2 D B2
B2 F D' R' D U2 B2
B2 F D' R' D' F2 U2
B2 F D2 R' U' R2 U'
B2 F D2 R' U2 D B2
B2 F D2 R' D U2 B2
B2 F D2 R' D' F2 U2
B2 F' R' U L' U D
B2 F' R' U L' U D'
B2 F' R' U L' U D2
B2 F' R' U L' D U
B2 F' R' U L' D' U
B2 F' R' U L' D2 U
B2 F' R' U D L' U
B2 F' R' U D' L' U
B2 F' R' U D2 L' U
B2 F' R' D U L' U
B2 F' R' D' U L' U
B2 F' R' D2 U L' U
B2 F' R' F2 U' R U'
B2 F' U L' U' R' U2
B2 F' U2 L D' B2 L
B2 F' U2 B2 L D' B2
B2 F' D R' U L' U
F2 B' D B' R' U2 B
B2 F' D' R' U L' U
B2 F' D2 R' U L' U
R' B2 R' U L' U B'
R' B2 R' U' R U' B
U' B2 R' F' U' F U'
R' B2 R' F U' R U'
R' B2 R' F' U L' U
R2 B2 R' U L' U B'
R2 B2 R' U' R U' B
R2 B2 R' F U' R U'
R2 B2 R' F' U L' U
F' B2 R' U L' U D
F' B2 R' U L' U D'
F' B2 R' U L' U D2
F' B2 R' U L' D U
F' B2 R' U L' D' U
F' B2 R' U L' D2 U
F' B2 R' U D L' U
F' B2 R' U D' L' U
F' B2 R' U D2 L' U
R B2 R' U L' U B'
R B2 R' U' R U' B
F' B2 R' D U L' U
F' B2 R' D' U L' U
F' B2 R' D2 U L' U
R B2 R' F U' R U'
R B2 R' F' U L' U
F' B2 R' F2 U' R U'
B2 F2 R' F U L' U
B2 F2 R' F' U' R U'
B2 F2 R' F' U' R U'
F2 B2 R' F U L' U
F2 B2 R' F' U' R U'
B2 F2 R2 D R F' U2
F2 B2 R2 D R F' U2
F B2 R' U D2 L2 U
R' B2 U2 B2 D L B'
F' B2 U L' U' R' U2
F B2 R' U' R2 U' D
F B2 R' U' R2 U' D'
F B2 R' U' R2 U' D2
F B2 R' U' R2 D U'
F B2 R' U' R2 D' U'
F B2 R' U' R2 D2 U'
F B2 R' U2 D B2 D
F B2 R' U2 D B2 D'
F B2 R' U2 D B2 D2
F B2 R' U2 B D B2
F B2 R' U2 B' D B2
F B2 R' U2 B2 D B2
F B2 R' D U2 B2 D
F B2 R' D U2 B2 D'
F B2 R' D U2 B2 D2
F B2 R' D F U2 B2
F B2 R' D F' U2 B2
F B2 R' D F2 U2 B2
F B2 R' D' F2 U2 D
F B2 R' D' F2 U2 D'
F B2 R' D' F2 U2 D2
F B2 R' D' F2 D U2
F B2 R' D' F2 D' U2
F B2 R' D' F2 D2 U2
F B2 R' D2 U L2 U
F B2 R' F U' R2 U'
F B2 R' F U2 D B2
F B2 R' F D U2 B2
F B2 R' F D' F2 U2
F B2 R' F' U' R2 U'
F B2 R' F' U2 D B2
F B2 R' F' D U2 B2
F B2 R' F' D' F2 U2
F B2 R' F2 U' R2 U'
F B2 R' F2 U2 D B2
F B2 R' F2 D U2 B2
F B2 R' F2 D' F2 U2
R2 B2 U2 B2 D L B'
F' B2 U2 L D' B2 L
U2 B2 D' R' U2 B R
B2 F2 U2 D' B2 L B'
F2 B2 U2 D' B2 L B'
F' B2 U2 B2 L D' B2
R B2 U2 B2 D L B'
F B2 U' R U R2 U2
F B2 U' R U' D2 L2
F B2 U' R D B2 U'
F B2 U' R D2 U' L2
B2 F2 U2 B2 D' L B'
F' B2 D R' U L' U
B' F2 D B' R' U2 B
F2 B2 U2 B2 D' L B'
R' B2 F R' U' R2 U'
R' B2 F R' U2 D B2
R' B2 F R' D U2 B2
R' B2 F R' D' F2 U2
B2 F2 D R F' R2 U2
B2 F2 D R' U2 D B
B2 F2 D R' U2 D' B
B2 F2 D R' U2 D2 B
B2 F2 D R' U2 B D
B2 F2 D R' U2 B D'
B2 F2 D R' U2 B D2
B2 F2 D R' D U2 B
B2 F2 D R' D' U2 B
B2 F2 D R' D2 U2 B
B2 F2 D R' F U2 B
B2 F2 D R' F' U2 B
B2 F2 D R' F2 U2 B
F2 B2 D R F' R2 U2
F2 B2 D R' U2 D B
F2 B2 D R' U2 D' B
F2 B2 D R' U2 D2 B
F2 B2 D R' U2 B D
F2 B2 D R' U2 B D'
F2 B2 D R' U2 B D2
F2 B2 D R' D U2 B
F2 B2 D R' D' U2 B
F2 B2 D R' D2 U2 B
F2 B2 D R' F U2 B
F2 B2 D R' F' U2 B
F2 B2 D R' F2 U2 B
F B2 U' B2 R U' L
B2 F2 D F R' U2 B
B2 F2 D F' R' U2 B
B2 F2 D F2 R' U2 B
F2 B2 D F R' U2 B
F2 B2 D F' R' U2 B
F2 B2 D F2 R' U2 B
R' B2 F' R' U L' U
F' B2 D' R' U L' U
B2 F2 D' U2 B2 L B'
F2 B2 D' U2 B2 L B'
R2 B2 F R' U' R2 U'
R2 B2 F R' U2 D B2
R2 B2 F R' D U2 B2
R2 B2 F R' D' F2 U2
F B2 D R' U' R2 U'
F B2 D R' U2 D B2
F B2 D R' D U2 B2
F B2 D R' D' F2 U2
F' B2 D2 R' U L' U
R' B2 F2 D R' U2 B
R2 B2 F' R' U L' U
F B2 D' R' U' R2 U'
F B2 D' R' U2 D B2
F B2 D' R' D U2 B2
F B2 D' R' D' F2 U2
R B2 F R' U' R2 U'
R B2 F R' U2 D B2
R B2 F R' D U2 B2
R B2 F R' D' F2 U2
R2 B2 F2 D R' U2 B
F B2 D2 R' U' R2 U'
F B2 D2 R' U2 D B2
F B2 D2 R' D U2 B2
F B2 D2 R' D' F2 U2
R B2 F' R' U L' U
R B2 F2 D R' U2 B
