F R' U F' D R2
F R' U2 F U' F2
D2 R' F B2 U F2
D R' F U R' F2
D R' F U F2 R'
D2 R' B2 F U F2
R' D F U R2 F2
R' D F U F2 R2
R D F U R2 F'
R' D2 F B2 U F2
R' D2 B2 F U F2
F U2 F L U' F
D2 F R' B2 U F'
D F R' U F' R'
R' F U2 F U' F
D2 F B2 R' U F'
D2 B2 R' F U F2
D2 B2 F R' U F'
R' D2 F B2 U F2 D
R' D2 F B2 U F2 D'
R' D2 F B2 U F2 D2
R' D2 F B2 D R2 U
F U2 L' U B' U2 R'
U D2 F R B2 U B2
R D2 F R2 B2 U F'
R D2 F U D' R2 F'
U D2 F B2 R U B2
R D2 F D' U R2 F'
R D2 F B2 U' B' U2
R' D2 B2 U F' D' L2
R' D2 B2 D F U F2
R' D2 B2 D' F U F2
R' D2 B2 D2 F U F2
R' D2 B2 F R U F2
R' D2 B2 F R' U F2
R' D2 B2 F R2 U F2
R' D2 B2 F U F2 D
R' D2 B2 F U F2 D'
R' D2 B2 F U F2 D2
R' D2 B2 F D R2 U
F U2 D F L U' F
U D2 B2 F R U B2
R D2 B2 F U' B' U2
F U2 D' F L U' F
F U2 D2 F L U' F
R' F L2 B' L2 U F2
F U2 F L U' D F
F U2 F L U' D' F
F U2 F L U' D2 F
F U2 F L U' F D
F U2 F L U' F D'
F U2 F L U' F D2
D' F R U D2 R2 F'
F U2 F L D U' F
F U2 F L D' U' F
F U2 F L D2 U' F
D' F R U' L2 B U2
D2 F R U D' R2 F'
F U2 F L' U B' U2
D' F R U' B L2 U2
R' F R U2 F U' F
D2 F R D' U R2 F'
D' F R D2 U R2 F'
F U2 F U2 R' U F'
U F L2 R B' U B
F U2 F D L U' F
F U2 F D' L U' F
F U2 F D2 L U' F
D2 F R B2 U' B' U2
D' F R' U D2 F' R2
D' F R' U F' D2 R2
F U2 F' L F2 U' F'
D' F R' U' L2 U2 F'
D2 F R' U D' F' R2
D2 F R' U F' D' R2
R2 F R U F' D R2
R' F R' U2 F U' F
R2 F R U2 F U' F2
D' F R' D' B2 U F'
D F R U R2 F' R'
D2 F R' D' U F' R2
D' F R' D2 U F' R2
D F R U' B U2 R
U F R L2 B' U B
D2 F R' B2 U D F'
D2 F R' B2 U D' F'
D2 F R' B2 U D2 F'
D2 F R' B2 U F' D
D2 F R' B2 U F' D'
D2 F R' B2 U F' D2
D2 F R' B2 D U F'
D2 F R' B2 D' U F'
D2 F R' B2 D2 U F'
F U2 F2 L F' U' F2
R' F R2 U2 F U' F
D F R' U D F' R'
D F R' U D' F' R'
D F R' U D2 F' R'
D F R' U F R' F2
D F R' U F' R' D
D F R' U F' R' D'
D F R' U F' R' D2
D F R' U F' D R'
D F R' U F' D' R'
D F R' U F' D2 R'
D F R' U F2 R' F
D F R' D U F' R'
D F R' D' U F' R'
D F R' D2 U F' R'
D2 F R2 B2 R U F'
R' F U F' D F' R2
R' F U F2 U F' U'
R F R2 U F' D R2
R2 F U R F' D R2
R F R2 U2 F U' F2
R' F U2 D' F L2 U'
R F U R2 F' D R2
R' F U2 F U' D F
R' F U2 F U' D' F
R' F U2 F U' D2 F
R' F U2 F U' F D
R' F U2 F U' F D'
R' F U2 F U' F D2
R' F U2 F D U' F
R' F U2 F D' U' F
R' F U2 F D2 U' F
R F U F' D R2 F'
R' F D R2 U2 F U'
D F U2 L U' R2 F
D F U2 L U' F R2
R2 F U2 D' F L' U'
R F U' B U' F U'
D2 F D' R' U F' R'
D' F D' R' B2 U F'
R' F D' U2 F L2 U'
R F U2 F U B U2
D F D R' B2 U F'
D' F D' B2 R' U F'
D' F D2 R' U F' R'
D F D B2 R' U F'
R2 F D' U2 F L' U'
B' D R' F U R' F2
B' D R' F U F2 R'
B2 D R' F U R' F2
B2 D R' F U F2 R'
R' F B U2 F U' F
D2 F B' R' B' U F'
R' F B' U2 F U' F
B D R' F U R' F2
B D R' F U F2 R'
F D R' U F' D R2
F D R' U2 F U' F2
D F B R' U F' R'
D2 F B2 R U' B U2
D2 F B2 R' U D F'
D2 F B2 R' U D' F'
D2 F B2 R' U D2 F'
D2 F B2 R' U F' D
D2 F B2 R' U F' D'
D2 F B2 R' U F' D2
D2 F B2 R' D U F'
D2 F B2 R' D' U F'
D2 F B2 R' D2 U F'
R' F B2 U2 F U' F
D2 F B2 U2 L U' F
D2 F B2 D R' U F'
D2 F B2 D' R' U F'
D2 F B2 D2 R' U F'
D F B' R' U F' R'
R F B U2 F U' F'
D F B2 R' U F' R'
B' D F R' U F' R'
B2 D F R' U F' R'
F D U2 F L U' F
B D F R' U F' R'
D2 F' R' F2 B2 U F
R2 F' R F2 U F R
D2 F' R' B2 F2 U F
R' F' R2 F2 B U F2
R' F' R2 B F2 U F2
D F' R' F2 U R' F
D F' R' F2 U F R'
R F' R2 F2 B U F
R F' R2 B F2 U F
F D' R' U F' D R2
F D' R' U2 F U' F2
D2 F' B2 R' F2 U F
U2 F2 L U' F D' L2
U2 F2 L U2 F' U F2
F D' U2 F L U' F
U' F2 D R2 B L U'
U2 F2 U2 F' R' U F'
U F2 U' F' R U R'
B' D2 R' F B2 U F2
B' D2 R' B2 F U F2
B2 D2 R' F B2 U F2
B2 D2 R' B2 F U F2
B D2 R' F B2 U F2
F D2 R' U F' D R2
F D2 R' U2 F U' F2
B D2 R' B2 F U F2
L' F2 B2 R' U' F' L'
B' D2 F R' B2 U F'
B2 D2 F R' B2 U F'
B' D2 F B2 R' U F'
B2 D2 F B2 R' U F'
F D2 U2 F L U' F
B D2 F R' B2 U F'
B D2 F B2 R' U F'
D B R' F U R' F2
D B R' F U F2 R'
B' D2 B2 R' F U F2
B' D2 B2 F R' U F'
B2 D2 B2 R' F U F2
B2 D2 B2 F R' U F'
B D2 B2 R' F U F2
B D2 B2 F R' U F'
R' B D F U R2 F2
R' B D F U F2 R2
B' F R' U F' D R2
R' B D2 F B2 U F2
B' F R' U2 F U' F2
R' B D2 B2 F U F2
B2 F R' U F' D R2
B2 F R' U2 F U' F2
R' B F U2 F U' F
B F R' U F' D R2
B F R' U2 F U' F2
F B R' U F' D R2
F B R' U2 F U' F2
D B F R' U F' R'
R B F U2 F U' F'
B' F U2 F L U' F
B2 F U2 F L U' F
B F U2 F L U' F
F B U2 F L U' F
D2 B' R' F B' U F2
D2 B' R' B' F U F2
D B' R' F U R' F2
D B' R' F U F2 R'
R' B' D F U R2 F2
R' B' D F U F2 R2
F B' R' U F' D R2
F B' R' U2 F U' F2
R' B' D2 F B2 U F2
R' B' D2 B2 F U F2
D2 B' F R' B' U F'
R' B' F U2 F U' F
D B' F R' U F' R'
R B' D2 F B2 U F
R B' D2 B2 F U F
F B' U2 F L U' F
D2 B2 R F R2 U F'
D2 B2 R F U' B U2
D2 B2 R' U F' D' L2
D2 B2 R' D F U F2
D2 B2 R' D' F U F2
D2 B2 R' D2 F U F2
D2 B2 R' F R U F2
D2 B2 R' F R' U F2
D2 B2 R' F R2 U F2
D2 B2 R' F U F2 D
D2 B2 R' F U F2 D'
D2 B2 R' F U F2 D2
D2 B2 R' F D R2 U
D2 B2 R2 F R U F'
D B2 R' F U R' F2
D B2 R' F U F2 R'
F B2 R' U F' D R2
F B2 R' U2 F U' F2
D2 B2 D R' F U F2
R' B2 D F U R2 F2
R' B2 D F U F2 R2
D2 B2 D F R' U F'
D2 B2 D' R' F U F2
D2 B2 D' F R' U F'
D2 B2 D2 R' F U F2
D2 B2 D2 F R' U F'
R' B2 D2 F B2 U F2
R' B2 D2 B2 F U F2
D2 B2 F R U' B U2
D2 B2 F R' U D F'
D2 B2 F R' U D' F'
D2 B2 F R' U D2 F'
D2 B2 F R' U F' D
D2 B2 F R' U F' D'
D2 B2 F R' U F' D2
D2 B2 F R' D U F'
D2 B2 F R' D' U F'
D2 B2 F R' D2 U F'
D2 B2 F U2 L U' F
R' B2 F U2 F U' F
D2 B2 F D R' U F'
D2 B2 F D' R' U F'
D2 B2 F D2 R' U F'
D2 B2 F' R' F2 U F
F B2 U2 F L U' F
D B2 F R' U F' R'
L' B2 F2 R' U' F' L'
