F2 U' L' F R
U L R B' U2 R'
F2 L F U' L2 F
U L B' R U2 R2
U L' R U2 F R
U' L' F2 L' F' R
U R L B' U2 R'
U R L' U2 F R
U R B L B' U2
F2 U' L' R F R
F2 U' L' R' F R
F2 U' L' R2 F R
F2 U' L' D F R
F2 U' L' D' F R
F2 U' L' D2 F R
F2 U' L' F R D
F2 U' L' F R D'
F2 U' L' F R D2
F2 U' L' F D R
F2 U' L' F D' R
F2 U' L' F D2 R
F U' L' F L' R
F U' L' F R L'
F2 U' R L' F R
F2 U' R' L' F R
F2 U' R2 L' F R
F U' F L' R F
F U' F R L' F
U' F L' R F L'
U' F R L' F L'
U' F R F L' F
L F L2 U' F L'
L F U' L2 F L'
U' F2 L' F' R F2
U2 F2 U L' F R
U B L R B' U2
U B L B' R U2
U B R L B' U2
F2 B U' L' F R
F2 B' U' L' F R
B' F2 U' L' F R
B2 F2 U' L' F R
F2 B2 U' L' F R
B F2 U' L' F R
B' U2 F2 U L' F R
L F L2 U' F L' D
L F L2 U' F L' D'
L F L2 U' F L' D2
L F L2 U' F D L'
L F L2 U' F D' L'
L F L2 U' F D2 L'
B2 U2 F2 U L' F R
U' F R' F L' R2 F
U' F R' F L' F R2
U' F R' F R2 L' F
L F L2 B U' F L'
L F L2 B' U' F L'
L F L2 B2 U' F L'
U' F R2 L' F L' R'
U' F R2 L' F R' L'
B U2 F2 U L' F R
F2 U2 B U L' F R
U' F R2 F L' R' F
U' F R2 F L' F R'
U' F R2 F R' L' F
F2 U2 B' U L' F R
U2 F U L' F L' R
U2 F U L' F R L'
U2 F U F L' R F
U2 F U F R L' F
F2 U2 B2 U L' F R
D2 F U' F L' R F'
D2 F U' F R L' F'
L F U D2 B' U2 L
F2 D L F L' U' L'
L F U' L' F L' F
L F U' L2 F L' D
L F U' L2 F L' D'
L F U' L2 F L' D2
L F U' L2 F D L'
L F U' L2 F D' L'
L F U' L2 F D2 L'
L F U' F L2 F L
D' F B' L F U' L'
L F D2 U B' U2 L
D F' U2 R B U L
F D' L F B' L U'
F D' L B' F L U'
U' F2 L F' L2 R F
U' F2 L F' R L2 F
U' F2 L F2 L2 F R
U' F2 L' R F' R F2
U' F2 L' R' F' R F2
U' F2 L' R2 F' R F2
U' F2 L' F U2 L' U2
U' F2 L' F' R F2 D
U' F2 L' F' R F2 D'
U' F2 L' F' R F2 D2
U' F2 L' F' R' F2 R2
U' F2 L' F' R2 F2 R'
U' F2 L2 F' L R F
U' F2 L2 F' R L F
U' F2 L2 F2 L F R
L' F2 L2 F U' L F2
L' F2 L2 F U' F2 L
U' F2 R L' F' R F2
U' F2 R' L' F' R F2
U2 F2 R B U L' F
L F2 L2 F' U' L F2
L F2 L2 F' U' F2 L
U' F2 R2 L' F' R F2
F2 D' B' L F U' L2
U2 F2 U L' R F R
U2 F2 U L' R' F R
U2 F2 U L' R2 F R
U2 F2 U L' D F R
U2 F2 U L' D' F R
U2 F2 U L' D2 F R
U2 F2 U L' F R D
U2 F2 U L' F R D'
U2 F2 U L' F R D2
U2 F2 U L' F D R
U2 F2 U L' F D' R
U2 F2 U L' F D2 R
U2 F2 U R L' F R
U2 F2 U R' L' F R
D2 F2 U' L' F R F'
U2 F2 U R2 L' F R
L' F2 U' L' D F' R
F D' B' L F B' U'
F D' B' L B' F U'
D' F2 U' D L' F R
D2 F2 U' D2 L' F R
D2 F2 U' F R F' L'
L' F2 U2 B' U L' F'
D' F2 D U' L' F R
D2 F2 D2 U' L' F R
D' F2 B' L F U' L2
U2 F2 B U L' F R
U2 F2 B' U L' F R
U2 F2 B2 U L' F R
F2 D2 U' L' F R F'
F2 D2 U' F R F' L'
U B L R D B' U2
U B L R D' B' U2
U B L R D2 B' U2
U B L R B' U2 D
U B L R B' U2 D'
U B L R B' U2 D2
U B L R B' D U2
U B L R B' D' U2
U B L R B' D2 U2
U B L R' B' R2 U2
U B L D R B' U2
U B L D B' R U2
U B L D' R B' U2
U B L D' B' R U2
U B L D2 R B' U2
U B L D2 B' R U2
U B L B R B2 U2
U B L B' R U2 D
U B L B' R U2 D'
U B L B' R U2 D2
U B L B' R D U2
U B L B' R D' U2
U B L B' R D2 U2
U B L B' D R U2
U B L B' D' R U2
U B L B' D2 R U2
U B R L D B' U2
U B R L D' B' U2
U B R L D2 B' U2
U B R L B' U2 D
U B R L B' U2 D'
U B R L B' U2 D2
U B R L B' D U2
U B R L B' D' U2
U B R L B' D2 U2
U B R' L B' R2 U2
F2 B L F U' L2 F
L' B D2 F2 U' L' F'
U B D2 L R U2 F'
U B D2 R L U2 F'
L B D2 F U' F L'
B' F U' L' F L' R
B' F U' L' F R L'
U2 B F2 U L' F R
B' F U' F L' R F
B' F U' F R L' F
B2 F U' L' F L' R
B2 F U' L' F R L'
F2 B U' L' R F R
F2 B U' L' R' F R
F2 B U' L' R2 F R
F2 B U' L' D F R
F2 B U' L' D' F R
F2 B U' L' D2 F R
F2 B U' L' F R D
F2 B U' L' F R D'
F2 B U' L' F R D2
F2 B U' L' F D R
F2 B U' L' F D' R
F2 B U' L' F D2 R
F2 B U' R L' F R
F2 B U' R' L' F R
F2 B U' R2 L' F R
B2 F U' F L' R F
B2 F U' F R L' F
B F U' L' F L' R
B F U' L' F R L'
B F U' F L' R F
B F U' F R L' F
F B U' L' F L' R
F B U' L' F R L'
U B' L R B' U2 R2
F B U' F L' R F
F B U' F R L' F
U B' L' R U2 R2 F
U B' L' R U2 F R2
U B' R L B' U2 R2
U B' R L' U2 R2 F
U B' R L' U2 F R2
L B' R U' R' F U'
L B' R U' F R' U'
F2 B' L F U' L2 F
L' B' U R U2 R' F
L' B' U R U2 F R'
U B' U2 F2 L' R' F
U B' U2 F2 L' F R'
U B' U2 F2 R' L' F
D' B' F L F U' L'
F2 B' U' L' R F R
F2 B' U' L' R' F R
F2 B' U' L' R2 F R
F2 B' U' L' D F R
F2 B' U' L' D' F R
F2 B' U' L' D2 F R
F2 B' U' L' F R D
F2 B' U' L' F R D'
F2 B' U' L' F R D2
F2 B' U' L' F D R
F2 B' U' L' F D' R
F2 B' U' L' F D2 R
F2 B' U' R L' F R
F2 B' U' R' L' F R
F2 B' U' R2 L' F R
U B' D2 R U2 F' R2
D' B' F2 L F U' L2
F B' U' L' F L' R
F B' U' L' F R L'
F B' U' F L' R F
F B' U' F R L' F
U2 B' F2 U L' F R
U B2 L R B' L U2
B' F2 L F U' L2 F
U B2 L B' L R U2
U B2 L B' R L U2
B2 F2 L F U' L2 F
F2 B2 L F U' L2 F
B F2 L F U' L2 F
U B2 R L B' L U2
U B2 R B' L B' U2
D' B2 U R B L U2
B' F2 U' L' R F R
B' F2 U' L' R' F R
B' F2 U' L' R2 F R
B' F2 U' L' D F R
B' F2 U' L' D' F R
B' F2 U' L' D2 F R
B' F2 U' L' F R D
B' F2 U' L' F R D'
B' F2 U' L' F R D2
B' F2 U' L' F D R
B' F2 U' L' F D' R
B' F2 U' L' F D2 R
B' F2 U' R L' F R
B' F2 U' R' L' F R
B' F2 U' R2 L' F R
B2 F2 U' L' R F R
B2 F2 U' L' R' F R
B2 F2 U' L' R2 F R
B2 F2 U' L' D F R
B2 F2 U' L' D' F R
B2 F2 U' L' D2 F R
B2 F2 U' L' F R D
B2 F2 U' L' F R D'
B2 F2 U' L' F R D2
B2 F2 U' L' F D R
B2 F2 U' L' F D' R
B2 F2 U' L' F D2 R
B2 F2 U' R L' F R
F2 B2 U' L' R F R
F2 B2 U' L' R' F R
F2 B2 U' L' R2 F R
F2 B2 U' L' D F R
F2 B2 U' L' D' F R
F2 B2 U' L' D2 F R
F2 B2 U' L' F R D
F2 B2 U' L' F R D'
F2 B2 U' L' F R D2
F2 B2 U' L' F D R
F2 B2 U' L' F D' R
F2 B2 U' L' F D2 R
B2 F2 U' R' L' F R
B2 F2 U' R2 L' F R
F2 B2 U' R L' F R
F2 B2 U' R' L' F R
F2 B2 U' R2 L' F R
B F2 U' L' R F R
B F2 U' L' R' F R
B F2 U' L' R2 F R
B F2 U' L' D F R
B F2 U' L' D' F R
B F2 U' L' D2 F R
B F2 U' L' F R D
B F2 U' L' F R D'
B F2 U' L' F R D2
B F2 U' L' F D R
B F2 U' L' F D' R
B F2 U' L' F D2 R
B F2 U' R L' F R
B F2 U' R' L' F R
B F2 U' R2 L' F R
F B2 U' L' F L' R
F B2 U' L' F R L'
F B2 U' F L' R F
F B2 U' F R L' F
U B2 D2 R U2 F' R
U2 B2 F2 U L' F R
