R2 D L2 B R'
R2 D B L2 R'
R2 D B R' L2
R2 L D L2 B R'
R2 L D B L2 R'
R2 L D B R' L2
R2 L' D L2 B R'
R2 L' D B L2 R'
R2 L' D B R' L2
L' R2 D L2 B R'
L' R2 D B L2 R'
L' R2 D B R' L2
L2 R2 D L2 B R'
R2 L2 D L2 B R'
L R2 D L2 B R'
L2 R2 D B L2 R'
L2 R2 D B R' L2
R2 L2 D B L2 R'
R2 L2 D B R' L2
L R2 D B L2 R'
L R2 D B R' L2
D L2 R2 D B R'
D R2 L2 D B R'
R2 D L' B L' R'
R2 D L' B R' L'
R2 D L2 B R' D
R2 D L2 B R' D'
R2 D L2 B R' D2
R2 D L2 B D R'
R2 D L2 B D' R'
R2 D L2 B D2 R'
R2 D B L2 R' D
R2 D B L2 R' D'
R2 D B L2 R' D2
R2 D B L2 D R'
R2 D B L2 D' R'
R2 D B L2 D2 R'
R2 D B R' L2 D
R2 D B R' L2 D'
R2 D B R' L2 D2
F' U2 B2 U' F R B2
F' U2 B2 U' F B2 R
F' U2 B2 U' B2 F R
R2 F D L2 F' B R'
R2 F D L2 B F' R'
R2 F D F' L2 B R'
R2 F D F' B L2 R'
R2 F D F' B R' L2
R2 F D B L2 F' R'
R2 F D B F' L2 R'
R2 F D B F' R' L2
U F D R2 U' L2 R'
U F D R2 U' R' L2
U2 F' L U' F B2 U'
U2 F' L U' B2 F U'
U F B2 U F2 L' U2
U F B2 U' R D2 B2
U F B2 U' D2 R B2
U F B2 U' D2 B2 R
U F B2 D R2 U' R'
U F B2 D2 U' R B2
U F B2 D2 U' B2 R
U F' L' U' L B2 U'
R' F' R' B2 U' F B'
R' F' R' B2 U' B' F
D2 F' U F' U F2 R
U2 F' U' F B2 U' R
U2 F' U' B2 F U' R
R2 F' D F L2 B R'
R2 F' D F B L2 R'
R2 F' D F B R' L2
R2 F' D B R' F L2
R2 F' D B F L2 R'
R2 F' D B F R' L2
R' F' B2 R' U' F B
R' F' B2 R' U' B F
D2 F2 U' F U2 F R
D F2 U' L2 F2 B' R'
D F2 U' L2 B' R' F2
D F2 U' L2 B' F2 R'
F' D2 U F2 U F' R
U F2 B2 U F L' U2
D B L2 R2 D B R'
R2 B R' U' B U L
F D2 F2 U F R B2
F D2 F2 U F B2 R
F D2 F2 U B2 F R
D B R2 L2 D B R'
R2 B U D B U' R'
R2 B D U B U' R'
D B' L2 R2 D B R'
D B' R2 L2 D B R'
B' F' U' B' U' R' F
B' F' U' B' U' F R'
F' B' U' B' U' R' F
F' B' U' B' U' F R'
D B2 L2 R2 D B R'
R2 B2 R F' U' F B'
R2 B2 R F' U' B' F
B2 F2 L2 U' F2 B' R'
B2 F2 L2 U' B' R' F2
B2 F2 L2 U' B' F2 R'
F2 B2 L2 U' F2 B' R'
F2 B2 L2 U' B' R' F2
F2 B2 L2 U' B' F2 R'
D B2 R2 L2 D B R'
U B2 R2 F U' B R
B2 F2 U F U2 R F
U B2 U' R2 D B R'
F2 B2 U F U2 R F
R' B2 D' F' R U' F
R' B2 F' R' U' F B
R' B2 F' R' U' B F
B2 F2 D' L2 U' B' R'
F2 B2 D' L2 U' B' R'
U B2 F U F2 L' U2
U B2 F U' R D2 B2
U B2 F U' D2 R B2
U B2 F U' D2 B2 R
U B2 F D R2 U' R'
U B2 F D2 U' R B2
U B2 F D2 U' B2 R
U B2 F2 U F L' U2
