U' L U2 F' U' L2
R2 L' U' L2 B U
R2 L' U' B L2 U
B2 L' U F' R' U'
R2 L' B' D' R2 B2
R2 L' B' D' B2 R2
L' R2 U' L2 B U
L' R2 U' B L2 U
L' R2 B' D' R2 B2
L' R2 B' D' B2 R2
L' U D' F' U' B2
L' U D2 F' R2 U'
L' U F' U' D' B2
L' U F' U2 L2 U
L' U F' D' U' B2
L' U F' D2 R2 U'
L' U' L2 U2 F' U'
R2 U' L B U L2
L' D' U F' U' B2
L' D' B2 U F' U'
F' U' F L' D' B2
L' D2 U F' R2 U'
L' F D F' R2 B
B2 F' R' U' F L'
F' B' U' F L' B'
B' F' U' F L' B'
F' B2 R' U' F L'
L U L2 F D F2 R2
F L2 F2 R U' F L'
L' U R2 U2 L2 B U
L' U R2 U2 B L2 U
L' U R2 D2 R2 F' U'
F2 L2 B' L' U F2 L'
L' U D F' R2 U' B
L' U D F' U F' U2
L' U D' F' R U' B2
L' U D' F' R' U' B2
L' U D' F' R2 U' B2
L' U D' F' U' B2 D
L' U D' F' U' B2 D'
L' U D' F' U' B2 D2
L' U D' F' D' R2 U'
L' U D2 R2 U2 B U
L U D' F' B2 U' B2
L' U D2 F R2 F2 U'
L' U D2 F' R2 U' D
L' U D2 F' R2 U' D'
L' U D2 F' R2 U' D2
L' U D2 F' R2 D U'
L' U D2 F' R2 D' U'
L' U D2 F' R2 D2 U'
L' U D2 F' U' D B2
L' U D2 F' D U' B2
L' U D2 F2 R2 F U'
L U D' B2 F' U' B2
L U F L2 D R2 F2
L U F L2 D F2 R2
L' U F' R U' D' B2
L' U F' R U2 L2 U
L' U F' R D' U' B2
L' U F' R D2 R2 U'
L' U F' R' U' D' B2
L' U F' R' U2 L2 U
L' U F' R' D' U' B2
L' U F' R' D2 R2 U'
L' U F' R2 U' D' B2
L' U F' R2 U2 L2 U
L' U F' R2 D' U' B2
L' U F' R2 D2 R2 U'
L' U F' U D F2 U2
L' U F' U' D' B2 D
L' U F' U' D' B2 D'
L' U F' U' D' B2 D2
L' U F' U' B D' B2
L' U F' U' B' D' B2
L' U F' U' B2 D' B2
L' U F' U2 L2 U D
L' U F' U2 L2 U D'
L' U F' U2 L2 U D2
L' U F' U2 L2 D U
L' U F' U2 L2 D' U
L' U F' U2 L2 D2 U
L' U F' D U F2 U2
L' U F' D' R U' B2
L' U F' D' R' U' B2
L' U F' D' R2 U' B2
L' U F' D' U' B2 D
L' U F' D' U' B2 D'
L' U F' D' U' B2 D2
L' U F' D2 R2 U' D
L' U F' D2 R2 U' D'
L' U F' D2 R2 U' D2
L' U F' D2 R2 D U'
L' U F' D2 R2 D' U'
L' U F' D2 R2 D2 U'
L2 U F' U' D' L B'
L2 U F' D' U' L B'
L U F' U' L2 D' B2
L U F' D' B2 U' B2
L U F' B U' B' L2
L' U F2 U2 L2 B' U
L U F' B' U' L2 B
L U F' B' U' B L2
L2 U F2 R F U' L
L U F' B2 U' L2 B2
L U F' B2 U' B2 L2
L' U F2 D' F U' B2
L' U F2 D2 R2 F U'
L' U F2 D2 F R2 U'
F' R U' F L' D' B2
L U B F' U' B' L2
L U B' F' U' L2 B
L U B' F' U' B L2
L U B2 F' U' L2 B2
L U B2 F' U' B2 L2
R2 U' L D F2 B U
R2 U' L D B F2 U
R2 U' L F B U L2
R2 U' L F' B U L2
R2 U' L F2 B U L2
R2 U' L B U L2 D
R2 U' L B U L2 D'
R2 U' L B U L2 D2
R2 U' L B D F2 U
R2 U' L B F U L2
R2 U' L B F' U L2
R2 U' L B F2 U L2
L2 U' L' U2 F' U' L2
R U' L B' U L2 R'
R U' L B' U R' L2
L' U' L2 R2 B R2 U
L' U' L2 U2 D F' U'
L' U' L2 U2 D' F' U'
L' U' L2 U2 D2 F' U'
L' U' L2 U2 F' U' D
L' U' L2 U2 F' U' D'
L' U' L2 U2 F' U' D2
L' U' L2 U2 F' D U'
L' U' L2 U2 F' D' U'
L' U' L2 U2 F' D2 U'
R2 U' L' B L2 U L2
L' U' L2 D U2 F' U'
L' U' L2 D' U2 F' U'
L' U' L2 D2 U2 F' U'
L' U' L2 B U2 F' U'
L' U' L2 B' U2 F' U'
L' U' L2 B2 U2 F' U'
L' U' R2 L2 B R2 U
L' U' R2 B L2 R2 U
L' U' R2 B R2 L2 U
F' R B' U' F L' B'
R2 U' D L B U L2
U R B' U' L' B' R'
F' R B2 R' U' F L'
R2 U' D' L B U L2
R' U' D2 L B' U L2
R2 U' D2 L B U L2
L' U' F2 L2 F2 B' U
L' U' F2 L2 B' F2 U
L' U' B L2 U2 F' U'
F' R' U' F L' D' B2
L' U' B' L2 U2 F' U'
L' U' B2 L2 U2 F' U'
R2 U2 L B U L2 F
F' R' B' U' F L' B'
L' U2 D F2 U' F U'
F' R' B2 R' U' F L'
U' R2 L B R2 U L2
D2 R2 L' U' L2 B U
D' R2 L' U' L2 B U
D2 R2 L' U' B L2 U
D' R2 L' U' B L2 U
U2 R2 L B U L2 F
D2 R2 L' B' D' R2 B2
D2 R2 L' B' D' B2 R2
D' R2 L' B' D' R2 B2
D' R2 L' B' D' B2 R2
D R2 L' U' L2 B U
D R2 L' U' B L2 U
L' U2 F D F2 U2 R2
L' U2 F D' L2 U2 B2
D R2 L' B' D' R2 B2
D R2 L' B' D' B2 R2
U2 R2 U L B U L2
L' U2 F2 U L2 B' U
D2 R2 U' L B U L2
D' R2 U' L B U L2
L U2 F' U' L2 D F2
L U2 F' B U' L2 F
F' R2 U' F L' D' B2
D R2 U' L B U L2
U R2 U2 L B U L2
L U2 B F' U' L2 F
R' D L' B R' D' B2
R' D L' B D' R' B2
R' D L' B' D' B2 R'
R2 D L' U' L2 B U
R2 D L' U' B L2 U
R2 D L' B' D' R2 B2
R2 D L' B' D' B2 R2
F' R2 B' U' F L' B'
B R2 B' L' D' R2 B2
B R2 B' L' D' B2 R2
L' D U F' R2 U' B
L' D U F' U F' U2
F' R2 B2 R' U' F L'
L D R2 F2 B U F2
L D R2 B F2 U F2
R2 D U' L B U L2
U' D L U2 F' U' L2
L' D U2 F2 U' F U'
R' D B L' D' R' B
R' D B D' L' R' B
R' D B D' R' L' B
R' D B D' R' B L'
L D F2 U2 F U' F
F' U F L' D' B2 R'
R2 D' L' U' L2 B U
R2 D' L' U' B L2 U
R2 D' L' B' D' R2 B2
R2 D' L' B' D' B2 R2
B2 U F' D R' B U'
L' D' R' B D B R'
D' U' L U2 F' U' L2
U' D' L U2 F' U' L2
L' D' R2 U' B U B
D2 U' L U2 F' U' L2
L' D' R2 B' D' R2 B'
L' D' R2 B' D' B' R2
L' D' R2 B2 U' B' U
D U' L U2 F' U' L2
L' D' U F' R U' B2
L' D' U F' R' U' B2
L' D' U F' R2 U' B2
L' D' U F' U' B2 D
L' D' U F' U' B2 D'
L' D' U F' U' B2 D2
L' D' U F' D' R2 U'
R2 D' U' L B U L2
L D' U F' B2 U' B2
L D' U B2 F' U' B2
L' D' F B2 D F' R2
L' D' B U F' U' B
L' D' B' R2 B' D' R2
L' D' B' U F' U' B'
L' D' B2 R2 U' B U
L' D' B2 U D F' U'
L' D' B2 U D' F' U'
L' D' B2 U D2 F' U'
L' D' B2 U F' U' D
L' D' B2 U F' U' D'
L' D' B2 U F' U' D2
L' D' B2 U F' D U'
L' D' B2 U F' D' U'
L' D' B2 U F' D2 U'
L' D' B2 D U F' U'
L' D' B2 D' U F' U'
L' D' B2 D2 U F' U'
L' D' B2 F D F' R2
R' D2 L' U' L2 B' U
F' U' F L' U' L2 U
F' U' F L' D' B2 D
F' U' F L' D' B2 D'
F' U' F L' D' B2 D2
F' U' F L' B D' B2
F' U' F L' B' D' B2
F' U' F L' B2 D' B2
F' U' F U' L U L2
R2 D2 L' U' L2 B U
R2 D2 L' U' B L2 U
F' U' F D L' D' B2
F' U' F D' L' D' B2
F' U' F D2 L' D' B2
U' D2 L U2 F' U' L2
R2 D2 L' B' D' R2 B2
R2 D2 L' B' D' B2 R2
L' D2 R2 U' B U B'
L' D2 U R2 U2 B U
L' D2 U F R2 F2 U'
L' D2 U F' R2 U' D
L' D2 U F' R2 U' D'
L' D2 U F' R2 U' D2
L' D2 U F' R2 D U'
L' D2 U F' R2 D' U'
L' D2 U F' R2 D2 U'
L' D2 U F' U' D B2
L' D2 U F' D U' B2
L' D2 U F2 R2 F U'
R' D2 U' L B' U L2
R2 D2 U' L B U L2
F' U2 L U L' F L'
F' U2 L U F L' F
F' U2 L F U L' F
L' D2 F D F' R2 B2
L' D2 F D F' B2 R2
L' D2 F D B2 F' R2
L' D2 B U F' R2 U'
L' D2 B' U F' R2 U'
L' D2 B2 U F' R2 U'
F' U2 F' L U F2 L'
L F L2 D F' R2 B
L F U L2 D F' R2
B2 D L' U F' R' U'
L' F D F' R2 D B
L' F D F' R2 D' B
L' F D F' R2 D2 B
L' F D F' R2 B D
L' F D F' R2 B D'
L' F D F' R2 B D2
L' F D F' B R2 B
L' F D F' B' R2 B
L' F D F' B2 R2 B
L' F D B F' R2 B
L' F D B' F' R2 B
L' F D B2 F' R2 B
L F U2 F2 U' F L2
L' F D' F' B2 D2 R2
L' F D' B2 D2 F' R2
L' F D' B2 F' D2 R2
L F D F2 U R2 F
L F D F2 U F R2
L' F B D F' R2 B
L' F B' D F' R2 B
L' F B2 D F' R2 B
B' D F' U' F L' B'
B2 D F' R' U' F L'
F D F' L' R2 D' B2
F D F' R2 L' D' B2
F' D B2 R' B U' F
D2 F' U' F L' D' B2
D' F' U' F L' D' B2
L2 F' U' D' F L B'
L2 F' U' F L D' B2
L F' U F L2 D2 R2
D F' U' F L' D' B2
B2 D' L' U F' R' U'
L F' U' F' L2 F2 B'
L F' U' F' L2 B' F2
U F' U2 L F U L'
B D' L' R' D B R'
U F' U2 F L U L2
L2 F' D' U' F L B'
U F' D B2 R' B U'
B D' R' L' D B R'
B D' R' D L' B R'
D2 F' B' U' F L' B'
B D' R' D B L' R'
B D' R' D B R' L'
D' F' B' U' F L' B'
D2 F' B2 R' U' F L'
D' F' B2 R' U' F L'
D F' B' U' F L' B'
D F' B2 R' U' F L'
U F' B2 D R' B U'
R2 F2 L B U F2 L'
B' D' F' U' F L' B'
L' F2 L2 B' U L2 F2
L' F2 L2 B' U F2 L2
B2 D' F' R' U' F L'
L2 F2 R F U' F L
L' F2 U' L2 B' U F2
B2 D2 L' U F' R' U'
B D2 L' U F' R U'
L F2 U2 F U' F L2
L F2 D F2 R2 B U
B' D2 F' U' F L' B'
B2 D2 F' R' U' F L'
B D2 F' R U' F L'
F D2 F' L' D' R2 B2
F D2 F' L' D' B2 R2
L' B R2 U' L2 B U
L' B R2 U' B L2 U
L' B R2 B' D' R2 B2
L' B R2 B' D' B2 R2
L' B U D' F' U' B2
L' B U D2 F' R2 U'
L' B U F' U' D' B2
L' B U F' U2 L2 U
L' B U F' D' U' B2
L' B U F' D2 R2 U'
L' B U' L2 U2 F' U'
L' B D' U F' U' B2
L' B D' B2 U F' U'
L' B D2 U F' R2 U'
L' B F D F' R2 B
U B' R U' L' B' R'
L' B' R2 U' L2 B U
L' B' R2 U' B L2 U
L' B' R2 B' D' R2 B2
L' B' R2 B' D' B2 R2
L' B' U D' F' U' B2
L' B' U D2 F' R2 U'
L' B' U F' U' D' B2
L' B' U F' U2 L2 U
L' B' U F' D' U' B2
L' B' U F' D2 R2 U'
L' B' U' L2 U2 F' U'
B' F' R U' F L' B'
F' B' R U' F L' B'
B' F' R' U' F L' B'
F' B' R' U' F L' B'
B2 F' R' U' F L' D
B2 F' R' U' F L' D'
B2 F' R' U' F L' D2
B2 F' R' U' F D L'
B2 F' R' U' F D' L'
B2 F' R' U' F D2 L'
B' F' R2 U' F L' B'
B2 F' R' B U' F L'
B2 F' R' B' U' F L'
B2 F' R' B2 U' F L'
F' B' R2 U' F L' B'
L' B' D' U F' U' B2
L' B' D' B2 U F' U'
L' B' D2 U F' R2 U'
B' F' U' F L' D B'
B' F' U' F L' D' B'
B' F' U' F L' D2 B'
B' F' U' F L' B' D
B' F' U' F L' B' D'
B' F' U' F L' B' D2
B' F' U' F D L' B'
B' F' U' F D' L' B'
B' F' U' F D2 L' B'
B' F' U' F B L' B'
B' F' U' F B' L' B'
B' F' U' F B2 L' B'
B' F' U' B F L' B'
B' F' U' B' F L' B'
B' F' U' B2 F L' B'
L' B' F D F' R2 B
F' B' U' F L' D B'
F' B' U' F L' D' B'
F' B' U' F L' D2 B'
F' B' U' F L' B' D
F' B' U' F L' B' D'
F' B' U' F L' B' D2
F' B' U' F D L' B'
F' B' U' F D' L' B'
F' B' U' F D2 L' B'
F' B' U' F B L' B'
F' B' U' F B' L' B'
F' B' U' F B2 L' B'
F' B' U' B F L' B'
F' B' U' B' F L' B'
D2 B' F' U' F L' B'
F' B' U' B2 F L' B'
D' B' F' U' F L' B'
B2 F' D R' B U' F
D B' F' U' F L' B'
D2 B2 L' U F' R' U'
D' B2 L' U F' R' U'
D B2 L' U F' R' U'
L' B2 R2 U' L2 B U
L' B2 R2 U' B L2 U
L' B2 R2 B' D' R2 B2
L' B2 R2 B' D' B2 R2
L' B2 U D' F' U' B2
L' B2 U D2 F' R2 U'
L' B2 U F' U' D' B2
L' B2 U F' U2 L2 U
L' B2 U F' D' U' B2
L' B2 U F' D2 R2 U'
F' B2 R' U' F L' D
F' B2 R' U' F L' D'
F' B2 R' U' F L' D2
F' B2 R' U' F D L'
F' B2 R' U' F D' L'
F' B2 R' U' F D2 L'
L' B2 U' L2 U2 F' U'
R B2 R' F' U' F L'
F' B2 R' B U' F L'
F' B2 R' B' U' F L'
F' B2 R' B2 U' F L'
L' B2 D' U F' U' B2
L' B2 D' B2 U F' U'
L' B2 D2 U F' R2 U'
F' B2 D R' B U' F
L' B2 F D F' R2 B
D2 B2 F' R' U' F L'
D' B2 F' R' U' F L'
D B2 F' R' U' F L'
U B2 F' D R' B U'
