U2 L B2 U' R
U2 L U' R D L2
U2 L U' D L2 R
U2 L U' D R L2
U2 L D U' L2 R
U2 L D U' R L2
U L B2 U' R B2
U L B2 U' B2 R
U2 L B2 U' R D
U2 L B2 U' R D'
U2 L B2 U' R D2
U2 L B2 U' D R
U2 L B2 U' D' R
U2 L B2 U' D2 R
U2 L B2 D U' R
U2 L B2 D' U' R
U2 L B2 D2 U' R
U L' R D L2 F2
U L' R D F2 L2
U L' D L2 R F2
U L' D R L2 F2
U L' D R F2 L2
U2 L' B2 L2 U' R
R U L B2 U' B2
U2 L2 B2 L' U' R
U R L' D L2 F2
U R L' D F2 L2
U R U L B2 U'
B2 R' U R2 D2 L2
R' U2 L B2 U' R2
U2 D L U' L R
U2 D L U' R L
R' D B2 R' U L2
D U2 L U' L R
D U2 L U' R L
L' B2 L2 R' U' R2
L' B2 R' L2 U' R2
D2 B2 R' F2 U R2
D B2 R' U L2 R2
D B2 R' U R2 L2
U2 B2 U' R D' F2
U2 B2 U2 R' U R2
L B2 U2 L' U R
U R U L2 B2 L' U'
U R U D L U' L
U R U B2 U2 R' U
L' U B2 L2 R' U' R2
L' U B2 R' L2 U' R2
U R D L' D L' F2
U R D L2 U L' U'
U R D U L U' L
R U B2 U2 R' U B2
U R F L' D L2 F2
U R F L' D F2 L2
U R F U L B2 U'
U R F' L' D L2 F2
U R F' L' D F2 L2
U R F' U L B2 U'
D2 R F2 B2 R' U R
U R F2 L' D L2 F2
U R F2 L' D F2 L2
U R F2 U L B2 U'
B2 R B' R2 F' U R2
D R B2 R' U L2 R
D R B2 R' U R L2
D2 R B2 F2 R' U R
U2 R' L B2 R U' R
U R' L B2 U' R2 B2
U R' L B2 U' B2 R2
B2 R' U L R2 D2 L2
B2 R' U L' R2 D2 L2
B2 R' U L2 R2 D2 L2
B2 R' U R2 L D2 L2
B2 R' U R2 L' D2 L2
B2 R' U R2 L2 D2 L2
B2 R' U R2 U2 R2 U2
B2 R' U R2 D2 L2 D
B2 R' U R2 D2 L2 D'
B2 R' U R2 D2 L2 D2
U R' U L B2 U' R2
U' R' U' L B2 U' R2
B2 R' U' L U2 L' R2
B2 R' U' L U2 R2 L'
B2 R' U' L' U2 L R2
B2 R' U' L' U2 R2 L
B2 R' U' L2 U2 L2 R2
B2 R' U' L2 U2 R2 L2
B2 R' U' D2 L2 U2 L2
D R' U2 L U' L R2
D R' U2 L U' R2 L
L' U' B2 L2 R' U' R2
L' U' B2 R' L2 U' R2
D' R' D B2 R' U L
B2 R' D B2 U D L2
B2 R' D B2 U2 B2 U'
B2 R' D B2 D U L2
B2 R' D B2 D2 F2 U
D R' D F2 B2 R' U
D R' D B2 R' F2 U
R' U2 L U' R2 D L2
D R' D B2 F2 R' U
R' U2 L F B2 U' R2
R' U2 L F' B2 U' R2
R' U2 L F2 B2 U' R2
R' U2 L B2 U' R2 D
R' U2 L B2 U' R2 D'
R' U2 L B2 U' R2 D2
R' U2 L B2 D' F2 U'
R' U2 L B2 F U' R2
R' U2 L B2 F' U' R2
R' U2 L B2 F2 U' R2
R2 U2 L U' R' D L2
R2 U2 L U' D L2 R'
R2 U2 L U' D R' L2
R2 U2 L D U' L2 R'
R2 U2 L D U' R' L2
B2 R' D2 U' L2 U2 L2
R2 U2 L B2 U L U2
R U2 L F2 B2 U' R
R' U2 L' B2 L2 U' R2
R U2 L B2 U L' U2
R U2 L B2 F2 U' R
L U2 L' U R D L2
L U2 L' U D L2 R
L U2 L' U D R L2
B2 R' F U R2 D2 L2
L U2 L' U2 B2 U' R
L U2 L' D U L2 R
L U2 L' D U R L2
R' U2 L2 B2 L' U' R2
R U2 L' B2 L2 U' R'
B2 R' F' U R2 D2 L2
D2 R' F2 U2 L U' R2
D2 R' F2 D B2 R' U
B2 R' F2 U R2 D2 L2
D2 R' F2 B2 R' U R'
B2 R' B U2 B' U' R2
B R' B R' F' U R'
B2 R' B' U2 B U' R2
R2 U2 D L U' L R'
R2 U2 D L U' R' L
D2 R' B2 R' F2 U R'
D' R' B2 R' U L R'
D' R' B2 R' U R' L
L U2 D L' U L' R
L U2 D L' U R L'
B2 R' B2 U R2 D L2
D2 R' B2 F2 R' U R'
B2 R' B2 U2 B2 U' R2
D R' B2 R' U L2 R'
D R' B2 R' U R' L2
B2 R' B2 D B2 U L2
R' U2 F L B2 U' R2
R' U2 F' L B2 U' R2
U R2 L B2 U' B2 R'
U R2 L' D L2 R' F2
U R2 L' D L2 F2 R'
U R2 L' D R' L2 F2
U R2 L' D R' F2 L2
U R2 L' D F2 L2 R'
U R2 L' D F2 R' L2
R' U2 F2 L B2 U' R2
B2 R2 U R' D' F2 L'
D' R2 U2 L U' L' R'
D' R2 U2 L U' R' L'
D R2 U2 L U' L R'
D R2 U2 L U' R' L
L' U2 B2 L2 R' U' R2
R' U2 B2 U2 R' U R'
L' U2 B2 R' L2 U' R2
L' D L U L R F2
L' D L U R L F2
L' D L U R F2 L
R U2 B2 U2 R' U R
B R2 D2 F' R U R2
R' D R B2 R' U L2
D2 R2 F2 U2 L U' R'
R' D R' B2 R' U L2
R' D R2 B2 R' U L2
F' U L F B2 U' B2
U2 D L U' L R D
U2 D L U' L R D'
U2 D L U' L R D2
U2 D L U' L D R
U2 D L U' L D' R
U2 D L U' L D2 R
U2 D L U' R L D
U2 D L U' R L D'
U2 D L U' R L D2
U2 D L U' R D L
U2 D L U' R D' L
U2 D L U' R D2 L
U2 D L U' D L R
U2 D L U' D R L
U2 D L U' D' L R
U2 D L U' D' R L
U2 D L U' D2 L R
U2 D L U' D2 R L
U2 D L D U' L R
U2 D L D U' R L
R2 D U2 L U' L R'
R2 D U2 L U' R' L
D' U L' R D F2 L'
U2 D L D' U' L R
U2 D L D' U' R L
U2 D L D2 U' L R
U2 D L D2 U' R L
F' U L B2 F U' B2
D2 U L' D R F2 L'
L D U2 L' U L' R
L D U2 L' U R L'
R' D F B2 R' U L2
D U L' R D L' F2
D U L' D L' R F2
D U L' D R L' F2
U D L' R D L' F2
U D L' D L' R F2
U D L' D R L' F2
R' D F' B2 R' U L2
D U L2 R U L' U'
D' U R L' D F2 L'
D U L2 U L' U' R
U D L2 R U L' U'
U D L2 U L' U' R
D' U R F2 L' D F2
R' D F2 B2 R' U L2
D U R L' D L' F2
D U R L2 U L' U'
D U R U L U' L
U D R L' D L' F2
U D R L2 U L' U'
U D R U L U' L
R' D B2 R' U L2 D
R' D B2 R' U L2 D'
R' D B2 R' U L2 D2
R' D B2 R' D F2 U
R' D B2 R' F U L2
R' D B2 R' F' U L2
R' D B2 R' F2 U L2
R' D B2 D R' F2 U
R' D B2 D F2 R' U
R' D B2 F R' U L2
R' D B2 F' R' U L2
R' D B2 F2 R' U L2
R D B2 R' U L2 R
R D B2 R' U R L2
U2 D' L U R2 U2 R'
U2 D' L U' D2 L2 R
U2 D' L U' D2 R L2
U2 D' L D B2 U' R
U2 D' L D2 U' L2 R
U2 D' L D2 U' R L2
U D' L' R D F2 L'
F2 U' L' U' L2 B2 U'
F2 U' L' U' B2 L2 U'
F2 U' L' U2 D L2 F2
F2 U' L' U2 D F2 L2
F2 U' L' D U2 L2 F2
F2 U' L' D U2 F2 L2
F2 U' L' D' R2 B2 U2
F2 U' L' D' B2 R2 U2
U D' R L' D F2 L'
U' D' R2 U' L U' R'
D' U' R2 U' L U' R'
U D' R F2 L' D F2
B2 U' R D' F2 D2 B2
L' D2 L R2 F2 U R'
D' U2 L U R2 U2 R'
D' U2 L U' D2 L2 R
D' U2 L U' D2 R L2
D' U2 L D B2 U' R
D2 U2 L U' R D' L2
D2 U2 L U' D' L2 R
D2 U2 L U' D' R L2
D' U2 L D2 U' L2 R
D' U2 L D2 U' R L2
D2 U2 L D' U' L2 R
D2 U2 L D' U' R L2
D2 U2 L D2 B2 U' R
U2 D2 L U' R D' L2
U2 D2 L U' D' L2 R
U2 D2 L U' D' R L2
U2 D2 L D' U' L2 R
U2 D2 L D' U' R L2
U2 D2 L D2 B2 U' R
D U2 L U' L R D
D U2 L U' L R D'
D U2 L U' L R D2
D U2 L U' L D R
D U2 L U' L D' R
D U2 L U' L D2 R
D U2 L U' R L D
D U2 L U' R L D'
D U2 L U' R L D2
D U2 L U' R D L
D U2 L U' R D' L
D U2 L U' R D2 L
D U2 L U' D L R
D U2 L U' D R L
D U2 L U' D' L R
D U2 L U' D' R L
D U2 L U' D2 L R
D U2 L U' D2 R L
D U2 L D U' L R
D U2 L D U' R L
D U2 L D' U' L R
D U2 L D' U' R L
D U2 L D2 U' L R
D U2 L D2 U' R L
L' D2 R2 L F2 U R'
U D2 L' D R F2 L'
L' D2 R2 F2 L U R'
F2 U2 L D F2 U' L2
F2 U2 L B2 U L2 U2
F2 U2 L B2 U' D2 R2
F2 U2 L B2 D F2 U'
F2 U2 L B2 D2 U' R2
F U2 L F' B2 U' R
F U2 L B2 F' U' R
F2 U2 L2 B2 L' U' R'
R' D2 F2 D' B2 R' U
R2 D2 F2 U2 L U' R'
B2 U2 R' U2 R U' R
R D2 F2 B2 R' U R
U2 F L F' B2 U' R
U2 F L B2 F' U' R
B U2 D' B U' R F'
R D2 B2 F2 R' U R
F2 U2 F2 L B2 U' R
F U2 F' L B2 U' R
B' U2 B' U' R' F' R2
B U2 B U' R D' F2
B U2 B U2 R' U R2
B U2 B' L B2 U' R
R' F U2 L B2 U' R2
R F U L B2 U' B2
R' F D B2 R' U L2
B2 D R' U R2 D2 L2
U2 F' L F B2 U' R
U2 F' L B2 F U' R
U F' U L F B2 U'
U F' U L B2 F U'
R' F' U2 L B2 U' R2
R F' U L B2 U' B2
F D B2 R' B U L2
R' F' D B2 R' U L2
B2 D' R' U R2 D2 L2
B D' R' U R2 F' L'
U2 F2 L D F2 U' L2
U2 F2 L B2 U L2 U2
U2 F2 L B2 U' D2 R2
U2 F2 L B2 D F2 U'
U2 F2 L B2 D2 U' R2
B D' U2 B U' R F'
U2 F2 L2 B2 L' U' R'
L F2 R F2 B2 U' R
L F2 R B2 U L' U2
L F2 R B2 F2 U' R
D2 F2 U' L' U' L2 U'
D2 F2 U' L' U2 D F2
D2 F2 U' L' D U2 F2
D2 F2 U' L' D' B2 U2
R' F2 U2 L B2 U' R2
D2 F2 U2 L U L2 U2
D2 F2 U2 L U' D2 R2
D2 F2 U2 L D F2 U'
D2 F2 U2 L D2 U' R2
R F2 U L B2 U' B2
D2 F2 U2 F2 L U' R
R' F2 D B2 R' U L2
B2 D2 R' U R2 D2 L2
D2 F2 B' U' L' B' U2
D2 F2 B2 R' U' L' U2
B D2 R2 F' R U R2
L F2 B2 R U L' U2
L F2 B2 R F2 U' R
L' B L2 B R' U' R2
D B L2 D' R F' B2
D B L2 D' R B2 F'
D B L2 D' B2 R F'
F2 D2 F2 U2 L U' R
F2 D2 F2 B2 R' U R2
D2 B U D' L2 R F'
D2 B U D' R L2 F'
D2 B U D' R F' L2
F2 D2 B2 R' F2 U R
D B U L2 D' R F'
F2 D2 B2 F2 R' U R2
D2 B D' U L2 R F'
D2 B D' U R L2 F'
D2 B D' U R F' L2
U2 B D' B U' R F'
D2 B' R2 F2 U R' F'
D B' R2 U L2 R' F'
D B' R2 U R' L2 F'
D B' R2 U R' F' L2
D' B' U' R2 U2 R' F'
D B' U L2 R' F' R2
D B' U R' L2 F' R2
D B' U R' F' L2 R2
D B' U R' F' R2 L2
B' F' U2 B' U' R' F'
D2 B' F2 U' L' B' U2
F' B' U2 B' U' R' F'
U2 B2 L U' R D' F2
U2 B2 L U2 R' U R2
U2 B2 L' U' R D' F2
L2 B2 L' U2 L' U R
U2 B2 L' U2 R' U R2
L' B2 L2 R' U' R2 D
L' B2 L2 R' U' R2 D'
L' B2 L2 R' U' R2 D2
L' B2 L2 R' D' F2 U'
L' B2 L2 R' F U' R2
L' B2 L2 R' F' U' R2
L' B2 L2 R' F2 U' R2
L' B2 L2 U' R D B2
L' B2 L2 D R' U' R2
L' B2 L2 D' R' U' R2
L' B2 L2 D2 R' U' R2
U2 B2 L2 U' R D' F2
U2 B2 L2 U2 R' U R2
D B2 L2 R D' F2 B2
D B2 L2 R D' B2 F2
D2 B2 R F2 R2 U R2
D2 B2 R' U R2 D' L2
L' B2 R' L2 U' R2 D
L' B2 R' L2 U' R2 D'
L' B2 R' L2 U' R2 D2
L' B2 R' L2 D' F2 U'
L' B2 R' L2 F U' R2
L' B2 R' L2 F' U' R2
L' B2 R' L2 F2 U' R2
D' B2 R' U' R' U2 R'
L' B2 R' U' R2 D F2
D' B2 R' D B2 U L
D2 B2 R' F2 U R2 D
D2 B2 R' F2 U R2 D'
D2 B2 R' F2 U R2 D2
D2 B2 R' F2 D B2 U
D2 B2 R' F2 B U R2
D2 B2 R' F2 B' U R2
D2 B2 R' F2 B2 U R2
D B2 R L2 D' F2 B2
D B2 R L2 D' B2 F2
L' B2 R' F L2 U' R2
D2 B2 R' B F2 U R2
L' B2 R' F' L2 U' R2
D2 B2 R' B' F2 U R2
L' B2 R' F2 L2 U' R2
D2 B2 R' B2 F2 U R2
D' B2 R' B2 U L R2
D' B2 R' B2 U R2 L
R2 B2 R' U' L U2 L'
D B2 R' U L2 R2 D
D B2 R' U L2 R2 D'
D B2 R' U L2 R2 D2
D B2 R' U R2 L2 D
D B2 R' U R2 L2 D'
D B2 R' U R2 L2 D2
L B2 R F2 R U' R'
D B2 R' D F2 B2 U
D B2 R' D B2 F2 U
D2 B2 U R D' L2 F2
D2 B2 U R D' F2 L2
D B2 R' F U L2 R2
D B2 R' F U R2 L2
D B2 R' F' U L2 R2
D B2 R' F' U R2 L2
D' B2 U R D' F2 L'
D B2 R' F2 U L2 R2
D B2 R' F2 U R2 L2
D B2 R' B U L2 R2
D B2 R' B U R2 L2
D B2 R' B' U L2 R2
D B2 R' B' U R2 L2
D B2 R' B2 U L2 R2
D B2 R' B2 U R2 L2
L B2 R' U2 L' U R2
L B2 R' D' F2 R U'
L B2 R' F2 R U' R
B2 F2 R' U' L' U2 L
F2 B2 R' U' L' U2 L
L' B2 U' R D F2 B2
L' B2 U' R D B2 F2
L B2 R2 U2 L' U R'
D B2 U L2 R D' F2
D B2 U R L2 D' F2
L B2 R2 F2 R U' R2
U2 B2 U' R U' R2 U
U2 B2 U' R D' F2 D
U2 B2 U' R D' F2 D'
U2 B2 U' R D' F2 D2
U2 B2 U' R F D' F2
U2 B2 U' R F' D' F2
U2 B2 U' R F2 D' F2
U2 B2 U' D R D' F2
U2 B2 U' D' R D' F2
U2 B2 U' D2 R D' F2
U2 B2 U2 R' U R2 D
U2 B2 U2 R' U R2 D'
U2 B2 U2 R' U R2 D2
U2 B2 U2 R' D B2 U
U2 B2 U2 R' B U R2
U2 B2 U2 R' B' U R2
U2 B2 U2 R' B2 U R2
U2 B2 U2 D R' U R2
U2 B2 U2 D' R' U R2
U2 B2 U2 D2 R' U R2
L' B2 D R' U' R2 F2
L' B2 D R' U' F2 R2
L B2 U' R U' L' U
U B2 U' R B2 D' F2
D2 B2 D' R' U L2 R2
D2 B2 D' R' U R2 L2
U2 B2 D U' R D' F2
L B2 U2 L' U R D
L B2 U2 L' U R D'
L B2 U2 L' U R D2
L B2 U2 L' U D R
L B2 U2 L' U D' R
L B2 U2 L' U D2 R
L B2 U2 L' D U R
L B2 U2 L' D' U R
L B2 U2 L' D2 U R
D' B2 D' R' F2 U R2
L B2 U2 L' B U R
L B2 U2 L' B' U R
U2 B2 D U2 R' U R2
L B2 U2 L' B2 U R
U B2 U2 R' U R2 B2
U B2 U2 R' U B2 R2
L B2 U2 D L' U R
L B2 U2 D' L' U R
L B2 U2 D2 L' U R
L2 B2 D' L' U' R B2
L2 B2 D' L' U' B2 R
D B2 D R' F2 U R2
L B2 U2 B L' U R
L B2 U2 B' L' U R
L B2 U2 B2 L' U R
D' B2 D2 R' U L2 R2
D' B2 D2 R' U R2 L2
U2 B2 D' U' R D' F2
U2 B2 D' U2 R' U R2
L B2 D U2 L' U R
L2 B2 D2 L' R2 U' R'
L2 B2 D2 R2 L' U' R'
U2 B2 D2 U' R D' F2
U2 B2 D2 U2 R' U R2
L B2 D' U2 L' U R
D2 B2 F2 R' U' L' U2
L B2 D2 U2 L' U R
L B2 F2 R U L' U2
L B2 F2 R F2 U' R
