F L' F U D R2
F L' F U2 F2 U'
F L' F D U R2
F L' F D2 B2 U
L' F L' U2 F' U'
F R2 L' F B R2 U
R U2 F R' L' F U
F R2 L' B R2 F U
F R2 L' B F R2 U
L U2 B' R2 F' R U'
F R2 B L' R2 F U
F R2 B L' F R2 U
F R2 B R2 L' F U
D' U L B' L D2 R2
U' D R F' R U2 R2
D U R F' R U2 F
U D R F' R U2 F
U' D F' R F' U2 R'
R2 D' L U' F2 B' L
R2 D' L U' B' L F2
R2 D' L U' B' F2 L
D U F' R F' U2 F2
U D F' R F' U2 F2
U D' L B' L D2 R2
R2 D' U' L F2 B' L
R2 D' U' L B' L F2
R2 D' U' L B' F2 L
R2 D' U' F2 L B' L
R2 D' U' F2 B' L B'
R2 D' U' B' L F2 B'
R2 D' U' B' L B' F2
R2 D' U' B' F2 L B'
D U' R F' R U2 R2
D U' F' R F' U2 R'
R2 D' B' U' L F2 B'
R2 D' B' U' L B' F2
R2 D' B' U' F2 L B'
U' D' B' L B' D2 F2
D' U' B' L B' D2 F2
R2 D2 L2 R' B R' U'
R2 D2 L2 B R' B U'
R2 D2 R' L2 B R' U'
R2 D2 R' B L2 R' U'
R2 D2 R' B R' L2 U'
F' U2 R D F U' L'
R2 D2 B L2 R' B U'
R2 D2 B R' L2 B U'
R2 D2 B R' B L2 U'
R D2 B R' B L U'
F' U2 D R F U' L'
L' F L' R2 B R2 U
L' F L' U2 D F' U'
L' F L' U2 D' F' U'
L' F L' U2 D2 F' U'
L' F L' U2 F' U' D
L' F L' U2 F' U' D'
L' F L' U2 F' U' D2
L' F L' U2 F' D U'
L' F L' U2 F' D' U'
L' F L' U2 F' D2 U'
L' F L' D U2 F' U'
L' F L' D' U2 F' U'
L' F L' D2 U2 F' U'
L' F L' B U2 F' U'
L2 F L' U2 F' B' U'
L' F L' B' U2 F' U'
L2 F L' U2 B' F' U'
L' F L' B2 U2 F' U'
R2 F L' R2 F B U
R2 F L' R2 B F U
U2 F L' F U2 L U'
L' F R2 L' B R2 U
L' F R2 B L' R2 U
L' F R2 B R2 L' U
R2 F R2 L' F B U
R2 F R2 L' B F U
R2 F R2 B L' F U
U F U L' F U F2
L' F U2 F2 R F U'
L' F D L' U2 F' U'
L' F D' L' U2 F' U'
L' F D2 L' U2 F' U'
L' F B L' U2 F' U'
L' F B' L' U2 F' U'
L' F B2 L' U2 F' U'
F' D U2 R F U' L'
L' F' L' F2 L' B' U
L' F' L2 F2 B' L' U
L' F' L2 B' F2 L' U
L2 F' U2 R F B U'
L2 F' U2 R B F U'
L F' U2 R F B' U'
L F' U2 R B' F U'
L F' U2 B' R F U'
L' F2 D F' L' U R2
L F2 U2 F2 B' R' U'
L F2 U2 B' R' F2 U'
L F2 U2 B' F2 R' U'
L' F2 D2 F' L' B2 U
L' F2 D2 F' B2 L' U
L' F2 D2 B2 F' L' U
D2 B R' B U2 R U
B' F L' F U D R2
B' F L' F U2 F2 U'
B' F L' F D U R2
B' F L' F D2 B2 U
B2 F L' F U D R2
B2 F L' F U2 F2 U'
B2 F L' F D U R2
B2 F L' F D2 B2 U
U' B D' L B' L F
B F L' F U D R2
B F L' F U2 F2 U'
B F L' F D U R2
B F L' F D2 B2 U
F B L' F U D R2
F B L' F U2 F2 U'
F B L' F D U R2
F B L' F D2 B2 U
L' B F L' U2 F' U'
F B' L' F U D R2
F B' L' F U2 F2 U'
F B' L' F D U R2
F B' L' F D2 B2 U
L' B' F L' U2 F' U'
F B2 L' F U D R2
F B2 L' F U2 F2 U'
F B2 L' F D U R2
F B2 L' F D2 B2 U
L' B2 F L' U2 F' U'
R B2 D' L U' B' L
