L2 U' L' B' R'
F' L2 U' L' B' R'
F2 L2 U' L' B' R'
F L2 U' L' B' R'
L2 U' L' R B' R'
L2 U' L' R' B' R'
L2 U' L' R2 B' R'
L2 U' L' D B' R'
L2 U' L' D' B' R'
L2 U' L' D2 B' R'
L2 U' L' B' R' D
L2 U' L' B' R' D'
L2 U' L' B' R' D2
L2 U' L' B' D R'
L2 U' L' B' D' R'
L2 U' L' B' D2 R'
L2 U' R L' B' R'
L2 U' R' L' B' R'
L2 U' R2 L' B' R'
L2 U' D L' B' R'
L2 U' D' L' B' R'
L2 U' D2 L' B' R'
L2 U' B' L' R' B'
L2 U' B' R' L' B'
L2 D U' L' B' R'
L2 D' U' L' B' R'
L2 D2 U' L' B' R'
R' F' L2 U' L' B'
L2 U' R' L' B' R' D'
L2 U' R' L' B' R' D2
L2 U' R' L' B' D R'
L2 U' R' L' B' D' R'
L2 U' R' L' B' D2 R'
L2 U' R' D L' B' R'
L2 U' R' D' L' B' R'
L2 U' R' D2 L' B' R'
L2 U' R' B' L' R' B'
L2 U' R' B' R' L' B'
L2 U' R2 L' D B' R'
L2 U' R2 L' D' B' R'
L2 U' R2 L' D2 B' R'
L2 U' R2 L' B' R' D
L2 U' R2 L' B' R' D'
L2 U' R2 L' B' R' D2
L2 U' R2 L' B' D R'
L2 U' R2 L' B' D' R'
L2 U' R2 L' B' D2 R'
L2 U' R2 D L' B' R'
L2 U' R2 D' L' B' R'
L2 U' R2 D2 L' B' R'
L2 U' R2 B' L' R' B'
L2 U' R2 B' R' L' B'
L2 U' D L' R B' R'
L2 U' D L' R' B' R'
L2 U' D L' R2 B' R'
L2 U' D L' D B' R'
L2 U' D L' D' B' R'
L2 U' D L' D2 B' R'
L2 U' D L' B' R' D
L2 U' D L' B' R' D'
L2 U' D L' B' R' D2
L2 U' D L' B' D R'
L2 U' D L' B' D' R'
L2 U' D L' B' D2 R'
L2 U' D R L' B' R'
L2 U' D R' L' B' R'
L2 U' D R2 L' B' R'
L2 U' D B' L' R' B'
L2 U' D B' R' L' B'
L2 U' D' L' R B' R'
L2 U' D' L' R' B' R'
L2 U' D' L' R2 B' R'
L2 U' D' L' D B' R'
L2 U' D' L' D' B' R'
L2 U' D' L' D2 B' R'
L2 U' D' L' B' R' D
L2 U' D' L' B' R' D'
L2 U' D' L' B' R' D2
L2 U' D' L' B' D R'
L2 U' D' L' B' D' R'
L2 U' D' L' B' D2 R'
L2 U' D' R L' B' R'
L2 U' D' R' L' B' R'
L2 U' D' R2 L' B' R'
L2 U' D' B' L' R' B'
L2 U' D' B' R' L' B'
L2 U' D2 L' R B' R'
L2 U' D2 L' R' B' R'
L2 U' D2 L' R2 B' R'
L2 U' D2 L' D B' R'
L2 U' D2 L' D' B' R'
L2 U' D2 L' D2 B' R'
L2 U' D2 L' B' R' D
L2 U' D2 L' B' R' D'
L2 U' D2 L' B' R' D2
L2 U' D2 L' B' D R'
L2 U' D2 L' B' D' R'
L2 U' D2 L' B' D2 R'
L2 U' D2 R L' B' R'
L2 U' D2 R' L' B' R'
L2 U' D2 R2 L' B' R'
L2 U' D2 B' L' R' B'
L2 U' D2 B' R' L' B'
B' R' L2 F' B U' L
B' R' L2 B F' U' L
L2 U' B L' D2 R2 B'
L2 U' B L' D2 B' R2
L2 U' B L' B' D2 R2
L2 U' B' L' R B' R2
L2 U' B' L' R' D B'
L2 U' B' L' R' D' B'
L2 U' B' L' R' D2 B'
L2 U' B' L' R' B' D
L2 U' B' L' R' B' D'
L2 U' B' L' R' B' D2
L2 U' B' L' R2 B' R
L2 U' B' L' D R' B'
L2 U' B' L' D' R' B'
L2 U' B' L' D2 R' B'
L2 U' B' R L' B' R2
L2 U' B' R' L' D B'
L2 U' B' R' L' D' B'
L2 U' B' R' L' D2 B'
L2 U' B' R' L' B' D
L2 U' B' R' L' B' D'
L2 U' B' R' L' B' D2
L2 U' B' R' D L' B'
L2 U' B' R' D' L' B'
L2 U' B' R' D2 L' B'
L2 U' B' R' B L' B'
L2 U' B' R' B' L' B'
L2 U' B' R' B2 L' B'
L2 U' B' R2 L' B' R
L2 U' B' D L' R' B'
L2 U' B' D R' L' B'
L2 U' B' D' L' R' B'
L2 U' B' D' R' L' B'
L2 U' B' D2 L' R' B'
L2 U' B' D2 R' L' B'
L2 U' B2 L' B R' B2
F' R' F' L2 U' L' B'
B' R' F' L2 B U' L
F2 R' F' L2 U' L' B'
B' R' F' B L2 U' L'
F R' F' L2 U' L' B'
B' R' B F' L2 U' L'
L2 U2 B U L' B' R'
L2 U2 B' U L' B' R'
L2 U2 B2 U L' B' R'
L D L U' L' B' R'
L2 D U' L' R B' R'
L2 D U' L' R' B' R'
L2 D U' L' R2 B' R'
L2 D U' L' D B' R'
L2 D U' L' D' B' R'
L2 D U' L' D2 B' R'
L2 D U' L' B' R' D
L2 D U' L' B' R' D'
L2 D U' L' B' R' D2
L2 D U' L' B' D R'
L2 D U' L' B' D' R'
L2 D U' L' B' D2 R'
L2 D U' R L' B' R'
L2 D U' R' L' B' R'
L2 D U' R2 L' B' R'
L2 D U' B' L' R' B'
L2 D U' B' R' L' B'
D U L F R F B
D U L F R B F
U' D L' F2 B' L2 R'
U' D L' F2 B' R' L2
U' D L' B' L2 R' F2
U' D L' B' L2 F2 R'
U' D L' B' R' L2 F2
U' D L' B' R' F2 L2
U D L F R F B
U D L F R B F
U' D L' B' F2 L2 R'
U' D L' B' F2 R' L2
L' D F2 R B L U
D U F R F L B
U D F R F L B
U' D F2 L' B' L2 R'
U' D F2 L' B' R' L2
L D' L U' L' B' R'
D' U B2 R' F' L' U2
D' U' L' B' L2 R' F
U' D' L' B' L2 R' F
U' D' L' B' L2 F R'
D' U' L' B' L2 F R'
U' D' L' B' R' L2 F
D' U' L' B' R' L2 F
L2 D' U' L' R B' R'
L2 D' U' L' R' B' R'
L2 D' U' L' R2 B' R'
L2 D' U' L' D B' R'
L2 D' U' L' D' B' R'
L2 D' U' L' D2 B' R'
L2 D' U' L' B' R' D
L2 D' U' L' B' R' D'
L2 D' U' L' B' R' D2
L2 D' U' L' B' D R'
L2 D' U' L' B' D' R'
L2 D' U' L' B' D2 R'
L2 D' U' R L' B' R'
L2 D' U' R' L' B' R'
L2 D' U' R2 L' B' R'
D U' L' F2 B' L2 R'
D U' L' F2 B' R' L2
D U' L' B' L2 R' F2
D U' L' B' L2 F2 R'
D U' L' B' R' L2 F2
D U' L' B' R' F2 L2
D U' L' B' F2 L2 R'
D U' L' B' F2 R' L2
L2 D' U' B' L' R' B'
L2 D' U' B' R' L' B'
D U' F2 L' B' L2 R'
D U' F2 L' B' R' L2
L D2 L U' L' B' R'
U D' B2 R' F' L' U2
L2 D2 U' L' R B' R'
L2 D2 U' L' R' B' R'
L2 D2 U' L' R2 B' R'
L2 D2 U' L' D B' R'
L2 D2 U' L' D' B' R'
L2 D2 U' L' D2 B' R'
L2 D2 U' L' B' R' D
L2 D2 U' L' B' R' D'
L2 D2 U' L' B' R' D2
L2 D2 U' L' B' D R'
L2 D2 U' L' B' D' R'
L2 D2 U' L' B' D2 R'
L2 D2 U' R L' B' R'
L2 D2 U' R' L' B' R'
L2 D2 U' R2 L' B' R'
L2 D2 U' B' L' R' B'
L2 D2 U' B' R' L' B'
L F L U' L' B' R'
U F R D L F2 B
U F R D L B F2
U F R D F2 L B
L2 F R' F' U' L' B'
D F U F L R B
D F U F R L B
U F D L R F2 B
U F D L R B F2
U F D R L F2 B
U F D R L B F2
U F D R F2 L B
L2 F B' R' F' U' L'
R' F' L2 R U' L' B'
R' F' L2 R' U' L' B'
R' F' L2 R2 U' L' B'
R' F' L2 U' L' D B'
R' F' L2 U' L' D' B'
R' F' L2 U' L' D2 B'
R' F' L2 U' L' B' D
R' F' L2 U' L' B' D'
R' F' L2 U' L' B' D2
R' F' L2 U' D L' B'
R' F' L2 U' D' L' B'
R' F' L2 U' D2 L' B'
L F' L U' L' B' R'
R' F' L2 U' B L' B'
R' F' L2 U' B' L' B'
R' F' L2 U' B2 L' B'
R' F' L2 D U' L' B'
R' F' L2 D' U' L' B'
R' F' L2 D2 U' L' B'
R' F' L2 B' R' U' L'
R' F' R L2 U' L' B'
R' F' R' L2 U' L' B'
R' F' R2 L2 U' L' B'
U F' D F2 L R B
U F' D F2 R L B
L F2 L U' L' B' R'
L' F2 R B L U L
L2 B' F R' F' U' L'
