L' R F' U F U'
L' R F2 D R2 F
L' R F2 D F R2
L' R' F2 D R2 F'
R L' F' U F U'
R' L' F2 D R2 F'
R L' F2 D R2 F
R L' F2 D F R2
D2 L' F U F' U'
D2 L' F2 D F' R2
U' R U L' F' R'
B2 R U' L' F' B2
B2 R U' L' B2 F'
B2 R U' B2 L' F'
B R U' B' L' F'
L' U' R U F' R'
B' U' D2 L' F B
B' U' D2 L' B F
B' U' D2 B L' F
B U' D2 B' L' F
B' U' B D2 L' F
B2 U' B2 D2 L' F
B U' B' D2 L' F
L' F' R F' D R2
R F' U F U' L'
L' F2 R D F' R2
L' F2 R' D R2 F'
B' D2 U' L' F B
B' D2 U' L' B F
B' D2 U' B L' F
B D2 U' B' L' F
D2 B U' B' L' F
R B U' B' L' F'
D B' L U' L2 B
D B' L U' B L2
D2 B' U' L' F B
D2 B' U' L' B F
D2 B' U' B L' F
R B' U' L' F' B
R B' U' L' B F'
R B' U' B L' F'
D2 B2 U' L' F B2
D2 B2 U' L' B2 F
D2 B2 U' B2 L' F
D2 B2 U' B2 L' F
R B2 U' L' F' B2
R B2 U' L' B2 F'
R B2 U' B2 L' F'
R L2 B2 U' B2 L F'
R L2 B2 U' B2 F' L
L' U L U' F2 R F'
L' U L F2 U' R F'
D2 L2 F L F D R2
D2 L2 F2 L D R2 F
D2 L2 F2 L D F R2
D2 L2 F2 D L R2 F
D2 L2 F2 D L F R2
D2 L2 F2 D R2 L F
D L2 B2 U' B2 L F
B2 R L U' L2 F' B2
B2 R L U' L2 B2 F'
B2 R L U' F' L2 B2
B2 R L U' F' B2 L2
B2 R L U' B2 L2 F'
B2 R L U' B2 F' L2
D2 R L' F U F' U'
D2 R L' F2 D F' R2
B2 R L2 U' L F' B2
B2 R L2 U' L B2 F'
B2 R L2 U' F' L B2
U' R U L F' L2 R'
U' R U L F' R' L2
U' R U L' D F' R'
U' R U L' D' F' R'
U' R U L' D2 F' R'
U' R U L' F R' F2
U' R U L' F' R' D
U' R U L' F' R' D'
U' R U L' F' R' D2
U' R U L' F' D R'
U' R U L' F' D' R'
U' R U L' F' D2 R'
U' R U L' F2 R' F
U' R U L2 F' L R'
U' R U L2 F' R' L
B2 R U L' F' B2 R'
B2 R U L' B2 F' R'
U' R U R' D2 L' F
U' R U D L' F' R'
U' R U D' L' F' R'
U' R U D2 L' F' R'
F' R U F U' L' F2
B2 R U' L F' L2 B2
B2 R U' L F' B2 L2
B2 R U' L B2 L2 F'
B2 R U' L B2 F' L2
B2 R U' L' F' B2 D
B2 R U' L' F' B2 D'
B2 R U' L' F' B2 D2
B2 R U' L' B2 D F'
B2 R U' L' B2 D' F'
B2 R U' L' B2 D2 F'
B2 R U' L' B2 F' D
B2 R U' L' B2 F' D'
B2 R U' L' B2 F' D2
B2 R U' L2 F' L B2
B R U' D B' L' F'
B R U' D' B' L' F'
B2 R U' B L' F' B
B2 R U' B L' B F'
B R U' D2 B' L' F'
B2 R U' B2 L F' L2
B2 R U' B2 L' D F'
B2 R U' B2 L' D' F'
B2 R U' B2 L' D2 F'
B2 R U' B2 L' F' D
B2 R U' B2 L' F' D'
B2 R U' B2 L' F' D2
B2 R U' B2 L2 F' L
B2 R U' B2 D L' F'
B2 R U' B2 D' L' F'
B2 R U' B2 D2 L' F'
B R U' F' D2 B' L
B R U' B L' F' B2
B R U' B L' B2 F'
B R U' B' L F' L2
B R U' B' L' D F'
B R U' B' L' D' F'
B R U' B' L' D2 F'
B R U' B' L' F' D
B R U' B' L' F' D'
B R U' B' L' F' D2
B R U' B' L2 F' L
B R U' B' D L' F'
B R U' B' D' L' F'
B R U' B' D2 L' F'
B R U' B2 L' F' B
B R U' B2 L' B F'
U' R D U L' F' R'
F2 R D F' R2 D2 L2
B R D U' B' L' F'
U' R D' U L' F' R'
B R D' U' B' L' F'
U' R D2 U L' F' R'
B R D2 U' B' L' F'
F' R F L' F2 D R2
R2 U' L' U' L U F
R U' L' U' L U F'
R U' L' F' U' L U
F' R F' U F2 U' L'
L' U' R U D F' R'
L' U' R U D' F' R'
L' U' R U D2 F' R'
L' U' R U F R' F2
L' U' R U F' R' D
L' U' R U F' R' D'
L' U' R U F' R' D2
L' U' R U F' D R'
L' U' R U F' D' R'
L' U' R U F' D2 R'
L' U' R U F2 R' F
R U' L2 D' L F' B2
R U' L2 D' L B2 F'
R U' L2 D' F' L B2
L' U' R D U F' R'
L' U' R D' U F' R'
L2 U' R U L F' R'
R U' L2 F' D' L B2
L' U' R D2 U F' R'
L2 U' R U F' L R'
L2 U' R U F' R' L
R2 U' R U L' R' F'
R2 U' R U R' L' F'
L U' R U L2 F' R'
L U' R U F' L2 R'
L U' R U F' R' L2
L' U' R' U R2 F' R'
L' U' R' U' B U2 R
D2 R B U' B' L' F
R' U' R2 U L' F' R2
R U' R' U L' R F'
R U' R' U R L' F'
B2 R B U' L' F' B
B2 R B U' L' B F'
B2 R B U' B L' F'
B R B U' L' F' B2
B R B U' L' B2 F'
B R B U' B2 L' F'
D2 R B' U' L' F B
D2 R B' U' L' B F
D R B' L U' L2 B
D R B' L U' B L2
D2 R B' U' B L' F
R U' R2 U L' R2 F'
R U' R2 U R2 L' F'
B2 R B' U' B' L' F'
L' U' D B R' U R
D2 R B2 U' L' F B2
D2 R B2 U' L' B2 F
D2 R B2 U' B2 L' F
B R B2 U' L' F' B
B R B2 U' L' B F'
B R B2 U' B L' F'
B2 R' L U' B2 L2 F
D2 R' L' F U F' U'
D2 R' L' F2 D F' R2
U' R' U L' R2 F' R'
U' R' U R D2 L' F
U' R' U R2 L' F' R'
B2 R' U B U2 L' B
B2 R' U B U2 B L'
B2 R' U' L B2 L2 F
B R' U B U2 L' B2
B R' U B U2 B2 L'
L' U' B R U F' R'
U' R' U' B U2 L' R
U' R' U' B U2 R L'
B2 R' U' B2 L2 F L
B R' U' B' L' D2 F2
B R' U' B' D2 L' F2
L' U' B' R U F' R'
R2 U' B' R' U L' R
R2 U' B' R' U R L'
L' U' B2 R U F' R'
F2 R' D R2 D L2 F'
F2 R' D R2 D F' L2
F2 R' D R2 F' D L2
B2 R' D' R2 U' L' F'
F R' D' R2 F' L' R
F R' D' R2 F' R L'
F2 R' D2 L2 D' R2 F'
D2 R' B U' B' L' F
U2 R' B U B' U L'
D2 R' B' U' L' F B
D2 R' B' U' L' B F
D2 R' B' U' B L' F
U R' B U' R U' L'
D R' B' L U' L2 B
D R' B' L U' B L2
D2 R' B2 U' L' F B2
D2 R' B2 U' L' B2 F
D2 R' B2 U' B2 L' F
D2 R2 L' F U F' U'
D2 R2 L' F2 D F' R2
U R2 L' D B2 R' F'
R' U2 B U B' U L'
B2 R2 U' B2 D L' F
U R2 D L' B2 R' F'
U R2 D' F2 R B U2
R' D L' F2 D R2 F'
R D L' F' U F U'
R D L' F2 D R2 F
R D L' F2 D F R2
D2 R2 B U' B' L' F
D2 R2 B' U' L' F B
D2 R2 B' U' L' B F
D2 R2 B' U' B L' F
D R2 B' L U' L2 B
D R2 B' L U' B L2
D2 R2 B2 U' L' F B2
D2 R2 B2 U' L' B2 F
D2 R2 B2 U' B2 L' F
L' D U' B R' U R
B2 U L' R F' B2 R'
B2 U L' R B2 F' R'
B2 U L' R2 B2 R' F'
B2 U L' B2 R F' R2
B2 U R L' F' B2 R'
B2 U R L' B2 F' R'
B2 U R U2 L' F' B2
B2 U R U2 L' B2 F'
B2 U R U2 B2 L' F'
R D F' U F U' L'
B U R U2 B' L' F'
B' U R' B U2 L' B'
B2 U R' B U2 L' B
B2 U R' B U2 B L'
L' D B' L U' L' B
L' D B' L U' B L'
B2 U R2 L' B2 R' F'
B U R' B U2 L' B2
B U R' B U2 B2 L'
R D B U' B' L' F'
R D B' U' L' F' B
R D B' U' L' B F'
R D B' U' B L' F'
L2 D B2 U' B2 L F
R D B2 U' L' F' B2
R D B2 U' L' B2 F'
R D B2 U' B2 L' F'
R' D' L' F2 D R2 F'
F' U F U' D2 L' F
U' D B R' U L' R
U' D B R' U R L'
F' U F D2 U' L' F
R D' L' F' U F U'
R D' L' F2 D R2 F
R D' L' F2 D F R2
B2 U F2 R U2 F' B2
B2 U F2 R U2 B2 F'
F2 U F2 U' D2 L' F
F2 U F2 D2 U' L' F
B U F2 R U2 F' B'
B U F2 R U2 B' F'
D2 U' L' F U' L U
D2 U' L2 D' L F B2
D2 U' L2 D' L B2 F
D2 U' R U L' R' F
D2 U' R U L' F R'
D2 U' R U R' L' F
B' U' L' R F' R' B
B2 U' L' R F' R' B2
L' D' F U L' F' U'
D2 U' R' U L' R F
D2 U' R' U R L' F
B' U' L' B R F' R'
B2 U' L' B2 R F' R'
D2 U' R2 U L' R2 F
D2 U' R2 U L' F R2
D2 U' R2 U R2 L' F
B' U' R L' F' R' B
B2 U' R L' F' R' B2
R D' F' U F U' L'
R D' B U' B' L' F'
R D' B' U' L' F' B
R D' B' U' L' B F'
R D' B' U' B L' F'
B' U' D' B D' L' F
B' U' D2 L' D F B
B' U' D2 L' D B F
B' U' D2 L' D' F B
B' U' D2 L' D' B F
B' U' D2 L' D2 F B
B' U' D2 L' D2 B F
B' U' D2 L' F D B
B' U' D2 L' F D' B
B' U' D2 L' F D2 B
B' U' D2 L' F B D
B' U' D2 L' F B D'
B' U' D2 L' F B D2
B' U' D2 L' B D F
B' U' D2 L' B D' F
B' U' D2 L' B D2 F
B' U' D2 L' B F D
B' U' D2 L' B F D'
B' U' D2 L' B F D2
B U' D B' L' D F2
D U' B R' U L' R
D U' B R' U R L'
B2 U' D2 L' D2 F B2
B2 U' D2 L' D2 B2 F
R D' B2 U' L' F' B2
R D' B2 U' L' B2 F'
R D' B2 U' B2 L' F'
B' U' D2 B L' D F
B' U' D2 B L' D' F
B' U' D2 B L' D2 F
B' U' D2 B L' F D
B' U' D2 B L' F D'
B' U' D2 B L' F D2
B' U' D2 B' L' F B2
B' U' D2 B' L' B2 F
R' D2 L' F2 D R2 F'
B U' D' B' D' L' F
B U' D2 B L' F B2
B U' D2 B L' B2 F
B U' D2 B' L' D F
B U' D2 B' L' D' F
B U' D2 B' L' D2 F
B U' D2 B' L' F D
B U' D2 B' L' F D'
B U' D2 B' L' F D2
B U' D2 B2 L' F B
B U' D2 B2 L' B F
R D2 L' F' U F U'
R D2 L' F2 D R2 F
R D2 L' F2 D F R2
U' D2 L' F U' L U
B' U' B L' R F' R'
U' D2 L2 D' L F B2
U' D2 L2 D' L B2 F
B' U' B R L' F' R'
B' U' B D2 L' D F
B' U' B D2 L' D' F
B' U' B D2 L' D2 F
B' U' B D2 L' F D
B' U' B D2 L' F D'
B' U' B D2 L' F D2
U' D2 R U L' R' F
U' D2 R U L' F R'
U' D2 R U R' L' F
B2 U' B D2 L' F B
B2 U' B D2 L' B F
B2 U' B D2 B L' F
U' D2 R' U L' R F
U' D2 R' U R L' F
B2 U' B' D2 B' L' F
B U' B' L' R F' R'
B2 U' B2 L' R F' R'
B U' B' R L' F' R'
B2 U' B2 R L' F' R'
B' U' B2 D2 B' L' F
U' D2 R2 U L' R2 F
U' D2 R2 U L' F R2
B U' B' D2 L' D F
B U' B' D2 L' D' F
B U' B' D2 L' D2 F
B U' B' D2 L' F D
B U' B' D2 L' F D'
B U' B' D2 L' F D2
U' D2 R2 U R2 L' F
B2 U' B2 D2 L' D F
B2 U' B2 D2 L' D' F
B2 U' B2 D2 L' D2 F
B2 U' B2 D2 L' F D
B2 U' B2 D2 L' F D'
B2 U' B2 D2 L' F D2
B U' B2 D2 L' F B
B U' B2 D2 L' B F
B U' B2 D2 B L' F
B2 U2 R U L' F' B2
B2 U2 R U L' B2 F'
B2 U2 R U B2 L' F'
F2 U2 R U' F2 U' F
F2 U2 R U2 D F' R2
F2 U2 R D U2 F' R2
F2 U2 R D' L2 U2 F'
R D2 F' U F U' L'
B U2 R U B' L' F'
R D2 B U' B' L' F'
R D2 B' U' L' F' B
R D2 B' U' L' B F'
R D2 B' U' B L' F'
R D2 B2 U' L' F' B2
R D2 B2 U' L' B2 F'
R D2 B2 U' B2 L' F'
L' F R' D' R2 F' R
R2 F R' D' F' L' R
R2 F R' D' F' R L'
D' F U L' F' B' U'
D' F U L' B' F' U'
R2 F U F' L' B' U'
R F U F' U' F' L'
L2 F' L R D F' R
B D U' B' L' D F2
L' F' R U F U' F2
L' F' R D F' D R2
L' F' R D' F' D R2
L' F' R D2 F' D R2
L2 F' R L D F' R
L' F' R F' R D R2
L' F' R F' R' D R2
L' F' R F' R2 D R2
L' F' R F' U F2 U'
L' F' R F' D R2 D
L' F' R F' D R2 D'
L' F' R F' D R2 D2
F2 D F2 R2 D L' F
L2 F' R F' L D R2
L2 F' R F' D L R2
L2 F' R F' D R2 L
L' F' R' F' D R2 F'
R F' R U F U' L'
B' D B' L U' L2 B2
B' D B' L U' B2 L2
L F' R F' L2 D R2
R F' R' U F U' L'
D2 F' U F U' L' F
L' F' U D' F L' U'
R F' R2 U F U' L'
R F' U F U' L' D
R F' U F U' L' D'
R F' U F U' L' D2
R F' U F U' D L'
R F' U F U' D' L'
R F' U F U' D2 L'
R F' U F D U' L'
R F' U F D' U' L'
R F' U F D2 U' L'
R F' U F B U' L'
R F' U F B' U' L'
R F' U F B2 U' L'
R F' U B F U' L'
R F' U B' F U' L'
R F' U B2 F U' L'
L' F' D' U F L' U'
B2 D' R2 U' D' L' F
B2 D' R2 D' U' L' F
B' D' U' B D' L' F
L2 F2 L R D F' R2
L2 F2 L R' D R2 F'
B D' U' B' D' L' F
L' F2 R U F2 U' F
L' F2 R D F R2 F2
L' F2 R D F' R2 D
L' F2 R D F' R2 D'
L' F2 R D F' R2 D2
L' F2 R D F2 R2 F
L' F2 R D' F' D2 R2
L' F2 R D2 F' D' R2
L2 F2 R L D F' R2
L' F2 R F' U F' U'
L F2 L2 R D F' R2
L F2 L2 R' D R2 F'
L2 F2 R D L F' R2
L2 F2 R D F' L R2
L2 F2 R D F' R2 L
L' F2 R' D R2 D F'
L' F2 R' D R2 D' F'
L' F2 R' D R2 D2 F'
L' F2 R' D R2 F' D
L' F2 R' D R2 F' D'
L' F2 R' D R2 F' D2
L' F2 R' D F R2 F'
L' F2 R' D F' R2 F'
L' F2 R' D F2 R2 F'
L2 F2 R' L D R2 F'
L F2 R L2 D F' R2
L2 F2 R' D L R2 F'
L2 F2 R' D R2 L F'
L2 F2 R' D R2 F' L
L' F2 R2 D R' F' R'
L F2 R' L2 D R2 F'
D2 F2 U F2 U' L' F
B' D2 L U' L2 F B
B' D2 L U' L2 B F
U2 F2 U' R F2 U2 F
R F2 U F2 U' L' F'
L' F2 D R D' R F'
R' F2 D F' R2 F' L'
R' F2 D F2 L' R2 F'
R' F2 D F2 R2 L' F'
D F2 D F2 L' R2 F
D F2 D F2 L' F R2
D F2 D F2 R2 L' F
R F2 D F2 L' F' R2
B D2 R U' B' L' F
B D2 R' U' B' L' F
B D2 R2 U' B' L' F
B' D2 U' L' D F B
B' D2 U' L' D B F
B' D2 U' L' D' F B
B' D2 U' L' D' B F
B' D2 U' L' D2 F B
B' D2 U' L' D2 B F
B' D2 U' L' F D B
B' D2 U' L' F D' B
B' D2 U' L' F D2 B
B' D2 U' L' F B D
B' D2 U' L' F B D'
B' D2 U' L' F B D2
B' D2 U' L' B D F
B' D2 U' L' B D' F
B' D2 U' L' B D2 F
B' D2 U' L' B F D
B' D2 U' L' B F D'
B' D2 U' L' B F D2
B' D2 U' B L' D F
B' D2 U' B L' D' F
B' D2 U' B L' D2 F
B' D2 U' B L' F D
B' D2 U' B L' F D'
B' D2 U' B L' F D2
B2 D2 U' L' D2 F B2
B2 D2 U' L' D2 B2 F
B' D2 U' B' L' F B2
B' D2 U' B' L' B2 F
B D2 U' B L' F B2
B D2 U' B L' B2 F
B D2 U' B' L' D F
B D2 U' B' L' D' F
B D2 U' B' L' D2 F
B D2 U' B' L' F D
B D2 U' B' L' F D'
B D2 U' B' L' F D2
B D2 U' B2 L' F B
B D2 U' B2 L' B F
U' B R U L' F' R'
D2 B R U' B' L' F
L2 B R U' F' B' L
L2 B R U' B' L F'
L2 B R U' B' F' L
F2 D2 F2 L' D' R2 F
F2 D2 F2 L' D' F R2
F2 D2 F2 L' F D' R2
D2 B R' U' B' L' F
D2 B R2 U' B' L' F
L B R U' F' B' L2
L B R U' B' L2 F'
L B R U' B' F' L2
R2 B R' U' B' L' F'
B' D2 B' U' L' F B2
B' D2 B' U' L' B2 F
B' D2 B' U' B2 L' F
B D2 B U' L' F B2
B D2 B U' L' B2 F
B D2 B U' B2 L' F
B' D2 B2 U' B' L' F
D' B U' D' B' L' F
D2 B U' B L' F B2
D2 B U' B L' B2 F
D2 B U' B' L' D F
D2 B U' B' L' D' F
D2 B U' B' L' D2 F
D2 B U' B' L' F D
D2 B U' B' L' F D'
D2 B U' B' L' F D2
D2 B U' B2 L' F B
D2 B U' B2 L' B F
D' B U' B' D' L' F
B D2 B2 U' L' F B
B D2 B2 U' L' B F
B D2 B2 U' B L' F
D B U' B' D L' F
D B U2 R' U B' L'
R B U' D B' L' F'
R B U' D' B' L' F'
R B U' D2 B' L' F'
R B U' F' D2 B' L
R B U' B L' F' B2
R B U' B L' B2 F'
R B U' B' L F' L2
R B U' B' L' D F'
R B U' B' L' D' F'
R B U' B' L' D2 F'
R B U' B' L' F' D
R B U' B' L' F' D'
R B U' B' L' F' D2
R B U' B' L2 F' L
R B U' B' D L' F'
R B U' B' D' L' F'
R B U' B' D2 L' F'
R B U' B2 L' F' B
R B U' B2 L' B F'
D' B D' U' B' L' F
R B D U' B' L' F'
R B D' U' B' L' F'
R B D2 U' B' L' F'
D2 B' L U' L2 F B
D2 B' L U' L2 B F
D B' L U' L' B L'
D B' L U' L2 D B
D B' L U' L2 D' B
D B' L U' L2 D2 B
D B' L U' L2 B D
D B' L U' L2 B D'
D B' L U' L2 B D2
D B' L U' B L2 D
D B' L U' B L2 D'
D B' L U' B L2 D2
D B' L U' B' L2 B2
D B' L D' B2 U' B'
D B' L B' U' L2 B2
D B' L B' U' B2 L2
D B' L B2 U' B' L2
U' B' R U L' F' R'
R B' L U' L2 F' B
R B' L U' L2 B F'
R B' L U' F' L2 B
R B' L U' F' B L2
R B' L U' B L2 F'
R B' L U' B F' L2
R B' L2 U' L F' B
R B' L2 U' L B F'
R B' L2 U' F' L B
R' B' U B2 U2 B' L'
R' B' U' L' D2 F2 B
R' B' U' L' D2 B F2
D2 B' U' L' D F B
