F2 U' L F U'
U' L D R2 F U'
U' L D F R2 U'
U' L D2 F U' B2
U' L F U F U2
U' D L R2 F U'
U' D L F R2 U'
U' D R2 L F U'
D2 U' L F U' B2
D U' L R2 F U'
D U' L F R2 U'
F2 U' L D F U'
F2 U' L D' F U'
F2 U' L D2 F U'
F2 U' L F U' D
F2 U' L F U' D'
F2 U' L F U' D2
F2 U' L F D U'
F2 U' L F D' U'
F2 U' L F D2 U'
D U' R2 L F U'
F2 U' D L F U'
F2 U' D' L F U'
F2 U' D2 L F U'
F2 U' F L F U'
F2 U' F' L F U'
U' D2 L F U' B2
F2 U' F2 L F U'
F2 D U' L F U'
F2 D' U' L F U'
L2 F2 U R B U
F2 D2 U' L F U'
F2 B D L B' U2
B F2 D L B' U2
F2 U' F L F U' D2
F2 U' F L F D U'
F2 U' F L F D' U'
F2 U' F L F D2 U'
U' D2 L R F U' B2
U' D2 L R' F U' B2
U' D2 L R2 F U' B2
F2 U' F D L F U'
F2 U' F D' L F U'
F2 U' F D2 L F U'
U' D2 L D' R2 F U'
U' D2 L D' F R2 U'
U' D2 L F R U' B2
U' D2 L F R' U' B2
U' D2 L F R2 U' B2
U' D2 L F U' B2 D
U' D2 L F U' B2 D'
U' D2 L F U' B2 D2
U' D2 L F D' R2 U'
F2 U' F' L D F U'
F2 U' F' L D' F U'
F2 U' F' L D2 F U'
F2 U' F' L F U' D
F2 U' F' L F U' D'
F2 U' F' L F U' D2
F2 U' F' L F D U'
F2 U' F' L F D' U'
F2 U' F' L F D2 U'
F2 U' F' D L F U'
F2 U' F' D' L F U'
F2 U' F' D2 L F U'
F2 U' F2 L D F U'
F2 U' F2 L D' F U'
F2 U' F2 L D2 F U'
F2 U' F2 L F U' D
F2 U' F2 L F U' D'
F2 U' F2 L F U' D2
F2 U' F2 L F D U'
F2 U' F2 L F D' U'
F2 U' F2 L F D2 U'
F2 U' F2 D L F U'
F2 U' F2 D' L F U'
F2 U' F2 D2 L F U'
U' D2 R L F U' B2
U' D2 R' L F U' B2
U' D2 R2 L F U' B2
U' D2 F L F U' B2
U' D2 F' L F U' B2
D2 U2 F B2 R D' F2
U2 D2 F B2 R D' F2
U' D2 F2 L F U' B2
F2 U2 R U L F U'
F2 U2 R' U L F U'
F2 U2 R2 U L F U'
D2 U2 B2 F R D' F2
U2 D2 B2 F R D' F2
F2 U2 F R U L U'
F2 U2 F U L U' R
D2 F U' L F U' B2
D F U' L R2 F U'
D F U' L F R2 U'
D F U' R2 L F U'
B D L D B' U2 B'
B D L D' F2 B' U2
B D L D' B' F2 U2
B D L B' U' R2 U'
B D L B' U2 D B2
B D L B' D U2 B2
B D L B' D' F2 U2
L' F D F U2 F R
U' F' L R2 F U' B
F2 D U' L D F U'
F2 D U' L D' F U'
F2 D U' L D2 F U'
F2 D U' L F U' D
F2 D U' L F U' D'
F2 D U' L F U' D2
F2 D U' L F D U'
F2 D U' L F D' U'
F2 D U' L F D2 U'
U' F' L F U F2 U2
U' F' L F U' D2 B2
U' F' L F D R2 U'
U' F' L F D2 U' B2
F2 D U' F L F U'
F2 D U' F' L F U'
F2 D U' F2 L F U'
F' D F' U' L F U'
F D F U' L F U'
U' F' R2 L F U' B
F2 D B D L B' U2
D2 F' U' L F U' B2
D F' U' L R2 F U'
D F' U' L F R2 U'
D F' U' R2 L F U'
B2 D' U L2 R' B U
B2 D' U R' L2 B U
B2 D' U R' B L2 U
U' F2 L F R2 U' B
U' F2 L F U F' U2
L' F2 L U' L F U'
F2 D' U' L D F U'
F2 D' U' L D' F U'
F2 D' U' L D2 F U'
F2 D' U' L F U' D
F2 D' U' L F U' D'
F2 D' U' L F U' D2
F2 D' U' L F D U'
F2 D' U' L F D' U'
F2 D' U' L F D2 U'
F2 D' U' F L F U'
F2 D' U' F' L F U'
L2 F2 L U R B U
F2 D' U' F2 L F U'
L2 F2 L' U R B U
L2 F2 L2 U R B U
F' D' F' U' L F U'
L F2 L' U' L F U'
F D' F U' L F U'
F2 D' B D L B' U2
R2 F2 R2 U' L F U'
R F2 R' U' L F U'
R' F2 U' L F U' L2
D2 F2 U' L F U' B2
L2 F2 U R D B U
L2 F2 U R D' B U
L2 F2 U R D2 B U
L2 F2 U R B U D
L2 F2 U R B U D'
L2 F2 U R B U D2
L2 F2 U R B D U
L2 F2 U R B D' U
L2 F2 U R B D2 U
L' F2 U' L F L U'
L2 F2 U D R B U
L2 F2 U D' R B U
L2 F2 U D2 R B U
L2 F2 U B R B U
L2 F2 U B' R B U
L2 F2 U B2 R B U
D F2 U' L R2 F U'
D F2 U' L F R2 U'
L' F2 U2 D F R F
L' F2 U2 F R D F2
L' F2 U2 F D R F2
D F2 U' R2 L F U'
L' F2 U2 F' D F2 R
L F2 U' L F U' F'
L2 F2 U2 F D R F'
L' F2 D U2 F R F
L F2 U' F' U' F R
L' F2 D B L U2 F2
L' F2 D B' U2 R' F2
L' F2 D B' U2 F2 R'
L2 F2 D U R B U
L' F2 D' B L B U2
L2 F2 D' U R B U
L' F2 B L U' L U'
L2 F2 D2 U R B U
L' F2 B D L U2 F2
L2 F2 B L U R U
L' F2 B D' L B2 U2
L' F2 B D' B2 U2 R'
L' F2 B' U' L2 U' R'
L' F2 B' U2 R' D F2
L' F2 B' U2 D R' F2
L' F2 B' U2 D F2 R'
L' F2 B' D U2 R' F2
L' F2 B' D U2 F2 R'
L' F2 B' D' B2 L U2
L2 F2 B' U R U R2
L F2 B L U' L' U'
L2 F2 B' U2 R' D' F2
F2 D2 U' L D F U'
F2 D2 U' L D' F U'
F2 D2 U' L D2 F U'
F2 D2 U' L F U' D
F2 D2 U' L F U' D'
F2 D2 U' L F U' D2
F2 D2 U' L F D U'
F2 D2 U' L F D' U'
F2 D2 U' L F D2 U'
F2 D2 U' F L F U'
F2 D2 U' F' L F U'
L' B L F2 U' L U'
F2 D2 U' F2 L F U'
L2 B L F2 U' L2 U'
L2 B L F2 U2 D F2
L2 B L F2 D U2 F2
L2 B L F2 D' B2 U2
L B L F2 U R U
F' D2 F' U' L F U'
F D2 F U' L F U'
F2 D2 B D L B' U2
F2 B L B U R' U
F2 B L B' U' L U'
D2 B D L B' U2 B2
D' B D L F2 B' U2
D' B D L B' F2 U2
D' B D F2 L B' U2
F2 B L2 D L' U2 F
D B D L B' U2 B'
L' B F2 L U' L U'
L' B F2 D L U2 F2
L2 B F2 L U R U
L' B F2 D' L B2 U2
L' B F2 D' B2 U2 R'
F2 B U B2 U R' F'
L B F2 L U' L' U'
F' B D L F' B' U2
F' B D L B' F' U2
F2 B D L D B' U2
F2 B D L D' B' U2
F2 B D L D2 B' U2
F2 B D L B' U2 D
F2 B D L B' U2 D'
F2 B D L B' U2 D2
F2 B D L B' D U2
F2 B D L B' D' U2
F2 B D L B' D2 U2
F' B D F' L B' U2
B F D F L B' U2
F B D F L B' U2
F2 B' U R U R2 F'
F2 B' U R2 U R F'
F2 B' U' L U' R' F
F2 B' U' L U' F R'
F2 B' U2 F R' D' F2
L' B' F2 U' L2 U' R'
L' B' F2 U2 R' D F2
L' B' F2 U2 D R' F2
L' B' F2 U2 D F2 R'
L' B' F2 D U2 R' F2
L' B' F2 D U2 F2 R'
L' B' F2 D' B2 L U2
L2 B' F2 U R U R2
L2 B' F2 U2 R' D' F2
B F' D L F' B' U2
B F' D L B' F' U2
B F' D F' L B' U2
B F2 L B U R' U
B F2 L B' U' L U'
B F2 L2 D L' U2 F
B' F2 U R U R2 F'
B' F2 U R2 U R F'
B' F2 U' L U' R' F
B' F2 U' L U' F R'
B2 F2 U R' B U R'
F2 B2 U R' B U R'
B2 F2 U D' R' B U
F2 B2 U D' R' B U
B2 F2 U B U R' F'
F2 B2 U B U R' F'
B' F2 U2 F R' D' F2
B F2 U B2 U R' F'
B F2 D L D B' U2
B F2 D L D' B' U2
B F2 D L D2 B' U2
B F2 D L B' U2 D
B F2 D L B' U2 D'
B F2 D L B' U2 D2
B F2 D L B' D U2
B F2 D L B' D' U2
B F2 D L B' D2 U2
B2 F2 D' U R' B U
F2 B2 D' U R' B U
