U2 L2 R2 D' B R'
U2 L2 D' R2 B R'
F' R U B U L2
F' R' U' F' U' L2
R2 U2 L2 D B R'
U2 R2 L2 D' B R'
D2 R2 U2 D B R'
D2 R2 D U2 B R'
F' U F U L2 R
F' U F U R L2
F' U' B' U' L2 R'
F' U' B' U' R' L2
B' R2 L2 D B F' R'
B' R2 L2 D' F' B R
B' R2 L2 D' B F' R
B' R2 L2 F' D B R'
B' R2 L2 B D' F' R
U2 R2 L2 D' B R' D
U2 R2 L2 D' B R' D'
U2 R2 L2 D' B R' D2
U2 R2 L2 D' B D R'
U2 R2 L2 D' B D' R'
U2 R2 L2 D' B D2 R'
B R2 L2 D F B R'
B R2 L2 D B R' F
B R2 L2 D B F R'
B R2 L2 F D B R'
U' R2 U' L2 D' B R'
D2 R2 U2 D B R' D
D2 R2 U2 D B R' D'
D2 R2 U2 D B R' D2
D2 R2 U2 D B D R'
D2 R2 U2 D B D' R'
D2 R2 U2 D B D2 R'
D' R2 U2 D L2 B R'
D' R2 U2 D B L2 R'
D' R2 U2 D B R' L2
D2 R2 D L U2 B R'
D2 R2 D L' U2 B R'
D2 R2 D L2 U2 B R'
D' R2 D U2 L2 B R'
D2 R2 D U2 B R' D
D2 R2 D U2 B R' D'
D2 R2 D U2 B R' D2
D2 R2 D U2 B D R'
D2 R2 D U2 B D' R'
D2 R2 D U2 B D2 R'
D' R2 D U2 B L2 R'
D' R2 D U2 B R' L2
D2 R2 D F U2 B R'
D2 R2 D F' U2 B R'
D2 R2 D F2 U2 B R'
D' R2 D B L2 R' F
D' R2 D B L2 F R'
D' R2 D B R' L2 F
D' R2 D' R2 F' U2 R
D2 R2 D' F L' U2 B
D2 R2 D' F' U2 B R
D2 R2 F U2 D B R'
D2 R2 F D U2 B R'
B' R2 F' L2 D B R'
D2 R2 F' U2 D B R'
D2 R2 F' D U2 B R'
D2 R2 F2 U2 D B R'
D2 R2 F2 D U2 B R'
U' R2 B L2 D F2 R
B' R2 B L2 D' F' R
U' R2 B' U' L2 R' B2
U' R2 B' U' R' L2 B2
U' R2 B' U' R' B2 L2
R2 D U F2 U B R'
R2 D U2 B R' D' L2
R2 D U2 B D' L2 R'
R2 D U2 B D' R' L2
B U L2 R F R B
B U L2 R2 F B R
B U L2 R2 B F R
B U L2 F R D2 B2
B U L2 F D2 R B2
B U L2 F D2 B2 R
B U R L2 F R B
R2 D B R' D' L2 F
R2 D B D' L2 R' F
R2 D B D' L2 F R'
R2 D B D' R' L2 F
B U R2 L2 F B R
B U R2 L2 B F R
F' U F U L2 R D
F' U F U L2 R D'
F' U F U L2 R D2
F' U F U L2 D R
F' U F U L2 D' R
F' U F U L2 D2 R
F' U F U R L2 D
F' U F U R L2 D'
F' U F U R L2 D2
F' U F B U L2 R
F' U F B U R L2
D U F2 U' F L' U2
F' U F B' U L2 R
F' U F B' U R L2
F' U F B2 U L2 R
F' U F B2 U R L2
B' U F' L' B U2 L'
U D F2 U' F L' U2
B2 U F' L' B2 U2 L'
F' U F' U' L' U2 L'
F U F U L2 R B'
F U F U L2 B' R
F U F U R L2 B'
F' U F' D F2 U R
B' U F' B L' U2 L'
B U F' L' U2 L' F
B2 U F' B2 L' U2 L'
B U F' B' L' U2 L'
B' U B F' L' U2 L'
F' U B F U L2 R
F' U B F U R L2
F' U B' F U L2 R
F' U B' F U R L2
R' D' U' F' R B2 U'
R' D' U' F' B2 R U'
R' D' U' B2 F' R U'
B U B' F' L' U2 L'
F' U B2 F U L2 R
F' U B2 F U R L2
B2 U B2 F' L' U2 L'
F2 U' L2 D F2 B' R'
F2 U' L2 D B' R' F2
F2 U' L2 D B' F2 R'
F2 U' L2 B' R' D F2
F2 U' L2 B' D R' F2
F2 U' L2 B' D F2 R'
D' U' B2 R2 U' B R'
U' D' B2 R2 U' B R'
U' D' B2 U' R2 B R'
D' U' B2 U' R2 B R'
F' U' F B' U' L2 R'
F' U' F B' U' R' L2
B' U' F' B L U2 L
F' U' F' B' U' L2 R'
F' U' F' B' U' R' L2
B U' F' U2 L2 F R
F' U' F2 B' U' L2 R'
F' U' F2 B' U' R' L2
B' U' B L F' U2 L
B U' F' B' U2 L2 R'
B U' F' B' U2 R' L2
B U' F2 L2 F B' R'
B U' F2 L2 B' R' F
B U' F2 L2 B' F R'
F' U' B U L U2 L
F' U' B D' B2 U' R'
B' U' B F' L U2 L
F' U' B' U' L2 R' D
F' U' B' U' L2 R' D'
F' U' B' U' L2 R' D2
F' U' B' U' L2 D R'
F' U' B' U' L2 D' R'
F' U' B' U' L2 D2 R'
F' U' B' U' R' L2 D
F' U' B' U' R' L2 D'
F' U' B' U' R' L2 D2
R2 D2 R2 D F' U2 R
F2 U' B' U' L2 R' B'
F2 U' B' U' R' L2 B'
F' U' B' F U' L2 R'
F' U' B' F U' R' L2
F' U' B' F' U' L2 R'
F' U' B' F' U' R' L2
F' U' B' F2 U' L2 R'
F' U' B' F2 U' R' L2
B U' B' F' U2 L2 R'
B U' B' F' U2 R' L2
F' U2 L U F U' L
F' U2 L' U' B' U L'
F' U2 L2 D F' R F
F' U2 L2 D' B R' B'
F' U2 L2 F D F' R
F2 U2 L2 D' B R' B2
F' U2 L2 B' D' B R'
F2 U2 L2 B2 D' B R'
F' U2 F L2 D F' R
F' U2 B' L2 D' B R'
U F U L2 R D2 B2
U F U L2 D2 R B2
U F U L2 D2 B2 R
U F U R L2 D2 B2
R2 F U2 L2 D B R'
U F U' F2 L' U2 L'
F' D R U F2 B U
F' D R U B F2 U
F2 D F U F U R
D' F' R' U' F' B2 U'
D' F' R' U' B2 F' U'
L F' R' U' F' U' L
L' F' U F U L' R
L' F' U F U R L'
U F' U L2 D' B2 R'
D F' U F' U' L' U2
L F' U F U L R
L F' U F U R L
R2 F' U2 L2 D B R'
L F' U2 L U F U'
F' D' R' U' F' B2 U'
F' D' R' U' B2 F' U'
U' F2 L2 D F2 B' R'
U' F2 L2 D B' R' F2
U' F2 L2 D B' F2 R'
U' F2 L2 B' R' D F2
U' F2 L2 B' D R' F2
U' F2 L2 B' D F2 R'
L' F2 R F U B U
D2 F2 R2 D' F L' U2
U2 F2 U L2 F2 B' R'
U2 F2 U L2 B' R' F2
U2 F2 U L2 B' F2 R'
R2 F2 U2 L2 D B R'
U F2 U' F L' U2 L'
U' F2 B' U' L2 R' B'
U' F2 B' U' R' L2 B'
F2 D2 R2 D' F L' U2
U2 B L2 R2 D' B R'
U2 B L2 D' R2 B R'
R2 B L2 R F D R2
R2 B L2 D' F' R F2
R2 B L2 F2 D' F' R
R2 B R L2 F D R2
R B R U L2 F B
R B R U L2 B F
U' B U L F' U2 L
U2 B R2 L2 D' B R'
U' B U F' L U2 L
F2 B U L2 F R B'
F2 B U L2 F B' R
F2 B U L2 B' F R
F2 B U' L2 F B' R'
F2 B U' L2 B' R' F
F2 B U' L2 B' F R'
U2 B' L2 R2 D' B R'
U2 B' L2 D' R2 B R'
U' B' R2 U' L2 B R
U' B' R2 U' B L2 R
U' B' R2 U' B R L2
U2 B' R2 L2 D' B R'
L2 B' R2 D F' B R'
L2 B' R2 D B F' R'
L2 B' R2 D' F' B R
L2 B' R2 D' B F' R
U' B' U F' U2 L2 R'
U' B' U F' U2 R' L2
L2 B' R2 F' D B R'
L2 B' R2 B D' F' R
U' B' U' L2 R2 B R
U' B' U' R2 L2 B R
U' B' U' R2 B L2 R
U' B' U' R2 B R L2
U' B' F2 U' L2 R' B'
U' B' F2 U' R' L2 B'
U2 B2 L2 R2 D' B R'
U2 B2 L2 D' R2 B R'
U' B2 R2 U' L2 B R'
U' B2 R2 U' B L2 R'
U' B2 R2 U' B R' L2
U2 B2 R2 L2 D' B R'
U' B2 U' L2 R2 B R'
D' B2 U F' L' B2 U2
D' B2 U F' B2 L' U2
U' B2 U' R2 L2 B R'
U' B2 U' R2 B L2 R'
U' B2 U' R2 B R' L2
D' B2 U B2 F' L' U2
B F2 U L2 F R B'
B F2 U L2 F B' R
B F2 U L2 B' F R
B F2 U' L2 F B' R'
B F2 U' L2 B' R' F
B F2 U' L2 B' F R'
